pacid,affiliateid,orgid,ultorg,total,pacs,indivs,releasedate,rank,client,registrant,numlobbyists,loborgid
         ,"",          ,Moran Wealth Management,24100,0,24100,2022-04-18 00:00:00 +0000,1, , ,0,          
         ,"",          ,Investments Ltd,21600,0,21600,2022-04-18 00:00:00 +0000,2, , ,0,          
         ,"",D000000402,"Welsh, Carson et al                     ",20300,0,20300,2022-04-18 00:00:00 +0000,3, , ,0,          
         ,"",D000044649,Amscot Financial,16200,0,16200,2022-04-18 00:00:00 +0000,4, , ,0,          
C00064766,"",D000000081,United Parcel Service,15095,15000,95,2022-04-18 00:00:00 +0000,5, , ,0,          
         ,"",          ,Wcas,14500,0,14500,2022-04-18 00:00:00 +0000,6, , ,0,          
C00552851,"",D000068902,House Freedom Fund,12800,7000,5800,2022-04-18 00:00:00 +0000,7, , ,0,          
         ,"",          ,Summit,12800,0,12800,2022-04-18 00:00:00 +0000,7, , ,0,          
         ,"",D000088448,Advocate Radiation Oncology,12400,0,12400,2022-04-18 00:00:00 +0000,9, , ,0,          
         ,"",D000033988,General Atlantic,11600,0,11600,2022-04-18 00:00:00 +0000,10, , ,0,          
         ,"",D000037378,Saratoga Partners,11600,0,11600,2022-04-18 00:00:00 +0000,10, , ,0,          
         ,"",D000030199,Sunshine Gasoline Distributors,11600,0,11600,2022-04-18 00:00:00 +0000,10, , ,0,          
         ,"",          ,"Tweedy, Browne Co",11600,0,11600,2022-04-18 00:00:00 +0000,10, , ,0,          
         ,"",          ,Veritas Energy LLC,11600,0,11600,2022-04-18 00:00:00 +0000,10, , ,0,          
C00022343,"",D000000181,Independent Insurance Agents & Brokers of America,11000,11000,0,2022-04-18 00:00:00 +0000,15, , ,0,          
         ,"",D000064140,Churchill Companies,10800,0,10800,2022-04-18 00:00:00 +0000,16, , ,0,          
         ,"",          ,Cq Capital,10800,0,10800,2022-04-18 00:00:00 +0000,16, , ,0,          
         ,"",D000073741,Laura & Isaac Perlmutter Foundation,10800,0,10800,2022-04-18 00:00:00 +0000,16, , ,0,          
         ,"",          ,Marvel Entertainment,10800,0,10800,2022-04-18 00:00:00 +0000,16, , ,0,          
         ,"",D000030377,Third Point LLC,10800,0,10800,2022-04-18 00:00:00 +0000,16, , ,0,          
C00452581,"",D000025141,Copart Inc,10000,0,10000,2022-04-18 00:00:00 +0000,21, , ,0,          
C00607374,"",D000072130,Elbert Guillory's America,10000,10000,0,2022-04-18 00:00:00 +0000,21, , ,0,          
C00428052,"",D000027353,Majority Cmte PAC,10000,10000,0,2022-04-18 00:00:00 +0000,21, , ,0,          
C00004812,"",D000000309,Mortgage Bankers Assn,8000,7500,500,2022-04-18 00:00:00 +0000,24, , ,0,          
C00004275,"",D000000087,American Bankers Assn,7500,7500,0,2022-04-18 00:00:00 +0000,25, , ,0,          
         ,"",          ,First Bank,7500,0,7500,2022-04-18 00:00:00 +0000,25, , ,0,          
C00486217,"",          ,LPL Financial,7500,7500,0,2022-04-18 00:00:00 +0000,25, , ,0,          
C00326439,"",D000022031,House Conservatives Fund,6000,6000,0,2022-04-18 00:00:00 +0000,28, , ,0,          
C00170258,"",D000027814,National Assn of Mutual Insurance Companies,6000,6000,0,2022-04-18 00:00:00 +0000,28, , ,0,          
         ,"",          ,Bluffpoint Assoc,5800,0,5800,2022-04-18 00:00:00 +0000,30, , ,0,          
         ,"",          ,Capio,5800,0,5800,2022-04-18 00:00:00 +0000,30, , ,0,          
         ,"",D000049365,CMI Group,5800,0,5800,2022-04-18 00:00:00 +0000,30, , ,0,          
         ,"",          ,Gcp Capital Partners,5800,0,5800,2022-04-18 00:00:00 +0000,30, , ,0,          
         ,"",          ,Growing Georgia,5800,0,5800,2022-04-18 00:00:00 +0000,30, , ,0,          
         ,"",          ,Gxm,5800,0,5800,2022-04-18 00:00:00 +0000,30, , ,0,          
         ,"",D000072026,Hamilton Point Investments,5800,0,5800,2022-04-18 00:00:00 +0000,30, , ,0,          
         ,"",D000044899,Hillwood Development,5800,0,5800,2022-04-18 00:00:00 +0000,30, , ,0,          
         ,"",D000034750,Irving Moskowitz Foundation,5800,0,5800,2022-04-18 00:00:00 +0000,30, , ,0,          
C00348797,"",D000026966,"Keating, Muething & Klekamp",5800,0,5800,2022-04-18 00:00:00 +0000,30, , ,0,          
         ,"",D000043186,Killerspin,5800,0,5800,2022-04-18 00:00:00 +0000,30, , ,0,          
         ,"",          ,Masterson Foods,5800,0,5800,2022-04-18 00:00:00 +0000,30, , ,0,          
         ,"",          ,North Sound Capital,5800,0,5800,2022-04-18 00:00:00 +0000,30, , ,0,          
         ,"",          ,Park Capital Partners,5800,0,5800,2022-04-18 00:00:00 +0000,30, , ,0,          
         ,"",          ,Response America LLC,5800,0,5800,2022-04-18 00:00:00 +0000,30, , ,0,          
         ,"",          ,Ronald A Book Pa Law Offices,5800,0,5800,2022-04-18 00:00:00 +0000,30, , ,0,          
         ,"",D000030599,Uline Inc,5800,0,5800,2022-04-18 00:00:00 +0000,30, , ,0,          
         ,"",          ,Assoc In Dermatology,5600,0,5600,2022-04-18 00:00:00 +0000,47, , ,0,          
C00496307,"",D000023121,Marathon Petroleum,5025,5000,25,2022-04-18 00:00:00 +0000,48, , ,0,          
