pacid,affiliateid,orgid,ultorg,total,pacs,indivs,releasedate,rank,client,registrant,numlobbyists,loborgid
C00193433,"",D000000113,Emily's List,148920,5000,143920,2022-04-18 00:00:00 +0000,1, , ,0,          
C00468314,"",D000025328,Democracy Engine,62004,0,62004,2022-04-18 00:00:00 +0000,2, , ,0,          
         ,"",          ,NOT EMPLOYED,58862,0,58862,2022-04-18 00:00:00 +0000,3, , ,0,          
         ,"",D000022252,Simmons Hanly Conroy,48900,0,48900,2022-04-18 00:00:00 +0000,4, , ,0,          
C00100321,"",D000071910,L3Harris Technologies,46390,18000,28390,2022-04-18 00:00:00 +0000,5,x, ,1,D000071910
         ,"",D000037797,State of Illinois                       ,41792,0,41792,2022-04-18 00:00:00 +0000,6, , ,0,          
C00441949,"",          ,JStreetPAC,40925,0,40925,2022-04-18 00:00:00 +0000,7, , ,0,          
C00195388,"",D000021746,"Buchanan, Ingersoll & Rooney",37600,0,37600,2022-04-18 00:00:00 +0000,8, ,x,0,D000021746
C00088591,"",D000000170,Northrop Grumman,37194,35000,2194,2022-04-18 00:00:00 +0000,9,x, ,0,D000000170
C00284885,"",D000000419,Home Depot,35622,35000,622,2022-04-18 00:00:00 +0000,10,x, ,0,D000000419
C00096156,"",D000000334,Honeywell International,35347,35000,347,2022-04-18 00:00:00 +0000,11,x, ,2,D000000334
C00418897,"",D000029722,VoteVets.org,35000,35000,0,2022-04-18 00:00:00 +0000,12,x, ,0,D000029722
         ,"",D000021757,Berkshire Hathaway,34525,33500,1025,2022-04-18 00:00:00 +0000,13,x, ,1,D000021757
C00397851,"",D000024670,Centene Corp                            ,34287,10000,24287,2022-04-18 00:00:00 +0000,14, , ,0,          
C00546119,"",          ,Select Medical Corp,33078,25000,8078,2022-04-18 00:00:00 +0000,15, , ,0,          
C00286401,"",D000000145,Seafarers International Union,32700,32500,200,2022-04-18 00:00:00 +0000,16, , ,0,          
C00211318,"",D000000131,Deloitte LLP,32685,32500,185,2022-04-18 00:00:00 +0000,17,x,x,1,D000000131
C00035451,"",D000000117,Air Line Pilots Assn,31120,29000,2120,2022-04-18 00:00:00 +0000,18,x, ,0,D000000117
C00034488,"",          ,Anheuser-Busch,31000,31000,0,2022-04-18 00:00:00 +0000,19, , ,0,          
C00016683,"",D000000138,Pfizer Inc                              ,29350,26000,3350,2022-04-18 00:00:00 +0000,20,x, ,1,D000000138
         ,"",D000000811,Kirkland & Ellis,29068,0,29068,2022-04-18 00:00:00 +0000,21, , ,0,          
C00536573,"",D000066804,AbbVie Inc,28324,26500,1824,2022-04-18 00:00:00 +0000,22,x, ,0,D000066804
C00248716,"",D000000461,Comcast Corp,27902,22500,5402,2022-04-18 00:00:00 +0000,23,x, ,4,D000000461
C00010470,"",D000000118,Union Pacific Corp,27540,27500,40,2022-04-18 00:00:00 +0000,24,x, ,0,D000000118
C00475665,"",D000045973,Growth Energy,27500,27500,0,2022-04-18 00:00:00 +0000,25,x, ,0,D000045973
         ,"",D000021935,Cooney & Conway,27265,0,27265,2022-04-18 00:00:00 +0000,26, , ,0,          
         ,"",D000059925,Abelson Taylor,26600,0,26600,2022-04-18 00:00:00 +0000,27, , ,0,          
         ,"",D000000109,Blue Cross/Blue Shield,25845,14500,11345,2022-04-18 00:00:00 +0000,28, , ,0,          
C00027342,"",D000000069,International Brotherhood of Electrical Workers,25271,25000,271,2022-04-18 00:00:00 +0000,29,x, ,0,D000000069
C00426775,"",D000000672,Charter Communications,25100,25000,100,2022-04-18 00:00:00 +0000,30,x, ,1,D000000672
C00075341,"",D000000355,Motorola Solutions,25060,25000,60,2022-04-18 00:00:00 +0000,31,x, ,0,D000000355
C00255752,"",D000000199,American Society of Anesthesiologists,25000,25000,0,2022-04-18 00:00:00 +0000,32,x, ,0,D000000199
C00131185,"",D000000233,Aircraft Owners & Pilots Assn,24000,24000,0,2022-04-18 00:00:00 +0000,33,x, ,1,D000000233
C00085316,"",D000000222,Cigna Corp                              ,23930,23500,430,2022-04-18 00:00:00 +0000,34,x, ,0,D000000222
C00097568,"",D000072615,Raytheon Technologies,23770,22000,1770,2022-04-18 00:00:00 +0000,35,x, ,0,D000072615
C00303024,"",D000000104,Lockheed Martin,23586,17500,6086,2022-04-18 00:00:00 +0000,36,x, ,3,D000000104
         ,"",D000070677,Willis Towers Watson,23385,0,23385,2022-04-18 00:00:00 +0000,37,x, ,2,D000070677
C00002766,"",D000000072,United Food & Commercial Workers Union,23339,22500,839,2022-04-18 00:00:00 +0000,38, , ,0,          
