pacid,affiliateid,orgid,ultorg,total,pacs,indivs,releasedate,rank,client,registrant,numlobbyists,loborgid
C00255752,"",D000000199,American Society of Anesthesiologists,12500,12500,0,2022-04-18 00:00:00 +0000,1, , ,0,          
         ,"",          ,Dermatology Specialists,11600,0,11600,2022-04-18 00:00:00 +0000,2, , ,0,          
         ,"",D000053035,Lewis Bear Co,10800,0,10800,2022-04-18 00:00:00 +0000,3, , ,0,          
         ,"",          ,Aui,10050,0,10050,2022-04-18 00:00:00 +0000,4, , ,0,          
         ,"",D000093284,Continental Pacific LLC,10000,0,10000,2022-04-18 00:00:00 +0000,5, , ,0,          
         ,"",          ,Innovations Group,9800,0,9800,2022-04-18 00:00:00 +0000,6, , ,0,          
         ,"",          ,Mir Scientific,9200,0,9200,2022-04-18 00:00:00 +0000,7, , ,0,          
         ,"",D000032308,Capitol Hill Consulting Group,8000,0,8000,2022-04-18 00:00:00 +0000,8, , ,0,          
C00469429,"",D000065616,CMR PAC,7500,7500,0,2022-04-18 00:00:00 +0000,9, , ,0,          
         ,"",D000031477,American Defense International,6000,0,6000,2022-04-18 00:00:00 +0000,10, , ,0,          
         ,"",D000033350,Eastern Shipbuilding Group,6000,0,6000,2022-04-18 00:00:00 +0000,10, , ,0,          
         ,"",D000057394,Tallahassee Orthopedic Clinic,6000,0,6000,2022-04-18 00:00:00 +0000,10, , ,0,          
         ,"",D000037635,Ballard Partners,5800,0,5800,2022-04-18 00:00:00 +0000,13, , ,0,          
         ,"",D000034750,Irving Moskowitz Foundation,5800,0,5800,2022-04-18 00:00:00 +0000,13, , ,0,          
         ,"",D000078729,Kedrick Cerry Inc,5800,0,5800,2022-04-18 00:00:00 +0000,13, , ,0,          
         ,"",          ,Real Estate Investment Broker,5800,0,5800,2022-04-18 00:00:00 +0000,13, , ,0,          
         ,"",          ,Tri Eagle Sales,5800,0,5800,2022-04-18 00:00:00 +0000,13, , ,0,          
         ,"",          ,Bill Cramer Chevrolet,5600,0,5600,2022-04-18 00:00:00 +0000,18, , ,0,          
         ,"",          ,Greater Boston Urology,5500,0,5500,2022-04-18 00:00:00 +0000,19, , ,0,          
C00762427,"",D000075334,Applied Research Assoc,5400,2500,2900,2022-04-18 00:00:00 +0000,20, , ,0,          
C00196246,"",D000000154,American Academy of Ophthalmology,5000,5000,0,2022-04-18 00:00:00 +0000,21, , ,0,          
C00004275,"",D000000087,American Bankers Assn,5000,5000,0,2022-04-18 00:00:00 +0000,21, , ,0,          
C00024968,"",D000000194,American Optometric Assn,5000,5000,0,2022-04-18 00:00:00 +0000,21, , ,0,          
C00010421,"",D000000187,Associated Builders & Contractors,5000,5000,0,2022-04-18 00:00:00 +0000,21, , ,0,          
         ,"",          ,Audientis LLC,5000,0,5000,2022-04-18 00:00:00 +0000,21, , ,0,          
         ,"",          ,B&C TECHNOLOGIES,5000,0,5000,2022-04-18 00:00:00 +0000,21, , ,0,          
         ,"",          ,B&C Technologies LLC,5000,0,5000,2022-04-18 00:00:00 +0000,21, , ,0,          
         ,"",          ,Bay Lincoln Mercury Dodge,5000,0,5000,2022-04-18 00:00:00 +0000,21, , ,0,          
         ,"",          ,Corr Group,5000,0,5000,2022-04-18 00:00:00 +0000,21, , ,0,          
         ,"",D000049930,CW Roberts Contracting,5000,0,5000,2022-04-18 00:00:00 +0000,21, , ,0,          
         ,"",          ,Digestive Disease Center,5000,0,5000,2022-04-18 00:00:00 +0000,21, , ,0,          
         ,"",          ,Emerald Coast Orthopedics,5000,0,5000,2022-04-18 00:00:00 +0000,21, , ,0,          
         ,"",          ,Food & Beverage Sales,5000,0,5000,2022-04-18 00:00:00 +0000,21, , ,0,          
C00236489,"",D000000186,Koch Industries,5000,5000,0,2022-04-18 00:00:00 +0000,21, , ,0,          
C00144766,"",D000000101,National Beer Wholesalers Assn,5000,5000,0,2022-04-18 00:00:00 +0000,21, , ,0,          
         ,"",          ,Pcca,5000,0,5000,2022-04-18 00:00:00 +0000,21, , ,0,          
         ,"",          ,Southern Orthopedic Specialists,5000,0,5000,2022-04-18 00:00:00 +0000,21, , ,0,          
C00214981,"",D000022909,Texas Farm Bureau,5000,5000,0,2022-04-18 00:00:00 +0000,21, , ,0,          
C00234120,"",D000029610,US Sugar,5000,2500,2500,2022-04-18 00:00:00 +0000,21, , ,0,          
C00431403,"",D000029716,Vote to Elect Republicans Now PAC,5000,5000,0,2022-04-18 00:00:00 +0000,21, , ,0,          
         ,"",          ,Advanced Urology Institute,4500,0,4500,2022-04-18 00:00:00 +0000,41, , ,0,          
C00424143,"",D000026656,Alliance for Pharmacy Compounding,4382,4382,0,2022-04-18 00:00:00 +0000,42, , ,0,          
         ,"",D000050303,Durden Enterprises,4250,0,4250,2022-04-18 00:00:00 +0000,43, , ,0,          
         ,"",          ,Jim Dickerson State Farm,4000,0,4000,2022-04-18 00:00:00 +0000,44, , ,0,          
         ,"",          ,Bancorpsouth,3900,0,3900,2022-04-18 00:00:00 +0000,45, , ,0,          
         ,"",          ,Po Folks Restaurant,3841,0,3841,2022-04-18 00:00:00 +0000,46, , ,0,          
         ,"",D000078046,Integrated Medical Professionals,3525,0,3525,2022-04-18 00:00:00 +0000,47, , ,0,          
C00359539,"",D000021821,American Academy of Dermatology Assn,3500,3500,0,2022-04-18 00:00:00 +0000,48, , ,0,          
C00113803,"",D000021835,American Osteopathic Assn,3500,3500,0,2022-04-18 00:00:00 +0000,48, , ,0,          
C00493221,"",D000073675,Guardian Fund,3500,3500,0,2022-04-18 00:00:00 +0000,48, , ,0,          
C00339655,"",          ,US Oncology,3500,3500,0,2022-04-18 00:00:00 +0000,48, , ,0,          
C00359588,"",D000021679,BGR Group,3000,0,3000,2022-04-18 00:00:00 +0000,52, , ,0,          
C00429712,"",D000024467,Brick Industry Assn,3000,2500,500,2022-04-18 00:00:00 +0000,52, , ,0,          
C00078451,"",D000000165,General Dynamics,3000,3000,0,2022-04-18 00:00:00 +0000,52, , ,0,          
C00199703,"",D000000133,GlaxoSmithKline,3000,3000,0,2022-04-18 00:00:00 +0000,52, , ,0,          
C00009985,"",D000000202,National Assn of Broadcasters,3000,2000,1000,2022-04-18 00:00:00 +0000,52, , ,0,          
         ,"",          ,Roberts Land & Timber Invest,3000,0,3000,2022-04-18 00:00:00 +0000,52, , ,0,          
         ,"",D000037793,State of Florida,3000,0,3000,2022-04-18 00:00:00 +0000,52, , ,0,          
         ,"",          ,Thompson Properties,3000,0,3000,2022-04-18 00:00:00 +0000,52, , ,0,          
         ,"",          ,Toc,3000,0,3000,2022-04-18 00:00:00 +0000,52, , ,0,          
         ,"",          ,Ara,2900,0,2900,2022-04-18 00:00:00 +0000,61, , ,0,          
         ,"",          ,Atlantic Urological Assoc,2900,0,2900,2022-04-18 00:00:00 +0000,61, , ,0,          
         ,"",          ,Bancorpsouth Wealth Management,2900,0,2900,2022-04-18 00:00:00 +0000,61, , ,0,          
         ,"",          ,Dermatology Specialists of Alabama,2900,0,2900,2022-04-18 00:00:00 +0000,61, , ,0,          
         ,"",          ,Firefly,2900,0,2900,2022-04-18 00:00:00 +0000,61, , ,0,          
         ,"",          ,Gulf Coast Cardiology Group,2900,0,2900,2022-04-18 00:00:00 +0000,61, , ,0,          
         ,"",          ,Harrison Rivard et al,2900,0,2900,2022-04-18 00:00:00 +0000,61, , ,0,          
         ,"",          ,Harrison Rivard Law Offices,2900,0,2900,2022-04-18 00:00:00 +0000,61, , ,0,          
         ,"",          ,Leon,2900,0,2900,2022-04-18 00:00:00 +0000,61, , ,0,          
         ,"",          ,Linea Peninsular,2900,0,2900,2022-04-18 00:00:00 +0000,61, , ,0,          
         ,"",          ,Perry & Young,2900,0,2900,2022-04-18 00:00:00 +0000,61, , ,0,          
         ,"",D000037751,St Joe Co,2900,0,2900,2022-04-18 00:00:00 +0000,61, , ,0,          
         ,"",D000030657,University of Florida,2900,0,2900,2022-04-18 00:00:00 +0000,61, , ,0,          
         ,"",D000090809,Wedgewood Pharmacy,2900,0,2900,2022-04-18 00:00:00 +0000,61, , ,0,          
         ,"",          ,Fountain Richard & Fountain,2800,0,2800,2022-04-18 00:00:00 +0000,75, , ,0,          
         ,"",          ,Ag Supply,2500,0,2500,2022-04-18 00:00:00 +0000,76, , ,0,          
C00413955,"",D000023922,American Assn of Neurological Surgeons,2500,2500,0,2022-04-18 00:00:00 +0000,76, , ,0,          
C00343137,"",          ,American Assn of Orthopaedic Surgeons,2500,2500,0,2022-04-18 00:00:00 +0000,76, , ,0,          
C00382424,"",          ,American College of Surgeons Prof Assn,2500,2500,0,2022-04-18 00:00:00 +0000,76, , ,0,          
C00000422,"",D000000068,American Medical Assn,2500,2500,0,2022-04-18 00:00:00 +0000,76, , ,0,          
C00358440,"",D000021862,Balch & Bingham,2500,2500,0,2022-04-18 00:00:00 +0000,76, , ,0,          
         ,"",          ,Bense Enterprises,2500,0,2500,2022-04-18 00:00:00 +0000,76, , ,0,          
         ,"",          ,Culligan Water Treatment,2500,0,2500,2022-04-18 00:00:00 +0000,76, , ,0,          
C00340943,"",D000021951,DaVita Inc,2500,2500,0,2022-04-18 00:00:00 +0000,76, , ,0,          
         ,"",          ,Florida Womans Care,2500,0,2500,2022-04-18 00:00:00 +0000,76, , ,0,          
         ,"",          ,Florida Women Care,2500,0,2500,2022-04-18 00:00:00 +0000,76, , ,0,          
         ,"",          ,Glass Projects Resource,2500,0,2500,2022-04-18 00:00:00 +0000,76, , ,0,          
C00161141,"",          ,GuideWell,2500,2500,0,2022-04-18 00:00:00 +0000,76, , ,0,          
         ,"",          ,Hilton Inc,2500,0,2500,2022-04-18 00:00:00 +0000,76, , ,0,          
         ,"",          ,Innovation Compounding,2500,0,2500,2022-04-18 00:00:00 +0000,76, , ,0,          
         ,"",          ,Integrity Group,2500,0,2500,2022-04-18 00:00:00 +0000,76, , ,0,          
         ,"",          ,Jane Solomon Family LLC,2500,0,2500,2022-04-18 00:00:00 +0000,76, , ,0,          
         ,"",          ,McCall Hauling,2500,0,2500,2022-04-18 00:00:00 +0000,76, , ,0,          
C00349225,"",          ,National Assn of Spine Specialists,2500,2500,0,2022-04-18 00:00:00 +0000,76, , ,0,          
C00002972,"",D000000153,National Rural Electric Cooperative Assn,2500,2500,0,2022-04-18 00:00:00 +0000,76, , ,0,          
