pacid,affiliateid,orgid,ultorg,total,pacs,indivs,releasedate,rank,client,registrant,numlobbyists,loborgid
         ,"",D000022194,Power Rogers LLP,168066,0,168066,2022-04-18 00:00:00 +0000,1, , ,0,          
         ,"",D000021935,Cooney & Conway,129833,0,129833,2022-04-18 00:00:00 +0000,2, , ,0,          
         ,"",D000022252,Simmons Hanly Conroy,111850,0,111850,2022-04-18 00:00:00 +0000,3,x, ,0,D000022252
         ,"",D000021919,Clifford Law Offices,96350,0,96350,2022-04-18 00:00:00 +0000,4, , ,0,          
         ,"",D000037797,State of Illinois                       ,95138,0,95138,2022-04-18 00:00:00 +0000,5, , ,0,          
         ,"",D000070523,"Keefe, Keefe & Unsell",86800,0,86800,2022-04-18 00:00:00 +0000,6, , ,0,          
         ,"",D000000245,MacAndrews & Forbes,73900,35000,38900,2022-04-18 00:00:00 +0000,7,x, ,1,D000000245
         ,"",D000000811,Kirkland & Ellis,71201,0,71201,2022-04-18 00:00:00 +0000,8, , ,0,          
C00078451,"",D000000165,General Dynamics,60675,37000,23675,2022-04-18 00:00:00 +0000,9,x, ,4,D000000165
C00076299,"",D000023666,CME Group,59088,35000,24088,2022-04-18 00:00:00 +0000,10,x, ,0,D000023666
         ,"",D000035174,Korein Tillery LLC,56600,0,56600,2022-04-18 00:00:00 +0000,11,x, ,0,D000035174
         ,"",D000076793,Driscoll Firm,51150,0,51150,2022-04-18 00:00:00 +0000,12, , ,0,          
C00484535,"",D000065181,Votesane PAC,50600,0,50600,2022-04-18 00:00:00 +0000,13, , ,0,          
         ,"",D000037340,"Salvi, Schostok & Pritchard",50050,0,50050,2022-04-18 00:00:00 +0000,14, , ,0,          
C00248716,"",D000000461,Comcast Corp,49529,35000,14529,2022-04-18 00:00:00 +0000,15,x, ,3,D000000461
         ,"",D000021464,United Airlines Holdings,47767,8000,39767,2022-04-18 00:00:00 +0000,16, , ,0,          
         ,"",D000030661,University of Illinois                  ,47530,0,47530,2022-04-18 00:00:00 +0000,17,x, ,0,D000030661
         ,"",D000021938,Corboy & Demetrio,44320,0,44320,2022-04-18 00:00:00 +0000,18, , ,0,          
C00097568,"",D000072615,Raytheon Technologies,43613,42500,1113,2022-04-18 00:00:00 +0000,19,x, ,4,D000072615
C70002563,"",D000000062,National Assn of Realtors,43575,38000,5575,2022-04-18 00:00:00 +0000,20,x, ,0,D000000062
C00217984,"",D000000814,Jenner & Block,41276,0,41276,2022-04-18 00:00:00 +0000,21, , ,0,          
         ,"",D000022011,GCM Grosvenor,40800,0,40800,2022-04-18 00:00:00 +0000,22, , ,0,          
C00144766,"",D000000101,National Beer Wholesalers Assn,40000,40000,0,2022-04-18 00:00:00 +0000,23,x, ,0,D000000101
C00130773,"",D000000755,National Multifamily Housing Council,40000,40000,0,2022-04-18 00:00:00 +0000,23,x, ,0,D000000755
         ,"",D000087163,"Cook, Bartholomew et al",38164,0,38164,2022-04-18 00:00:00 +0000,25, , ,0,          
C00064766,"",D000000081,United Parcel Service                   ,37713,35000,2713,2022-04-18 00:00:00 +0000,26,x, ,0,D000000081
C00009985,"",D000000202,National Assn of Broadcasters,37500,27500,10000,2022-04-18 00:00:00 +0000,27,x, ,0,D000000202
C00096156,"",D000000334,Honeywell International,36556,31000,5556,2022-04-18 00:00:00 +0000,28,x, ,1,D000000334
         ,"",D000021757,Berkshire Hathaway,36354,32500,3854,2022-04-18 00:00:00 +0000,29,x, ,0,D000021757
         ,"",D000077526,Gori Law Firm,35700,0,35700,2022-04-18 00:00:00 +0000,30, , ,0,          
C00029447,"",D000000135,International Assn of Fire Fighters,35000,35000,0,2022-04-18 00:00:00 +0000,31,x, ,0,D000000135
C00023580,"",D000000084,National Assn of Letter Carriers,34500,34500,0,2022-04-18 00:00:00 +0000,32,x, ,0,D000000084
         ,"",D000051979,"Hurley, McKenna & Mertz",33900,0,33900,2022-04-18 00:00:00 +0000,33, , ,0,          
C00625921,"",D000046283,AAR Corp,33849,4400,29449,2022-04-18 00:00:00 +0000,34, , ,0,          
C00088591,"",D000000170,Northrop Grumman,32761,31000,1761,2022-04-18 00:00:00 +0000,35,x, ,3,D000000170
C00284885,"",D000000419,Home Depot,32597,32500,97,2022-04-18 00:00:00 +0000,36,x, ,0,D000000419
         ,"",D000059925,Abelson Taylor,32390,0,32390,2022-04-18 00:00:00 +0000,37, , ,0,          
         ,"",D000030649,University of Chicago                   ,31300,0,31300,2022-04-18 00:00:00 +0000,38, , ,0,          
C00211318,"",D000000131,Deloitte LLP,31010,30000,1010,2022-04-18 00:00:00 +0000,39,x,x,0,D000000131
C00227546,"",D000000115,Microsoft Corp                          ,30970,19000,11970,2022-04-18 00:00:00 +0000,40,x, ,0,D000000115
         ,"",          ,Simmons Law Firm,30250,0,30250,2022-04-18 00:00:00 +0000,41, , ,0,          
C00035451,"",D000000117,Air Line Pilots Assn,30119,27500,2619,2022-04-18 00:00:00 +0000,42,x, ,1,D000000117
C00325092,"",D000064813,Huntington Ingalls Industries,29000,29000,0,2022-04-18 00:00:00 +0000,43,x, ,2,D000064813
C00106146,"",D000000116,American Hospital Assn,28553,28000,553,2022-04-18 00:00:00 +0000,44,x, ,0,D000000116
         ,"",D000060875,Cullinan Properties,28160,0,28160,2022-04-18 00:00:00 +0000,45, , ,0,          
C00104802,"",D000000350,Delta Air Lines,28114,28000,114,2022-04-18 00:00:00 +0000,46,x, ,0,D000000350
C00010082,"",D000022131,NCTA The Internet & Television Assn,28000,27500,500,2022-04-18 00:00:00 +0000,47,x, ,1,D000022131
         ,"",D000068028,HLP&R Advocacy,27800,0,27800,2022-04-18 00:00:00 +0000,48, ,x,2,D000068028
C70000492,"",D000000064,National Education Assn,27768,27000,768,2022-04-18 00:00:00 +0000,49,x, ,0,D000000064
C00001198,"",D000023971,American Hotel & Lodging Assn,27500,27500,0,2022-04-18 00:00:00 +0000,50,x, ,0,D000023971
C00028860,"",D000000083,American Federation of Teachers,27225,26000,1225,2022-04-18 00:00:00 +0000,51,x, ,0,D000000083
C00215285,"",D000000317,General Atomics,27150,12000,15150,2022-04-18 00:00:00 +0000,52,x, ,1,D000000317
C00024521,"",D000000065,American Assn for Justice,27015,25000,2015,2022-04-18 00:00:00 +0000,53,x,x,1,D000000065
C00303024,"",D000000104,Lockheed Martin,26514,26500,14,2022-04-18 00:00:00 +0000,54,x, ,3,D000000104
         ,"",D000031770,Baker & McKenzie,26457,0,26457,2022-04-18 00:00:00 +0000,55, ,x,0,D000031770
         ,"",D000037208,Romanucci & Blandin,26325,0,26325,2022-04-18 00:00:00 +0000,56, , ,0,          
C00142711,"",D000000100,Boeing Co,25975,24500,1475,2022-04-18 00:00:00 +0000,57,x, ,1,D000000100
         ,"",D000069938,MRHFM Law Firm,25382,0,25382,2022-04-18 00:00:00 +0000,58, , ,0,          
C00545558,"",D000057313,Superior Ambulance Service,25100,7000,18100,2022-04-18 00:00:00 +0000,59, , ,0,          
C00010470,"",D000000118,Union Pacific Corp,25065,25000,65,2022-04-18 00:00:00 +0000,60,x, ,0,D000000118
C00100693,"",D000069202,Cboe Global Markets,25060,20000,5060,2022-04-18 00:00:00 +0000,61,x, ,0,D000069202
C00009282,"",D000019639,Norfolk Southern,25060,25000,60,2022-04-18 00:00:00 +0000,61,x, ,0,D000019639
C00126763,"",D000000240,National Assn of Convenience Stores,25010,25000,10,2022-04-18 00:00:00 +0000,63,x, ,0,D000000240
C00147173,"",D000000356,Wine & Spirits Wholesalers of America,25000,25000,0,2022-04-18 00:00:00 +0000,64,x, ,0,D000000356
         ,"",D000066768,Bank of Montreal,24953,8300,16653,2022-04-18 00:00:00 +0000,65, , ,0,          
C90014028,"",D000052457,J Street,24765,7000,17765,2022-04-18 00:00:00 +0000,66, , ,0,          
         ,"",D000036277,Northwestern University,24115,0,24115,2022-04-18 00:00:00 +0000,67, , ,0,          
         ,"",D000000351,Newsweb Corp,23500,0,23500,2022-04-18 00:00:00 +0000,68, , ,0,          
         ,"",D000032606,"City of Chicago, IL",23074,0,23074,2022-04-18 00:00:00 +0000,69, , ,0,          
C00009936,"",D000000304,American Federation of Government Employees,22685,22500,185,2022-04-18 00:00:00 +0000,70,x, ,0,D000000304
C00107300,"",          ,American Airlines,22173,16000,6173,2022-04-18 00:00:00 +0000,71, , ,0,          
C00325332,"",D000024003,American Seniors Housing Assn,22000,22000,0,2022-04-18 00:00:00 +0000,72,x, ,0,D000024003
         ,"",D000070677,Willis Towers Watson,21538,0,21538,2022-04-18 00:00:00 +0000,73, , ,0,          
C00238725,"",D000000285,National Air Traffic Controllers Assn,21000,21000,0,2022-04-18 00:00:00 +0000,74,x, ,1,D000000285
         ,"",D000074201,Pan Am Equities,20800,0,20800,2022-04-18 00:00:00 +0000,75, , ,0,          
C00351270,"",D000022249,Sidley Austin LLP,20679,0,20679,2022-04-18 00:00:00 +0000,76, , ,0,          
         ,"",D000000109,Blue Cross/Blue Shield,20603,18000,2603,2022-04-18 00:00:00 +0000,77, , ,0,          
C00007542,"",D000071033,"Sheet Metal, Air, Rail & Transportation Union",20500,17000,3500,2022-04-18 00:00:00 +0000,78,x, ,0,D000071033
C70003124,"",D000000077,Service Employees International Union,20395,15000,5395,2022-04-18 00:00:00 +0000,79, , ,0,          
C00590471,"",          ,UFCW Local 881,20224,20000,224,2022-04-18 00:00:00 +0000,80, , ,0,          
         ,"",D000021845,Apollo Global Management,20143,0,20143,2022-04-18 00:00:00 +0000,81, , ,0,          
C00076810,"",D000000155,General Motors,20103,20000,103,2022-04-18 00:00:00 +0000,82,x, ,0,D000000155
C00281212,"",D000000583,BAE Systems,20013,20000,13,2022-04-18 00:00:00 +0000,83,x, ,0,D000000583
C00163832,"",D000000148,CSX Corp,20000,20000,0,2022-04-18 00:00:00 +0000,84,x, ,0,D000000148
C90016437,"",D000000086,National Assn of Home Builders,20000,20000,0,2022-04-18 00:00:00 +0000,84,x, ,0,D000000086
C00093054,"",D000000367,Walmart Inc,19757,18000,1757,2022-04-18 00:00:00 +0000,86,x, ,1,D000000367
         ,"",D000022086,Livingston Group,19500,0,19500,2022-04-18 00:00:00 +0000,87, ,x,4,D000022086
         ,"",          ,"Cook, Ysura et al",19166,0,19166,2022-04-18 00:00:00 +0000,88, , ,0,          
         ,"",D000053027,Lettuce Entertain You,19099,0,19099,2022-04-18 00:00:00 +0000,89, , ,0,          
C00098061,"",D000000619,Target Corp,19026,19000,26,2022-04-18 00:00:00 +0000,90,x, ,0,D000000619
         ,"",D000068600,Globetrotters,18750,0,18750,2022-04-18 00:00:00 +0000,91, , ,0,          
         ,"",D000052772,KKP Group                               ,18512,0,18512,2022-04-18 00:00:00 +0000,92, , ,0,          
C00024869,"",D000000125,General Electric,18218,14500,3718,2022-04-18 00:00:00 +0000,93, , ,0,          
C00010868,"",D000000682,American Council of Engineering Cos,17500,17500,0,2022-04-18 00:00:00 +0000,94,x, ,0,D000000682
C00426775,"",D000000672,Charter Communications,17500,17500,0,2022-04-18 00:00:00 +0000,94,x, ,1,D000000672
C00091561,"",D000021771,National Active & Retired Federal Employees Assn,17500,17500,0,2022-04-18 00:00:00 +0000,94,x, ,0,D000021771
C00303339,"",D000000606,National Assn of Real Estate Investment Trusts,17500,17500,0,2022-04-18 00:00:00 +0000,94,x, ,0,D000000606
C00451153,"",D000027847,National Football League,17500,17500,0,2022-04-18 00:00:00 +0000,94, , ,0,          
         ,"",D000036907,Quarles & Brady,17230,0,17230,2022-04-18 00:00:00 +0000,99, , ,0,          
C00340943,"",D000021951,DaVita Inc,17026,17000,26,2022-04-18 00:00:00 +0000,100,x, ,0,D000021951
