pacid,affiliateid,orgid,ultorg,total,pacs,indivs,releasedate,rank,client,registrant,numlobbyists,loborgid
C00484535,"",D000065181,Votesane PAC,105100,0,105100,2022-04-18 00:00:00 +0000,1, , ,0,          
C00097568,"",D000072615,Raytheon Technologies,91765,32500,59265,2022-04-18 00:00:00 +0000,2,x, ,2,D000072615
         ,"",D000021757,Berkshire Hathaway,77856,33000,44856,2022-04-18 00:00:00 +0000,3,x, ,1,D000021757
         ,"",D000021873,Blackstone Group,65618,0,65618,2022-04-18 00:00:00 +0000,4, , ,0,          
         ,"",D000021845,Apollo Global Management,62453,0,62453,2022-04-18 00:00:00 +0000,5, , ,0,          
         ,"",D000069491,Great Point Partners,54800,0,54800,2022-04-18 00:00:00 +0000,6, , ,0,          
         ,"",D000021967,Duty Free Americas,54000,0,54000,2022-04-18 00:00:00 +0000,7, , ,0,          
C00064774,"",D000000321,NextEra Energy,53700,19000,34700,2022-04-18 00:00:00 +0000,8,x, ,1,D000000321
         ,"",D000067823,Alphabet Inc,46018,37500,8518,2022-04-18 00:00:00 +0000,9, , ,0,          
C00450692,"",D000046017,Poet LLC,45600,10000,35600,2022-04-18 00:00:00 +0000,10,x, ,0,D000046017
C00027466,"",D000036122,National Republican Senatorial Cmte,44638,44600,38,2022-04-18 00:00:00 +0000,11, , ,0,          
         ,"",D000088404,Denny Elwell Co,44500,0,44500,2022-04-18 00:00:00 +0000,12, , ,0,          
         ,"",D000000109,Blue Cross/Blue Shield,41932,34000,7932,2022-04-18 00:00:00 +0000,13,x, ,1,D000000109
C00068692,"",D000000089,FedEx Corp,41881,25000,16881,2022-04-18 00:00:00 +0000,14,x, ,0,D000000089
         ,"",D000032407,Cavalry Asset Management,41000,0,41000,2022-04-18 00:00:00 +0000,15, , ,0,          
         ,"",D000031831,Bartlett Grain,40800,0,40800,2022-04-18 00:00:00 +0000,16, , ,0,          
C00088591,"",D000000170,Northrop Grumman,40338,33000,7338,2022-04-18 00:00:00 +0000,17,x, ,1,D000000170
C00248716,"",D000000461,Comcast Corp,38926,35000,3926,2022-04-18 00:00:00 +0000,18,x, ,1,D000000461
C00284885,"",D000000419,Home Depot,38685,30000,8685,2022-04-18 00:00:00 +0000,19,x, ,0,D000000419
C00004275,"",D000000087,American Bankers Assn                   ,38620,35000,3620,2022-04-18 00:00:00 +0000,20,x, ,1,D000000087
         ,"",D000021972,Elliott Management,38350,0,38350,2022-04-18 00:00:00 +0000,21, , ,0,          
C00300178,"",D000019743,Wells Fargo,37942,15000,22942,2022-04-18 00:00:00 +0000,22, , ,0,          
C00117424,"",D000067804,WestRock Co,37710,1000,36710,2022-04-18 00:00:00 +0000,23, , ,0,          
C00400705,"",D000028488,Publix Super Markets,37059,5000,32059,2022-04-18 00:00:00 +0000,24,x, ,0,D000028488
C00010470,"",D000000118,Union Pacific Corp,36705,32500,4205,2022-04-18 00:00:00 +0000,25,x, ,0,D000000118
         ,"",D000047864,Bluff Point Assoc,36600,0,36600,2022-04-18 00:00:00 +0000,26, , ,0,          
         ,"",D000086952,Klinger Companies,36100,0,36100,2022-04-18 00:00:00 +0000,27, , ,0,          
C00426775,"",D000000672,Charter Communications,35856,32500,3356,2022-04-18 00:00:00 +0000,28,x, ,1,D000000672
         ,"",D000035702,McAninch Corp,35800,0,35800,2022-04-18 00:00:00 +0000,29, , ,0,          
         ,"",D000078745,Doll Distributing,33600,0,33600,2022-04-18 00:00:00 +0000,30, , ,0,          
C00211318,"",D000000131,Deloitte LLP,33209,27500,5709,2022-04-18 00:00:00 +0000,31,x,x,0,D000000131
         ,"",D000030095,Sterling Group,32950,0,32950,2022-04-18 00:00:00 +0000,32, , ,0,          
         ,"",D000092338,Croell Inc                                        ,32000,0,32000,2022-04-18 00:00:00 +0000,33, , ,0,          
C90012063,"",D000028612,Republican Jewish Coalition,31752,7003,24749,2022-04-18 00:00:00 +0000,34, , ,0,          
