pacid,affiliateid,orgid,ultorg,total,pacs,indivs,releasedate,rank,client,registrant,numlobbyists,loborgid
         ,"",D000094138,Ascend Clinical,162400,0,162400,2022-04-18 00:00:00 +0000,1, , ,0,          
C00361741,"",D000026667,Intuit Inc,32350,10000,22350,2022-04-18 00:00:00 +0000,2, , ,0,          
         ,"",D000000333,"Kleiner, Perkins et al",23200,0,23200,2022-04-18 00:00:00 +0000,3, , ,0,          
         ,"",D000067823,Alphabet Inc,18910,5000,13910,2022-04-18 00:00:00 +0000,4, , ,0,          
C00562546,"",D000071021,Novocure Inc,16050,10000,6050,2022-04-18 00:00:00 +0000,5, , ,0,          
         ,"",D000000750,Stanford University                     ,14223,0,14223,2022-04-18 00:00:00 +0000,6, , ,0,          
         ,"",D000036303,NVIDIA Corp,12205,0,12205,2022-04-18 00:00:00 +0000,7, , ,0,          
         ,"",          ,Actransit,11600,0,11600,2022-04-18 00:00:00 +0000,8, , ,0,          
         ,"",D000085470,Essex Property Trust,11600,0,11600,2022-04-18 00:00:00 +0000,8, , ,0,          
         ,"",D000088518,Flex Logix Technologies,11600,0,11600,2022-04-18 00:00:00 +0000,8, , ,0,          
         ,"",D000034155,Granite Telecommunications,11600,0,11600,2022-04-18 00:00:00 +0000,8, , ,0,          
         ,"",D000034248,Guttman Initiatives,11600,0,11600,2022-04-18 00:00:00 +0000,8, , ,0,          
         ,"",D000068814,Heising-Simons Foundation,11600,0,11600,2022-04-18 00:00:00 +0000,8, , ,0,          
         ,"",D000086476,Incept LLC,11600,0,11600,2022-04-18 00:00:00 +0000,8, , ,0,          
         ,"",          ,Internet Host Service Provider,11600,0,11600,2022-04-18 00:00:00 +0000,8, , ,0,          
         ,"",D000035137,Klein Financial,11600,0,11600,2022-04-18 00:00:00 +0000,8, , ,0,          
         ,"",D000035604,Marcus & Millichap,11600,0,11600,2022-04-18 00:00:00 +0000,8, , ,0,          
         ,"",D000036453,Pace School,11600,0,11600,2022-04-18 00:00:00 +0000,8, , ,0,          
