pacid,affiliateid,orgid,ultorg,total,pacs,indivs,releasedate,rank,client,registrant,numlobbyists,loborgid
         ,"",D000030924,Watco Companies,29200,0,29200,2022-04-18 00:00:00 +0000,1, , ,0,          
         ,"",          ,Cohen-Esry Real Estate,23200,0,23200,2022-04-18 00:00:00 +0000,2, , ,0,          
C00450692,"",D000046017,Poet LLC,21600,10000,11600,2022-04-18 00:00:00 +0000,3, , ,0,          
C00303883,"",          ,Case New Holland,20000,20000,0,2022-04-18 00:00:00 +0000,4, , ,0,          
C00236489,"",D000000186,Koch Industries,18500,17500,1000,2022-04-18 00:00:00 +0000,5, , ,0,          
         ,"",D000021873,Blackstone Group,17650,0,17650,2022-04-18 00:00:00 +0000,6, , ,0,          
         ,"",D000061318,Foley Equipment,17400,0,17400,2022-04-18 00:00:00 +0000,7, , ,0,          
         ,"",D000087644,Bergen Pain Management,16600,0,16600,2022-04-18 00:00:00 +0000,8, , ,0,          
C00428110,"",D000029158,Spirit Aerosystems,16600,5000,11600,2022-04-18 00:00:00 +0000,8, , ,0,          
         ,"",          ,Lee Aerospace,15800,0,15800,2022-04-18 00:00:00 +0000,10, , ,0,          
         ,"",          ,Cws,14400,0,14400,2022-04-18 00:00:00 +0000,11, , ,0,          
         ,"",          ,Intrust Bank,13600,0,13600,2022-04-18 00:00:00 +0000,12, , ,0,          
C70002563,"",D000000062,National Assn of Realtors,13000,13000,0,2022-04-18 00:00:00 +0000,13, , ,0,          
         ,"",          ,Aviation Consulting & Engineering Solu,11600,0,11600,2022-04-18 00:00:00 +0000,14, , ,0,          
         ,"",D000087343,Icm Inc,11600,0,11600,2022-04-18 00:00:00 +0000,14, , ,0,          
         ,"",          ,Mechanical Systems Inc,11600,0,11600,2022-04-18 00:00:00 +0000,14, , ,0,          
         ,"",D000036054,Murfin Drilling,11600,0,11600,2022-04-18 00:00:00 +0000,14, , ,0,          
         ,"",          ,Strategic Financial Concepts,11600,0,11600,2022-04-18 00:00:00 +0000,14, , ,0,          
         ,"",          ,Wichita Railway,11600,0,11600,2022-04-18 00:00:00 +0000,14, , ,0,          
         ,"",          ,Winter Livestock,11600,0,11600,2022-04-18 00:00:00 +0000,14, , ,0,          
C00303339,"",D000000606,National Assn of Real Estate Investment Trusts,10500,10500,0,2022-04-18 00:00:00 +0000,21, , ,0,          
C00343137,"",          ,American Assn of Orthopaedic Surgeons,10000,10000,0,2022-04-18 00:00:00 +0000,22, , ,0,          
C00255752,"",D000000199,American Society of Anesthesiologists,10000,10000,0,2022-04-18 00:00:00 +0000,22, , ,0,          
C00428052,"",D000027353,Majority Cmte PAC,10000,10000,0,2022-04-18 00:00:00 +0000,22, , ,0,          
C00005249,"",D000000096,National Assn of Insurance & Financial Advisors,10000,10000,0,2022-04-18 00:00:00 +0000,22, , ,0,          
         ,"",D000058226,Vess Oil Corp,10000,0,10000,2022-04-18 00:00:00 +0000,22, , ,0,          
C00123612,"",D000000201,Textron Inc,8750,6500,2250,2022-04-18 00:00:00 +0000,27, , ,0,          
         ,"",          ,Conco Construction,8700,0,8700,2022-04-18 00:00:00 +0000,28, , ,0,          
         ,"",          ,Star Lumber,8700,0,8700,2022-04-18 00:00:00 +0000,28, , ,0,          
         ,"",          ,Tanganyika Wildlife Park,8700,0,8700,2022-04-18 00:00:00 +0000,28, , ,0,          
         ,"",D000063769,Triad Assoc,8700,0,8700,2022-04-18 00:00:00 +0000,28, , ,0,          
         ,"",D000058410,Washer Specialties,8700,0,8700,2022-04-18 00:00:00 +0000,28, , ,0,          
C00359539,"",D000021821,American Academy of Dermatology Assn,8000,8000,0,2022-04-18 00:00:00 +0000,33, , ,0,          
C00007880,"",D000000136,Credit Union National Assn,7500,7500,0,2022-04-18 00:00:00 +0000,34, , ,0,          
         ,"",D000033182,Direct Meds Inc,7500,0,7500,2022-04-18 00:00:00 +0000,34, , ,0,          
C00188177,"",D000022016,H&R Block,7500,7500,0,2022-04-18 00:00:00 +0000,34, , ,0,          
C00028787,"",D000000252,National Cattlemen's Beef Assn,7500,7500,0,2022-04-18 00:00:00 +0000,34, , ,0,          
C00142711,"",D000000100,Boeing Co,6500,6500,0,2022-04-18 00:00:00 +0000,38, , ,0,          
         ,"",          ,Peachey Insurance,6154,0,6154,2022-04-18 00:00:00 +0000,39, , ,0,          
C00024968,"",D000000194,American Optometric Assn,6100,6000,100,2022-04-18 00:00:00 +0000,40, , ,0,          
C00421230,"",D000025729,Airbus Group,6000,6000,0,2022-04-18 00:00:00 +0000,41, , ,0,          
C00039578,"",D000000433,Council of Insurance Agents & Brokers,6000,6000,0,2022-04-18 00:00:00 +0000,41, , ,0,          
C00285783,"",D000022452,Kansas Farm Bureau,6000,5000,1000,2022-04-18 00:00:00 +0000,41, , ,0,          
         ,"",D000035530,Macerich Co,6000,0,6000,2022-04-18 00:00:00 +0000,41, , ,0,          
C00089458,"",D000022140,"National Stone, Sand & Gravel Assn",6000,6000,0,2022-04-18 00:00:00 +0000,41, , ,0,          
         ,"",D000031915,Berexco Inc,5800,0,5800,2022-04-18 00:00:00 +0000,46, , ,0,          
         ,"",          ,Channelside,5800,0,5800,2022-04-18 00:00:00 +0000,46, , ,0,          
         ,"",D000060686,Clark Investment Group,5800,0,5800,2022-04-18 00:00:00 +0000,46, , ,0,          
