pacid,affiliateid,orgid,ultorg,total,pacs,indivs,releasedate,rank,client,registrant,numlobbyists,loborgid
C00248716,"",D000000461,Comcast Corp,28400,10000,18400,2022-04-18 00:00:00 +0000,1, , ,0,          
C00039578,"",D000000433,Council of Insurance Agents & Brokers,15000,15000,0,2022-04-18 00:00:00 +0000,2, , ,0,          
C00002766,"",D000000072,United Food & Commercial Workers Union,15000,15000,0,2022-04-18 00:00:00 +0000,2, , ,0,          
C00695254,"",D000031782,Ballard Spahr LLP,14500,10000,4500,2022-04-18 00:00:00 +0000,4, , ,0,          
         ,"",D000000109,Blue Cross/Blue Shield,13015,7000,6015,2022-04-18 00:00:00 +0000,5, , ,0,          
         ,"",D000048045,Brown'S Super Stores,11600,0,11600,2022-04-18 00:00:00 +0000,6, , ,0,          
C00364133,"",D000021963,Duane Morris LLP,11400,6000,5400,2022-04-18 00:00:00 +0000,7, , ,0,          
C00147512,"",D000021932,Congressional Black Caucus PAC,10000,10000,0,2022-04-18 00:00:00 +0000,8, , ,0,          
C00344234,"",D000000520,PAC to the Future,10000,10000,0,2022-04-18 00:00:00 +0000,8, , ,0,          
C00000885,"",D000000250,Painters & Allied Trades Union,10000,10000,0,2022-04-18 00:00:00 +0000,8, , ,0,          
         ,"",D000089913,William Penn Foundation,8900,0,8900,2022-04-18 00:00:00 +0000,11, , ,0,          
         ,"",          ,Lynmar Builders,8700,0,8700,2022-04-18 00:00:00 +0000,12, , ,0,          
C00013961,"",D000000636,Sheet Metal & Air Conditioning Contractors Assn,8500,8500,0,2022-04-18 00:00:00 +0000,13, , ,0,          
C70002563,"",D000000062,National Assn of Realtors,8000,8000,0,2022-04-18 00:00:00 +0000,14, , ,0,          
C00011114,"",D000000061,American Federation of State/Cnty/Munic Employees,7500,7500,0,2022-04-18 00:00:00 +0000,15, , ,0,          
C00312777,"",D000025169,Cozen O'Connor,7500,5000,2500,2022-04-18 00:00:00 +0000,15, , ,0,          
C00029504,"",D000000139,Operating Engineers Union               ,7500,7500,0,2022-04-18 00:00:00 +0000,15, , ,0,          
C00007542,"",D000071033,"Sheet Metal, Air, Rail & Transportation Union",7500,7500,0,2022-04-18 00:00:00 +0000,15, , ,0,          
C00441949,"",          ,JStreetPAC,6250,3000,3250,2022-04-18 00:00:00 +0000,19, , ,0,          
         ,"",D000021928,Commonwealth of Pennsylvania            ,6185,0,6185,2022-04-18 00:00:00 +0000,20, , ,0,          
C00012476,"",D000000120,Plumbers/Pipefitters Union              ,6000,6000,0,2022-04-18 00:00:00 +0000,21, , ,0,          
         ,"",D000070423,Arista Networks,5800,0,5800,2022-04-18 00:00:00 +0000,22, , ,0,          
         ,"",          ,JP Lerman & Co,5800,0,5800,2022-04-18 00:00:00 +0000,22, , ,0,          
C00303339,"",D000000606,National Assn of Real Estate Investment Trusts,5500,5500,0,2022-04-18 00:00:00 +0000,24, , ,0,          
         ,"",          ,Fresh Grocer,5400,0,5400,2022-04-18 00:00:00 +0000,25, , ,0,          
C00284885,"",D000000419,Home Depot,5003,5000,3,2022-04-18 00:00:00 +0000,26, , ,0,          
C00004275,"",D000000087,American Bankers Assn,5000,5000,0,2022-04-18 00:00:00 +0000,27, , ,0,          
C00271338,"",D000000574,AmeriPAC: The Fund for a Greater America,5000,5000,0,2022-04-18 00:00:00 +0000,27, , ,0,          
C00003632,"",D000000302,Bricklayers Union,5000,5000,0,2022-04-18 00:00:00 +0000,27, , ,0,          
C00399196,"",D000021881,BRIDGE PAC,5000,5000,0,2022-04-18 00:00:00 +0000,27, , ,0,          
C00001016,"",D000000073,Carpenters & Joiners Union,5000,5000,0,2022-04-18 00:00:00 +0000,27, , ,0,          
C00109595,"",          ,CWA Local 13000,5000,5000,0,2022-04-18 00:00:00 +0000,27, , ,0,          
C00027342,"",D000000069,International Brotherhood of Electrical Workers,5000,5000,0,2022-04-18 00:00:00 +0000,27, , ,0,          
C00280222,"",D000019986,KPMG LLP,5000,5000,0,2022-04-18 00:00:00 +0000,27, , ,0,          
C00007922,"",D000000074,Laborers Union,5000,5000,0,2022-04-18 00:00:00 +0000,27, , ,0,          
C00486217,"",          ,LPL Financial,5000,5000,0,2022-04-18 00:00:00 +0000,27, , ,0,          
C00002469,"",D000000078,Machinists/Aerospace Workers Union,5000,5000,0,2022-04-18 00:00:00 +0000,27, , ,0,          
         ,"",          ,Maven Inc,5000,0,5000,2022-04-18 00:00:00 +0000,27, , ,0,          
C00004812,"",D000000309,Mortgage Bankers Assn,5000,5000,0,2022-04-18 00:00:00 +0000,27, , ,0,          
C00040998,"",D000000080,National Auto Dealers Assn,5000,5000,0,2022-04-18 00:00:00 +0000,27, , ,0,          
C00144766,"",D000000101,National Beer Wholesalers Assn,5000,5000,0,2022-04-18 00:00:00 +0000,27, , ,0,          
C00113811,"",D000000411,National Electrical Contractors Assn,5000,5000,0,2022-04-18 00:00:00 +0000,27, , ,0,          
