pacid,affiliateid,orgid,ultorg,total,pacs,indivs,releasedate,rank,client,registrant,numlobbyists,loborgid
C00193433,"",D000000113,EMILY's List,108450,10000,98450,2022-04-18 00:00:00 +0000,1, , ,0,          
C00177469,"",D000000290,PG&E Corp,70476,26416,44060,2022-04-18 00:00:00 +0000,2,x, ,1,D000000290
C00078451,"",D000000165,General Dynamics                        ,48520,23000,25520,2022-04-18 00:00:00 +0000,3,x, ,0,D000000165
         ,"",D000036707,Pisces Inc,45900,0,45900,2022-04-18 00:00:00 +0000,4, , ,0,          
C00215285,"",D000000317,General Atomics,43525,16000,27525,2022-04-18 00:00:00 +0000,5,x, ,1,D000000317
C00128512,"",D000000103,JPMorgan Chase & Co,42300,0,42300,2022-04-18 00:00:00 +0000,6, , ,0,          
C00411116,"",D000029147,SpaceX,41600,20000,21600,2022-04-18 00:00:00 +0000,7,x, ,0,D000029147
         ,"",D000000406,University of California                ,41266,0,41266,2022-04-18 00:00:00 +0000,8,x, ,0,D000000406
         ,"",D000000468,Estee Lauder Companies,34400,0,34400,2022-04-18 00:00:00 +0000,9, , ,0,          
C00441949,"",          ,JStreetPAC,32400,0,32400,2022-04-18 00:00:00 +0000,10, , ,0,          
C00171330,"",D000000330,Holland & Knight,30900,12000,18900,2022-04-18 00:00:00 +0000,11, ,x,2,D000000330
C00248716,"",D000000461,Comcast Corp,30405,20000,10405,2022-04-18 00:00:00 +0000,12,x, ,1,D000000461
         ,"",D000090455,MC Strauss Co,30000,0,30000,2022-04-18 00:00:00 +0000,13, , ,0,          
C00109017,"",D000000076,AT&T Inc,29597,29500,97,2022-04-18 00:00:00 +0000,14,x, ,0,D000000076
C00088591,"",D000000170,Northrop Grumman,28848,22000,6848,2022-04-18 00:00:00 +0000,15,x, ,0,D000000170
C00468314,"",D000025328,Democracy Engine,28699,0,28699,2022-04-18 00:00:00 +0000,16, , ,0,          
C00104901,"",D000000162,"Akin, Gump et al",28652,2250,26402,2022-04-18 00:00:00 +0000,17, , ,0,          
         ,"",D000032381,"Casey, Gerry et al",28650,0,28650,2022-04-18 00:00:00 +0000,18, , ,0,          
         ,"",D000032655,Clean Energy Fuels Corp,26000,0,26000,2022-04-18 00:00:00 +0000,19, , ,0,          
C00125641,"",D000000804,Intel Corp,25810,15000,10810,2022-04-18 00:00:00 +0000,20,x, ,0,D000000804
C70002563,"",D000000062,National Assn of Realtors               ,25500,25000,500,2022-04-18 00:00:00 +0000,21,x, ,0,D000000062
C00430256,"",D000027692,Molina Healthcare,25300,4500,20800,2022-04-18 00:00:00 +0000,22, , ,0,          
C00339085,"",D000000794,Qualcomm Inc,25110,3500,21610,2022-04-18 00:00:00 +0000,23, , ,0,          
C00580894,"",D000030766,Vail Resorts,25010,10000,15010,2022-04-18 00:00:00 +0000,24, , ,0,          
C00349746,"",D000021885,California Dairies Inc,25000,25000,0,2022-04-18 00:00:00 +0000,25,x, ,0,D000021885
         ,"",D000037351,San Francisco Unified School District,24490,0,24490,2022-04-18 00:00:00 +0000,26, , ,0,          
C00019653,"",D000000239,Edison International,23912,19400,4512,2022-04-18 00:00:00 +0000,27,x, ,0,D000000239
C00197749,"",D000000128,Walt Disney Co                          ,23575,4750,18825,2022-04-18 00:00:00 +0000,28, , ,0,          
         ,"",D000037205,Wonderful Co,23300,0,23300,2022-04-18 00:00:00 +0000,29,x, ,0,D000037205
C00145342,"",D000000563,"Manatt, Phelps & Phillips",23200,4700,18500,2022-04-18 00:00:00 +0000,30, , ,0,          
         ,"",          ,Aetna Inc,22600,0,22600,2022-04-18 00:00:00 +0000,31, , ,0,          
         ,"",D000090162,Business Matters in the Visual Arts,22350,0,22350,2022-04-18 00:00:00 +0000,32, , ,0,          
C00400929,"",D000021841,AmerisourceBergen Corp,22000,22000,0,2022-04-18 00:00:00 +0000,33,x, ,1,D000021841
         ,"",          ,E&J Gallo Winery,22000,0,22000,2022-04-18 00:00:00 +0000,33, , ,0,          
C00431072,"",D000024233,"Baker, Donelson et al",21800,7500,14300,2022-04-18 00:00:00 +0000,35, , ,0,          
         ,"",D000088554,Langelier Co,21600,0,21600,2022-04-18 00:00:00 +0000,36, , ,0,          
         ,"",D000035410,Lions Gate Entertainment,21600,0,21600,2022-04-18 00:00:00 +0000,36, , ,0,          
         ,"",D000069505,Valor Equity Partners,21600,0,21600,2022-04-18 00:00:00 +0000,36, , ,0,          
         ,"",D000000109,Blue Cross/Blue Shield,21120,20000,1120,2022-04-18 00:00:00 +0000,39, , ,0,          
         ,"",D000032604,"City & County of San Francisco, CA",21008,0,21008,2022-04-18 00:00:00 +0000,40,x, ,2,D000032604
C00096156,"",D000000334,Honeywell International,21000,21000,0,2022-04-18 00:00:00 +0000,41,x, ,0,D000000334
C00103549,"",D000022175,Parsons Corp,21000,21000,0,2022-04-18 00:00:00 +0000,41,x, ,0,D000022175
C00502906,"",D000033563,Meta,20846,10000,10846,2022-04-18 00:00:00 +0000,43, , ,0,          
         ,"",D000023641,Pechanga Band of Luiseno Mission Indians,20600,0,20600,2022-04-18 00:00:00 +0000,44,x, ,0,D000023641
         ,"",D000021899,CBRE Group,20260,0,20260,2022-04-18 00:00:00 +0000,45, , ,0,          
         ,"",D000054906,Oaktree Capital Management,20200,0,20200,2022-04-18 00:00:00 +0000,46, , ,0,          
C00001198,"",D000023971,American Hotel & Lodging Assn,20000,20000,0,2022-04-18 00:00:00 +0000,47,x, ,0,D000023971
         ,"",          ,Driscoll Berry,20000,0,20000,2022-04-18 00:00:00 +0000,47, , ,0,          
C00330647,"",D000000535,DISH Network,19900,1000,18900,2022-04-18 00:00:00 +0000,49, , ,0,          
         ,"",          ,Girardi & Keese,19200,0,19200,2022-04-18 00:00:00 +0000,50, , ,0,          
C00227546,"",D000000115,Microsoft Corp,19116,8000,11116,2022-04-18 00:00:00 +0000,51,x, ,2,D000000115
         ,"",D000000333,"Kleiner, Perkins et al",18900,0,18900,2022-04-18 00:00:00 +0000,52, , ,0,          
         ,"",D000000628,US Dept of Justice                      ,18700,0,18700,2022-04-18 00:00:00 +0000,53, , ,0,          
C00426775,"",D000000672,Charter Communications,17750,17500,250,2022-04-18 00:00:00 +0000,54,x, ,0,D000000672
C00511600,"",D000037335,Salesforce.com,17188,1000,16188,2022-04-18 00:00:00 +0000,55,x, ,0,D000037335
         ,"",D000044095,High Speed Productions,16267,0,16267,2022-04-18 00:00:00 +0000,56, , ,0,          
         ,"",          ,Allied Wallet,16200,0,16200,2022-04-18 00:00:00 +0000,57, , ,0,          
         ,"",          ,Permira Advisers                                  ,16200,0,16200,2022-04-18 00:00:00 +0000,57, , ,0,          
         ,"",D000063162,"Robbins, Geller et al",16200,0,16200,2022-04-18 00:00:00 +0000,57, , ,0,          
         ,"",          ,Zacky Farms,16200,0,16200,2022-04-18 00:00:00 +0000,57, , ,0,          
C00142711,"",D000000100,Boeing Co,16020,15000,1020,2022-04-18 00:00:00 +0000,61,x, ,1,D000000100
C00227744,"",D000000098,Ernst & Young,16000,15000,1000,2022-04-18 00:00:00 +0000,62,x,x,0,D000000098
         ,"",D000035604,Marcus & Millichap,15800,0,15800,2022-04-18 00:00:00 +0000,63, , ,0,          
C00010082,"",D000022131,NCTA The Internet & Television Assn,15500,15500,0,2022-04-18 00:00:00 +0000,64,x, ,0,D000022131
         ,"",D000036063,Museum of Modern Art,15400,0,15400,2022-04-18 00:00:00 +0000,65, , ,0,          
         ,"",D000058783,Yocha Dehe Wintun Nation,15400,0,15400,2022-04-18 00:00:00 +0000,65,x, ,0,D000058783
         ,"",          ,Blum Capital Partners,15360,0,15360,2022-04-18 00:00:00 +0000,67, , ,0,          
C00680504,"",D000060210,Broadcom Inc,15008,3700,11308,2022-04-18 00:00:00 +0000,68,x, ,1,D000060210
         ,"",D000035286,Law Offices of Frederick H Graefe,14650,0,14650,2022-04-18 00:00:00 +0000,69, ,x,1,D000035286
C00009985,"",D000000202,National Assn of Broadcasters,14500,14500,0,2022-04-18 00:00:00 +0000,70,x, ,0,D000000202
         ,"",D000031361,"Aitken, Aitken & Cohn",13500,0,13500,2022-04-18 00:00:00 +0000,71, , ,0,          
         ,"",D000060702,Clinton Reilly Holdings,13500,0,13500,2022-04-18 00:00:00 +0000,71, , ,0,          
C00736041,"",D000023652,San Manuel Band of Mission Indians,13100,0,13100,2022-04-18 00:00:00 +0000,73,x, ,0,D000023652
         ,"",D000000812,State of California,13044,0,13044,2022-04-18 00:00:00 +0000,74,x, ,2,D000000812
         ,"",D000021959,Deutsche Bank AG,12500,3000,9500,2022-04-18 00:00:00 +0000,75,x, ,0,D000021959
C00365122,"",D000029689,Visa Inc,12500,12500,0,2022-04-18 00:00:00 +0000,75,x, ,0,D000029689
         ,"",D000057277,Summit Bank,12400,0,12400,2022-04-18 00:00:00 +0000,77, , ,0,          
         ,"",          ,Performance One Media,12300,0,12300,2022-04-18 00:00:00 +0000,78, , ,0,          
C00097568,"",D000072615,Raytheon Technologies,12010,12000,10,2022-04-18 00:00:00 +0000,79,x, ,2,D000072615
         ,"",D000065461,"Best, Best & Krieger",12000,0,12000,2022-04-18 00:00:00 +0000,80, , ,0,          
C00211318,"",D000000131,Deloitte LLP,12000,10000,2000,2022-04-18 00:00:00 +0000,80,x,x,0,D000000131
C00238725,"",D000000285,National Air Traffic Controllers Assn,12000,12000,0,2022-04-18 00:00:00 +0000,80,x, ,0,D000000285
         ,"",D000046066,Tiber Creek Group,12000,0,12000,2022-04-18 00:00:00 +0000,80, , ,0,          
C00360354,"",D000023883,Amazon.com,11924,6500,5424,2022-04-18 00:00:00 +0000,84, , ,0,          
         ,"",D000032937,Creative Artists Agency,11800,0,11800,2022-04-18 00:00:00 +0000,85, , ,0,          
