pacid,affiliateid,orgid,ultorg,total,pacs,indivs,releasedate,rank,client,registrant,numlobbyists,loborgid
         ,"",          ,NOT EMPLOYED,23670,0,23670,2022-04-18 00:00:00 +0000,1, , ,0,          
C70000492,"",D000000064,National Education Assn,16600,5000,11600,2022-04-18 00:00:00 +0000,2, , ,0,          
         ,"",D000036737,Poarch Band Of Creek Indians,15800,0,15800,2022-04-18 00:00:00 +0000,3, , ,0,          
         ,"",D000058783,Yocha Dehe Wintun Nation,15800,0,15800,2022-04-18 00:00:00 +0000,3, , ,0,          
C00551697,"",D000034501,"Hobbs, Straus et al",15600,4000,11600,2022-04-18 00:00:00 +0000,5, , ,0,          
         ,"",D000000750,Stanford University,12300,0,12300,2022-04-18 00:00:00 +0000,6, , ,0,          
         ,"",D000031369,Akonadi Foundation,11600,0,11600,2022-04-18 00:00:00 +0000,7, , ,0,          
         ,"",D000044028,Thornburg Investment Management,11600,0,11600,2022-04-18 00:00:00 +0000,7, , ,0,          
         ,"",D000031277,Accel Partners,10800,0,10800,2022-04-18 00:00:00 +0000,9, , ,0,          
         ,"",D000060635,Cherokee Nation,10800,0,10800,2022-04-18 00:00:00 +0000,9, , ,0,          
         ,"",          ,Curtis & Lucero,10800,0,10800,2022-04-18 00:00:00 +0000,9, , ,0,          
         ,"",          ,Shell Mercer,10800,0,10800,2022-04-18 00:00:00 +0000,9, , ,0,          
         ,"",D000036885,Puyallup Tribe of Indians,10700,0,10700,2022-04-18 00:00:00 +0000,13, , ,0,          
         ,"",D000030678,University of New Mexico,10682,0,10682,2022-04-18 00:00:00 +0000,14, , ,0,          
C00028860,"",D000000083,American Federation of Teachers,10000,10000,0,2022-04-18 00:00:00 +0000,15, , ,0,          
C00497073,"",          ,Lobo PAC,10000,10000,0,2022-04-18 00:00:00 +0000,15, , ,0,          
         ,"",D000031435,Alsop Louie Partners,8700,0,8700,2022-04-18 00:00:00 +0000,17, , ,0,          
         ,"",D000032550,Choctaw Nation of Oklahoma,7900,0,7900,2022-04-18 00:00:00 +0000,18, , ,0,          
         ,"",          ,Curtis & Co,7900,0,7900,2022-04-18 00:00:00 +0000,18, , ,0,          
         ,"",D000023656,Shakopee Mdewakanton Sioux Community,7900,0,7900,2022-04-18 00:00:00 +0000,18, , ,0,          
C00468314,"",D000025328,Democracy Engine,7800,0,7800,2022-04-18 00:00:00 +0000,21, , ,0,          
C00011114,"",D000000061,American Federation of State/Cnty/Munic Employees,7500,7500,0,2022-04-18 00:00:00 +0000,22, , ,0,          
         ,"",D000023639,Morongo Band Of Mission Indians,7400,0,7400,2022-04-18 00:00:00 +0000,23, , ,0,          
         ,"",D000023649,Chickasaw Nation,7300,0,7300,2022-04-18 00:00:00 +0000,24, , ,0,          
C00685297,"",D000074088,Elect Democratic Women,7000,7000,0,2022-04-18 00:00:00 +0000,25, , ,0,          
         ,"",          ,RT Specialty,6800,0,6800,2022-04-18 00:00:00 +0000,26, , ,0,          
C00104901,"",D000000162,"Akin, Gump et al",6750,750,6000,2022-04-18 00:00:00 +0000,27, , ,0,          
C00227546,"",D000000115,Microsoft Corp,6300,0,6300,2022-04-18 00:00:00 +0000,28, , ,0,          
         ,"",D000033010,D&P Creative Strategies,6000,0,6000,2022-04-18 00:00:00 +0000,29, , ,0,          
         ,"",          ,Ted Lieu for Congress,6000,3000,3000,2022-04-18 00:00:00 +0000,29, , ,0,          
         ,"",          ,Conron & Woods,5800,0,5800,2022-04-18 00:00:00 +0000,31, , ,0,          
         ,"",          ,Equity Community Builders,5800,0,5800,2022-04-18 00:00:00 +0000,31, , ,0,          
         ,"",D000088793,Five & Dime General Stores,5800,0,5800,2022-04-18 00:00:00 +0000,31, , ,0,          
         ,"",          ,Heritage Hotels & Resorts,5800,0,5800,2022-04-18 00:00:00 +0000,31, , ,0,          
         ,"",          ,Ics,5800,0,5800,2022-04-18 00:00:00 +0000,31, , ,0,          
         ,"",D000073978,K Rowe Investments,5800,0,5800,2022-04-18 00:00:00 +0000,31, , ,0,          
         ,"",D000052747,Kieve Law Offices,5800,0,5800,2022-04-18 00:00:00 +0000,31, , ,0,          
         ,"",          ,Lamb Enterprise Group,5800,0,5800,2022-04-18 00:00:00 +0000,31, , ,0,          
         ,"",D000035278,Law Office of Domingo Garcia,5800,0,5800,2022-04-18 00:00:00 +0000,31, , ,0,          
         ,"",D000091651,Law Offices of R Stephen McNally,5800,0,5800,2022-04-18 00:00:00 +0000,31, , ,0,          
         ,"",D000000286,Mashantucket Pequot Tribal Nation,5800,0,5800,2022-04-18 00:00:00 +0000,31, , ,0,          
         ,"",          ,Pettit Enterprises,5800,0,5800,2022-04-18 00:00:00 +0000,31, , ,0,          
         ,"",          ,Phase One Realty,5800,0,5800,2022-04-18 00:00:00 +0000,31, , ,0,          
