pacid,affiliateid,orgid,ultorg,total,pacs,indivs,releasedate,rank,client,registrant,numlobbyists,loborgid
C00010470,"",D000000118,Union Pacific Corp,71526,32000,39526,2022-04-18 00:00:00 +0000,1,x, ,2,D000000118
C00088591,"",D000000170,Northrop Grumman,67630,31000,36630,2022-04-18 00:00:00 +0000,2,x, ,2,D000000170
         ,"",D000021757,Berkshire Hathaway,53910,33500,20410,2022-04-18 00:00:00 +0000,3,x, ,3,D000021757
C00034157,"",D000000126,AFLAC Inc,52550,25000,27550,2022-04-18 00:00:00 +0000,4,x, ,1,D000000126
C00248716,"",D000000461,Comcast Corp,48312,31000,17312,2022-04-18 00:00:00 +0000,5,x, ,7,D000000461
C00477653,"",D000000768,Cox Enterprises,45002,21000,24002,2022-04-18 00:00:00 +0000,6,x, ,0,D000000768
C00010082,"",D000022131,NCTA The Internet & Television Assn,40500,39500,1000,2022-04-18 00:00:00 +0000,7,x, ,5,D000022131
C00284885,"",D000000419,Home Depot,38010,38000,10,2022-04-18 00:00:00 +0000,8,x, ,1,D000000419
C00130773,"",D000000755,National Multifamily Housing Council,37500,37500,0,2022-04-18 00:00:00 +0000,9,x, ,0,D000000755
C00097568,"",D000072615,Raytheon Technologies,37000,37000,0,2022-04-18 00:00:00 +0000,10,x, ,3,D000072615
C00104802,"",D000000350,Delta Air Lines,36495,12500,23995,2022-04-18 00:00:00 +0000,11,x, ,1,D000000350
C00163832,"",D000000148,CSX Corp,35750,30000,5750,2022-04-18 00:00:00 +0000,12,x, ,0,D000000148
C00096156,"",D000000334,Honeywell International,35010,35000,10,2022-04-18 00:00:00 +0000,13,x, ,0,D000000334
C00303024,"",D000000104,Lockheed Martin,34534,33500,1034,2022-04-18 00:00:00 +0000,14,x, ,3,D000000104
C00078451,"",D000000165,General Dynamics,33500,33500,0,2022-04-18 00:00:00 +0000,15,x, ,3,D000000165
C00035451,"",D000000117,Air Line Pilots Assn,31000,31000,0,2022-04-18 00:00:00 +0000,16,x, ,0,D000000117
C00064766,"",D000000081,United Parcel Service,31000,31000,0,2022-04-18 00:00:00 +0000,16,x, ,3,D000000081
         ,"",D000033678,1st Financial Bank USA,30964,0,30964,2022-04-18 00:00:00 +0000,18,x, ,0,D000033678
C00109017,"",D000000076,AT&T Inc,30025,29000,1025,2022-04-18 00:00:00 +0000,19,x, ,2,D000000076
C00366070,"",D000025772,Federal Aviation Admin Managers Assn,28500,28500,0,2022-04-18 00:00:00 +0000,20,x, ,0,D000025772
C00211318,"",D000000131,Deloitte LLP,28025,27500,525,2022-04-18 00:00:00 +0000,21,x,x,0,D000000131
C00361758,"",D000022272,T-Mobile USA,28000,28000,0,2022-04-18 00:00:00 +0000,22,x, ,0,D000022272
C00563924,"",D000063293,Schneider National,27750,22000,5750,2022-04-18 00:00:00 +0000,23,x, ,0,D000063293
C00126763,"",D000000240,National Assn of Convenience Stores,27500,27500,0,2022-04-18 00:00:00 +0000,24,x, ,0,D000000240
C00068692,"",D000000089,FedEx Corp,26008,26000,8,2022-04-18 00:00:00 +0000,25,x, ,2,D000000089
C00024752,"",D000027454,Matson Inc,25950,6000,19950,2022-04-18 00:00:00 +0000,26, , ,0,          
         ,"",D000021972,Elliott Management,25300,0,25300,2022-04-18 00:00:00 +0000,27, , ,0,          
C00370015,"",D000022144,NelNet Inc,25300,25200,100,2022-04-18 00:00:00 +0000,27,x, ,1,D000022144
C00001198,"",D000023971,American Hotel & Lodging Assn,25000,25000,0,2022-04-18 00:00:00 +0000,29,x, ,1,D000023971
C00002881,"",D000000177,American Trucking Assns,25000,25000,0,2022-04-18 00:00:00 +0000,29,x, ,0,D000000177
C00426775,"",D000000672,Charter Communications,25000,25000,0,2022-04-18 00:00:00 +0000,29,x, ,2,D000000672
C00188011,"",D000027893,National Tank Truck Carriers Inc,25000,25000,0,2022-04-18 00:00:00 +0000,29,x, ,0,D000027893
C00009282,"",D000019639,Norfolk Southern,25000,25000,0,2022-04-18 00:00:00 +0000,29,x, ,2,D000019639
C00486779,"",D000047416,Association of Oil Pipe Lines,24000,24000,0,2022-04-18 00:00:00 +0000,34,x, ,0,D000047416
C00039578,"",D000000433,Council of Insurance Agents & Brokers,24000,24000,0,2022-04-18 00:00:00 +0000,34,x, ,0,D000000433
         ,"",D000035089,Kiewit Corp,23800,0,23800,2022-04-18 00:00:00 +0000,36, , ,0,          
C00236034,"",D000029797,Werner Enterprises,23700,20000,3700,2022-04-18 00:00:00 +0000,37,x, ,0,D000029797
         ,"",D000000109,Blue Cross/Blue Shield,23076,19900,3176,2022-04-18 00:00:00 +0000,38,x, ,5,D000000109
C00330647,"",D000000535,DISH Network,22100,11300,10800,2022-04-18 00:00:00 +0000,39, , ,0,          
C00479998,"",          ,Tenaska Inc,22000,6500,15500,2022-04-18 00:00:00 +0000,40, , ,0,          
C00496836,"",D000064974,Old Dominion Freight Line,21500,21500,0,2022-04-18 00:00:00 +0000,41,x, ,0,D000064974
C00004275,"",D000000087,American Bankers Assn,21130,21130,0,2022-04-18 00:00:00 +0000,42,x, ,2,D000000087
C00009985,"",D000000202,National Assn of Broadcasters,21000,21000,0,2022-04-18 00:00:00 +0000,43,x, ,4,D000000202
C00247403,"",D000022158,NorPAC,20650,0,20650,2022-04-18 00:00:00 +0000,44, , ,0,          
C00097485,"",D000000275,Merck & Co,20500,20500,0,2022-04-18 00:00:00 +0000,45,x, ,0,D000000275
C00227546,"",D000000115,Microsoft Corp,20000,20000,0,2022-04-18 00:00:00 +0000,46,x, ,4,D000000115
C00296640,"",D000000407,Republican Majority Fund,20000,20000,0,2022-04-18 00:00:00 +0000,46, , ,0,          
C00327189,"",D000029628,Value in Electing Women PAC,20000,20000,0,2022-04-18 00:00:00 +0000,46, , ,0,          
C00186288,"",D000000079,Verizon Communications,20000,19500,500,2022-04-18 00:00:00 +0000,46,x, ,6,D000000079
C00147173,"",D000000356,Wine & Spirits Wholesalers of America,20000,20000,0,2022-04-18 00:00:00 +0000,46,x, ,2,D000000356
C00359588,"",D000021679,BGR Group,19912,1162,18750,2022-04-18 00:00:00 +0000,51, , ,0,          
C00039461,"",D000024239,Ball Corp,19500,19000,500,2022-04-18 00:00:00 +0000,52,x, ,0,D000024239
         ,"",D000057745,TC Energy,19002,19000,2,2022-04-18 00:00:00 +0000,53, , ,0,          
C00144766,"",D000000101,National Beer Wholesalers Assn,19000,19000,0,2022-04-18 00:00:00 +0000,54,x, ,1,D000000101
         ,"",D000039061,Kiewit Construction,18900,0,18900,2022-04-18 00:00:00 +0000,55, , ,0,          
C00286401,"",D000000145,Seafarers International Union           ,18750,18750,0,2022-04-18 00:00:00 +0000,56, , ,0,          
C00325092,"",D000064813,Huntington Ingalls Industries,18500,18500,0,2022-04-18 00:00:00 +0000,57,x, ,1,D000064813
C00040279,"",D000000383,Abbott Laboratories,18330,0,18330,2022-04-18 00:00:00 +0000,58,x, ,6,D000000383
C70002563,"",D000000062,National Assn of Realtors,18000,18000,0,2022-04-18 00:00:00 +0000,59,x, ,0,D000000062
C00144774,"",D000000168,Southern Co                             ,18000,18000,0,2022-04-18 00:00:00 +0000,59, , ,0,          
         ,"",D000021939,Cornerstone Government Affairs,17873,0,17873,2022-04-18 00:00:00 +0000,61, ,x,1,D000021939
         ,"",D000033180,Dinkel Implement,17600,0,17600,2022-04-18 00:00:00 +0000,62, , ,0,          
C00004473,"",D000022141,NTCA/Rural Broadband Assn,17200,17200,0,2022-04-18 00:00:00 +0000,63,x, ,0,D000022141
         ,"",D000021845,Apollo Global Management,17135,3500,13635,2022-04-18 00:00:00 +0000,64, , ,0,          
C00016683,"",D000000138,Pfizer Inc,17000,17000,0,2022-04-18 00:00:00 +0000,65, , ,0,          
C00336057,"",          ,US Cellular,17000,17000,0,2022-04-18 00:00:00 +0000,65, , ,0,          
C00104901,"",D000000162,"Akin, Gump et al",16500,6625,9875,2022-04-18 00:00:00 +0000,67, , ,0,          
C00475665,"",D000045973,Growth Energy,16500,16500,0,2022-04-18 00:00:00 +0000,67,x, ,0,D000045973
C00089458,"",D000022140,"National Stone, Sand & Gravel Assn",16500,16500,0,2022-04-18 00:00:00 +0000,67,x, ,1,D000022140
         ,"",D000061565,"Hagan, Noll & Boyle",16200,0,16200,2022-04-18 00:00:00 +0000,70, , ,0,          
         ,"",D000061881,Jane Street Capital,16200,0,16200,2022-04-18 00:00:00 +0000,70, , ,0,          
C00419911,"",D000024683,Lumen Technologies,16005,16000,5,2022-04-18 00:00:00 +0000,72,x, ,0,D000024683
C00238725,"",D000000285,National Air Traffic Controllers Assn,16000,16000,0,2022-04-18 00:00:00 +0000,73,x, ,0,D000000285
         ,"",D000057934,United Launch Alliance,16000,0,16000,2022-04-18 00:00:00 +0000,73, , ,0,          
C00076810,"",D000000155,General Motors,15625,15000,625,2022-04-18 00:00:00 +0000,75,x, ,4,D000000155
C00360354,"",D000023883,Amazon.com,15563,15500,63,2022-04-18 00:00:00 +0000,76,x, ,2,D000023883
C00236778,"",D000022172,Owner-Operator Independent Drivers Assn,15500,15500,0,2022-04-18 00:00:00 +0000,77,x, ,0,D000022172
C00103903,"",D000022021,HDR Inc,15400,14500,900,2022-04-18 00:00:00 +0000,78,x, ,0,D000022021
         ,"",D000021816,Alpine Group,15333,0,15333,2022-04-18 00:00:00 +0000,79, ,x,1,D000021816
C00094581,"",D000000316,Mutual of Omaha,15250,13500,1750,2022-04-18 00:00:00 +0000,80,x, ,1,D000000316
C00151340,"",D000021569,DLA Piper,15248,1500,13748,2022-04-18 00:00:00 +0000,81, ,x,1,D000021569
C00250399,"",D000021853,Automotive Free International Trade PAC,15000,15000,0,2022-04-18 00:00:00 +0000,82, , ,0,          
C00032698,"",D000000261,Independent Community Bankers of America,15000,15000,0,2022-04-18 00:00:00 +0000,82,x, ,0,D000000261
C00502906,"",D000033563,Meta,15000,15000,0,2022-04-18 00:00:00 +0000,82, , ,0,          
C00450692,"",D000046017,Poet LLC,15000,10000,5000,2022-04-18 00:00:00 +0000,82,x, ,0,D000046017
C00440032,"",D000065766,Promoting Our Republican Team PAC,15000,15000,0,2022-04-18 00:00:00 +0000,82, , ,0,          
C00562660,"",D000029062,Sinclair Broadcast Group,15000,0,15000,2022-04-18 00:00:00 +0000,82, , ,0,          
         ,"",          ,Mid America Bio Energy,14900,0,14900,2022-04-18 00:00:00 +0000,88, , ,0,          
         ,"",D000034362,Hawkins Construction,14800,0,14800,2022-04-18 00:00:00 +0000,89, , ,0,          
C00046474,"",D000000182,Ford Motor Co,14615,14500,115,2022-04-18 00:00:00 +0000,90,x, ,2,D000000182
C00376582,"",D000024300,"Becton, Dickinson & Co",14500,13500,1000,2022-04-18 00:00:00 +0000,91, , ,0,          
C00146605,"",D000025765,Farmers' Rice Cooperative,14500,14000,500,2022-04-18 00:00:00 +0000,91, , ,0,          
C00390583,"",D000000724,"Brownstein, Hyatt et al                 ",14456,9500,4956,2022-04-18 00:00:00 +0000,93, , ,0,          
C00169821,"",D000000460,Tyson Foods,14340,14340,0,2022-04-18 00:00:00 +0000,94, , ,0,          
C00039206,"",D000000276,Williams & Jensen,14249,1000,13249,2022-04-18 00:00:00 +0000,95, ,x,2,D000000276
C00713669,"",D000061524,Green Plains,14050,0,14050,2022-04-18 00:00:00 +0000,96, , ,0,          
C00428623,"",          ,Google Inc,14000,14000,0,2022-04-18 00:00:00 +0000,97, , ,0,          
C00022343,"",D000000181,Independent Insurance Agents & Brokers of America,14000,14000,0,2022-04-18 00:00:00 +0000,97,x, ,0,D000000181
C00225342,"",D000022103,McGuireWoods LLP,14000,12000,2000,2022-04-18 00:00:00 +0000,97, , ,0,          
C00107235,"",D000000124,PricewaterhouseCoopers,14000,13000,1000,2022-04-18 00:00:00 +0000,97,x,x,1,D000000124
