pacid,affiliateid,orgid,ultorg,total,pacs,indivs,releasedate,rank,client,registrant,numlobbyists,loborgid
         ,"",D000030599,Uline Inc,16600,0,16600,2022-04-18 00:00:00 +0000,1, , ,0,          
C00359588,"",D000021679,BGR Group,14072,572,13500,2022-04-18 00:00:00 +0000,2, , ,0,          
         ,"",D000092631,Delta Defense LLC,11600,0,11600,2022-04-18 00:00:00 +0000,3, , ,0,          
C00428052,"",D000027353,Majority Cmte PAC,10000,10000,0,2022-04-18 00:00:00 +0000,4, , ,0,          
         ,"",D000074197,Couri Insurance,8700,0,8700,2022-04-18 00:00:00 +0000,5, , ,0,          
C00603076,"",D000035853,"Michael, Best & Friedrich",6950,1000,5950,2022-04-18 00:00:00 +0000,6, , ,0,          
         ,"",D000085837,Wipfli Llp,6945,0,6945,2022-04-18 00:00:00 +0000,7, , ,0,          
         ,"",D000000343,Northwestern Mutual,6500,5000,1500,2022-04-18 00:00:00 +0000,8, , ,0,          
         ,"",D000031260,Abc Supply,5860,0,5860,2022-04-18 00:00:00 +0000,9, , ,0,          
         ,"",          ,Bsg,5800,0,5800,2022-04-18 00:00:00 +0000,10, , ,0,          
         ,"",D000033486,Epic Systems,5800,0,5800,2022-04-18 00:00:00 +0000,10, , ,0,          
         ,"",          ,Hsa Inc,5800,0,5800,2022-04-18 00:00:00 +0000,10, , ,0,          
         ,"",          ,Market Street Investments,5800,0,5800,2022-04-18 00:00:00 +0000,10, , ,0,          
C00110338,"",D000000219,American Crystal Sugar,5000,5000,0,2022-04-18 00:00:00 +0000,14, , ,0,          
C00409516,"",D000025515,Direct Supply Inc,5000,5000,0,2022-04-18 00:00:00 +0000,14, , ,0,          
C00467431,"",D000070192,Eye of the Tiger PAC,5000,5000,0,2022-04-18 00:00:00 +0000,14, , ,0,          
C00284885,"",D000000419,Home Depot,5000,5000,0,2022-04-18 00:00:00 +0000,14, , ,0,          
C00570226,"",D000071238,Supporting Electing American Leaders,5000,5000,0,2022-04-18 00:00:00 +0000,14, , ,0,          
         ,"",          ,T Wall Enterprises Mgt LLC,5000,0,5000,2022-04-18 00:00:00 +0000,14, , ,0,          
         ,"",          ,Tribe,5000,0,5000,2022-04-18 00:00:00 +0000,14, , ,0,          
         ,"",          ,Horicon Bank,4150,0,4150,2022-04-18 00:00:00 +0000,21, , ,0,          
         ,"",D000060551,Capitol Navigators,4000,0,4000,2022-04-18 00:00:00 +0000,22, , ,0,          
C00007880,"",D000000136,Credit Union National Assn              ,4000,1500,2500,2022-04-18 00:00:00 +0000,22, , ,0,          
C00324673,"",          ,Milwaukee Police Assn,4000,4000,0,2022-04-18 00:00:00 +0000,22, , ,0,          
         ,"",D000063218,Russ Darrow Group,4000,0,4000,2022-04-18 00:00:00 +0000,22, , ,0,          
         ,"",D000037401,Scalise for Congress,4000,4000,0,2022-04-18 00:00:00 +0000,22, , ,0,          
         ,"",          ,Triangle Assoc,4000,0,4000,2022-04-18 00:00:00 +0000,22, , ,0,          
         ,"",D000051779,Herzing University,3600,0,3600,2022-04-18 00:00:00 +0000,28, , ,0,          
C00064766,"",D000000081,United Parcel Service,3500,3500,0,2022-04-18 00:00:00 +0000,29, , ,0,          
C00099945,"",D000029889,WEC Energy Group,3260,2000,1260,2022-04-18 00:00:00 +0000,30, , ,0,          
         ,"",D000032169,Broydrick & Assoc,3000,0,3000,2022-04-18 00:00:00 +0000,31, , ,0,          
         ,"",D000068962,Farragut Partners,3000,0,3000,2022-04-18 00:00:00 +0000,31, , ,0,          
         ,"",D000034860,Jim Jordan for Congress,3000,3000,0,2022-04-18 00:00:00 +0000,31, , ,0,          
C00718445,"",D000073152,Wisconsin Physicians Service Insurance,3000,3000,0,2022-04-18 00:00:00 +0000,31, , ,0,          
         ,"",          ,Capri Communities,2900,0,2900,2022-04-18 00:00:00 +0000,35, , ,0,          
         ,"",D000032846,Continental Properties,2900,0,2900,2022-04-18 00:00:00 +0000,35, , ,0,          
         ,"",D000043411,Fiduciary Management Inc,2900,0,2900,2022-04-18 00:00:00 +0000,35, , ,0,          
         ,"",          ,Horicon State Bank,2900,0,2900,2022-04-18 00:00:00 +0000,35, , ,0,          
         ,"",          ,Inpro,2900,0,2900,2022-04-18 00:00:00 +0000,35, , ,0,          
         ,"",D000000811,Kirkland & Ellis,2900,0,2900,2022-04-18 00:00:00 +0000,35, , ,0,          
         ,"",          ,Platform Communications,2900,0,2900,2022-04-18 00:00:00 +0000,35, , ,0,          
         ,"",          ,Styza Properties,2900,0,2900,2022-04-18 00:00:00 +0000,35, , ,0,          
C00010868,"",D000000682,American Council of Engineering Cos,2500,2500,0,2022-04-18 00:00:00 +0000,43, , ,0,          
C00010421,"",D000000187,Associated Builders & Contractors,2500,2500,0,2022-04-18 00:00:00 +0000,43, , ,0,          
         ,"",D000070024,Duffy for Wisconsin,2500,2500,0,2022-04-18 00:00:00 +0000,43, , ,0,          
C00540146,"",          ,First In Freedom PAC,2500,2500,0,2022-04-18 00:00:00 +0000,43, , ,0,          
C00657262,"",          ,Go PAC Go,2500,2500,0,2022-04-18 00:00:00 +0000,43, , ,0,          
C00208322,"",D000027364,Management & Training Corp,2500,2500,0,2022-04-18 00:00:00 +0000,43, , ,0,          
C90016437,"",D000000086,National Assn of Home Builders,2500,2500,0,2022-04-18 00:00:00 +0000,43, , ,0,          
C00040998,"",D000000080,National Auto Dealers Assn,2500,2500,0,2022-04-18 00:00:00 +0000,43, , ,0,          
C00144766,"",D000000101,National Beer Wholesalers Assn,2500,2500,0,2022-04-18 00:00:00 +0000,43, , ,0,          
C00002972,"",D000000153,National Rural Electric Cooperative Assn,2500,2500,0,2022-04-18 00:00:00 +0000,43, , ,0,          
C00738260,"",          ,Point Action PAC,2500,2500,0,2022-04-18 00:00:00 +0000,43, , ,0,          
C00525212,"",          ,Victory & Freedom PAC,2500,2500,0,2022-04-18 00:00:00 +0000,43, , ,0,          
         ,"",          ,HWZ & Assoc,2250,0,2250,2022-04-18 00:00:00 +0000,55, , ,0,          
         ,"",          ,5Th Congressional District Rep Party,2000,0,2000,2022-04-18 00:00:00 +0000,56, , ,0,          
C00132092,"",D000023866,Alliant Energy,2000,2000,0,2022-04-18 00:00:00 +0000,56, , ,0,          
C00089136,"",D000000067,Altria Group,2000,0,2000,2022-04-18 00:00:00 +0000,56, , ,0,          
C00038604,"",D000000590,American Financial Services Assn,2000,2000,0,2022-04-18 00:00:00 +0000,56, , ,0,          
C00024968,"",D000000194,American Optometric Assn,2000,2000,0,2022-04-18 00:00:00 +0000,56, , ,0,          
         ,"",          ,Atc,2000,0,2000,2022-04-18 00:00:00 +0000,56, , ,0,          
C00395947,"",D000021864,Barnes & Thornburg,2000,2000,0,2022-04-18 00:00:00 +0000,56, , ,0,          
C00489427,"",          ,Building Leadership & Inspiring New Enterprise,2000,2000,0,2022-04-18 00:00:00 +0000,56, , ,0,          
         ,"",D000044874,Godfrey & Kahn,2000,0,2000,2022-04-18 00:00:00 +0000,56, , ,0,          
C00326439,"",D000022031,House Conservatives Fund,2000,2000,0,2022-04-18 00:00:00 +0000,56, , ,0,          
C00022343,"",D000000181,Independent Insurance Agents & Brokers of America,2000,2000,0,2022-04-18 00:00:00 +0000,56, , ,0,          
         ,"",          ,Jason Smith for Congress,2000,2000,0,2022-04-18 00:00:00 +0000,56, , ,0,          
         ,"",          ,Krause Funeral Home,2000,0,2000,2022-04-18 00:00:00 +0000,56, , ,0,          
C00457697,"",          ,Molson Coors Beverage Co,2000,2000,0,2022-04-18 00:00:00 +0000,56, , ,0,          
C00170258,"",D000027814,National Assn of Mutual Insurance Companies,2000,2000,0,2022-04-18 00:00:00 +0000,56, , ,0,          
C00028787,"",D000000252,National Cattlemen's Beef Assn,2000,2000,0,2022-04-18 00:00:00 +0000,56, , ,0,          
         ,"",          ,Neumann Developments,2000,0,2000,2022-04-18 00:00:00 +0000,56, , ,0,          
C00432252,"",D000022216,Regions Financial,2000,2000,0,2022-04-18 00:00:00 +0000,56, , ,0,          
C00388827,"",D000066716,Rock Holdings,2000,2000,0,2022-04-18 00:00:00 +0000,56, , ,0,          
C00109991,"",D000027911,Small Business Investor Alliance,2000,2000,0,2022-04-18 00:00:00 +0000,56, , ,0,          
C00446674,"",D000029828,Western Sugar Cooperative,2000,2000,0,2022-04-18 00:00:00 +0000,56, , ,0,          
C00100107,"",D000000491,American Beverage Assn,1750,0,1750,2022-04-18 00:00:00 +0000,77, , ,0,          
         ,"",          ,Allen Management Inc,1500,0,1500,2022-04-18 00:00:00 +0000,78, , ,0,          
