pacid,affiliateid,orgid,ultorg,total,pacs,indivs,releasedate,rank,client,registrant,numlobbyists,loborgid
C00035451,"",D000000117,Air Line Pilots Assn,25000,25000,0,2022-04-18 00:00:00 +0000,1, , ,0,          
C00007542,"",D000071033,"Sheet Metal, Air, Rail & Transportation Union",21500,21500,0,2022-04-18 00:00:00 +0000,2, , ,0,          
C00629709,"",          ,No Labels Problem Solvers,21250,5000,16250,2022-04-18 00:00:00 +0000,3, , ,0,          
         ,"",          ,Cowhey Family Shoprite,20000,0,20000,2022-04-18 00:00:00 +0000,4, , ,0,          
C00023580,"",D000000084,National Assn of Letter Carriers,20000,20000,0,2022-04-18 00:00:00 +0000,4, , ,0,          
C00008268,"",D000000178,Transport Workers Union,20000,20000,0,2022-04-18 00:00:00 +0000,4, , ,0,          
         ,"",D000000402,"Welsh, Carson et al                     ",18700,0,18700,2022-04-18 00:00:00 +0000,7, , ,0,          
C00228106,"",D000022195,PPL Corp,17500,17500,0,2022-04-18 00:00:00 +0000,8, , ,0,          
         ,"",D000033678,1st Financial Bank USA,15800,0,15800,2022-04-18 00:00:00 +0000,9, , ,0,          
C00109017,"",D000000076,AT&T Inc,15400,12500,2900,2022-04-18 00:00:00 +0000,10, , ,0,          
C00360354,"",D000023883,Amazon.com,15002,15000,2,2022-04-18 00:00:00 +0000,11, , ,0,          
C00001016,"",D000000073,Carpenters & Joiners Union,15000,15000,0,2022-04-18 00:00:00 +0000,12, , ,0,          
C00039578,"",D000000433,Council of Insurance Agents & Brokers,15000,15000,0,2022-04-18 00:00:00 +0000,12, , ,0,          
C00007880,"",D000000136,Credit Union National Assn,15000,15000,0,2022-04-18 00:00:00 +0000,12, , ,0,          
C00096156,"",D000000334,Honeywell International,15000,15000,0,2022-04-18 00:00:00 +0000,12, , ,0,          
C00029447,"",D000000135,International Assn of Fire Fighters,15000,15000,0,2022-04-18 00:00:00 +0000,12, , ,0,          
C00238725,"",D000000285,National Air Traffic Controllers Assn,15000,15000,0,2022-04-18 00:00:00 +0000,12, , ,0,          
C00144766,"",D000000101,National Beer Wholesalers Assn,15000,15000,0,2022-04-18 00:00:00 +0000,12, , ,0,          
C00113811,"",D000000411,National Electrical Contractors Assn,15000,15000,0,2022-04-18 00:00:00 +0000,12, , ,0,          
C00029504,"",D000000139,Operating Engineers Union,15000,15000,0,2022-04-18 00:00:00 +0000,12, , ,0,          
C00000885,"",D000000250,Painters & Allied Trades Union,15000,15000,0,2022-04-18 00:00:00 +0000,12, , ,0,          
         ,"",D000022636,Royal Bank of Canada,15000,5000,10000,2022-04-18 00:00:00 +0000,12, , ,0,          
         ,"",          ,Team Toyota,15000,0,15000,2022-04-18 00:00:00 +0000,12, , ,0,          
C00013342,"",D000029577,United Mine Workers of America,15000,15000,0,2022-04-18 00:00:00 +0000,12, , ,0,          
C00248716,"",D000000461,Comcast Corp,14000,10000,4000,2022-04-18 00:00:00 +0000,25, , ,0,          
C00077321,"",D000000095,American Institute of CPAs,13000,13000,0,2022-04-18 00:00:00 +0000,26, , ,0,          
C00693127,"",D000084281,Building Bridges PAC,13000,13000,0,2022-04-18 00:00:00 +0000,26, , ,0,          
