pacid,affiliateid,orgid,ultorg,total,pacs,indivs,releasedate,rank,client,registrant,numlobbyists,loborgid
         ,"",D000060964,Deroyal Industries,29000,0,29000,2022-04-18 00:00:00 +0000,1, , ,0,          
         ,"",D000035735,McKee Foods,20000,0,20000,2022-04-18 00:00:00 +0000,2, , ,0,          
         ,"",D000036327,Oak Ridge National Laboratory,19250,0,19250,2022-04-18 00:00:00 +0000,3, , ,0,          
         ,"",D000034750,Irving Moskowitz Foundation,15800,0,15800,2022-04-18 00:00:00 +0000,4, , ,0,          
C00442913,"",D000024518,Burns & McDonnell,15000,15000,0,2022-04-18 00:00:00 +0000,5, , ,0,          
C00702308,"",D000072032,Advance Financial,11600,0,11600,2022-04-18 00:00:00 +0000,6, , ,0,          
         ,"",          ,Analysis & Measurement Services,11600,0,11600,2022-04-18 00:00:00 +0000,6, , ,0,          
         ,"",D000070519,Hollingsworth Companies,11600,0,11600,2022-04-18 00:00:00 +0000,6, , ,0,          
         ,"",          ,Servpro Inc,11600,0,11600,2022-04-18 00:00:00 +0000,6, , ,0,          
         ,"",D000022043,Ingram Industries,11300,5000,6300,2022-04-18 00:00:00 +0000,10, , ,0,          
C00142299,"",D000000371,Jacobs Engineering Group,11000,11000,0,2022-04-18 00:00:00 +0000,11, , ,0,          
C00608943,"",          ,ClearPath Action,10800,0,10800,2022-04-18 00:00:00 +0000,12, , ,0,          
         ,"",D000058735,Wright Brothers Construction,10800,0,10800,2022-04-18 00:00:00 +0000,12, , ,0,          
C00355719,"",D000029618,Centrus Energy,10000,3000,7000,2022-04-18 00:00:00 +0000,14, , ,0,          
C00382150,"",D000022003,GEO Group,10000,10000,0,2022-04-18 00:00:00 +0000,14, , ,0,          
         ,"",D000036669,Phillips & Jordan,10000,0,10000,2022-04-18 00:00:00 +0000,14, , ,0,          
         ,"",          ,Spectra Tech,9500,0,9500,2022-04-18 00:00:00 +0000,17, , ,0,          
         ,"",          ,Ucor,8500,0,8500,2022-04-18 00:00:00 +0000,18, , ,0,          
C00763623,"",D000073362,Anduril Industries,8300,2500,5800,2022-04-18 00:00:00 +0000,19, , ,0,          
C70002563,"",D000000062,National Assn of Realtors,8000,8000,0,2022-04-18 00:00:00 +0000,20, , ,0,          
C00068692,"",D000000089,FedEx Corp,7500,7500,0,2022-04-18 00:00:00 +0000,21, , ,0,          
C00067231,"",D000000445,HCA Inc,7500,7500,0,2022-04-18 00:00:00 +0000,21, , ,0,          
C00365502,"",D000022588,BWX Technologies,6500,6500,0,2022-04-18 00:00:00 +0000,23, , ,0,          
C00002261,"",D000019839,Federation of American Hospitals,6000,6000,0,2022-04-18 00:00:00 +0000,24, , ,0,          
         ,"",          ,Aimsi,5800,0,5800,2022-04-18 00:00:00 +0000,25, , ,0,          
         ,"",          ,Erlanger,5800,0,5800,2022-04-18 00:00:00 +0000,25, , ,0,          
         ,"",          ,Gem Technologies,5800,0,5800,2022-04-18 00:00:00 +0000,25, , ,0,          
         ,"",          ,Independent Healthcare Prop,5800,0,5800,2022-04-18 00:00:00 +0000,25, , ,0,          
         ,"",          ,Independent Healthcare Propert,5800,0,5800,2022-04-18 00:00:00 +0000,25, , ,0,          
         ,"",          ,"Joyce, Meredith, Flitcroth And",5800,0,5800,2022-04-18 00:00:00 +0000,25, , ,0,          
         ,"",          ,Kestrel Capital,5800,0,5800,2022-04-18 00:00:00 +0000,25, , ,0,          
         ,"",D000053100,Lincoln Memorial University,5800,0,5800,2022-04-18 00:00:00 +0000,25, , ,0,          
         ,"",          ,Mountain View Ford,5800,0,5800,2022-04-18 00:00:00 +0000,25, , ,0,          
         ,"",          ,Protection Strategies Inc,5800,0,5800,2022-04-18 00:00:00 +0000,25, , ,0,          
         ,"",          ,Thunder Air,5800,0,5800,2022-04-18 00:00:00 +0000,25, , ,0,          
         ,"",D000090001,Gibco Construction,5600,0,5600,2022-04-18 00:00:00 +0000,36, , ,0,          
C00546234,"",D000000369,Leidos Inc,5500,5500,0,2022-04-18 00:00:00 +0000,37, , ,0,          
         ,"",D000000109,Blue Cross/Blue Shield,5250,5000,250,2022-04-18 00:00:00 +0000,38, , ,0,          
C00731414,"",D000072270,Amentum Services,5000,5000,0,2022-04-18 00:00:00 +0000,39, , ,0,          
C00365965,"",D000021823,American Academy of Pediatric Dentistry,5000,5000,0,2022-04-18 00:00:00 +0000,39, , ,0,          
         ,"",D000060597,Center for Sports Medicine,5000,0,5000,2022-04-18 00:00:00 +0000,39, , ,0,          
         ,"",          ,Ch2m Oak Ridge LLC,5000,0,5000,2022-04-18 00:00:00 +0000,39, , ,0,          
         ,"",          ,Commercial Realty Services,5000,0,5000,2022-04-18 00:00:00 +0000,39, , ,0,          
         ,"",          ,Covenant Transport,5000,0,5000,2022-04-18 00:00:00 +0000,39, , ,0,          
         ,"",          ,Debusk Knitting Mills,5000,0,5000,2022-04-18 00:00:00 +0000,39, , ,0,          
C00213173,"",D000000766,K&L Gates,5000,1000,4000,2022-04-18 00:00:00 +0000,39, , ,0,          
         ,"",          ,Lighthouse Capital,5000,0,5000,2022-04-18 00:00:00 +0000,39, , ,0,          
C00409276,"",D000029789,MARSHA PAC,5000,5000,0,2022-04-18 00:00:00 +0000,39, , ,0,          
         ,"",D000036744,Pointer Management,5000,0,5000,2022-04-18 00:00:00 +0000,39, , ,0,          
         ,"",          ,Production Supervisor,5000,0,5000,2022-04-18 00:00:00 +0000,39, , ,0,          
C00762591,"",          ,Save America,5000,5000,0,2022-04-18 00:00:00 +0000,39, , ,0,          
         ,"",D000030135,Stowers Machinery,5000,0,5000,2022-04-18 00:00:00 +0000,39, , ,0,          
         ,"",          ,Synergos Holdings,5000,0,5000,2022-04-18 00:00:00 +0000,39, , ,0,          
C00177436,"",D000029594,Unum Group,5000,5000,0,2022-04-18 00:00:00 +0000,39, , ,0,          
C00103697,"",D000000237,Bechtel Group,4800,0,4800,2022-04-18 00:00:00 +0000,55, , ,0,          
         ,"",D000087202,R&R Properties (Tennessee),4800,0,4800,2022-04-18 00:00:00 +0000,55, , ,0,          
         ,"",          ,Athens Insurance,4000,0,4000,2022-04-18 00:00:00 +0000,57, , ,0,          
         ,"",          ,Columbia Recycling,4000,0,4000,2022-04-18 00:00:00 +0000,57, , ,0,          
C00350884,"",          ,Resolute FP US,4000,4000,0,2022-04-18 00:00:00 +0000,57, , ,0,          
C00197160,"",D000030345,Texans for Lamar Smith,4000,4000,0,2022-04-18 00:00:00 +0000,57, , ,0,          
         ,"",D000057522,Tetra Tech,3896,0,3896,2022-04-18 00:00:00 +0000,61, , ,0,          
         ,"",          ,Regancy Senior Living,3700,0,3700,2022-04-18 00:00:00 +0000,62, , ,0,          
C00034678,"",D000024032,American Waterways Operators,3500,3500,0,2022-04-18 00:00:00 +0000,63, , ,0,          
         ,"",          ,Expedited Transport,3500,0,3500,2022-04-18 00:00:00 +0000,63, , ,0,          
C00325092,"",D000064813,Huntington Ingalls Industries,3500,3500,0,2022-04-18 00:00:00 +0000,63, , ,0,          
         ,"",          ,Pac,3500,0,3500,2022-04-18 00:00:00 +0000,63, , ,0,          
C00496919,"",D000064266,Acadia Healthcare,3000,3000,0,2022-04-18 00:00:00 +0000,67, , ,0,          
C00418269,"",          ,American Commercial Barge Line,3000,3000,0,2022-04-18 00:00:00 +0000,67, , ,0,          
C00303024,"",D000000104,Lockheed Martin,3000,3000,0,2022-04-18 00:00:00 +0000,67, , ,0,          
C00127811,"",D000025848,US Israel PAC,3000,3000,0,2022-04-18 00:00:00 +0000,67, , ,0,          
         ,"",          ,Athens Distributing,2900,0,2900,2022-04-18 00:00:00 +0000,71, , ,0,          
         ,"",          ,Chattanooga Dental Care,2900,0,2900,2022-04-18 00:00:00 +0000,71, , ,0,          
         ,"",D000041672,Check Into Cash,2900,0,2900,2022-04-18 00:00:00 +0000,71, , ,0,          
         ,"",          ,Contemporary Healthcare,2900,0,2900,2022-04-18 00:00:00 +0000,71, , ,0,          
         ,"",          ,Enercon,2900,0,2900,2022-04-18 00:00:00 +0000,71, , ,0,          
         ,"",D000034269,Hager Pacific Properties,2900,0,2900,2022-04-18 00:00:00 +0000,71, , ,0,          
         ,"",          ,MPI Business Solutions,2900,0,2900,2022-04-18 00:00:00 +0000,71, , ,0,          
         ,"",          ,Adc Chemical,2700,0,2700,2022-04-18 00:00:00 +0000,78, , ,0,          
C00492579,"",D000073364,American Principles,2500,2500,0,2022-04-18 00:00:00 +0000,79, , ,0,          
C00652826,"",          ,APTIM,2500,2500,0,2022-04-18 00:00:00 +0000,79, , ,0,          
C00385989,"",          ,Atkins North America,2500,2500,0,2022-04-18 00:00:00 +0000,79, , ,0,          
C00541110,"",D000048245,Canal Barge Co,2500,2500,0,2022-04-18 00:00:00 +0000,79, , ,0,          
C00485896,"",D000032793,Community Health Systems,2500,2500,0,2022-04-18 00:00:00 +0000,79, , ,0,          
C00366468,"",D000021940,CoreCivic Inc,2500,2500,0,2022-04-18 00:00:00 +0000,79, , ,0,          
C00414649,"",D000000471,Encompass Health,2500,2500,0,2022-04-18 00:00:00 +0000,79, , ,0,          
C00387878,"",          ,EnergySolutions Inc,2500,2500,0,2022-04-18 00:00:00 +0000,79, , ,0,          
         ,"",          ,Faris Properties LLC,2500,0,2500,2022-04-18 00:00:00 +0000,79, , ,0,          
C00034132,"",D000000277,Fluor Corp,2500,2500,0,2022-04-18 00:00:00 +0000,79, , ,0,          
C00250027,"",D000022062,Kirby Corp,2500,2500,0,2022-04-18 00:00:00 +0000,79, , ,0,          
C00272724,"",D000027470,"Maynard, Cooper & Gale",2500,2500,0,2022-04-18 00:00:00 +0000,79, , ,0,          
C00063164,"",D000000373,McDonald's Corp,2500,0,2500,2022-04-18 00:00:00 +0000,79, , ,0,          
C00337626,"",D000000106,Morgan Stanley,2500,0,2500,2022-04-18 00:00:00 +0000,79, , ,0,          
C00238725,"",D000000285,National Air Traffic Controllers Assn,2500,2500,0,2022-04-18 00:00:00 +0000,79, , ,0,          
C00144766,"",D000000101,National Beer Wholesalers Assn,2500,2500,0,2022-04-18 00:00:00 +0000,79, , ,0,          
C00034272,"",D000000568,National Chicken Council,2500,2500,0,2022-04-18 00:00:00 +0000,79, , ,0,          
         ,"",          ,Navarro Research & Engineering,2500,0,2500,2022-04-18 00:00:00 +0000,79, , ,0,          
C00002790,"",D000028131,Olin Corp,2500,2500,0,2022-04-18 00:00:00 +0000,79, , ,0,          
C00144345,"",          ,Sanofi US,2500,2500,0,2022-04-18 00:00:00 +0000,79, , ,0,          
C00250407,"",          ,Southern Nuclear Operating Co,2500,2500,0,2022-04-18 00:00:00 +0000,79, , ,0,          
         ,"",          ,Ten To Nine LLC,2500,0,2500,2022-04-18 00:00:00 +0000,79, , ,0,          
C00064766,"",D000000081,United Parcel Service,2500,2500,0,2022-04-18 00:00:00 +0000,79, , ,0,          
         ,"",D000030763,Ut-Battelle LLC,2500,0,2500,2022-04-18 00:00:00 +0000,79, , ,0,          
