pacid,affiliateid,orgid,ultorg,total,pacs,indivs,releasedate,rank,client,registrant,numlobbyists,loborgid
         ,"",          ,Not Employed,44188,0,44188,2022-04-18 00:00:00 +0000,1, , ,0,          
         ,"",D000030722,US Dept of Energy                       ,28563,0,28563,2022-04-18 00:00:00 +0000,2, , ,0,          
         ,"",D000036528,Mass General Brigham,17300,0,17300,2022-04-18 00:00:00 +0000,3, , ,0,          
         ,"",D000030649,University of Chicago,15254,0,15254,2022-04-18 00:00:00 +0000,4, , ,0,          
C00012245,"",          ,UBS Americas,15000,15000,0,2022-04-18 00:00:00 +0000,5, , ,0,          
         ,"",D000032062,Boston University,12950,0,12950,2022-04-18 00:00:00 +0000,6, , ,0,          
C00039578,"",D000000433,Council of Insurance Agents & Brokers,12500,12500,0,2022-04-18 00:00:00 +0000,7, , ,0,          
         ,"",D000000544,Harvard University                      ,11838,0,11838,2022-04-18 00:00:00 +0000,8, , ,0,          
         ,"",D000035437,Lone Pine Capital,11600,0,11600,2022-04-18 00:00:00 +0000,9, , ,0,          
         ,"",D000000406,University of California                ,11205,0,11205,2022-04-18 00:00:00 +0000,10, , ,0,          
         ,"",D000021927,Columbia University,10550,0,10550,2022-04-18 00:00:00 +0000,11, , ,0,          
C00380550,"",          ,FMR Corp,10000,10000,0,2022-04-18 00:00:00 +0000,12, , ,0,          
C00344234,"",D000000520,PAC to the Future,10000,10000,0,2022-04-18 00:00:00 +0000,12, , ,0,          
C00004812,"",D000000309,Mortgage Bankers Assn,9500,9500,0,2022-04-18 00:00:00 +0000,14, , ,0,          
         ,"",D000036829,Princeton University                    ,9495,0,9495,2022-04-18 00:00:00 +0000,15, , ,0,          
C00441949,"",          ,JStreetPAC,8500,5000,3500,2022-04-18 00:00:00 +0000,16, , ,0,          
         ,"",D000030134,Stowell & Friedman,8300,0,8300,2022-04-18 00:00:00 +0000,17, , ,0,          
         ,"",D000036277,Northwestern University,8180,0,8180,2022-04-18 00:00:00 +0000,18, , ,0,          
         ,"",D000000750,Stanford University,8127,0,8127,2022-04-18 00:00:00 +0000,19, , ,0,          
C00038604,"",D000000590,American Financial Services Assn,8000,8000,0,2022-04-18 00:00:00 +0000,20, , ,0,          
         ,"",D000032877,Cornell University                      ,7985,0,7985,2022-04-18 00:00:00 +0000,21, , ,0,          
         ,"",D000030661,University of Illinois                  ,7684,0,7684,2022-04-18 00:00:00 +0000,22, , ,0,          
C00011114,"",D000000061,American Federation of State/Cnty/Munic Employees,7510,7500,10,2022-04-18 00:00:00 +0000,23, , ,0,          
C00039305,"",D000000071,Citigroup Inc,7500,7500,0,2022-04-18 00:00:00 +0000,24, , ,0,          
C00211318,"",D000000131,Deloitte LLP,7500,7500,0,2022-04-18 00:00:00 +0000,24, , ,0,          
C00118943,"",D000000198,Massachusetts Mutual Life Insurance,7500,7500,0,2022-04-18 00:00:00 +0000,24, , ,0,          
C00029504,"",D000000139,Operating Engineers Union               ,7500,7500,0,2022-04-18 00:00:00 +0000,24, , ,0,          
C00432252,"",D000022216,Regions Financial,7500,7500,0,2022-04-18 00:00:00 +0000,24, , ,0,          
C70003124,"",D000000077,Service Employees International Union,7500,5000,2500,2022-04-18 00:00:00 +0000,24, , ,0,          
C00007542,"",D000071033,"Sheet Metal, Air, Rail & Transportation Union",7500,7500,0,2022-04-18 00:00:00 +0000,24, , ,0,          
         ,"",D000088358,Oasis Labs,7250,0,7250,2022-04-18 00:00:00 +0000,31, , ,0,          
         ,"",D000022098,Massachusetts Institute of Technology,7045,0,7045,2022-04-18 00:00:00 +0000,32, , ,0,          
C00400333,"",D000026638,InterDigital Inc,7000,5000,2000,2022-04-18 00:00:00 +0000,33, , ,0,          
C70002563,"",D000000062,National Assn of Realtors,7000,7000,0,2022-04-18 00:00:00 +0000,33, , ,0,          
C00388827,"",D000066716,Rock Holdings,7000,7000,0,2022-04-18 00:00:00 +0000,33, , ,0,          
C00313700,"",D000063760,TransUnion LLC,7000,7000,0,2022-04-18 00:00:00 +0000,33, , ,0,          
         ,"",D000032235,California Institute of Technology,6800,0,6800,2022-04-18 00:00:00 +0000,37, , ,0,          
C00494534,"",D000021765,Bank of New York Mellon,6000,6000,0,2022-04-18 00:00:00 +0000,38, , ,0,          
C00611871,"",          ,BMO Financial Corp,6000,6000,0,2022-04-18 00:00:00 +0000,38, , ,0,          
C00165589,"",D000026556,Huntington Bancshares,6000,6000,0,2022-04-18 00:00:00 +0000,38, , ,0,          
C00032698,"",D000000261,Independent Community Bankers of America,6000,6000,0,2022-04-18 00:00:00 +0000,38, , ,0,          
         ,"",          ,Willis Stein,5900,0,5900,2022-04-18 00:00:00 +0000,42, , ,0,          
         ,"",D000021849,Ariel Investments,5800,0,5800,2022-04-18 00:00:00 +0000,43, , ,0,          
         ,"",D000090637,Ecoamerica,5800,0,5800,2022-04-18 00:00:00 +0000,43, , ,0,          
         ,"",D000035270,Lauder Partners,5800,0,5800,2022-04-18 00:00:00 +0000,43, , ,0,          
         ,"",D000000351,Newsweb Corp,5800,0,5800,2022-04-18 00:00:00 +0000,43, , ,0,          
         ,"",D000071554,Otoe-Missouria Tribe,5800,0,5800,2022-04-18 00:00:00 +0000,43, , ,0,          
         ,"",D000065774,Richmond Global,5800,0,5800,2022-04-18 00:00:00 +0000,43, , ,0,          
         ,"",D000037419,School of Visual Arts,5800,0,5800,2022-04-18 00:00:00 +0000,43, , ,0,          
C00428623,"",          ,Google Inc,5606,0,5606,2022-04-18 00:00:00 +0000,50, , ,0,          
         ,"",          ,Argonne,5500,0,5500,2022-04-18 00:00:00 +0000,51, , ,0,          
C00076299,"",D000023666,CME Group,5500,5500,0,2022-04-18 00:00:00 +0000,51, , ,0,          
C00497917,"",D000050099,Depository Trust & Clearing Corp,5500,5500,0,2022-04-18 00:00:00 +0000,51, , ,0,          
C00105981,"",D000000262,Investment Co Institute,5500,5500,0,2022-04-18 00:00:00 +0000,51, , ,0,          
C00121319,"",D000029442,Thrivent Financial,5500,5500,0,2022-04-18 00:00:00 +0000,51, , ,0,          
