pacid,affiliateid,orgid,ultorg,total,pacs,indivs,releasedate,rank,client,registrant,numlobbyists,loborgid
         ,"",          ,Florida Crystals,11600,0,11600,2022-04-18 00:00:00 +0000,1, , ,0,          
         ,"",D000070522,Prospect Hotel Advisors,11600,0,11600,2022-04-18 00:00:00 +0000,1, , ,0,          
         ,"",          ,Tate Development,11600,0,11600,2022-04-18 00:00:00 +0000,1, , ,0,          
         ,"",D000045324,NIC Holding,11300,0,11300,2022-04-18 00:00:00 +0000,4, , ,0,          
         ,"",          ,Related,10800,0,10800,2022-04-18 00:00:00 +0000,5, , ,0,          
         ,"",D000037750,St George'S University,10800,0,10800,2022-04-18 00:00:00 +0000,5, , ,0,          
C00110338,"",D000000219,American Crystal Sugar,10000,10000,0,2022-04-18 00:00:00 +0000,7, , ,0,          
C70003124,"",D000000077,Service Employees International Union,10000,5000,5000,2022-04-18 00:00:00 +0000,7, , ,0,          
         ,"",          ,NOT EMPLOYED,8679,0,8679,2022-04-18 00:00:00 +0000,9, , ,0,          
         ,"",D000037447,"Searcy, Denney et al                    ",8300,0,8300,2022-04-18 00:00:00 +0000,10, , ,0,          
C00011114,"",D000000061,American Federation of State/Cnty/Munic Employees,7500,7500,0,2022-04-18 00:00:00 +0000,11, , ,0,          
C00039578,"",D000000433,Council of Insurance Agents & Brokers,7500,7500,0,2022-04-18 00:00:00 +0000,11, , ,0,          
C00144766,"",D000000101,National Beer Wholesalers Assn,7500,7500,0,2022-04-18 00:00:00 +0000,11, , ,0,          
C00029504,"",D000000139,Operating Engineers Union,7500,7500,0,2022-04-18 00:00:00 +0000,11, , ,0,          
C00007542,"",D000071033,"Sheet Metal, Air, Rail & Transportation Union",7500,7500,0,2022-04-18 00:00:00 +0000,11, , ,0,          
C00234120,"",D000029610,US Sugar,7500,5000,2500,2022-04-18 00:00:00 +0000,11, , ,0,          
C00797670,"",D000046963,American Israel Public Affairs Cmte,5800,5800,0,2022-04-18 00:00:00 +0000,17, , ,0,          
         ,"",D000033657,Finch Group,5800,0,5800,2022-04-18 00:00:00 +0000,17, , ,0,          
         ,"",D000079864,Joel M Weissman PA,5800,0,5800,2022-04-18 00:00:00 +0000,17, , ,0,          
         ,"",          ,Joseph Kushner Hebrew Academy,5800,0,5800,2022-04-18 00:00:00 +0000,17, , ,0,          
         ,"",D000062252,Mack Management & Construction,5800,0,5800,2022-04-18 00:00:00 +0000,17, , ,0,          
         ,"",D000062286,Manocherian Brothers,5800,0,5800,2022-04-18 00:00:00 +0000,17, , ,0,          
         ,"",D000036440,Overseas Service Corp,5800,0,5800,2022-04-18 00:00:00 +0000,17, , ,0,          
         ,"",D000022217,Related Companies,5800,0,5800,2022-04-18 00:00:00 +0000,17, , ,0,          
         ,"",          ,Rok Acqusitions LLC,5800,0,5800,2022-04-18 00:00:00 +0000,17, , ,0,          
         ,"",          ,Royal Realty,5800,0,5800,2022-04-18 00:00:00 +0000,17, , ,0,          
         ,"",D000037301,Rutgers University,5800,0,5800,2022-04-18 00:00:00 +0000,17, , ,0,          
         ,"",          ,Southern Management & Dev Lp,5800,0,5800,2022-04-18 00:00:00 +0000,17, , ,0,          
         ,"",D000089172,Southocean Capital Partners,5800,0,5800,2022-04-18 00:00:00 +0000,17, , ,0,          
         ,"",D000037775,Stanley Tate Enterprises,5800,0,5800,2022-04-18 00:00:00 +0000,17, , ,0,          
         ,"",D000036270,Northville Industries,5600,0,5600,2022-04-18 00:00:00 +0000,31, , ,0,          
C00000885,"",D000000250,Painters & Allied Trades Union,5500,5500,0,2022-04-18 00:00:00 +0000,32, , ,0,          
C00024521,"",D000000065,American Assn for Justice,5000,5000,0,2022-04-18 00:00:00 +0000,33, , ,0,          
C00028860,"",D000000083,American Federation of Teachers,5000,5000,0,2022-04-18 00:00:00 +0000,33, , ,0,          
         ,"",D000044649,Amscot Financial,5000,0,5000,2022-04-18 00:00:00 +0000,33, , ,0,          
C00102368,"",D000000534,Desert Caucus,5000,5000,0,2022-04-18 00:00:00 +0000,33, , ,0,          
C00271007,"",D000000652,Humana Inc,5000,5000,0,2022-04-18 00:00:00 +0000,33, , ,0,          
C00002469,"",D000000078,Machinists/Aerospace Workers Union,5000,5000,0,2022-04-18 00:00:00 +0000,33, , ,0,          
C00064774,"",D000000321,NextEra Energy,5000,5000,0,2022-04-18 00:00:00 +0000,33, , ,0,          
C00012476,"",D000000120,Plumbers/Pipefitters Union,5000,5000,0,2022-04-18 00:00:00 +0000,33, , ,0,          
C00580068,"",D000069975,Progressive Turnout Project                       ,5000,5000,0,2022-04-18 00:00:00 +0000,33, , ,0,          
C00217877,"",D000022262,Southern Glazer's Wine & Spirits,5000,5000,0,2022-04-18 00:00:00 +0000,33, , ,0,          
C70001979,"",D000000066,Teamsters Union,5000,5000,0,2022-04-18 00:00:00 +0000,33, , ,0,          
C00002840,"",D000000070,United Auto Workers,5000,5000,0,2022-04-18 00:00:00 +0000,33, , ,0,          
C00186288,"",D000000079,Verizon Communications,4500,3000,1500,2022-04-18 00:00:00 +0000,45, , ,0,          
C00109017,"",D000000076,AT&T Inc,4020,4000,20,2022-04-18 00:00:00 +0000,46, , ,0,          
         ,"",D000035994,Morgan & Morgan,4000,0,4000,2022-04-18 00:00:00 +0000,47, , ,0,          
         ,"",          ,Xcast Labs,4000,0,4000,2022-04-18 00:00:00 +0000,47, , ,0,          
C00097568,"",D000072615,Raytheon Technologies,3500,3500,0,2022-04-18 00:00:00 +0000,49, , ,0,          
         ,"",          ,Rio Salado College,3200,0,3200,2022-04-18 00:00:00 +0000,50, , ,0,          
         ,"",D000094130,Hollywood Animal Hospital,3000,0,3000,2022-04-18 00:00:00 +0000,51, , ,0,          
         ,"",D000035513,"Lytal, Reiter et al                     ",3000,0,3000,2022-04-18 00:00:00 +0000,51, , ,0,          
C70002563,"",D000000062,National Assn of Realtors,3000,3000,0,2022-04-18 00:00:00 +0000,51, , ,0,          
C00432252,"",D000022216,Regions Financial,3000,3000,0,2022-04-18 00:00:00 +0000,51, , ,0,          
         ,"",          ,Richard G Lubin PA,3000,0,3000,2022-04-18 00:00:00 +0000,51, , ,0,          
         ,"",          ,Smd Property,3000,0,3000,2022-04-18 00:00:00 +0000,51, , ,0,          
         ,"",          ,Ahp Inc,2900,0,2900,2022-04-18 00:00:00 +0000,57, , ,0,          
         ,"",D000032504,Chase Enterprises,2900,0,2900,2022-04-18 00:00:00 +0000,57, , ,0,          
         ,"",          ,Mack Co,2900,0,2900,2022-04-18 00:00:00 +0000,57, , ,0,          
         ,"",D000000412,US House of Representatives,2900,0,2900,2022-04-18 00:00:00 +0000,57, , ,0,          
         ,"",          ,Big Time Restaurants,2891,0,2891,2022-04-18 00:00:00 +0000,61, , ,0,          
