pacid,affiliateid,orgid,ultorg,total,pacs,indivs,releasedate,rank,client,registrant,numlobbyists,loborgid
C00763623,"",D000073362,Anduril Industries,11600,0,11600,2022-04-18 00:00:00 +0000,1, , ,0,          
         ,"",D000034204,Grimmway Enterprises,11600,0,11600,2022-04-18 00:00:00 +0000,1, , ,0,          
         ,"",D000073743,Marcus Foundation,11600,0,11600,2022-04-18 00:00:00 +0000,1, , ,0,          
         ,"",D000031011,Western National Group,11600,0,11600,2022-04-18 00:00:00 +0000,1, , ,0,          
C00467431,"",D000070192,Eye of the Tiger PAC,10000,10000,0,2022-04-18 00:00:00 +0000,5, , ,0,          
C00428052,"",D000027353,Majority Cmte PAC,10000,10000,0,2022-04-18 00:00:00 +0000,5, , ,0,          
         ,"",D000000772,Station Casinos,8324,0,8324,2022-04-18 00:00:00 +0000,7, , ,0,          
         ,"",          ,Oakley Transport,8300,0,8300,2022-04-18 00:00:00 +0000,8, , ,0,          
C00400705,"",D000028488,Publix Super Markets,7900,5000,2900,2022-04-18 00:00:00 +0000,9, , ,0,          
C00039578,"",D000000433,Council of Insurance Agents & Brokers,7500,7500,0,2022-04-18 00:00:00 +0000,10, , ,0,          
C00022343,"",D000000181,Independent Insurance Agents & Brokers of America,7500,7500,0,2022-04-18 00:00:00 +0000,10, , ,0,          
C00078451,"",D000000165,General Dynamics,7000,7000,0,2022-04-18 00:00:00 +0000,12, , ,0,          
         ,"",          ,Absolute Engineering,5800,0,5800,2022-04-18 00:00:00 +0000,13, , ,0,          
         ,"",D000044649,Amscot Financial,5800,0,5800,2022-04-18 00:00:00 +0000,13, , ,0,          
         ,"",D000032183,Buckley Muething Capital Management,5800,0,5800,2022-04-18 00:00:00 +0000,13, , ,0,          
         ,"",D000021889,Cantor Fitzgerald,5800,0,5800,2022-04-18 00:00:00 +0000,13, , ,0,          
         ,"",          ,Cassidy Holdings,5800,0,5800,2022-04-18 00:00:00 +0000,13, , ,0,          
         ,"",D000021912,Citadel LLC,5800,0,5800,2022-04-18 00:00:00 +0000,13, , ,0,          
