pacid,affiliateid,orgid,ultorg,total,pacs,indivs,releasedate,rank,client,registrant,numlobbyists,loborgid
C00552851,"",D000068902,House Freedom Fund,10800,5000,5800,2022-04-18 00:00:00 +0000,1, , ,0,          
C00467431,"",D000070192,Eye of the Tiger PAC,10000,10000,0,2022-04-18 00:00:00 +0000,2, , ,0,          
C00390674,"",D000021993,Freedom Fund,10000,10000,0,2022-04-18 00:00:00 +0000,2, , ,0,          
C00428052,"",D000027353,Majority Cmte PAC,10000,10000,0,2022-04-18 00:00:00 +0000,2, , ,0,          
         ,"",D000046492,Agri Beef,5800,0,5800,2022-04-18 00:00:00 +0000,5, , ,0,          
C00370114,"",D000000414,Charles Schwab Corp,5800,0,5800,2022-04-18 00:00:00 +0000,5, , ,0,          
         ,"",D000061765,Idaho Forest Group,5800,0,5800,2022-04-18 00:00:00 +0000,5, , ,0,          
         ,"",          ,Treasure Valley Racing,5800,0,5800,2022-04-18 00:00:00 +0000,5, , ,0,          
         ,"",D000083716,Tree Top Ranches,5800,0,5800,2022-04-18 00:00:00 +0000,5, , ,0,          
C00110338,"",D000000219,American Crystal Sugar,5000,5000,0,2022-04-18 00:00:00 +0000,10, , ,0,          
         ,"",          ,Regan Designs,5000,0,5000,2022-04-18 00:00:00 +0000,10, , ,0,          
         ,"",D000034860,Jim Jordan for Congress,4000,4000,0,2022-04-18 00:00:00 +0000,12, , ,0,          
C70002563,"",D000000062,National Assn of Realtors,4000,4000,0,2022-04-18 00:00:00 +0000,12, , ,0,          
C00461996,"",          ,Sawtooth PAC,4000,4000,0,2022-04-18 00:00:00 +0000,12, , ,0,          
         ,"",D000037401,Scalise for Congress,4000,4000,0,2022-04-18 00:00:00 +0000,12, , ,0,          
C00480863,"",D000054336,National Shooting Sports Foundation,3500,3500,0,2022-04-18 00:00:00 +0000,16, , ,0,          
C00686816,"",          ,America Reloaded PAC,3000,3000,0,2022-04-18 00:00:00 +0000,17, , ,0,          
C00363945,"",          ,Syngenta Corp,3000,3000,0,2022-04-18 00:00:00 +0000,17, , ,0,          
         ,"",          ,Employer'S Resource,2500,0,2500,2022-04-18 00:00:00 +0000,19, , ,0,          
C00525238,"",          ,Impact Cmte,2500,2500,0,2022-04-18 00:00:00 +0000,19, , ,0,          
C00120873,"",D000026916,JR Simplot Co,2500,2500,0,2022-04-18 00:00:00 +0000,19, , ,0,          
C00208322,"",D000027364,Management & Training Corp,2500,2500,0,2022-04-18 00:00:00 +0000,19, , ,0,          
C00430256,"",D000027692,Molina Healthcare,2500,2500,0,2022-04-18 00:00:00 +0000,19, , ,0,          
C00469080,"",D000046005,National Alliance of Forest Owners,2500,2500,0,2022-04-18 00:00:00 +0000,19, , ,0,          
C00040998,"",D000000080,National Auto Dealers Assn,2500,2500,0,2022-04-18 00:00:00 +0000,19, , ,0,          
C00002972,"",D000000153,National Rural Electric Cooperative Assn,2500,2500,0,2022-04-18 00:00:00 +0000,19, , ,0,          
         ,"",D000093815,Pacific Companies (Idaho),2500,0,2500,2022-04-18 00:00:00 +0000,19, , ,0,          
C00041608,"",D000070062,PotlatchDeltic Corp,2500,2500,0,2022-04-18 00:00:00 +0000,19, , ,0,          
C00503151,"",D000071026,Upper Hand Fund,2500,2500,0,2022-04-18 00:00:00 +0000,19, , ,0,          
C00525212,"",          ,Victory & Freedom PAC,2500,2500,0,2022-04-18 00:00:00 +0000,19, , ,0,          
C00326868,"",          ,Amalgamated Sugar,2000,2000,0,2022-04-18 00:00:00 +0000,31, , ,0,          
         ,"",          ,Blaine for Congress,2000,2000,0,2022-04-18 00:00:00 +0000,31, , ,0,          
         ,"",          ,Friends of Glenn Thompson,2000,2000,0,2022-04-18 00:00:00 +0000,31, , ,0,          
C00623512,"",          ,In the Arena PAC,2000,2000,0,2022-04-18 00:00:00 +0000,31, , ,0,          
C00445379,"",D000029400,Making America Prosperous,2000,2000,0,2022-04-18 00:00:00 +0000,31, , ,0,          
C00457697,"",          ,Molson Coors Beverage Co,2000,2000,0,2022-04-18 00:00:00 +0000,31, , ,0,          
         ,"",          ,Texans for Jodey Arrington,2000,2000,0,2022-04-18 00:00:00 +0000,31, , ,0,          
         ,"",          ,The Jantz Family Foundation,2000,0,2000,2022-04-18 00:00:00 +0000,31, , ,0,          
C00446674,"",D000029828,Western Sugar Cooperative,2000,2000,0,2022-04-18 00:00:00 +0000,31, , ,0,          
C00017525,"",D000000173,American Nurses Assn,1500,1500,0,2022-04-18 00:00:00 +0000,40, , ,0,          
C00034488,"",          ,Anheuser-Busch,1500,1500,0,2022-04-18 00:00:00 +0000,40, , ,0,          
         ,"",          ,Brandt Agency,1500,0,1500,2022-04-18 00:00:00 +0000,40, , ,0,          
C00001388,"",D000000119,Dairy Farmers of America,1500,1500,0,2022-04-18 00:00:00 +0000,40, , ,0,          
C00742346,"",          ,Get America Right Community in Action,1500,1500,0,2022-04-18 00:00:00 +0000,40, , ,0,          
C00526715,"",          ,Greater Tomorrow PAC,1500,1500,0,2022-04-18 00:00:00 +0000,40, , ,0,          
C00384354,"",          ,Michigan Sugar,1500,1500,0,2022-04-18 00:00:00 +0000,40, , ,0,          
C00703173,"",          ,Upstate South Carolina PAC,1500,1500,0,2022-04-18 00:00:00 +0000,40, , ,0,          
C00631051,"",          ,Abraham Lincoln PAC,1000,1000,0,2022-04-18 00:00:00 +0000,48, , ,0,          
C00035451,"",D000000117,Air Line Pilots Assn,1000,1000,0,2022-04-18 00:00:00 +0000,48, , ,0,          
C00524314,"",          ,America's First PAC,1000,1000,0,2022-04-18 00:00:00 +0000,48, , ,0,          
C00639229,"",          ,American Revival PAC,1000,1000,0,2022-04-18 00:00:00 +0000,48, , ,0,          
C00439521,"",D000024002,American Security PAC,1000,1000,0,2022-04-18 00:00:00 +0000,48, , ,0,          
C00081414,"",D000000366,American Sugar Cane League,1000,1000,0,2022-04-18 00:00:00 +0000,48, , ,0,          
C00167684,"",D000000338,American Sugarbeet Growers Assn,1000,1000,0,2022-04-18 00:00:00 +0000,48, , ,0,          
C00641142,"",          ,Americans for Legislating Excellence PAC,1000,1000,0,2022-04-18 00:00:00 +0000,48, , ,0,          
C00762930,"",          ,Be Victorious Over Democrats PAC,1000,1000,0,2022-04-18 00:00:00 +0000,48, , ,0,          
C00765644,"",          ,Big Ideas Create Excellence PAC,1000,1000,0,2022-04-18 00:00:00 +0000,48, , ,0,          
C00567545,"",          ,Boots PAC,1000,1000,0,2022-04-18 00:00:00 +0000,48, , ,0,          
C00590356,"",          ,Building & Restoring the American Dream,1000,1000,0,2022-04-18 00:00:00 +0000,48, , ,0,          
C00553883,"",          ,Building American Conservatism PAC,1000,1000,0,2022-04-18 00:00:00 +0000,48, , ,0,          
C00365502,"",D000022588,BWX Technologies,1000,1000,0,2022-04-18 00:00:00 +0000,48, , ,0,          
C00469429,"",D000065616,CMR PAC,1000,1000,0,2022-04-18 00:00:00 +0000,48, , ,0,          
C00708172,"",          ,DAN-PAFIRST PAC,1000,1000,0,2022-04-18 00:00:00 +0000,48, , ,0,          
C00681643,"",          ,DEB PAC,1000,1000,0,2022-04-18 00:00:00 +0000,48, , ,0,          
C00571216,"",          ,Defending American Values Everywhere,1000,1000,0,2022-04-18 00:00:00 +0000,48, , ,0,          
C00756825,"",          ,Delivers PAC,1000,1000,0,2022-04-18 00:00:00 +0000,48, , ,0,          
         ,"",          ,Don Gary Attorney At Law,1000,0,1000,2022-04-18 00:00:00 +0000,48, , ,0,          
         ,"",          ,Dr Brian Babin for Congress,1000,1000,0,2022-04-18 00:00:00 +0000,48, , ,0,          
         ,"",          ,Elise for Congress,1000,1000,0,2022-04-18 00:00:00 +0000,48, , ,0,          
C00390161,"",D000025728,Eureka PAC,1000,1000,0,2022-04-18 00:00:00 +0000,48, , ,0,          
C00762328,"",          ,Fight On PAC,1000,1000,0,2022-04-18 00:00:00 +0000,48, , ,0,          
         ,"",          ,First Choice Inc,1000,0,1000,2022-04-18 00:00:00 +0000,48, , ,0,          
C00012328,"",D000000513,Florida Sugar Cane League,1000,1000,0,2022-04-18 00:00:00 +0000,48, , ,0,          
C00709709,"",          ,Freedom Rings Every Day PAC,1000,1000,0,2022-04-18 00:00:00 +0000,48, , ,0,          
         ,"",          ,Friends of Bill Posey,1000,1000,0,2022-04-18 00:00:00 +0000,48, , ,0,          
         ,"",          ,John'S Auto Care Center,1000,0,1000,2022-04-18 00:00:00 +0000,48, , ,0,          
C00213173,"",D000000766,K&L Gates,1000,0,1000,2022-04-18 00:00:00 +0000,48, , ,0,          
C00698092,"",          ,Let's All Keep Electing Republicans PAC           ,1000,1000,0,2022-04-18 00:00:00 +0000,48, , ,0,          
C00164939,"",D000022118,Minn-Dak Farmers Co-Op,1000,1000,0,2022-04-18 00:00:00 +0000,48, , ,0,          
C00144766,"",D000000101,National Beer Wholesalers Assn,1000,1000,0,2022-04-18 00:00:00 +0000,48, , ,0,          
C00028787,"",D000000252,National Cattlemen's Beef Assn,1000,1000,0,2022-04-18 00:00:00 +0000,48, , ,0,          
C00101105,"",D000000160,National Federation of Independent Business,1000,1000,0,2022-04-18 00:00:00 +0000,48, , ,0,          
C00687525,"",          ,Never Surrender PAC,1000,1000,0,2022-04-18 00:00:00 +0000,48, , ,0,          
C00398750,"",D000022152,New PAC,1000,1000,0,2022-04-18 00:00:00 +0000,48, , ,0,          
C00785444,"",          ,Niagara Frontier PAC,1000,1000,0,2022-04-18 00:00:00 +0000,48, , ,0,          
C00761528,"",          ,Oregon Frontier PAC,1000,1000,0,2022-04-18 00:00:00 +0000,48, , ,0,          
         ,"",          ,Pb Cleaners,1000,0,1000,2022-04-18 00:00:00 +0000,48, , ,0,          
C00177469,"",D000000290,PG&E Corp,1000,1000,0,2022-04-18 00:00:00 +0000,48, , ,0,          
C00608463,"",          ,Salt City PAC,1000,1000,0,2022-04-18 00:00:00 +0000,48, , ,0,          
C00760694,"",          ,Sconnie PAC,1000,1000,0,2022-04-18 00:00:00 +0000,48, , ,0,          
C00726729,"",          ,South Jersey United in Trust PAC,1000,1000,0,2022-04-18 00:00:00 +0000,48, , ,0,          
C00166348,"",D000000462,Southern Minn Beet Sugar Co-Op,1000,1000,0,2022-04-18 00:00:00 +0000,48, , ,0,          
C00744532,"",          ,Support Taxfighters & Elect Effective Leaders PAC,1000,1000,0,2022-04-18 00:00:00 +0000,48, , ,0,          
C00753384,"",          ,Texas Red,1000,1000,0,2022-04-18 00:00:00 +0000,48, , ,0,          
C00425439,"",D000029438,Thoroughbred PAC,1000,1000,0,2022-04-18 00:00:00 +0000,48, , ,0,          
C00498360,"",          ,Truth Is Markets Work Fund,1000,1000,0,2022-04-18 00:00:00 +0000,48, , ,0,          
C00692087,"",          ,Victory & Nation PAC,1000,1000,0,2022-04-18 00:00:00 +0000,48, , ,0,          
C00764795,"",          ,We the People Leadership PAC,1000,1000,0,2022-04-18 00:00:00 +0000,48, , ,0,          
C00007948,"",D000000430,Weyerhaeuser Co,1000,1000,0,2022-04-18 00:00:00 +0000,48, , ,0,          
         ,"",D000025535,Domino's Pizza,600,0,600,2022-04-18 00:00:00 +0000,100, , ,0,          
         ,"",          ,Hearthstone Lodge,600,0,600,2022-04-18 00:00:00 +0000,100, , ,0,          
         ,"",          ,Sawtooth Technology,600,0,600,2022-04-18 00:00:00 +0000,100, , ,0,          
