pacid,affiliateid,orgid,ultorg,total,pacs,indivs,releasedate,rank,client,registrant,numlobbyists,loborgid
         ,"",          ,Babylon Bee,11600,0,11600,2022-04-18 00:00:00 +0000,1, , ,0,          
         ,"",          ,Big Picture                                       ,11600,0,11600,2022-04-18 00:00:00 +0000,1, , ,0,          
         ,"",D000080811,R&V Management,7000,0,7000,2022-04-18 00:00:00 +0000,3, , ,0,          
         ,"",          ,Clarke Insurance,5800,0,5800,2022-04-18 00:00:00 +0000,4, , ,0,          
         ,"",          ,Clarke Neurology,5800,0,5800,2022-04-18 00:00:00 +0000,4, , ,0,          
         ,"",          ,Fabick Caterpillar,5800,0,5800,2022-04-18 00:00:00 +0000,4, , ,0,          
         ,"",          ,Mci,5800,0,5800,2022-04-18 00:00:00 +0000,4, , ,0,          
         ,"",D000036995,Red Apple Group,5800,0,5800,2022-04-18 00:00:00 +0000,4, , ,0,          
         ,"",          ,Sequoia Orange Co,5600,0,5600,2022-04-18 00:00:00 +0000,9, , ,0,          
         ,"",D000087394,Vaproshield,4625,0,4625,2022-04-18 00:00:00 +0000,10, , ,0,          
         ,"",D000083823,BurgerBusters Inc,4250,0,4250,2022-04-18 00:00:00 +0000,11, , ,0,          
         ,"",          ,Jellyjam Entertainment,4200,0,4200,2022-04-18 00:00:00 +0000,12, , ,0,          
         ,"",          ,Avon,4000,0,4000,2022-04-18 00:00:00 +0000,13, , ,0,          
         ,"",D000090696,Kaftan Enterprises,4000,0,4000,2022-04-18 00:00:00 +0000,13, , ,0,          
         ,"",D000062590,Natco Products,4000,0,4000,2022-04-18 00:00:00 +0000,13, , ,0,          
         ,"",          ,Prcp,3900,0,3900,2022-04-18 00:00:00 +0000,16, , ,0,          
         ,"",          ,Smg LLC,3750,0,3750,2022-04-18 00:00:00 +0000,17, , ,0,          
         ,"",          ,1st Mtdst Preschool,3600,0,3600,2022-04-18 00:00:00 +0000,18, , ,0,          
         ,"",          ,Emergency Monitoring Systems,3200,0,3200,2022-04-18 00:00:00 +0000,19, , ,0,          
         ,"",          ,Ditch Digger,3000,0,3000,2022-04-18 00:00:00 +0000,20, , ,0,          
         ,"",D000052803,Komar Investments,3000,0,3000,2022-04-18 00:00:00 +0000,20, , ,0,          
         ,"",          ,Republic Refrigeration Inc,3000,0,3000,2022-04-18 00:00:00 +0000,20, , ,0,          
         ,"",          ,Srhs,2935,0,2935,2022-04-18 00:00:00 +0000,23, , ,0,          
C00009985,"",D000000202,National Assn of Broadcasters,2925,0,2925,2022-04-18 00:00:00 +0000,24, , ,0,          
         ,"",          ,All Hearts,2900,0,2900,2022-04-18 00:00:00 +0000,25, , ,0,          
         ,"",D000093969,Cowles Parkway Ford,2900,0,2900,2022-04-18 00:00:00 +0000,25, , ,0,          
         ,"",          ,Mri,2900,0,2900,2022-04-18 00:00:00 +0000,25, , ,0,          
         ,"",          ,National Billing Institute,2900,0,2900,2022-04-18 00:00:00 +0000,25, , ,0,          
         ,"",          ,National Building Institute,2900,0,2900,2022-04-18 00:00:00 +0000,25, , ,0,          
         ,"",          ,Ohio Real Title,2900,0,2900,2022-04-18 00:00:00 +0000,25, , ,0,          
         ,"",          ,Pedego LLC,2900,0,2900,2022-04-18 00:00:00 +0000,25, , ,0,          
         ,"",D000036763,Port Aggregates Inc,2900,0,2900,2022-04-18 00:00:00 +0000,25, , ,0,          
         ,"",          ,Rta Strategy,2900,0,2900,2022-04-18 00:00:00 +0000,25, , ,0,          
         ,"",D000030735,US Marine Corps,2900,0,2900,2022-04-18 00:00:00 +0000,25, , ,0,          
         ,"",          ,Wavelink Inc,2900,0,2900,2022-04-18 00:00:00 +0000,25, , ,0,          
         ,"",D000084333,Cooper Steel,2800,0,2800,2022-04-18 00:00:00 +0000,36, , ,0,          
         ,"",          ,Pmat Companies,2800,0,2800,2022-04-18 00:00:00 +0000,36, , ,0,          
         ,"",D000090035,Diana Davis Spencer Foundation,2500,0,2500,2022-04-18 00:00:00 +0000,38, , ,0,          
         ,"",          ,James Kinsinger Farms,2500,0,2500,2022-04-18 00:00:00 +0000,38, , ,0,          
         ,"",          ,Ml,2500,0,2500,2022-04-18 00:00:00 +0000,38, , ,0,          
         ,"",D000032606,"City of Chicago, IL",2291,0,2291,2022-04-18 00:00:00 +0000,41, , ,0,          
C00063164,"",D000000373,McDonald's Corp,2250,0,2250,2022-04-18 00:00:00 +0000,42, , ,0,          
         ,"",          ,Excellence In Mri,2100,0,2100,2022-04-18 00:00:00 +0000,43, , ,0,          
         ,"",          ,NWF Contractors Inc,2100,0,2100,2022-04-18 00:00:00 +0000,43, , ,0,          
         ,"",D000073426,Pencor Services,2100,0,2100,2022-04-18 00:00:00 +0000,43, , ,0,          
         ,"",          ,Moodsters Children'S Foundation,2050,0,2050,2022-04-18 00:00:00 +0000,46, , ,0,          
         ,"",D000047641,Bavarian Waste,2000,0,2000,2022-04-18 00:00:00 +0000,47, , ,0,          
         ,"",D000033307,Dunlap & Kyle,2000,0,2000,2022-04-18 00:00:00 +0000,47, , ,0,          
         ,"",          ,iCare Management,2000,0,2000,2022-04-18 00:00:00 +0000,47, , ,0,          
         ,"",D000034860,Jim Jordan for Congress,2000,2000,0,2022-04-18 00:00:00 +0000,47, , ,0,          
         ,"",D000070485,Maddog Technology,2000,0,2000,2022-04-18 00:00:00 +0000,47, , ,0,          
         ,"",D000090378,Spark Investment Management,2000,0,2000,2022-04-18 00:00:00 +0000,47, , ,0,          
         ,"",          ,Wilkens LLC,1950,0,1950,2022-04-18 00:00:00 +0000,53, , ,0,          
         ,"",          ,Ralph H Simpson Co,1900,0,1900,2022-04-18 00:00:00 +0000,54, , ,0,          
         ,"",          ,Fairfield Companies,1500,0,1500,2022-04-18 00:00:00 +0000,55, , ,0,          
         ,"",D000022007,Goodman Co,1500,0,1500,2022-04-18 00:00:00 +0000,55, , ,0,          
         ,"",          ,Law Office of Richard Roth,1500,0,1500,2022-04-18 00:00:00 +0000,55, , ,0,          
         ,"",          ,Randazza Legal Group,1500,0,1500,2022-04-18 00:00:00 +0000,55, , ,0,          
         ,"",          ,Techemet,1500,0,1500,2022-04-18 00:00:00 +0000,55, , ,0,          
         ,"",          ,Bracken Interest,1450,0,1450,2022-04-18 00:00:00 +0000,60, , ,0,          
         ,"",          ,Pci Security,1450,0,1450,2022-04-18 00:00:00 +0000,60, , ,0,          
         ,"",          ,Prejean Curtis,1450,0,1450,2022-04-18 00:00:00 +0000,60, , ,0,          
C00303024,"",D000000104,Lockheed Martin,1445,0,1445,2022-04-18 00:00:00 +0000,63, , ,0,          
         ,"",          ,Eterna Inc,1425,0,1425,2022-04-18 00:00:00 +0000,64, , ,0,          
         ,"",D000022300,US Government,1415,0,1415,2022-04-18 00:00:00 +0000,65, , ,0,          
         ,"",          ,Cambridge LLC,1400,0,1400,2022-04-18 00:00:00 +0000,66, , ,0,          
         ,"",          ,Pts Inc,1400,0,1400,2022-04-18 00:00:00 +0000,66, , ,0,          
         ,"",          ,Main Express,1350,0,1350,2022-04-18 00:00:00 +0000,68, , ,0,          
         ,"",          ,All-Span Inc,1300,0,1300,2022-04-18 00:00:00 +0000,69, , ,0,          
         ,"",          ,Sam Inc,1300,0,1300,2022-04-18 00:00:00 +0000,69, , ,0,          
         ,"",          ,Spectrum,1300,0,1300,2022-04-18 00:00:00 +0000,69, , ,0,          
         ,"",          ,Vandyke Corp,1300,0,1300,2022-04-18 00:00:00 +0000,69, , ,0,          
C00128512,"",D000000103,JPMorgan Chase & Co,1297,0,1297,2022-04-18 00:00:00 +0000,73, , ,0,          
         ,"",D000022299,US Dept of Defense,1270,0,1270,2022-04-18 00:00:00 +0000,74, , ,0,          
         ,"",          ,"Isomag, Corp",1250,0,1250,2022-04-18 00:00:00 +0000,75, , ,0,          
         ,"",          ,Kings Roofing,1250,0,1250,2022-04-18 00:00:00 +0000,75, , ,0,          
         ,"",          ,LW Industries LLC,1250,0,1250,2022-04-18 00:00:00 +0000,75, , ,0,          
         ,"",          ,Online Directional,1250,0,1250,2022-04-18 00:00:00 +0000,75, , ,0,          
         ,"",          ,Research Physicist,1250,0,1250,2022-04-18 00:00:00 +0000,75, , ,0,          
         ,"",          ,Strategy,1250,0,1250,2022-04-18 00:00:00 +0000,75, , ,0,          
         ,"",          ,Tmdg,1250,0,1250,2022-04-18 00:00:00 +0000,75, , ,0,          
         ,"",D000031154,World-Wide Holdings,1250,0,1250,2022-04-18 00:00:00 +0000,75, , ,0,          
         ,"",          ,Gyllenberg Construction Inc,1235,0,1235,2022-04-18 00:00:00 +0000,83, , ,0,          
         ,"",D000083958,Archer Auto Group,1200,0,1200,2022-04-18 00:00:00 +0000,84, , ,0,          
         ,"",          ,Cannon Automotive Group,1200,0,1200,2022-04-18 00:00:00 +0000,84, , ,0,          
         ,"",          ,Nundhi,1102,0,1102,2022-04-18 00:00:00 +0000,86, , ,0,          
         ,"",          ,Innovative Tools,1100,0,1100,2022-04-18 00:00:00 +0000,87, , ,0,          
         ,"",          ,Jefferson Science Assoc,1060,0,1060,2022-04-18 00:00:00 +0000,88, , ,0,          
         ,"",          ,Igler/Pearlman PA,1050,0,1050,2022-04-18 00:00:00 +0000,89, , ,0,          
         ,"",          ,Beggs Cattle Co,1000,0,1000,2022-04-18 00:00:00 +0000,90, , ,0,          
         ,"",          ,Byers Products,1000,0,1000,2022-04-18 00:00:00 +0000,90, , ,0,          
         ,"",          ,Central Florida Pathology Assoc,1000,0,1000,2022-04-18 00:00:00 +0000,90, , ,0,          
         ,"",          ,Central Florida Pathology Assocation,1000,0,1000,2022-04-18 00:00:00 +0000,90, , ,0,          
         ,"",          ,Citizens Property,1000,0,1000,2022-04-18 00:00:00 +0000,90, , ,0,          
         ,"",          ,DENTAL EXPRESS LABS INC,1000,0,1000,2022-04-18 00:00:00 +0000,90, , ,0,          
         ,"",D000061303,Flexicon Corp,1000,0,1000,2022-04-18 00:00:00 +0000,90, , ,0,          
C00456939,"",          ,Hawaiian Airlines,1000,0,1000,2022-04-18 00:00:00 +0000,90, , ,0,          
         ,"",D000079385,Hofer Ranch,1000,0,1000,2022-04-18 00:00:00 +0000,90, , ,0,          
         ,"",          ,IT Management Corp,1000,0,1000,2022-04-18 00:00:00 +0000,90, , ,0,          
         ,"",          ,Keller Williams Emerald Coast,1000,0,1000,2022-04-18 00:00:00 +0000,90, , ,0,          
         ,"",          ,Keystone Electronics (Warehouse),1000,0,1000,2022-04-18 00:00:00 +0000,90, , ,0,          
         ,"",          ,Liedership,1000,0,1000,2022-04-18 00:00:00 +0000,90, , ,0,          
         ,"",          ,MANNY DIAZ FOR STATE SENATE,1000,0,1000,2022-04-18 00:00:00 +0000,90, , ,0,          
         ,"",D000090166,Nova Home Loans,1000,0,1000,2022-04-18 00:00:00 +0000,90, , ,0,          
         ,"",          ,Ocean Club,1000,0,1000,2022-04-18 00:00:00 +0000,90, , ,0,          
         ,"",D000054956,"Okaloosa County, FL",1000,0,1000,2022-04-18 00:00:00 +0000,90, , ,0,          
         ,"",          ,Prodigy,1000,0,1000,2022-04-18 00:00:00 +0000,90, , ,0,          
         ,"",          ,Resource Assn Financial Service,1000,0,1000,2022-04-18 00:00:00 +0000,90, , ,0,          
         ,"",          ,Rnd Enterprises,1000,0,1000,2022-04-18 00:00:00 +0000,90, , ,0,          
         ,"",D000037214,Ronald L Book PA,1000,0,1000,2022-04-18 00:00:00 +0000,90, , ,0,          
         ,"",          ,Sps,1000,0,1000,2022-04-18 00:00:00 +0000,90, , ,0,          
         ,"",          ,Techmet,1000,0,1000,2022-04-18 00:00:00 +0000,90, , ,0,          
         ,"",          ,United State Marine Corps,1000,0,1000,2022-04-18 00:00:00 +0000,90, , ,0,          
         ,"",D000073153,US Nuclear Regulatory Commission,1000,0,1000,2022-04-18 00:00:00 +0000,90, , ,0,          
         ,"",D000029727,Waddell & Reed,1000,0,1000,2022-04-18 00:00:00 +0000,90, , ,0,          
         ,"",D000058518,West Chester University,1000,0,1000,2022-04-18 00:00:00 +0000,90, , ,0,          
         ,"",          ,West Coast Cc Mgmt,1000,0,1000,2022-04-18 00:00:00 +0000,90, , ,0,          
