pacid,affiliateid,orgid,ultorg,total,pacs,indivs,releasedate,rank,client,registrant,numlobbyists,loborgid
         ,"",D000085700,Schreiber Foods,23800,0,23800,2022-04-18 00:00:00 +0000,1, , ,0,          
         ,"",D000000811,Kirkland & Ellis,23300,0,23300,2022-04-18 00:00:00 +0000,2, , ,0,          
         ,"",D000067242,Circle Packaging Machinery,23200,0,23200,2022-04-18 00:00:00 +0000,3, , ,0,          
         ,"",          ,D1 Capital Partners,23200,0,23200,2022-04-18 00:00:00 +0000,3, , ,0,          
         ,"",D000072167,Clearlake Capital Group,21600,0,21600,2022-04-18 00:00:00 +0000,5, , ,0,          
         ,"",D000060310,Belmark Inc,17400,0,17400,2022-04-18 00:00:00 +0000,6, , ,0,          
         ,"",          ,Plexus,17400,0,17400,2022-04-18 00:00:00 +0000,6, , ,0,          
         ,"",D000070000,Advocate Aurora Health,16550,0,16550,2022-04-18 00:00:00 +0000,8, , ,0,          
C00629709,"",          ,No Labels Problem Solvers,16200,5000,11200,2022-04-18 00:00:00 +0000,9, , ,0,          
C00274431,"",D000000348,UnitedHealth Group,15002,15000,2,2022-04-18 00:00:00 +0000,10, , ,0,          
C00100321,"",D000071910,L3Harris Technologies,15000,15000,0,2022-04-18 00:00:00 +0000,11, , ,0,          
         ,"",          ,Mpg Operations LLC,13700,0,13700,2022-04-18 00:00:00 +0000,12, , ,0,          
C00186288,"",D000000079,Verizon Communications,12502,12500,2,2022-04-18 00:00:00 +0000,13, , ,0,          
C00360354,"",D000023883,Amazon.com,12500,12500,0,2022-04-18 00:00:00 +0000,14, , ,0,          
C00284885,"",D000000419,Home Depot,12500,12500,0,2022-04-18 00:00:00 +0000,14, , ,0,          
C00563924,"",D000063293,Schneider National,12250,10000,2250,2022-04-18 00:00:00 +0000,16, , ,0,          
C00558411,"",D000075428,US Venture Inc,11800,1000,10800,2022-04-18 00:00:00 +0000,17, , ,0,          
