pacid,affiliateid,orgid,ultorg,total,pacs,indivs,releasedate,rank,client,registrant,numlobbyists,loborgid
C00410068,"",D000021992,Fraternity & Sorority PAC,20000,20000,0,2022-04-18 00:00:00 +0000,1, , ,0,          
         ,"",          ,Liberty Transport,17000,0,17000,2022-04-18 00:00:00 +0000,2, , ,0,          
C00015933,"",D000000658,Pinnacle West Capital,15075,15000,75,2022-04-18 00:00:00 +0000,3, , ,0,          
         ,"",          ,Massachusetts General Hospital,11700,0,11700,2022-04-18 00:00:00 +0000,4, , ,0,          
         ,"",D000087197,Atlas Venture,11600,0,11600,2022-04-18 00:00:00 +0000,5, , ,0,          
         ,"",D000049747,Cordoba Corp,11600,0,11600,2022-04-18 00:00:00 +0000,5, , ,0,          
         ,"",          ,Fay Law Group PA,11600,0,11600,2022-04-18 00:00:00 +0000,5, , ,0,          
         ,"",D000035437,Lone Pine Capital,11600,0,11600,2022-04-18 00:00:00 +0000,5, , ,0,          
         ,"",D000071415,GFP Real Estate,11200,0,11200,2022-04-18 00:00:00 +0000,9, , ,0,          
         ,"",D000031435,Alsop Louie Partners,10800,0,10800,2022-04-18 00:00:00 +0000,10, , ,0,          
         ,"",D000036737,Poarch Band Of Creek Indians,10800,0,10800,2022-04-18 00:00:00 +0000,10, , ,0,          
C00096156,"",D000000334,Honeywell International,10120,10000,120,2022-04-18 00:00:00 +0000,12, , ,0,          
C00078451,"",D000000165,General Dynamics,10025,8000,2025,2022-04-18 00:00:00 +0000,13, , ,0,          
C00035451,"",D000000117,Air Line Pilots Assn,10000,10000,0,2022-04-18 00:00:00 +0000,14, , ,0,          
C00023580,"",D000000084,National Assn of Letter Carriers,10000,10000,0,2022-04-18 00:00:00 +0000,14, , ,0,          
C00000885,"",D000000250,Painters & Allied Trades Union,10000,10000,0,2022-04-18 00:00:00 +0000,14, , ,0,          
C00450692,"",D000046017,Poet LLC,10000,10000,0,2022-04-18 00:00:00 +0000,14, , ,0,          
C00589119,"",D000067988,Synchrony Financial,10000,10000,0,2022-04-18 00:00:00 +0000,14, , ,0,          
C00004861,"",D000022292,UNITE HERE,10000,10000,0,2022-04-18 00:00:00 +0000,14, , ,0,          
C00002766,"",D000000072,United Food & Commercial Workers Union,10000,10000,0,2022-04-18 00:00:00 +0000,14, , ,0,          
C00418897,"",D000029722,VoteVets.org,10000,10000,0,2022-04-18 00:00:00 +0000,14, , ,0,          
C00001636,"",          ,SMART Transportation Division,9000,9000,0,2022-04-18 00:00:00 +0000,22, , ,0,          
         ,"",D000071041,Tremont Strategies Group,8700,0,8700,2022-04-18 00:00:00 +0000,23, , ,0,          
C00401299,"",          ,Fresenius Medical Care North America,8500,8500,0,2022-04-18 00:00:00 +0000,24, , ,0,          
C70002563,"",D000000062,National Assn of Realtors,8500,8000,500,2022-04-18 00:00:00 +0000,24, , ,0,          
         ,"",          ,Ted Lieu for Congress,8000,4000,4000,2022-04-18 00:00:00 +0000,26, , ,0,          
C00097568,"",D000072615,Raytheon Technologies,7720,7500,220,2022-04-18 00:00:00 +0000,27, , ,0,          
C00011114,"",D000000061,American Federation of State/Cnty/Munic Employees,7500,7500,0,2022-04-18 00:00:00 +0000,28, , ,0,          
C00388827,"",D000066716,Rock Holdings,7500,7500,0,2022-04-18 00:00:00 +0000,28, , ,0,          
C00361758,"",D000022272,T-Mobile USA,7000,7000,0,2022-04-18 00:00:00 +0000,30, , ,0,          
         ,"",D000000615,"Wachtell, Lipton et al                  ",6300,0,6300,2022-04-18 00:00:00 +0000,31, , ,0,          
         ,"",          ,Aaa Trucking,6000,0,6000,2022-04-18 00:00:00 +0000,32, , ,0,          
C00100321,"",D000071910,L3Harris Technologies,6000,6000,0,2022-04-18 00:00:00 +0000,32, , ,0,          
C00797670,"",D000046963,American Israel Public Affairs Cmte,5800,5800,0,2022-04-18 00:00:00 +0000,34, , ,0,          
         ,"",D000031533,Analysis Group,5800,0,5800,2022-04-18 00:00:00 +0000,34, , ,0,          
         ,"",          ,Apercen Partners,5800,0,5800,2022-04-18 00:00:00 +0000,34, , ,0,          
         ,"",D000091910,Array Information Technology,5800,0,5800,2022-04-18 00:00:00 +0000,34, , ,0,          
         ,"",D000060186,Atlantic Development,5800,0,5800,2022-04-18 00:00:00 +0000,34, , ,0,          
         ,"",          ,Campanario,5800,0,5800,2022-04-18 00:00:00 +0000,34, , ,0,          
         ,"",D000060635,Cherokee Nation,5800,0,5800,2022-04-18 00:00:00 +0000,34, , ,0,          
         ,"",D000090519,Dragoneer Investment Group,5800,0,5800,2022-04-18 00:00:00 +0000,34, , ,0,          
         ,"",D000082973,Economic Security Project,5800,0,5800,2022-04-18 00:00:00 +0000,34, , ,0,          
         ,"",          ,Francis & Sons-McClintock LLC,5800,0,5800,2022-04-18 00:00:00 +0000,34, , ,0,          
         ,"",D000033992,Generation Investment Management,5800,0,5800,2022-04-18 00:00:00 +0000,34, , ,0,          
         ,"",          ,Investor & Entrepreneur,5800,0,5800,2022-04-18 00:00:00 +0000,34, , ,0,          
         ,"",D000052426,Ischemix,5800,0,5800,2022-04-18 00:00:00 +0000,34, , ,0,          
         ,"",D000062139,Leith Ventures,5800,0,5800,2022-04-18 00:00:00 +0000,34, , ,0,          
         ,"",D000084276,LifeYield,5800,0,5800,2022-04-18 00:00:00 +0000,34, , ,0,          
         ,"",          ,Mh3 Consulting LLC,5800,0,5800,2022-04-18 00:00:00 +0000,34, , ,0,          
         ,"",D000074472,Mirram Group,5800,0,5800,2022-04-18 00:00:00 +0000,34, , ,0,          
         ,"",D000036394,Open Society Foundations,5800,0,5800,2022-04-18 00:00:00 +0000,34, , ,0,          
         ,"",D000036714,Pivotal Group,5800,0,5800,2022-04-18 00:00:00 +0000,34, , ,0,          
         ,"",          ,RIESTER Corp,5800,0,5800,2022-04-18 00:00:00 +0000,34, , ,0,          
         ,"",D000037420,Schooner Capital,5800,0,5800,2022-04-18 00:00:00 +0000,34, , ,0,          
         ,"",D000000306,Soros Fund Management,5800,0,5800,2022-04-18 00:00:00 +0000,34, , ,0,          
         ,"",D000074259,Stand Up America,5800,0,5800,2022-04-18 00:00:00 +0000,34, , ,0,          
         ,"",D000030452,Tohono O'Odham Nation,5800,0,5800,2022-04-18 00:00:00 +0000,34, , ,0,          
         ,"",          ,"Tribe Of Oklahoma, Otoe Missouria",5800,0,5800,2022-04-18 00:00:00 +0000,34, , ,0,          
         ,"",          ,Turtle Mountain Band Chippewa Indians,5800,0,5800,2022-04-18 00:00:00 +0000,34, , ,0,          
         ,"",D000076590,Veterans United Home Loans,5800,0,5800,2022-04-18 00:00:00 +0000,34, , ,0,          
         ,"",D000073962,Zinc Collective,5800,0,5800,2022-04-18 00:00:00 +0000,34, , ,0,          
C00104901,"",D000000162,"Akin, Gump et al",5750,2000,3750,2022-04-18 00:00:00 +0000,62, , ,0,          
         ,"",D000073978,K Rowe Investments,5400,0,5400,2022-04-18 00:00:00 +0000,63, , ,0,          
C00360354,"",D000023883,Amazon.com                              ,5119,5000,119,2022-04-18 00:00:00 +0000,64, , ,0,          
C00027342,"",D000000069,International Brotherhood of Electrical Workers,5060,5000,60,2022-04-18 00:00:00 +0000,65, , ,0,          
C00164145,"",D000029616,USAA,5033,5000,33,2022-04-18 00:00:00 +0000,66, , ,0,          
C00211318,"",D000000131,Deloitte LLP,5005,5000,5,2022-04-18 00:00:00 +0000,67, , ,0,          
C00343137,"",          ,American Assn of Orthopaedic Surgeons,5000,5000,0,2022-04-18 00:00:00 +0000,68, , ,0,          
C00442913,"",D000024518,Burns & McDonnell,5000,5000,0,2022-04-18 00:00:00 +0000,68, , ,0,          
C00001016,"",D000000073,Carpenters & Joiners Union,5000,5000,0,2022-04-18 00:00:00 +0000,68, , ,0,          
         ,"",D000023649,Chickasaw Nation,5000,0,5000,2022-04-18 00:00:00 +0000,68, , ,0,          
C00477653,"",D000000768,Cox Enterprises,5000,5000,0,2022-04-18 00:00:00 +0000,68, , ,0,          
C00215285,"",D000000317,General Atomics,5000,5000,0,2022-04-18 00:00:00 +0000,68, , ,0,          
C00027359,"",D000000140,Ironworkers Union,5000,5000,0,2022-04-18 00:00:00 +0000,68, , ,0,          
         ,"",D000054524,Navigators Global,5000,0,5000,2022-04-18 00:00:00 +0000,68, , ,0,          
C00029504,"",D000000139,Operating Engineers Union,5000,5000,0,2022-04-18 00:00:00 +0000,68, , ,0,          
C00580068,"",D000069975,Progressive Turnout Project                       ,5000,5000,0,2022-04-18 00:00:00 +0000,68, , ,0,          
         ,"",          ,Ritoch-Powekll,5000,0,5000,2022-04-18 00:00:00 +0000,68, , ,0,          
         ,"",          ,Ritoch-Powell & Assoc,5000,0,5000,2022-04-18 00:00:00 +0000,68, , ,0,          
C00012245,"",          ,UBS Americas,5000,5000,0,2022-04-18 00:00:00 +0000,68, , ,0,          
C00692319,"",D000072231,Voter Protection Project                          ,5000,5000,0,2022-04-18 00:00:00 +0000,68, , ,0,          
         ,"",          ,EL Bronco Market,4900,0,4900,2022-04-18 00:00:00 +0000,82, , ,0,          
         ,"",D000028874,Salt River Project,4600,4500,100,2022-04-18 00:00:00 +0000,83, , ,0,          
C00625988,"",D000070692,Future Forum PAC,4500,4500,0,2022-04-18 00:00:00 +0000,84, , ,0,          
C00010470,"",D000000118,Union Pacific Corp,4500,4500,0,2022-04-18 00:00:00 +0000,84, , ,0,          
C00248716,"",D000000461,Comcast Corp,4491,3500,991,2022-04-18 00:00:00 +0000,86, , ,0,          
C00109017,"",D000000076,AT&T Inc,4013,4000,13,2022-04-18 00:00:00 +0000,87, , ,0,          
         ,"",          ,Axon,4000,0,4000,2022-04-18 00:00:00 +0000,88, , ,0,          
         ,"",D000070020,Filemon Vela for Congress,4000,4000,0,2022-04-18 00:00:00 +0000,88, , ,0,          
C00088591,"",D000000170,Northrop Grumman,4000,4000,0,2022-04-18 00:00:00 +0000,88, , ,0,          
C00142711,"",D000000100,Boeing Co                               ,3595,2500,1095,2022-04-18 00:00:00 +0000,91, , ,0,          
C00040279,"",D000000383,Abbott Laboratories,3500,3500,0,2022-04-18 00:00:00 +0000,92, , ,0,          
C00300418,"",D000067120,SAIC,3500,3500,0,2022-04-18 00:00:00 +0000,92, , ,0,          
         ,"",          ,Sherpa Public Affaris,3500,0,3500,2022-04-18 00:00:00 +0000,92, , ,0,          
C00008268,"",D000000178,Transport Workers Union,3500,3500,0,2022-04-18 00:00:00 +0000,92, , ,0,          
         ,"",D000000662,WPP Group,3500,500,3000,2022-04-18 00:00:00 +0000,92, , ,0,          
         ,"",          ,Milmo Group,3400,0,3400,2022-04-18 00:00:00 +0000,97, , ,0,          
         ,"",D000036459,Pacific Biosciences,3250,0,3250,2022-04-18 00:00:00 +0000,98, , ,0,          
C00395947,"",D000021864,Barnes & Thornburg,3000,2000,1000,2022-04-18 00:00:00 +0000,99, , ,0,          
C00003632,"",D000000302,Bricklayers Union,3000,3000,0,2022-04-18 00:00:00 +0000,99, , ,0,          
C00011262,"",D000024486,Brotherhood of Railroad Signalmen,3000,3000,0,2022-04-18 00:00:00 +0000,99, , ,0,          
         ,"",D000000286,Mashantucket Pequot Tribal Nation,3000,0,3000,2022-04-18 00:00:00 +0000,99, , ,0,          
C00238725,"",D000000285,National Air Traffic Controllers Assn,3000,3000,0,2022-04-18 00:00:00 +0000,99, , ,0,          
C00130773,"",D000000755,National Multifamily Housing Council,3000,3000,0,2022-04-18 00:00:00 +0000,99, , ,0,          
C00186288,"",D000000079,Verizon Communications,3000,3000,0,2022-04-18 00:00:00 +0000,99, , ,0,          
         ,"",          ,WKP Farms,3000,0,3000,2022-04-18 00:00:00 +0000,99, , ,0,          
