pacid,affiliateid,orgid,ultorg,total,pacs,indivs,releasedate,rank,client,registrant,numlobbyists,loborgid
C00357608,"",D000024575,California Water Service Group,10000,10000,0,2022-04-18 00:00:00 +0000,1, , ,0,          
C00284885,"",D000000419,Home Depot,10000,10000,0,2022-04-18 00:00:00 +0000,1, , ,0,          
C00000885,"",D000000250,Painters & Allied Trades Union,10000,10000,0,2022-04-18 00:00:00 +0000,1, , ,0,          
C00007542,"",D000071033,"Sheet Metal, Air, Rail & Transportation Union",10000,10000,0,2022-04-18 00:00:00 +0000,1, , ,0,          
C00308478,"",D000029615,USA Rice Federation                     ,10000,10000,0,2022-04-18 00:00:00 +0000,1, , ,0,          
         ,"",D000033379,Edison Chouest Offshore,8700,0,8700,2022-04-18 00:00:00 +0000,6, , ,0,          
C00007880,"",D000000136,Credit Union National Assn,8500,8500,0,2022-04-18 00:00:00 +0000,7, , ,0,          
C00687558,"",D000074393,Rising Phoenix Holdings,8500,5000,3500,2022-04-18 00:00:00 +0000,7, , ,0,          
         ,"",D000058783,Yocha Dehe Wintun Nation,7900,0,7900,2022-04-18 00:00:00 +0000,9, , ,0,          
C00011114,"",D000000061,American Federation of State/Cnty/Munic Employees,7500,7500,0,2022-04-18 00:00:00 +0000,10, , ,0,          
C00005157,"",D000000218,Boilermakers Union,7500,7500,0,2022-04-18 00:00:00 +0000,10, , ,0,          
C00286401,"",D000000145,Seafarers International Union,7000,7000,0,2022-04-18 00:00:00 +0000,12, , ,0,          
         ,"",D000078922,Dutra Group,5800,0,5800,2022-04-18 00:00:00 +0000,13, , ,0,          
         ,"",D000000841,Hall Financial Group,5800,0,5800,2022-04-18 00:00:00 +0000,13, , ,0,          
C00035451,"",D000000117,Air Line Pilots Assn,5000,5000,0,2022-04-18 00:00:00 +0000,15, , ,0,          
C00731414,"",D000072270,Amentum Services,5000,5000,0,2022-04-18 00:00:00 +0000,15, , ,0,          
C00343137,"",          ,American Assn of Orthopaedic Surgeons,5000,5000,0,2022-04-18 00:00:00 +0000,15, , ,0,          
C00340075,"",          ,BASF Corp,5000,5000,0,2022-04-18 00:00:00 +0000,15, , ,0,          
C00080135,"",D000024387,Blue Diamond Growers,5000,5000,0,2022-04-18 00:00:00 +0000,15, , ,0,          
C00007922,"",D000000074,Laborers Union,5000,5000,0,2022-04-18 00:00:00 +0000,15, , ,0,          
C00024422,"",          ,Operating Engineers Local 3,5000,5000,0,2022-04-18 00:00:00 +0000,15, , ,0,          
C00580068,"",D000069975,Progressive Turnout Project                       ,5000,5000,0,2022-04-18 00:00:00 +0000,15, , ,0,          
C00411694,"",          ,Saltchuk Resources,5000,5000,0,2022-04-18 00:00:00 +0000,15, , ,0,          
         ,"",D000086966,Singh Semiconductors,5000,0,5000,2022-04-18 00:00:00 +0000,15, , ,0,          
         ,"",          ,Sullivan Environmental Services,5000,0,5000,2022-04-18 00:00:00 +0000,15, , ,0,          
         ,"",          ,Sullivan Land,5000,0,5000,2022-04-18 00:00:00 +0000,15, , ,0,          
C00008268,"",D000000178,Transport Workers Union,5000,5000,0,2022-04-18 00:00:00 +0000,15, , ,0,          
         ,"",          ,Fast Food Owner,4900,0,4900,2022-04-18 00:00:00 +0000,28, , ,0,          
         ,"",          ,EB Stone & Son,4800,0,4800,2022-04-18 00:00:00 +0000,29, , ,0,          
C00024521,"",D000000065,American Assn for Justice,4000,4000,0,2022-04-18 00:00:00 +0000,30, , ,0,          
C00109017,"",D000000076,AT&T Inc,4000,4000,0,2022-04-18 00:00:00 +0000,30, , ,0,          
C00078451,"",D000000165,General Dynamics,4000,4000,0,2022-04-18 00:00:00 +0000,30, , ,0,          
C00027342,"",D000000069,International Brotherhood of Electrical Workers,4000,4000,0,2022-04-18 00:00:00 +0000,30, , ,0,          
C00303024,"",D000000104,Lockheed Martin,4000,4000,0,2022-04-18 00:00:00 +0000,30, , ,0,          
C00238725,"",D000000285,National Air Traffic Controllers Assn,4000,4000,0,2022-04-18 00:00:00 +0000,30, , ,0,          
C00097568,"",D000072615,Raytheon Technologies,4000,4000,0,2022-04-18 00:00:00 +0000,30, , ,0,          
C00264937,"",D000026295,Great Lakes Dredge & Dock,3900,3900,0,2022-04-18 00:00:00 +0000,37, , ,0,          
C00711747,"",D000034179,Greenbrier Companies,3900,1000,2900,2022-04-18 00:00:00 +0000,37, , ,0,          
         ,"",          ,Greenspan Co,3900,0,3900,2022-04-18 00:00:00 +0000,37, , ,0,          
         ,"",          ,McKinley Partners LLC,3900,0,3900,2022-04-18 00:00:00 +0000,37, , ,0,          
         ,"",D000062827,Pasha Group,3900,0,3900,2022-04-18 00:00:00 +0000,37, , ,0,          
         ,"",D000087755,Fritzi Realty,3600,0,3600,2022-04-18 00:00:00 +0000,42, , ,0,          
C00300376,"",D000025525,Doctors Co,3500,3500,0,2022-04-18 00:00:00 +0000,43, , ,0,          
C00096156,"",D000000334,Honeywell International,3500,3500,0,2022-04-18 00:00:00 +0000,43, , ,0,          
C00144766,"",D000000101,National Beer Wholesalers Assn,3500,3500,0,2022-04-18 00:00:00 +0000,43, , ,0,          
C00360669,"",D000029139,Southwest Airlines Pilots Assn,3500,3500,0,2022-04-18 00:00:00 +0000,43, , ,0,          
         ,"",D000000406,University of California                ,3415,0,3415,2022-04-18 00:00:00 +0000,47, , ,0,          
         ,"",D000030954,Weeks Marine Inc,3150,0,3150,2022-04-18 00:00:00 +0000,48, , ,0,          
C00009936,"",D000000304,American Federation of Government Employees,3000,3000,0,2022-04-18 00:00:00 +0000,49, , ,0,          
C70002563,"",D000000062,National Assn of Realtors,3000,3000,0,2022-04-18 00:00:00 +0000,49, , ,0,          
         ,"",          ,Bay Ship & Yacht Co,2900,0,2900,2022-04-18 00:00:00 +0000,51, , ,0,          
         ,"",D000032041,Bollinger Shipyards,2900,0,2900,2022-04-18 00:00:00 +0000,51, , ,0,          
         ,"",          ,Brusco Tug & Barge,2900,0,2900,2022-04-18 00:00:00 +0000,51, , ,0,          
         ,"",          ,Carpenter Rigging & Supply Co,2900,0,2900,2022-04-18 00:00:00 +0000,51, , ,0,          
         ,"",          ,Executive Affiliates Inc,2900,0,2900,2022-04-18 00:00:00 +0000,51, , ,0,          
         ,"",          ,Frank M Booth Inc,2900,0,2900,2022-04-18 00:00:00 +0000,51, , ,0,          
         ,"",D000039989,Galliano Marine Services,2900,0,2900,2022-04-18 00:00:00 +0000,51, , ,0,          
         ,"",          ,Ghilotti Brothers,2900,0,2900,2022-04-18 00:00:00 +0000,51, , ,0,          
         ,"",D000077680,Ghilotti Construction,2900,0,2900,2022-04-18 00:00:00 +0000,51, , ,0,          
         ,"",D000034222,Grupe Co,2900,0,2900,2022-04-18 00:00:00 +0000,51, , ,0,          
         ,"",D000061745,Hunt Companies,2900,0,2900,2022-04-18 00:00:00 +0000,51, , ,0,          
         ,"",D000034811,Jay Cashman Inc,2900,0,2900,2022-04-18 00:00:00 +0000,51, , ,0,          
         ,"",D000000333,"Kleiner, Perkins et al",2900,0,2900,2022-04-18 00:00:00 +0000,51, , ,0,          
         ,"",          ,Law Offices of Herbert Hafif,2900,0,2900,2022-04-18 00:00:00 +0000,51, , ,0,          
         ,"",          ,Maggiora & Ghilotti,2900,0,2900,2022-04-18 00:00:00 +0000,51, , ,0,          
         ,"",D000035591,Manson Construction,2900,0,2900,2022-04-18 00:00:00 +0000,51, , ,0,          
         ,"",          ,Mare Island Dd,2900,0,2900,2022-04-18 00:00:00 +0000,51, , ,0,          
         ,"",D000035633,Markstein Beverage,2900,0,2900,2022-04-18 00:00:00 +0000,51, , ,0,          
         ,"",          ,Meketa Investment Group,2900,0,2900,2022-04-18 00:00:00 +0000,51, , ,0,          
         ,"",          ,Montezuma Wetlands LLC,2900,0,2900,2022-04-18 00:00:00 +0000,51, , ,0,          
         ,"",D000062524,Montna Farms,2900,0,2900,2022-04-18 00:00:00 +0000,51, , ,0,          
         ,"",          ,Norfolk Dredging Co,2900,0,2900,2022-04-18 00:00:00 +0000,51, , ,0,          
         ,"",          ,Sprig Electric,2900,0,2900,2022-04-18 00:00:00 +0000,51, , ,0,          
         ,"",          ,Square One Management,2900,0,2900,2022-04-18 00:00:00 +0000,51, , ,0,          
         ,"",          ,Vortex Marine Construction,2900,0,2900,2022-04-18 00:00:00 +0000,51, , ,0,          
         ,"",          ,Ground Zero Pharmaceuticals,2750,0,2750,2022-04-18 00:00:00 +0000,76, , ,0,          
C00198606,"",D000025485,Adtalem Global Education,2500,2500,0,2022-04-18 00:00:00 +0000,77, , ,0,          
C00000729,"",D000000105,American Dental Assn,2500,2500,0,2022-04-18 00:00:00 +0000,77, , ,0,          
C00034488,"",          ,Anheuser-Busch,2500,2500,0,2022-04-18 00:00:00 +0000,77, , ,0,          
C00003632,"",D000000302,Bricklayers Union,2500,2500,0,2022-04-18 00:00:00 +0000,77, , ,0,          
C00099234,"",          ,Brotherhood of Locomotive Engineers & Trainmen,2500,2500,0,2022-04-18 00:00:00 +0000,77, , ,0,          
C00147231,"",D000025191,Crowley Maritime,2500,2500,0,2022-04-18 00:00:00 +0000,77, , ,0,          
C00151787,"",          ,Cubic Corp,2500,2500,0,2022-04-18 00:00:00 +0000,77, , ,0,          
         ,"",          ,Energy Regulatory Consultant,2500,0,2500,2022-04-18 00:00:00 +0000,77, , ,0,          
C00146605,"",D000025765,Farmers' Rice Cooperative,2500,2500,0,2022-04-18 00:00:00 +0000,77, , ,0,          
C00459222,"",          ,FBB Federal Relations,2500,1000,1500,2022-04-18 00:00:00 +0000,77, , ,0,          
C00215285,"",D000000317,General Atomics,2500,2500,0,2022-04-18 00:00:00 +0000,77, , ,0,          
C00029447,"",D000000135,International Assn of Fire Fighters,2500,2500,0,2022-04-18 00:00:00 +0000,77, , ,0,          
C00279380,"",          ,Marine Engineers Beneficial Assn/Dist 1,2500,2500,0,2022-04-18 00:00:00 +0000,77, , ,0,          
C00073056,"",D000000506,"Masters, Mates & Pilots Union",2500,2500,0,2022-04-18 00:00:00 +0000,77, , ,0,          
C00379180,"",D000027797,National Assn of Chemical Distributors,2500,2500,0,2022-04-18 00:00:00 +0000,77, , ,0,          
C90016437,"",D000000086,National Assn of Home Builders,2500,2500,0,2022-04-18 00:00:00 +0000,77, , ,0,          
C00461418,"",D000070323,National Union of Healthcare Workers,2500,2500,0,2022-04-18 00:00:00 +0000,77, , ,0,          
C00663609,"",          ,Progressive Majority PAC                          ,2500,2500,0,2022-04-18 00:00:00 +0000,77, , ,0,          
         ,"",          ,RE Staite Engineering,2500,0,2500,2022-04-18 00:00:00 +0000,77, , ,0,          
C00374355,"",D000029034,Shipbuilders Council of America,2500,2500,0,2022-04-18 00:00:00 +0000,77, , ,0,          
C00411116,"",D000029147,SpaceX,2500,2500,0,2022-04-18 00:00:00 +0000,77, , ,0,          
C00550491,"",D000030396,Thompson Coburn LLP,2500,2500,0,2022-04-18 00:00:00 +0000,77, , ,0,          
C00064766,"",D000000081,United Parcel Service,2500,2500,0,2022-04-18 00:00:00 +0000,77, , ,0,          
C00065219,"",D000000711,Wine Institute,2500,2500,0,2022-04-18 00:00:00 +0000,77, , ,0,          
