pacid,affiliateid,orgid,ultorg,total,pacs,indivs,releasedate,rank,client,registrant,numlobbyists,loborgid
C00629709,"",          ,No Labels Problem Solvers,145200,0,145200,2022-04-18 00:00:00 +0000,1, , ,0,          
         ,"",          ,Cwg,27400,0,27400,2022-04-18 00:00:00 +0000,2, , ,0,          
         ,"",D000021873,Blackstone Group,26100,0,26100,2022-04-18 00:00:00 +0000,3, , ,0,          
C00029504,"",D000000139,Operating Engineers Union,21000,21000,0,2022-04-18 00:00:00 +0000,4, , ,0,          
         ,"",          ,St Tome LLC,16600,0,16600,2022-04-18 00:00:00 +0000,5, , ,0,          
C00007922,"",D000000074,Laborers Union,15000,15000,0,2022-04-18 00:00:00 +0000,6, , ,0,          
         ,"",          ,All County Block & Supply,14500,0,14500,2022-04-18 00:00:00 +0000,7, , ,0,          
C00238725,"",D000000285,National Air Traffic Controllers Assn,12500,12500,0,2022-04-18 00:00:00 +0000,8, , ,0,          
         ,"",D000021972,Elliott Management,11600,0,11600,2022-04-18 00:00:00 +0000,9, , ,0,          
         ,"",D000034204,Grimmway Enterprises,11600,0,11600,2022-04-18 00:00:00 +0000,9, , ,0,          
         ,"",          ,Lgl Systems,11600,0,11600,2022-04-18 00:00:00 +0000,9, , ,0,          
         ,"",          ,Mack Co,11600,0,11600,2022-04-18 00:00:00 +0000,9, , ,0,          
         ,"",D000073743,Marcus Foundation,11600,0,11600,2022-04-18 00:00:00 +0000,9, , ,0,          
         ,"",D000083796,National Debt Relief,11600,0,11600,2022-04-18 00:00:00 +0000,9, , ,0,          
         ,"",D000036192,New Mountain Capital,11600,0,11600,2022-04-18 00:00:00 +0000,9, , ,0,          
         ,"",D000036344,Oc Global Partners,11600,0,11600,2022-04-18 00:00:00 +0000,9, , ,0,          
         ,"",D000031011,Western National Group,11600,0,11600,2022-04-18 00:00:00 +0000,9, , ,0,          
C00693127,"",D000084281,Building Bridges PAC,11000,11000,0,2022-04-18 00:00:00 +0000,18, , ,0,          
C00433060,"",D000029531,Republican Governance Group,11000,11000,0,2022-04-18 00:00:00 +0000,18, , ,0,          
         ,"",D000030377,Third Point LLC,10800,0,10800,2022-04-18 00:00:00 +0000,20, , ,0,          
         ,"",          ,Recovery Racing Iii LLC,10100,0,10100,2022-04-18 00:00:00 +0000,21, , ,0,          
C00040253,"",D000000632,Allstate Insurance,10000,10000,0,2022-04-18 00:00:00 +0000,22, , ,0,          
C00001016,"",D000000073,Carpenters & Joiners Union,10000,10000,0,2022-04-18 00:00:00 +0000,22, , ,0,          
C00039578,"",D000000433,Council of Insurance Agents & Brokers,10000,10000,0,2022-04-18 00:00:00 +0000,22, , ,0,          
C00467431,"",D000070192,Eye of the Tiger PAC,10000,10000,0,2022-04-18 00:00:00 +0000,22, , ,0,          
C00428052,"",D000027353,Majority Cmte PAC,10000,10000,0,2022-04-18 00:00:00 +0000,22, , ,0,          
         ,"",          ,Medarmour Corp,10000,0,10000,2022-04-18 00:00:00 +0000,22, , ,0,          
