pacid,affiliateid,orgid,ultorg,total,pacs,indivs,releasedate,rank,client,registrant,numlobbyists,loborgid
C70002563,"",D000000062,National Assn of Realtors,13000,13000,0,2022-04-18 00:00:00 +0000,1, , ,0,          
C90021163,"",D000000203,Amalgamated Transit Union,12500,12500,0,2022-04-18 00:00:00 +0000,2, , ,0,          
         ,"",          ,Hitn,11600,0,11600,2022-04-18 00:00:00 +0000,3, , ,0,          
C00165589,"",D000026556,Huntington Bancshares,11000,11000,0,2022-04-18 00:00:00 +0000,4, , ,0,          
         ,"",          ,REFLECTION WINDOW WALL,10905,0,10905,2022-04-18 00:00:00 +0000,5, , ,0,          
         ,"",          ,Custom Companies,10800,0,10800,2022-04-18 00:00:00 +0000,6, , ,0,          
         ,"",D000000351,Newsweb Corp,10800,0,10800,2022-04-18 00:00:00 +0000,6, , ,0,          
C00027342,"",D000000069,International Brotherhood of Electrical Workers,10000,10000,0,2022-04-18 00:00:00 +0000,8, , ,0,          
C00142851,"",          ,Operating Engineers Local 150,10000,10000,0,2022-04-18 00:00:00 +0000,8, , ,0,          
         ,"",D000021919,Clifford Law Offices,9600,0,9600,2022-04-18 00:00:00 +0000,10, , ,0,          
         ,"",D000021935,Cooney & Conway,9600,0,9600,2022-04-18 00:00:00 +0000,10, , ,0,          
C70001979,"",D000000066,Teamsters Union,8900,8500,400,2022-04-18 00:00:00 +0000,12, , ,0,          
         ,"",D000037208,Romanucci & Blandin,8600,0,8600,2022-04-18 00:00:00 +0000,13, , ,0,          
C00011114,"",D000000061,American Federation of State/Cnty/Munic Employees,7500,7500,0,2022-04-18 00:00:00 +0000,14, , ,0,          
C00007542,"",D000071033,"Sheet Metal, Air, Rail & Transportation Union",7500,7500,0,2022-04-18 00:00:00 +0000,14, , ,0,          
C00008268,"",D000000178,Transport Workers Union,7500,7500,0,2022-04-18 00:00:00 +0000,14, , ,0,          
C00002766,"",D000000072,United Food & Commercial Workers Union,7500,7500,0,2022-04-18 00:00:00 +0000,14, , ,0,          
C00035451,"",D000000117,Air Line Pilots Assn,6000,6000,0,2022-04-18 00:00:00 +0000,18, , ,0,          
         ,"",          ,Baker Development,6000,0,6000,2022-04-18 00:00:00 +0000,18, , ,0,          
C00103903,"",D000022021,HDR Inc,6000,6000,0,2022-04-18 00:00:00 +0000,18, , ,0,          
         ,"",D000076740,"Hughes, Socol et al                               ",5980,0,5980,2022-04-18 00:00:00 +0000,21, , ,0,          
         ,"",D000021849,Ariel Investments,5800,0,5800,2022-04-18 00:00:00 +0000,22, , ,0,          
         ,"",          ,Toro Construction,5800,0,5800,2022-04-18 00:00:00 +0000,22, , ,0,          
         ,"",          ,Valadez Electrical Service LLC,5800,0,5800,2022-04-18 00:00:00 +0000,22, , ,0,          
C00024521,"",D000000065,American Assn for Justice,5000,5000,0,2022-04-18 00:00:00 +0000,25, , ,0,          
C00001016,"",D000000073,Carpenters & Joiners Union,5000,5000,0,2022-04-18 00:00:00 +0000,25, , ,0,          
C00076810,"",D000000155,General Motors,5000,5000,0,2022-04-18 00:00:00 +0000,25, , ,0,          
C00002469,"",D000000078,Machinists/Aerospace Workers Union,5000,5000,0,2022-04-18 00:00:00 +0000,25, , ,0,          
         ,"",D000094228,Monterrey Security,5000,0,5000,2022-04-18 00:00:00 +0000,25, , ,0,          
C00023580,"",D000000084,National Assn of Letter Carriers,5000,5000,0,2022-04-18 00:00:00 +0000,25, , ,0,          
C00000885,"",D000000250,Painters & Allied Trades Union,5000,5000,0,2022-04-18 00:00:00 +0000,25, , ,0,          
C00012476,"",D000000120,Plumbers/Pipefitters Union,5000,5000,0,2022-04-18 00:00:00 +0000,25, , ,0,          
C00580068,"",D000069975,Progressive Turnout Project                       ,5000,5000,0,2022-04-18 00:00:00 +0000,25, , ,0,          
C70003124,"",D000000077,Service Employees International Union,5000,5000,0,2022-04-18 00:00:00 +0000,25, , ,0,          
         ,"",          ,Superior Management,5000,0,5000,2022-04-18 00:00:00 +0000,25, , ,0,          
C00002840,"",D000000070,United Auto Workers,5000,5000,0,2022-04-18 00:00:00 +0000,25, , ,0,          
         ,"",          ,Wynndalco Enterprises,4803,0,4803,2022-04-18 00:00:00 +0000,37, , ,0,          
C00611871,"",          ,BMO Financial Corp,4500,4500,0,2022-04-18 00:00:00 +0000,38, , ,0,          
C00011262,"",D000024486,Brotherhood of Railroad Signalmen,4500,4500,0,2022-04-18 00:00:00 +0000,38, , ,0,          
         ,"",          ,Alternative Schools Network,4000,0,4000,2022-04-18 00:00:00 +0000,40, , ,0,          
         ,"",          ,Northern Illinois Food Services,4000,0,4000,2022-04-18 00:00:00 +0000,40, , ,0,          
         ,"",D000022194,Power Rogers Llp,4000,0,4000,2022-04-18 00:00:00 +0000,40, , ,0,          
         ,"",          ,Reyes Group Ltd,4000,0,4000,2022-04-18 00:00:00 +0000,40, , ,0,          
         ,"",D000031228,@Properties LLC,3900,0,3900,2022-04-18 00:00:00 +0000,44, , ,0,          
C00280909,"",          ,AFL-CIO Transportation Trades Dept,3500,3500,0,2022-04-18 00:00:00 +0000,45, , ,0,          
         ,"",          ,Alternative Schools Netwark,3500,0,3500,2022-04-18 00:00:00 +0000,45, , ,0,          
