pacid,affiliateid,orgid,ultorg,total,pacs,indivs,releasedate,rank,client,registrant,numlobbyists,loborgid
         ,"",D000090815,Utility Trailer Manufacturing Co,22600,0,22600,2022-04-18 00:00:00 +0000,1, , ,0,          
         ,"",          ,Alliance Rental Solutions,21600,0,21600,2022-04-18 00:00:00 +0000,2, , ,0,          
C00215285,"",D000000317,General Atomics,19055,5000,14055,2022-04-18 00:00:00 +0000,3, , ,0,          
         ,"",          ,Jt Resources,17505,0,17505,2022-04-18 00:00:00 +0000,4, , ,0,          
         ,"",D000034204,Grimmway Enterprises,17400,0,17400,2022-04-18 00:00:00 +0000,5, , ,0,          
         ,"",D000062410,Mercury Air Group,12000,0,12000,2022-04-18 00:00:00 +0000,6, , ,0,          
         ,"",D000075289,California Resources Corp,11600,0,11600,2022-04-18 00:00:00 +0000,7, , ,0,          
         ,"",D000073743,Marcus Foundation,11600,0,11600,2022-04-18 00:00:00 +0000,7, , ,0,          
         ,"",D000071830,Standard Industries,11600,0,11600,2022-04-18 00:00:00 +0000,7, , ,0,          
         ,"",D000031011,Western National Group,11600,0,11600,2022-04-18 00:00:00 +0000,7, , ,0,          
C90012063,"",D000028612,Republican Jewish Coalition,11221,1500,9721,2022-04-18 00:00:00 +0000,11, , ,0,          
         ,"",D000068995,Alexandria Real Estate Equities,10800,0,10800,2022-04-18 00:00:00 +0000,12, , ,0,          
         ,"",          ,Atb Travel,10800,0,10800,2022-04-18 00:00:00 +0000,12, , ,0,          
C00608943,"",          ,ClearPath Action,10800,0,10800,2022-04-18 00:00:00 +0000,12, , ,0,          
         ,"",          ,Dos Cuadras Offshore Resources,10800,0,10800,2022-04-18 00:00:00 +0000,12, , ,0,          
         ,"",D000087827,DWO Enterprises,10800,0,10800,2022-04-18 00:00:00 +0000,12, , ,0,          
         ,"",D000034750,Irving Moskowitz Foundation,10800,0,10800,2022-04-18 00:00:00 +0000,12, , ,0,          
