pacid,affiliateid,orgid,ultorg,total,pacs,indivs,releasedate,rank,client,registrant,numlobbyists,loborgid
C70002563,"",D000000062,National Assn of Realtors,15000,15000,0,2022-04-18 00:00:00 +0000,1, , ,0,          
         ,"",D000034474,Hillco Partners,11600,0,11600,2022-04-18 00:00:00 +0000,2, , ,0,          
         ,"",D000050791,Farouk Systems,10000,0,10000,2022-04-18 00:00:00 +0000,3, , ,0,          
C00011114,"",D000000061,American Federation of State/Cnty/Munic Employees,7500,7500,0,2022-04-18 00:00:00 +0000,4, , ,0,          
C00027342,"",D000000069,International Brotherhood of Electrical Workers,7500,7500,0,2022-04-18 00:00:00 +0000,4, , ,0,          
C00007542,"",D000071033,"Sheet Metal, Air, Rail & Transportation Union",7500,7500,0,2022-04-18 00:00:00 +0000,4, , ,0,          
C00109017,"",D000000076,AT&T Inc,7000,7000,0,2022-04-18 00:00:00 +0000,7, , ,0,          
         ,"",          ,Goodman,6400,0,6400,2022-04-18 00:00:00 +0000,8, , ,0,          
C00266585,"",D000000344,Greenberg Traurig LLP,5950,0,5950,2022-04-18 00:00:00 +0000,9, , ,0,          
         ,"",D000035251,Lanier Law Firm,5800,0,5800,2022-04-18 00:00:00 +0000,10, , ,0,          
         ,"",          ,Katie'S Seafood Market,5600,0,5600,2022-04-18 00:00:00 +0000,11, , ,0,          
C00040568,"",D000000244,Marathon Oil,5500,5000,500,2022-04-18 00:00:00 +0000,12, , ,0,          
C00024521,"",D000000065,American Assn for Justice,5000,5000,0,2022-04-18 00:00:00 +0000,13, , ,0,          
C00110338,"",D000000219,American Crystal Sugar,5000,5000,0,2022-04-18 00:00:00 +0000,13, , ,0,          
C00028860,"",D000000083,American Federation of Teachers,5000,5000,0,2022-04-18 00:00:00 +0000,13, , ,0,          
C00326595,"",D000021891,Capital One Financial,5000,5000,0,2022-04-18 00:00:00 +0000,13, , ,0,          
C00001016,"",D000000073,Carpenters & Joiners Union,5000,5000,0,2022-04-18 00:00:00 +0000,13, , ,0,          
C00002089,"",D000000075,Communications Workers of America,5000,5000,0,2022-04-18 00:00:00 +0000,13, , ,0,          
C00007880,"",D000000136,Credit Union National Assn,5000,5000,0,2022-04-18 00:00:00 +0000,13, , ,0,          
C00121368,"",D000000129,Exxon Mobil,5000,5000,0,2022-04-18 00:00:00 +0000,13, , ,0,          
C00284885,"",D000000419,Home Depot,5000,5000,0,2022-04-18 00:00:00 +0000,13, , ,0,          
C00158576,"",D000000189,International Longshoremens Assn,5000,5000,0,2022-04-18 00:00:00 +0000,13, , ,0,          
C00342907,"",          ,Laborers Union/Midwest Region,5000,5000,0,2022-04-18 00:00:00 +0000,13, , ,0,          
C00002469,"",D000000078,Machinists/Aerospace Workers Union,5000,5000,0,2022-04-18 00:00:00 +0000,13, , ,0,          
C00496307,"",D000023121,Marathon Petroleum,5000,5000,0,2022-04-18 00:00:00 +0000,13, , ,0,          
C00004812,"",D000000309,Mortgage Bankers Assn,5000,5000,0,2022-04-18 00:00:00 +0000,13, , ,0,          
C00144766,"",D000000101,National Beer Wholesalers Assn,5000,5000,0,2022-04-18 00:00:00 +0000,13, , ,0,          
C00029504,"",D000000139,Operating Engineers Union,5000,5000,0,2022-04-18 00:00:00 +0000,13, , ,0,          
C00012476,"",D000000120,Plumbers/Pipefitters Union,5000,5000,0,2022-04-18 00:00:00 +0000,13, , ,0,          
C00580068,"",D000069975,Progressive Turnout Project                       ,5000,5000,0,2022-04-18 00:00:00 +0000,13, , ,0,          
C00388827,"",D000066716,Rock Holdings,5000,5000,0,2022-04-18 00:00:00 +0000,13, , ,0,          
C70003124,"",D000000077,Service Employees International Union,5000,5000,0,2022-04-18 00:00:00 +0000,13, , ,0,          
C70001979,"",D000000066,Teamsters Union,5000,5000,0,2022-04-18 00:00:00 +0000,13, , ,0,          
C00004861,"",D000022292,UNITE HERE,5000,5000,0,2022-04-18 00:00:00 +0000,13, , ,0,          
C00214981,"",D000022909,Texas Farm Bureau,4800,4800,0,2022-04-18 00:00:00 +0000,35, , ,0,          
         ,"",          ,Quantum Environmental,4774,0,4774,2022-04-18 00:00:00 +0000,36, , ,0,          
C00104901,"",D000000162,"Akin, Gump et al",4510,750,3760,2022-04-18 00:00:00 +0000,37, , ,0,          
C00035006,"",D000000015,Chevron Corp,4500,4500,0,2022-04-18 00:00:00 +0000,38, , ,0,          
C70000492,"",D000000064,National Education Assn,4000,4000,0,2022-04-18 00:00:00 +0000,39, , ,0,          
C00432252,"",D000022216,Regions Financial,4000,4000,0,2022-04-18 00:00:00 +0000,39, , ,0,          
         ,"",          ,Ted Lieu for Congress,4000,4000,0,2022-04-18 00:00:00 +0000,39, , ,0,          
C00570622,"",          ,Vaquero PAC,3612,3612,0,2022-04-18 00:00:00 +0000,42, , ,0,          
C00248716,"",D000000461,Comcast Corp,3500,3500,0,2022-04-18 00:00:00 +0000,43, , ,0,          
C00023580,"",D000000084,National Assn of Letter Carriers,3500,3500,0,2022-04-18 00:00:00 +0000,43, , ,0,          
C00130773,"",D000000755,National Multifamily Housing Council,3500,3500,0,2022-04-18 00:00:00 +0000,43, , ,0,          
C00236083,"",D000028850,S&B Engineers & Constructors,3500,3500,0,2022-04-18 00:00:00 +0000,43, , ,0,          
C00109546,"",D000022303,Valero Energy,3500,3500,0,2022-04-18 00:00:00 +0000,43, , ,0,          
C00039305,"",D000000071,Citigroup Inc,3000,3000,0,2022-04-18 00:00:00 +0000,48, , ,0,          
C00300178,"",D000019743,Wells Fargo,3000,3000,0,2022-04-18 00:00:00 +0000,48, , ,0,          
C00471565,"",          ,Zachry Holdings,3000,3000,0,2022-04-18 00:00:00 +0000,48, , ,0,          
C00797670,"",D000046963,American Israel Public Affairs Cmte,2900,2900,0,2022-04-18 00:00:00 +0000,51, , ,0,          
