pacid,affiliateid,orgid,ultorg,total,pacs,indivs,releasedate,rank,client,registrant,numlobbyists,loborgid
C00311308,"",D000000426,Timken Co,11800,1000,10800,2022-04-18 00:00:00 +0000,1, , ,0,          
C00286401,"",D000000145,Seafarers International Union,11000,11000,0,2022-04-18 00:00:00 +0000,2, , ,0,          
C00467431,"",D000070192,Eye of the Tiger PAC,10000,10000,0,2022-04-18 00:00:00 +0000,3, , ,0,          
C00418269,"",          ,American Commercial Barge Line,7500,7500,0,2022-04-18 00:00:00 +0000,4, , ,0,          
C00669655,"",D000034869,JM Smucker Co,5800,0,5800,2022-04-18 00:00:00 +0000,5, , ,0,          
         ,"",D000092468,Peoples Services Inc,5800,0,5800,2022-04-18 00:00:00 +0000,5, , ,0,          
         ,"",D000064132,Ziegler Tire,5800,0,5800,2022-04-18 00:00:00 +0000,5, , ,0,          
C00035451,"",D000000117,Air Line Pilots Assn,5500,5500,0,2022-04-18 00:00:00 +0000,8, , ,0,          
C00110338,"",D000000219,American Crystal Sugar,5000,5000,0,2022-04-18 00:00:00 +0000,9, , ,0,          
C00041061,"",D000023993,American Pilots Assn,5000,5000,0,2022-04-18 00:00:00 +0000,9, , ,0,          
C00504530,"",D000069888,Congressional Leadership Fund,5000,0,5000,2022-04-18 00:00:00 +0000,9, , ,0,          
C00076810,"",D000000155,General Motors,5000,5000,0,2022-04-18 00:00:00 +0000,9, , ,0,          
C00284885,"",D000000419,Home Depot,5000,5000,0,2022-04-18 00:00:00 +0000,9, , ,0,          
C00448373,"",D000026537,Huck PAC,5000,5000,0,2022-04-18 00:00:00 +0000,9, , ,0,          
C00496307,"",D000023121,Marathon Petroleum,5000,5000,0,2022-04-18 00:00:00 +0000,9, , ,0,          
         ,"",D000000147,Marine Engineers Beneficial Assn,5000,5000,0,2022-04-18 00:00:00 +0000,9, , ,0,          
C00238725,"",D000000285,National Air Traffic Controllers Assn,5000,5000,0,2022-04-18 00:00:00 +0000,9, , ,0,          
C00040998,"",D000000080,National Auto Dealers Assn,5000,5000,0,2022-04-18 00:00:00 +0000,9, , ,0,          
C00144766,"",D000000101,National Beer Wholesalers Assn,5000,5000,0,2022-04-18 00:00:00 +0000,9, , ,0,          
C00384354,"",          ,Michigan Sugar,4500,4500,0,2022-04-18 00:00:00 +0000,20, , ,0,          
C00114025,"",D000027877,National Ready Mixed Concrete Assn,4000,4000,0,2022-04-18 00:00:00 +0000,21, , ,0,          
         ,"",          ,Dehoff Development Co,3900,0,3900,2022-04-18 00:00:00 +0000,22, , ,0,          
C00010868,"",D000000682,American Council of Engineering Cos,3500,3500,0,2022-04-18 00:00:00 +0000,23, , ,0,          
C00034678,"",D000024032,American Waterways Operators,3500,3500,0,2022-04-18 00:00:00 +0000,23, , ,0,          
C00073056,"",D000000506,"Masters, Mates & Pilots Union",3500,3500,0,2022-04-18 00:00:00 +0000,23, , ,0,          
C00089458,"",D000022140,"National Stone, Sand & Gravel Assn",3500,3500,0,2022-04-18 00:00:00 +0000,23, , ,0,          
C00188011,"",D000027893,National Tank Truck Carriers Inc,3500,3500,0,2022-04-18 00:00:00 +0000,23, , ,0,          
C00290973,"",D000024873,Cleveland-Cliffs,3000,3000,0,2022-04-18 00:00:00 +0000,28, , ,0,          
         ,"",D000060297,Beaver Excavating,2900,0,2900,2022-04-18 00:00:00 +0000,29, , ,0,          
         ,"",          ,Kimble Clay & Limestone,2900,0,2900,2022-04-18 00:00:00 +0000,29, , ,0,          
         ,"",          ,KW Zellers & Son,2900,0,2900,2022-04-18 00:00:00 +0000,29, , ,0,          
         ,"",D000035572,Mallard Investments,2900,0,2900,2022-04-18 00:00:00 +0000,29, , ,0,          
         ,"",          ,Prn Funding,2900,0,2900,2022-04-18 00:00:00 +0000,29, , ,0,          
         ,"",D000000496,US Senate,2900,0,2900,2022-04-18 00:00:00 +0000,29, , ,0,          
         ,"",          ,Willoway Nurseries,2900,0,2900,2022-04-18 00:00:00 +0000,29, , ,0,          
         ,"",D000058683,Woda Group,2900,0,2900,2022-04-18 00:00:00 +0000,29, , ,0,          
         ,"",          ,Northmark Inc,2800,0,2800,2022-04-18 00:00:00 +0000,37, , ,0,          
         ,"",D000035171,Kokosing Construction,2700,0,2700,2022-04-18 00:00:00 +0000,38, , ,0,          
C00691634,"",D000043499,Advanced Drainage Systems,2500,2500,0,2022-04-18 00:00:00 +0000,39, , ,0,          
C00131185,"",D000000233,Aircraft Owners & Pilots Assn,2500,2500,0,2022-04-18 00:00:00 +0000,39, , ,0,          
         ,"",D000067690,Alignment Government Strategies,2500,0,2500,2022-04-18 00:00:00 +0000,39, , ,0,          
C00326868,"",          ,Amalgamated Sugar,2500,2500,0,2022-04-18 00:00:00 +0000,39, , ,0,          
C00002881,"",D000000177,American Trucking Assns,2500,2500,0,2022-04-18 00:00:00 +0000,39, , ,0,          
C00010421,"",D000000187,Associated Builders & Contractors,2500,2500,0,2022-04-18 00:00:00 +0000,39, , ,0,          
C00039578,"",D000000433,Council of Insurance Agents & Brokers,2500,2500,0,2022-04-18 00:00:00 +0000,39, , ,0,          
C00147231,"",D000025191,Crowley Maritime,2500,2500,0,2022-04-18 00:00:00 +0000,39, , ,0,          
C00121368,"",D000000129,Exxon Mobil,2500,2500,0,2022-04-18 00:00:00 +0000,39, , ,0,          
C00068692,"",D000000089,FedEx Corp,2500,2500,0,2022-04-18 00:00:00 +0000,39, , ,0,          
         ,"",D000035028,Kenan Advantage Group,2500,0,2500,2022-04-18 00:00:00 +0000,39, , ,0,          
C00250027,"",D000022062,Kirby Corp,2500,2500,0,2022-04-18 00:00:00 +0000,39, , ,0,          
         ,"",          ,McKinley Strategies,2500,0,2500,2022-04-18 00:00:00 +0000,39, , ,0,          
C00002972,"",D000000153,National Rural Electric Cooperative Assn,2500,2500,0,2022-04-18 00:00:00 +0000,39, , ,0,          
C00051979,"",D000000410,NiSource Inc,2500,2500,0,2022-04-18 00:00:00 +0000,39, , ,0,          
C00360669,"",D000029139,Southwest Airlines Pilots Assn,2500,2500,0,2022-04-18 00:00:00 +0000,39, , ,0,          
C00335091,"",D000029500,Transportation Intermediaries Assn,2500,2500,0,2022-04-18 00:00:00 +0000,39, , ,0,          
C00064766,"",D000000081,United Parcel Service,2500,2500,0,2022-04-18 00:00:00 +0000,39, , ,0,          
