pacid,affiliateid,orgid,ultorg,total,pacs,indivs,releasedate,rank,client,registrant,numlobbyists,loborgid
         ,"",D000021950,"Davis, Polk & Wardwell",223684,0,223684,2022-04-18 00:00:00 +0000,1, ,x,0,D000021950
         ,"",D000021877,"Boies, Schiller & Flexner",208004,0,208004,2022-04-18 00:00:00 +0000,2, , ,0,          
         ,"",D000000769,"Paul, Weiss et al                       ",162499,0,162499,2022-04-18 00:00:00 +0000,3, ,x,0,D000000769
C00104901,"",D000000162,"Akin, Gump et al",115758,2908,112850,2022-04-18 00:00:00 +0000,4, ,x,2,D000000162
         ,"",D000000615,"Wachtell, Lipton et al                  ",83533,0,83533,2022-04-18 00:00:00 +0000,5, ,x,0,D000000615
         ,"",D000000536,Latham & Watkins,79165,0,79165,2022-04-18 00:00:00 +0000,6, ,x,0,D000000536
C00016683,"",D000000138,Pfizer Inc,78570,5000,73570,2022-04-18 00:00:00 +0000,7,x, ,1,D000000138
         ,"",D000000729,HBJ Investments,72100,0,72100,2022-04-18 00:00:00 +0000,8, , ,0,          
C00450098,"",D000029916,Womencount PAC,70490,5,70485,2022-04-18 00:00:00 +0000,9, , ,0,          
         ,"",D000000464,Sullivan & Cromwell,69733,0,69733,2022-04-18 00:00:00 +0000,10, , ,0,          
C00033589,"",D000000457,Corning Inc,66588,10000,56588,2022-04-18 00:00:00 +0000,11, , ,0,          
C00351270,"",D000022249,Sidley Austin LLP,57972,0,57972,2022-04-18 00:00:00 +0000,12, ,x,0,D000022249
         ,"",D000000811,Kirkland & Ellis,55958,0,55958,2022-04-18 00:00:00 +0000,13, , ,0,          
C00216895,"",D000068537,Arnold & Porter Kaye Scholer,54960,5000,49960,2022-04-18 00:00:00 +0000,14, ,x,0,D000068537
C00457234,"",D000027415,Marsh & McLennan,53423,15000,38423,2022-04-18 00:00:00 +0000,15,x, ,0,D000027415
         ,"",D000021873,Blackstone Group                        ,51008,0,51008,2022-04-18 00:00:00 +0000,16, , ,0,          
C00193433,"",D000000113,Emily's List,50131,10000,40131,2022-04-18 00:00:00 +0000,17, , ,0,          
         ,"",D000035294,Lazard Ltd                              ,49080,0,49080,2022-04-18 00:00:00 +0000,18, , ,0,          
C00314617,"",D000000591,Planned Parenthood,45172,5508,39664,2022-04-18 00:00:00 +0000,19,x, ,0,D000000591
         ,"",D000036911,"Quinn, Emanuel et al",43560,0,43560,2022-04-18 00:00:00 +0000,20, , ,0,          
C00344754,"",D000000686,"Gibson, Dunn & Crutcher",43241,0,43241,2022-04-18 00:00:00 +0000,21, ,x,0,D000000686
         ,"",D000022321,"Willkie, Farr & Gallagher               ",42758,0,42758,2022-04-18 00:00:00 +0000,22, , ,0,          
C00337626,"",D000000106,Morgan Stanley,42223,0,42223,2022-04-18 00:00:00 +0000,23, , ,0,          
         ,"",D000037602,"Simpson, Thacher & Bartlett",41062,0,41062,2022-04-18 00:00:00 +0000,24, , ,0,          
C00128512,"",D000000103,JPMorgan Chase & Co,40928,0,40928,2022-04-18 00:00:00 +0000,25,x, ,0,D000000103
C00158881,"",D000000249,New York Life Insurance,39018,10000,29018,2022-04-18 00:00:00 +0000,26, , ,0,          
         ,"",D000033822,"Fried, Frank et al",38910,0,38910,2022-04-18 00:00:00 +0000,27, , ,0,          
         ,"",D000000750,Stanford University                     ,37522,0,37522,2022-04-18 00:00:00 +0000,28,x, ,0,D000000750
         ,"",D000031191,York Capital Management,37475,0,37475,2022-04-18 00:00:00 +0000,29, , ,0,          
         ,"",D000067823,Alphabet Inc,36886,0,36886,2022-04-18 00:00:00 +0000,30,x, ,0,D000067823
         ,"",          ,Warner Brothers Discovery,35492,2000,33492,2022-04-18 00:00:00 +0000,31, , ,0,          
         ,"",D000032620,City University of New York             ,35309,0,35309,2022-04-18 00:00:00 +0000,32, , ,0,          
C00364778,"",D000000090,Bank of America,35249,0,35249,2022-04-18 00:00:00 +0000,33, , ,0,          
         ,"",D000021927,Columbia University                     ,34972,0,34972,2022-04-18 00:00:00 +0000,34,x, ,0,D000021927
         ,"",D000022322,WilmerHale LLP,34291,0,34291,2022-04-18 00:00:00 +0000,35, ,x,0,D000022322
         ,"",D000022082,"Lieff, Cabraser et al",33450,0,33450,2022-04-18 00:00:00 +0000,36, , ,0,          
C00232629,"",D000000243,"Skadden, Arps et al",32708,0,32708,2022-04-18 00:00:00 +0000,37, , ,0,          
         ,"",D000060800,Cooley Llp,31728,0,31728,2022-04-18 00:00:00 +0000,38, ,x,0,D000060800
         ,"",D000031833,"Bartlit, Beck et al",31717,0,31717,2022-04-18 00:00:00 +0000,39, , ,0,          
         ,"",D000021903,Centerbridge Partners,30800,0,30800,2022-04-18 00:00:00 +0000,40,x, ,0,D000021903
         ,"",D000021767,National Amusements Inc,30629,1000,29629,2022-04-18 00:00:00 +0000,41, , ,0,          
         ,"",D000033537,Evercore,30050,0,30050,2022-04-18 00:00:00 +0000,42, , ,0,          
         ,"",D000030907,Warland Investments,29800,0,29800,2022-04-18 00:00:00 +0000,43, , ,0,          
C00248716,"",D000000461,Comcast Corp,28276,0,28276,2022-04-18 00:00:00 +0000,44,x, ,1,D000000461
         ,"",D000068102,Breakthru Beverage Group,28213,0,28213,2022-04-18 00:00:00 +0000,45, , ,0,          
         ,"",D000000468,Estee Lauder Companies,26570,0,26570,2022-04-18 00:00:00 +0000,46, , ,0,          
         ,"",D000021915,"City of New York, NY",26557,0,26557,2022-04-18 00:00:00 +0000,47, , ,0,          
C00350744,"",D000000085,Goldman Sachs,26519,0,26519,2022-04-18 00:00:00 +0000,48, , ,0,          
         ,"",D000093657,"Walden, Macht & Haran",26300,0,26300,2022-04-18 00:00:00 +0000,49, , ,0,          
         ,"",D000022154,New York University,25529,0,25529,2022-04-18 00:00:00 +0000,50, , ,0,          
         ,"",D000031958,Bill & Melinda Gates Foundation,25450,0,25450,2022-04-18 00:00:00 +0000,51, , ,0,          
         ,"",D000036881,Puma Springs Vineyards,25300,0,25300,2022-04-18 00:00:00 +0000,52, , ,0,          
C00039305,"",D000000071,Citigroup Inc,24319,0,24319,2022-04-18 00:00:00 +0000,53, , ,0,          
         ,"",D000071887,ICM Partners,23916,0,23916,2022-04-18 00:00:00 +0000,54, , ,0,          
         ,"",D000021872,BlackRock Inc,23815,0,23815,2022-04-18 00:00:00 +0000,55, , ,0,          
C00227546,"",D000000115,Microsoft Corp                          ,23364,2500,20864,2022-04-18 00:00:00 +0000,56, , ,0,          
         ,"",D000033182,Direct Meds Inc,23200,0,23200,2022-04-18 00:00:00 +0000,57, , ,0,          
         ,"",D000048064,BTQ Financial,23100,0,23100,2022-04-18 00:00:00 +0000,58, , ,0,          
C70003124,"",D000000077,Service Employees International Union,22853,10000,12853,2022-04-18 00:00:00 +0000,59, , ,0,          
         ,"",D000032877,Cornell University                      ,22840,0,22840,2022-04-18 00:00:00 +0000,60, , ,0,          
         ,"",D000033097,Debevoise & Plimpton,22718,0,22718,2022-04-18 00:00:00 +0000,61, , ,0,          
         ,"",D000036342,Observatory Group,22600,0,22600,2022-04-18 00:00:00 +0000,62, , ,0,          
         ,"",D000021965,Durst Organization,22500,0,22500,2022-04-18 00:00:00 +0000,63, , ,0,          
         ,"",D000034929,Jones Day,22465,0,22465,2022-04-18 00:00:00 +0000,64, , ,0,          
         ,"",D000021854,Avenue Capital Group,22447,0,22447,2022-04-18 00:00:00 +0000,65, , ,0,          
         ,"",D000000444,Fisher Brothers,21613,0,21613,2022-04-18 00:00:00 +0000,66, , ,0,          
         ,"",D000082973,Economic Security Project,21600,0,21600,2022-04-18 00:00:00 +0000,67,x, ,0,D000082973
         ,"",D000035184,Kreindler & Kreindler,21550,0,21550,2022-04-18 00:00:00 +0000,68, , ,0,          
         ,"",D000000476,State of New York,21241,0,21241,2022-04-18 00:00:00 +0000,69, , ,0,          
         ,"",D000092670,Blue Star Partners,21210,0,21210,2022-04-18 00:00:00 +0000,70, , ,0,          
         ,"",D000035181,"Kramer, Levin et al",20884,0,20884,2022-04-18 00:00:00 +0000,71, , ,0,          
         ,"",          ,Michael Altman Fine Art & Advisory Ser,20800,0,20800,2022-04-18 00:00:00 +0000,72, , ,0,          
         ,"",D000031037,White & Case,20444,0,20444,2022-04-18 00:00:00 +0000,73, , ,0,          
         ,"",D000000816,"Kramer, Dillof et al",20015,0,20015,2022-04-18 00:00:00 +0000,74, , ,0,          
         ,"",D000073763,Beach Point Capital Management,20000,0,20000,2022-04-18 00:00:00 +0000,75, , ,0,          
         ,"",D000036580,Peirson & Patterson,19700,0,19700,2022-04-18 00:00:00 +0000,76, , ,0,          
         ,"",D000035832,Metropolitan Museum of Art,19233,0,19233,2022-04-18 00:00:00 +0000,77, , ,0,          
         ,"",          ,Imaginal Labs,19200,0,19200,2022-04-18 00:00:00 +0000,78, , ,0,          
         ,"",D000088999,Signum Global Advisors,19150,0,19150,2022-04-18 00:00:00 +0000,79, , ,0,          
         ,"",D000031992,Bloomberg LP,19022,0,19022,2022-04-18 00:00:00 +0000,80, , ,0,          
         ,"",D000045325,Bertelsmann AG,18867,0,18867,2022-04-18 00:00:00 +0000,81, , ,0,          
         ,"",D000035882,Milbank LLP,18775,0,18775,2022-04-18 00:00:00 +0000,82, , ,0,          
C00024869,"",D000000125,General Electric,18731,1000,17731,2022-04-18 00:00:00 +0000,83, , ,0,          
C00197749,"",D000000128,Walt Disney Co,18426,0,18426,2022-04-18 00:00:00 +0000,84, , ,0,          
         ,"",D000033818,Freshfields Bruckhaus Deringer Llp,18425,0,18425,2022-04-18 00:00:00 +0000,85, , ,0,          
         ,"",D000070385,Roosevelt Institute,18050,0,18050,2022-04-18 00:00:00 +0000,86, , ,0,          
         ,"",D000000709,Susman Godfrey Llp,17950,0,17950,2022-04-18 00:00:00 +0000,87, , ,0,          
         ,"",          ,Herman L Loeb LLC,17775,0,17775,2022-04-18 00:00:00 +0000,88, , ,0,          
         ,"",D000074797,Verus Financial,17591,0,17591,2022-04-18 00:00:00 +0000,89, , ,0,          
         ,"",          ,Not Employed,17436,0,17436,2022-04-18 00:00:00 +0000,90, , ,0,          
         ,"",D000000544,Harvard University                      ,17407,0,17407,2022-04-18 00:00:00 +0000,91,x, ,0,D000000544
         ,"",D000022261,Sony Corp,17384,0,17384,2022-04-18 00:00:00 +0000,92, , ,0,          
C00617944,"",D000000123,American International Group,17312,0,17312,2022-04-18 00:00:00 +0000,93,x, ,0,D000000123
         ,"",D000000406,University of California                ,17298,0,17298,2022-04-18 00:00:00 +0000,94, , ,0,          
         ,"",D000037301,Rutgers University,16873,0,16873,2022-04-18 00:00:00 +0000,95, , ,0,          
         ,"",          ,Coming Inc,16435,0,16435,2022-04-18 00:00:00 +0000,96, , ,0,          
         ,"",D000073997,Goodrx,16400,0,16400,2022-04-18 00:00:00 +0000,97,x, ,0,D000073997
         ,"",D000074999,Cresco Labs,16200,0,16200,2022-04-18 00:00:00 +0000,98, , ,0,          
         ,"",          ,Energy Brands,16200,0,16200,2022-04-18 00:00:00 +0000,98, , ,0,          
         ,"",D000000333,"Kleiner, Perkins et al",16200,0,16200,2022-04-18 00:00:00 +0000,98,x, ,0,D000000333
         ,"",D000083442,Stacey Mindich Productions,16200,0,16200,2022-04-18 00:00:00 +0000,98, , ,0,          
