pacid,affiliateid,orgid,ultorg,total,pacs,indivs,releasedate,rank,client,registrant,numlobbyists,loborgid
C90012063,"",D000028612,Republican Jewish Coalition,31033,2500,28533,2022-04-18 00:00:00 +0000,1, , ,0,          
         ,"",D000037026,Related Group,29000,0,29000,2022-04-18 00:00:00 +0000,2, , ,0,          
         ,"",D000021967,Duty Free Americas,23400,0,23400,2022-04-18 00:00:00 +0000,3, , ,0,          
         ,"",          ,"Diaz, Reus & Targ",21600,0,21600,2022-04-18 00:00:00 +0000,4, , ,0,          
         ,"",D000035672,Mastec Inc,21600,0,21600,2022-04-18 00:00:00 +0000,4, , ,0,          
         ,"",D000044871,GL Homes of Florida,20000,0,20000,2022-04-18 00:00:00 +0000,6, , ,0,          
C00699470,"",D000073971,Pro-Israel America Pac,17500,0,17500,2022-04-18 00:00:00 +0000,7, , ,0,          
         ,"",D000090991,Valls Group (Florida),17400,0,17400,2022-04-18 00:00:00 +0000,8, , ,0,          
         ,"",D000083323,"Cole, Scott & Kissane",15800,0,15800,2022-04-18 00:00:00 +0000,9, , ,0,          
C00266585,"",D000000344,Greenberg Traurig LLP,14500,0,14500,2022-04-18 00:00:00 +0000,10, , ,0,          
C00389585,"",          ,Global Medical Response,13000,0,13000,2022-04-18 00:00:00 +0000,11, , ,0,          
         ,"",D000037554,Shutts & Bowen,12300,0,12300,2022-04-18 00:00:00 +0000,12, , ,0,          
         ,"",          ,Aviator Capital,11600,0,11600,2022-04-18 00:00:00 +0000,13, , ,0,          
         ,"",D000083777,Aviator Capital Management,11600,0,11600,2022-04-18 00:00:00 +0000,13, , ,0,          
         ,"",D000032117,Brickell Motors,11600,0,11600,2022-04-18 00:00:00 +0000,13, , ,0,          
         ,"",D000074016,Codina Partners,11600,0,11600,2022-04-18 00:00:00 +0000,13, , ,0,          
         ,"",D000034204,Grimmway Enterprises,11600,0,11600,2022-04-18 00:00:00 +0000,13, , ,0,          
         ,"",D000073743,Marcus Foundation,11600,0,11600,2022-04-18 00:00:00 +0000,13, , ,0,          
         ,"",D000085774,Mbb Auto Group,11600,0,11600,2022-04-18 00:00:00 +0000,13, , ,0,          
         ,"",D000035710,McCarter & English,11600,0,11600,2022-04-18 00:00:00 +0000,13, , ,0,          
         ,"",D000054826,Norwegian Cruise Line,11600,0,11600,2022-04-18 00:00:00 +0000,13, , ,0,          
         ,"",D000036804,Prescott Investors,11600,0,11600,2022-04-18 00:00:00 +0000,13, , ,0,          
         ,"",D000030199,Sunshine Gasoline Distributors,11600,0,11600,2022-04-18 00:00:00 +0000,13, , ,0,          
         ,"",D000031011,Western National Group,11600,0,11600,2022-04-18 00:00:00 +0000,13, , ,0,          
         ,"",D000034772,J Milton & Assoc,11300,0,11300,2022-04-18 00:00:00 +0000,25, , ,0,          
         ,"",D000046720,Allied Universal Corp,10800,0,10800,2022-04-18 00:00:00 +0000,26, , ,0,          
         ,"",D000047589,Baker Concrete,10800,0,10800,2022-04-18 00:00:00 +0000,26, , ,0,          
         ,"",          ,CC Devco LLC,10800,0,10800,2022-04-18 00:00:00 +0000,26, , ,0,          
         ,"",          ,Fontainebleau Development,10800,0,10800,2022-04-18 00:00:00 +0000,26, , ,0,          
         ,"",          ,Potamkin Automotive Group,10800,0,10800,2022-04-18 00:00:00 +0000,26, , ,0,          
         ,"",          ,Florida Crystals,10700,0,10700,2022-04-18 00:00:00 +0000,31, , ,0,          
C00467431,"",D000070192,Eye of the Tiger PAC,10000,10000,0,2022-04-18 00:00:00 +0000,32, , ,0,          
C00428052,"",D000027353,Majority Cmte PAC,10000,10000,0,2022-04-18 00:00:00 +0000,32, , ,0,          
         ,"",          ,Murgado Auto Group,10000,0,10000,2022-04-18 00:00:00 +0000,32, , ,0,          
         ,"",          ,Styles Holdings Ii,10000,0,10000,2022-04-18 00:00:00 +0000,32, , ,0,          
C00369090,"",D000000802,Wendy's Co,10000,10000,0,2022-04-18 00:00:00 +0000,32, , ,0,          
         ,"",D000089543,Univista Insurance,9800,0,9800,2022-04-18 00:00:00 +0000,37, , ,0,          
C00478099,"",D000045889,Atlas Air Worldwide,9000,9000,0,2022-04-18 00:00:00 +0000,38, , ,0,          
C00445379,"",D000029400,Making America Prosperous,9000,9000,0,2022-04-18 00:00:00 +0000,38, , ,0,          
         ,"",D000000772,Station Casinos,8324,0,8324,2022-04-18 00:00:00 +0000,40, , ,0,          
C00370114,"",D000000414,Charles Schwab Corp,7633,0,7633,2022-04-18 00:00:00 +0000,41, , ,0,          
C00769695,"",          ,Freedom Force PAC,7500,7500,0,2022-04-18 00:00:00 +0000,42, , ,0,          
