pacid,affiliateid,orgid,ultorg,total,pacs,indivs,releasedate,rank,client,registrant,numlobbyists,loborgid
         ,"",          ,NOT EMPLOYED,46262,0,46262,2022-04-18 00:00:00 +0000,1, , ,0,          
         ,"",D000021873,Blackstone Group,26100,0,26100,2022-04-18 00:00:00 +0000,2, , ,0,          
         ,"",          ,Spectrum Healthcare Partners,23450,0,23450,2022-04-18 00:00:00 +0000,3, , ,0,          
C00422774,"",          ,Frontline USA,19185,6000,13185,2022-04-18 00:00:00 +0000,4, , ,0,          
C00699470,"",D000073971,Pro-Israel America PAC,18500,1000,17500,2022-04-18 00:00:00 +0000,5, , ,0,          
C00468314,"",D000025328,Democracy Engine,18400,0,18400,2022-04-18 00:00:00 +0000,6, , ,0,          
         ,"",          ,Baskahegan Co,17400,0,17400,2022-04-18 00:00:00 +0000,7, , ,0,          
         ,"",D000065774,Richmond Global,14500,0,14500,2022-04-18 00:00:00 +0000,8, , ,0,          
C00629709,"",          ,No Labels Problem Solvers,13600,5000,8600,2022-04-18 00:00:00 +0000,9, , ,0,          
         ,"",D000072024,Charlesbank Capital Partners,13249,0,13249,2022-04-18 00:00:00 +0000,10, , ,0,          
         ,"",D000032249,Cambridge Assoc,11600,0,11600,2022-04-18 00:00:00 +0000,11, , ,0,          
         ,"",D000000544,Harvard University                      ,11600,0,11600,2022-04-18 00:00:00 +0000,11, , ,0,          
         ,"",D000068814,Heising-Simons Foundation,11600,0,11600,2022-04-18 00:00:00 +0000,11, , ,0,          
         ,"",D000079404,Lee Auto Malls,11600,0,11600,2022-04-18 00:00:00 +0000,11, , ,0,          
         ,"",D000090926,Tidepool Press,11600,0,11600,2022-04-18 00:00:00 +0000,11, , ,0,          
         ,"",D000066687,Forbes Tate Partners,11350,0,11350,2022-04-18 00:00:00 +0000,16, , ,0,          
         ,"",D000058709,Workday Inc,10902,0,10902,2022-04-18 00:00:00 +0000,17, , ,0,          
C00271338,"",D000000574,AmeriPAC: The Fund for a Greater America,10000,10000,0,2022-04-18 00:00:00 +0000,18, , ,0,          
C00029504,"",D000000139,Operating Engineers Union,10000,10000,0,2022-04-18 00:00:00 +0000,18, , ,0,          
C00661272,"",D000071404,With Honor PAC,10000,10000,0,2022-04-18 00:00:00 +0000,18, , ,0,          
         ,"",D000021943,Crow Holdings,9655,0,9655,2022-04-18 00:00:00 +0000,21, , ,0,          
         ,"",          ,Fortress Investment Group,9231,0,9231,2022-04-18 00:00:00 +0000,22, , ,0,          
         ,"",D000031435,Alsop Louie Partners,8800,0,8800,2022-04-18 00:00:00 +0000,23, , ,0,          
         ,"",D000071041,Tremont Strategies Group,8800,0,8800,2022-04-18 00:00:00 +0000,23, , ,0,          
         ,"",D000031927,Berkshire Partners,8700,0,8700,2022-04-18 00:00:00 +0000,25, , ,0,          
         ,"",D000083452,Window World,8700,0,8700,2022-04-18 00:00:00 +0000,25, , ,0,          
         ,"",D000060800,Cooley Llp,8600,0,8600,2022-04-18 00:00:00 +0000,27, , ,0,          
         ,"",D000034198,Greylock Partners,8351,0,8351,2022-04-18 00:00:00 +0000,28, , ,0,          
