pacid,affiliateid,orgid,ultorg,total,pacs,indivs,releasedate,rank,client,registrant,numlobbyists,loborgid
         ,"",D000032285,Capital Group,25000,0,25000,2022-04-18 00:00:00 +0000,1, , ,0,          
C00540518,"",D000021890,Capital Group Companies,21800,6000,15800,2022-04-18 00:00:00 +0000,2, , ,0,          
C00027342,"",D000000069,International Brotherhood of Electrical Workers,15000,15000,0,2022-04-18 00:00:00 +0000,3, , ,0,          
         ,"",D000073425,Royal Business Bank,14500,0,14500,2022-04-18 00:00:00 +0000,4, , ,0,          
C70002563,"",D000000062,National Assn of Realtors,13250,13000,250,2022-04-18 00:00:00 +0000,5, , ,0,          
C00144766,"",D000000101,National Beer Wholesalers Assn,12500,12500,0,2022-04-18 00:00:00 +0000,6, , ,0,          
C00039578,"",D000000433,Council of Insurance Agents & Brokers,12000,12000,0,2022-04-18 00:00:00 +0000,7, , ,0,          
         ,"",          ,Linear City Development LLC,11625,0,11625,2022-04-18 00:00:00 +0000,8, , ,0,          
         ,"",D000034307,"Hansen, Jacobson et al",11400,0,11400,2022-04-18 00:00:00 +0000,9, , ,0,          
         ,"",D000000109,Blue Cross/Blue Shield,11000,11000,0,2022-04-18 00:00:00 +0000,10, , ,0,          
C70001979,"",D000000066,Teamsters Union,10027,10000,27,2022-04-18 00:00:00 +0000,11, , ,0,          
C00109017,"",D000000076,AT&T Inc,10000,10000,0,2022-04-18 00:00:00 +0000,12, , ,0,          
C00019653,"",D000000239,Edison International,10000,10000,0,2022-04-18 00:00:00 +0000,12, , ,0,          
C00023580,"",D000000084,National Assn of Letter Carriers,10000,10000,0,2022-04-18 00:00:00 +0000,12, , ,0,          
C00450692,"",D000046017,Poet LLC,10000,10000,0,2022-04-18 00:00:00 +0000,12, , ,0,          
C00007542,"",D000071033,"Sheet Metal, Air, Rail & Transportation Union",10000,10000,0,2022-04-18 00:00:00 +0000,12, , ,0,          
C00677146,"",D000029279,Sun Life Financial,10000,10000,0,2022-04-18 00:00:00 +0000,12, , ,0,          
         ,"",D000070020,Filemon Vela for Congress,9000,9000,0,2022-04-18 00:00:00 +0000,18, , ,0,          
C00388827,"",D000066716,Rock Holdings,9000,9000,0,2022-04-18 00:00:00 +0000,18, , ,0,          
C00401299,"",          ,Fresenius Medical Care North America,8500,8500,0,2022-04-18 00:00:00 +0000,20, , ,0,          
C00625988,"",D000070692,Future Forum PAC,8500,8500,0,2022-04-18 00:00:00 +0000,20, , ,0,          
C00147066,"",D000000152,American Council of Life Insurers,8000,8000,0,2022-04-18 00:00:00 +0000,22, , ,0,          
