pacid,affiliateid,orgid,ultorg,total,pacs,indivs,releasedate,rank,client,registrant,numlobbyists,loborgid
         ,"",D000000358,KKR & Co,22400,0,22400,2022-04-18 00:00:00 +0000,1, , ,0,          
C00039578,"",D000000433,Council of Insurance Agents & Brokers,15000,15000,0,2022-04-18 00:00:00 +0000,2, , ,0,          
C00104901,"",D000000162,"Akin, Gump et al",10800,2500,8300,2022-04-18 00:00:00 +0000,3, , ,0,          
         ,"",          ,Oberdorf Foundation,10800,0,10800,2022-04-18 00:00:00 +0000,3, , ,0,          
C00337626,"",D000000106,Morgan Stanley,9300,6500,2800,2022-04-18 00:00:00 +0000,5, , ,0,          
C00004812,"",D000000309,Mortgage Bankers Assn,9000,9000,0,2022-04-18 00:00:00 +0000,6, , ,0,          
C00388827,"",D000066716,Rock Holdings,9000,9000,0,2022-04-18 00:00:00 +0000,6, , ,0,          
C00669655,"",D000034869,JM Smucker Co,8700,0,8700,2022-04-18 00:00:00 +0000,8, , ,0,          
C00105981,"",D000000262,Investment Co Institute,8500,8500,0,2022-04-18 00:00:00 +0000,9, , ,0,          
         ,"",          ,Gingerbread Capital,7900,0,7900,2022-04-18 00:00:00 +0000,10, , ,0,          
C00579540,"",D000034090,Ally Financial,7500,7500,0,2022-04-18 00:00:00 +0000,11, , ,0,          
C00326595,"",D000021891,Capital One Financial,7500,7500,0,2022-04-18 00:00:00 +0000,11, , ,0,          
C00186064,"",D000028398,PNC Financial Services,6500,5000,1500,2022-04-18 00:00:00 +0000,13, , ,0,          
C00608943,"",          ,ClearPath Action,5800,0,5800,2022-04-18 00:00:00 +0000,14, , ,0,          
         ,"",          ,Hexagon Inc,5800,0,5800,2022-04-18 00:00:00 +0000,14, , ,0,          
         ,"",D000088536,Jc2 Ventures,5800,0,5800,2022-04-18 00:00:00 +0000,14, , ,0,          
         ,"",D000034929,Jones Day,5800,0,5800,2022-04-18 00:00:00 +0000,14, , ,0,          
C00418830,"",D000027320,M/I Homes Inc,5800,5000,800,2022-04-18 00:00:00 +0000,14, , ,0,          
         ,"",D000090169,Rubber City Arches,5800,0,5800,2022-04-18 00:00:00 +0000,14, , ,0,          
         ,"",D000026211,Gerson Lehrman Group,5600,0,5600,2022-04-18 00:00:00 +0000,20, , ,0,          
         ,"",D000047699,"Benesch, Friedlander et al",5500,0,5500,2022-04-18 00:00:00 +0000,21, , ,0,          
C00280222,"",D000019986,KPMG LLP,5250,5000,250,2022-04-18 00:00:00 +0000,22, , ,0,          
C00495002,"",D000036835,American Investment Council,5000,5000,0,2022-04-18 00:00:00 +0000,23, , ,0,          
C00365502,"",D000022588,BWX Technologies,5000,5000,0,2022-04-18 00:00:00 +0000,23, , ,0,          
C00480228,"",D000045959,Continuing America's Strength & Security,5000,5000,0,2022-04-18 00:00:00 +0000,23, , ,0,          
C00638130,"",          ,Cowboy PAC,5000,5000,0,2022-04-18 00:00:00 +0000,23, , ,0,          
C00007880,"",D000000136,Credit Union National Assn,5000,5000,0,2022-04-18 00:00:00 +0000,23, , ,0,          
C00135681,"",          ,Farmers Group,5000,5000,0,2022-04-18 00:00:00 +0000,23, , ,0,          
C00290502,"",D000021983,Fifth Third Bancorp,5000,5000,0,2022-04-18 00:00:00 +0000,23, , ,0,          
C00522425,"",          ,Future First Leadership PAC,5000,5000,0,2022-04-18 00:00:00 +0000,23, , ,0,          
C00131557,"",D000026440,Heartland PAC,5000,5000,0,2022-04-18 00:00:00 +0000,23, , ,0,          
C00284885,"",D000000419,Home Depot,5000,5000,0,2022-04-18 00:00:00 +0000,23, , ,0,          
C00165589,"",D000026556,Huntington Bancshares,5000,5000,0,2022-04-18 00:00:00 +0000,23, , ,0,          
C00540187,"",D000027721,Innovation PAC,5000,5000,0,2022-04-18 00:00:00 +0000,23, , ,0,          
C00428052,"",D000027353,Majority Cmte PAC,5000,5000,0,2022-04-18 00:00:00 +0000,23, , ,0,          
C00118943,"",D000000198,Massachusetts Mutual Life Insurance,5000,5000,0,2022-04-18 00:00:00 +0000,23, , ,0,          
C00005249,"",D000000096,National Assn of Insurance & Financial Advisors,5000,5000,0,2022-04-18 00:00:00 +0000,23, , ,0,          
C00130773,"",D000000755,National Multifamily Housing Council,5000,5000,0,2022-04-18 00:00:00 +0000,23, , ,0,          
C00488262,"",D000070195,Netjets Assn of Shared Aircraft Pilots,5000,5000,0,2022-04-18 00:00:00 +0000,23, , ,0,          
