pacid,affiliateid,orgid,ultorg,total,pacs,indivs,releasedate,rank,client,registrant,numlobbyists,loborgid
C00699470,"",D000073971,Pro-Israel America PAC,39450,0,39450,2022-04-18 00:00:00 +0000,1, , ,0,          
         ,"",D000021873,Blackstone Group,20300,0,20300,2022-04-18 00:00:00 +0000,2, , ,0,          
C00422774,"",          ,Frontline USA,16685,2500,14185,2022-04-18 00:00:00 +0000,3, , ,0,          
C00426775,"",D000000672,Charter Communications,12500,12500,0,2022-04-18 00:00:00 +0000,4, , ,0,          
C00030809,"",D000022132,National Community Pharmacists Assn,12500,12500,0,2022-04-18 00:00:00 +0000,4, , ,0,          
C70002563,"",D000000062,National Assn of Realtors,12000,10000,2000,2022-04-18 00:00:00 +0000,6, , ,0,          
C00409730,"",D000022150,New Democrat Coalition,11900,7500,4400,2022-04-18 00:00:00 +0000,7, , ,0,          
         ,"",D000000544,Harvard University,11853,0,11853,2022-04-18 00:00:00 +0000,8, , ,0,          
C00000935,"",D000021957,Democratic Congressional Campaign Cmte,11705,4451,7254,2022-04-18 00:00:00 +0000,9, , ,0,          
         ,"",D000062527,Moore Capital Management,11600,0,11600,2022-04-18 00:00:00 +0000,10, , ,0,          
C00388827,"",D000066716,Rock Holdings,11400,6500,4900,2022-04-18 00:00:00 +0000,11, , ,0,          
C00109546,"",D000022303,Valero Energy,11000,11000,0,2022-04-18 00:00:00 +0000,12, , ,0,          
C00382796,"",D000035370,LHC Group,10800,5000,5800,2022-04-18 00:00:00 +0000,13, , ,0,          
C00004275,"",D000000087,American Bankers Assn,10000,10000,0,2022-04-18 00:00:00 +0000,14, , ,0,          
C00271338,"",D000000574,AmeriPAC: The Fund for a Greater America,10000,10000,0,2022-04-18 00:00:00 +0000,14, , ,0,          
C00109017,"",D000000076,AT&T Inc,10000,10000,0,2022-04-18 00:00:00 +0000,14, , ,0,          
C00035006,"",D000000015,Chevron Corp,10000,10000,0,2022-04-18 00:00:00 +0000,14, , ,0,          
C00007880,"",D000000136,Credit Union National Assn,10000,10000,0,2022-04-18 00:00:00 +0000,14, , ,0,          
C00029504,"",D000000139,Operating Engineers Union,10000,10000,0,2022-04-18 00:00:00 +0000,14, , ,0,          
C00344234,"",D000000520,PAC to the Future,10000,10000,0,2022-04-18 00:00:00 +0000,14, , ,0,          
C00669960,"",D000074322,When Democrats Turn Out PAC,10000,10000,0,2022-04-18 00:00:00 +0000,14, , ,0,          
         ,"",          ,Lino's Pharmacy,9200,0,9200,2022-04-18 00:00:00 +0000,22, , ,0,          
