pacid,affiliateid,orgid,ultorg,total,pacs,indivs,releasedate,rank,client,registrant,numlobbyists,loborgid
C00552851,"",D000068902,House Freedom Fund,21500,7000,14500,2022-04-18 00:00:00 +0000,1, , ,0,          
         ,"",D000034204,Grimmway Enterprises,11600,0,11600,2022-04-18 00:00:00 +0000,2, , ,0,          
         ,"",D000073743,Marcus Foundation,11600,0,11600,2022-04-18 00:00:00 +0000,2, , ,0,          
         ,"",D000031011,Western National Group,11600,0,11600,2022-04-18 00:00:00 +0000,2, , ,0,          
         ,"",D000036804,Prescott Investors,9108,0,9108,2022-04-18 00:00:00 +0000,5, , ,0,          
         ,"",D000000772,Station Casinos,8324,0,8324,2022-04-18 00:00:00 +0000,6, , ,0,          
         ,"",          ,Beu,5800,0,5800,2022-04-18 00:00:00 +0000,7, , ,0,          
         ,"",D000032183,Buckley Muething Capital Management,5800,0,5800,2022-04-18 00:00:00 +0000,7, , ,0,          
         ,"",D000021889,Cantor Fitzgerald,5800,0,5800,2022-04-18 00:00:00 +0000,7, , ,0,          
         ,"",D000021912,Citadel LLC,5800,0,5800,2022-04-18 00:00:00 +0000,7, , ,0,          
         ,"",D000032623,Civic Service Inc,5800,0,5800,2022-04-18 00:00:00 +0000,7, , ,0,          
         ,"",          ,Counts Realty & Auction Group,5800,0,5800,2022-04-18 00:00:00 +0000,7, , ,0,          
C00477653,"",D000000768,Cox Enterprises,5800,0,5800,2022-04-18 00:00:00 +0000,7, , ,0,          
         ,"",D000060990,Dimensional Fund Advisors,5800,0,5800,2022-04-18 00:00:00 +0000,7, , ,0,          
         ,"",          ,Equis Financial,5800,0,5800,2022-04-18 00:00:00 +0000,7, , ,0,          
         ,"",          ,Foster Fuels,5800,0,5800,2022-04-18 00:00:00 +0000,7, , ,0,          
         ,"",D000061337,Founders Fund,5800,0,5800,2022-04-18 00:00:00 +0000,7, , ,0,          
         ,"",D000080499,Franklin Mountain Management,5800,0,5800,2022-04-18 00:00:00 +0000,7, , ,0,          
         ,"",D000034038,Gh Palmer Assoc,5800,0,5800,2022-04-18 00:00:00 +0000,7, , ,0,          
         ,"",D000068961,Harold Simmons Foundation,5800,0,5800,2022-04-18 00:00:00 +0000,7, , ,0,          
C00432419,"",D000026534,HSP Direct,5800,0,5800,2022-04-18 00:00:00 +0000,7, , ,0,          
         ,"",D000034750,Irving Moskowitz Foundation,5800,0,5800,2022-04-18 00:00:00 +0000,7, , ,0,          
         ,"",          ,Jblc,5800,0,5800,2022-04-18 00:00:00 +0000,7, , ,0,          
         ,"",D000035735,McKee Foods,5800,0,5800,2022-04-18 00:00:00 +0000,7, , ,0,          
         ,"",D000036031,Mountaire Corp,5800,0,5800,2022-04-18 00:00:00 +0000,7, , ,0,          
         ,"",          ,Ricky L Brown Inc,5800,0,5800,2022-04-18 00:00:00 +0000,7, , ,0,          
         ,"",          ,Ryan Holdings,5800,0,5800,2022-04-18 00:00:00 +0000,7, , ,0,          
         ,"",          ,Valmore Gp,5800,0,5800,2022-04-18 00:00:00 +0000,7, , ,0,          
