pacid,affiliateid,orgid,ultorg,total,pacs,indivs,releasedate,rank,client,registrant,numlobbyists,loborgid
         ,"",D000021873,Blackstone Group                        ,81732,0,81732,2022-04-18 00:00:00 +0000,1, , ,0,          
         ,"",D000000358,KKR & Co,72500,0,72500,2022-04-18 00:00:00 +0000,2, , ,0,          
         ,"",D000021845,Apollo Global Management,51800,0,51800,2022-04-18 00:00:00 +0000,3, , ,0,          
C00247403,"",D000022158,NorPAC,51000,0,51000,2022-04-18 00:00:00 +0000,4, , ,0,          
C00248716,"",D000000461,Comcast Corp,47000,10000,37000,2022-04-18 00:00:00 +0000,5, , ,0,          
         ,"",D000000402,"Welsh, Carson et al                     ",45263,0,45263,2022-04-18 00:00:00 +0000,6, , ,0,          
         ,"",D000032451,Centerview Partners,31374,0,31374,2022-04-18 00:00:00 +0000,7, , ,0,          
         ,"",D000034338,Hart Group,31200,0,31200,2022-04-18 00:00:00 +0000,8, , ,0,          
         ,"",          ,Cowen & Co,31100,0,31100,2022-04-18 00:00:00 +0000,9, , ,0,          
         ,"",D000034683,Inserra Supermarkets,29000,0,29000,2022-04-18 00:00:00 +0000,10, , ,0,          
         ,"",          ,Gamut Capital Management,27400,0,27400,2022-04-18 00:00:00 +0000,11, , ,0,          
         ,"",          ,Snow Partners,26100,0,26100,2022-04-18 00:00:00 +0000,12, , ,0,          
         ,"",D000035594,Mapleton Investments,24000,0,24000,2022-04-18 00:00:00 +0000,13, , ,0,          
C00629709,"",          ,No Labels Problem Solvers,22399,5000,17399,2022-04-18 00:00:00 +0000,14, , ,0,          
         ,"",D000037134,Riverside Co,21900,0,21900,2022-04-18 00:00:00 +0000,15, , ,0,          
         ,"",D000065636,CVC Capital Partners,21600,0,21600,2022-04-18 00:00:00 +0000,16, , ,0,          
         ,"",D000033546,Executive Affiliates                    ,21600,0,21600,2022-04-18 00:00:00 +0000,16, , ,0,          
         ,"",D000022049,Jana Partners,21200,0,21200,2022-04-18 00:00:00 +0000,18, , ,0,          
         ,"",          ,Woka Foundation,21200,0,21200,2022-04-18 00:00:00 +0000,18, , ,0,          
C00326595,"",D000021891,Capital One Financial,20000,20000,0,2022-04-18 00:00:00 +0000,20, , ,0,          
C00583336,"",D000025831,Fiserv Inc,19850,5000,14850,2022-04-18 00:00:00 +0000,21, , ,0,          
C00085316,"",D000000222,Cigna Corp,19100,7500,11600,2022-04-18 00:00:00 +0000,22, , ,0,          
         ,"",D000068102,Breakthru Beverage Group,18163,0,18163,2022-04-18 00:00:00 +0000,23, , ,0,          
         ,"",D000000109,Blue Cross/Blue Shield,17800,15000,2800,2022-04-18 00:00:00 +0000,24, , ,0,          
C00337626,"",D000000106,Morgan Stanley,17587,10000,7587,2022-04-18 00:00:00 +0000,25, , ,0,          
         ,"",D000000811,Kirkland & Ellis,17122,0,17122,2022-04-18 00:00:00 +0000,26, , ,0,          
         ,"",          ,What If Media Group,17100,0,17100,2022-04-18 00:00:00 +0000,27, , ,0,          
C00674465,"",D000026350,Guardian Life Insurance,17000,3000,14000,2022-04-18 00:00:00 +0000,28, , ,0,          
C00550889,"",D000056587,Selective Insurance Group,17000,10000,7000,2022-04-18 00:00:00 +0000,28, , ,0,          
         ,"",D000060428,Brentwood Assoc,16600,0,16600,2022-04-18 00:00:00 +0000,30, , ,0,          
         ,"",          ,Elais B Cohen & Assoc,16600,0,16600,2022-04-18 00:00:00 +0000,30, , ,0,          
         ,"",D000073694,FTX.US,16600,0,16600,2022-04-18 00:00:00 +0000,30, , ,0,          
         ,"",D000061609,Harvest Partners,16587,0,16587,2022-04-18 00:00:00 +0000,33, , ,0,          
C00360354,"",D000023883,Amazon.com,16400,0,16400,2022-04-18 00:00:00 +0000,34, , ,0,          
         ,"",D000000464,Sullivan & Cromwell,16400,0,16400,2022-04-18 00:00:00 +0000,34, , ,0,          
         ,"",D000092342,Stablewood Properties,16354,0,16354,2022-04-18 00:00:00 +0000,36, , ,0,          
C00426775,"",D000000672,Charter Communications,16000,15000,1000,2022-04-18 00:00:00 +0000,37, , ,0,          
         ,"",D000022636,Royal Bank of Canada,16000,5000,11000,2022-04-18 00:00:00 +0000,37, , ,0,          
         ,"",          ,Halley Obrien Media,15800,0,15800,2022-04-18 00:00:00 +0000,39, , ,0,          
         ,"",D000037564,Sierra Ventures,15800,0,15800,2022-04-18 00:00:00 +0000,39, , ,0,          
         ,"",D000088986,Schonfeld Strategic Advisors,15799,0,15799,2022-04-18 00:00:00 +0000,41, , ,0,          
         ,"",D000030215,Sutherland Capital Management,15600,0,15600,2022-04-18 00:00:00 +0000,42, , ,0,          
         ,"",D000030529,Trian Partners                          ,15300,0,15300,2022-04-18 00:00:00 +0000,43, , ,0,          
         ,"",D000000333,"Kleiner, Perkins et al",15263,0,15263,2022-04-18 00:00:00 +0000,44, , ,0,          
C00027342,"",D000000069,International Brotherhood of Electrical Workers,15225,15000,225,2022-04-18 00:00:00 +0000,45, , ,0,          
         ,"",D000024255,Barclays,15100,2500,12600,2022-04-18 00:00:00 +0000,46, , ,0,          
C00696591,"",D000088444,Across the Aisle PAC,15000,15000,0,2022-04-18 00:00:00 +0000,47, , ,0,          
C00039578,"",D000000433,Council of Insurance Agents & Brokers,15000,15000,0,2022-04-18 00:00:00 +0000,47, , ,0,          
C00007922,"",D000000074,Laborers Union,15000,15000,0,2022-04-18 00:00:00 +0000,47, , ,0,          
C00023580,"",D000000084,National Assn of Letter Carriers,15000,15000,0,2022-04-18 00:00:00 +0000,47, , ,0,          
C00029504,"",D000000139,Operating Engineers Union               ,15000,15000,0,2022-04-18 00:00:00 +0000,47, , ,0,          
         ,"",D000085259,Tl Management,15000,0,15000,2022-04-18 00:00:00 +0000,47, , ,0,          
C00468314,"",D000025328,Democracy Engine,14900,0,14900,2022-04-18 00:00:00 +0000,53, , ,0,          
C00540518,"",D000021890,Capital Group Companies                 ,14600,3000,11600,2022-04-18 00:00:00 +0000,54, , ,0,          
         ,"",          ,Centennial Media,14500,0,14500,2022-04-18 00:00:00 +0000,55, , ,0,          
         ,"",D000087517,Abundant Venture Partners,14208,0,14208,2022-04-18 00:00:00 +0000,56, , ,0,          
         ,"",D000000801,Warburg Pincus,13563,0,13563,2022-04-18 00:00:00 +0000,57, , ,0,          
