pacid,affiliateid,orgid,ultorg,total,pacs,indivs,releasedate,rank,client,registrant,numlobbyists,loborgid
C90012063,"",D000028612,Republican Jewish Coalition,110794,8239,102555,2022-04-18 00:00:00 +0000,1, , ,0,          
C00303024,"",D000000104,Lockheed Martin,106084,20000,86084,2022-04-18 00:00:00 +0000,2,x, ,1,D000000104
C00278895,"",D000022145,"Nelson, Mullins et al                   ",98009,35000,63009,2022-04-18 00:00:00 +0000,3, ,x,1,D000022145
C00227546,"",D000000115,Microsoft Corp                          ,71639,37500,34139,2022-04-18 00:00:00 +0000,4,x, ,0,D000000115
C00248716,"",D000000461,Comcast Corp,59770,35000,24770,2022-04-18 00:00:00 +0000,5,x, ,1,D000000461
         ,"",D000021757,Berkshire Hathaway,59419,34500,24919,2022-04-18 00:00:00 +0000,6, , ,0,          
C00142711,"",D000000100,Boeing Co                               ,58410,25000,33410,2022-04-18 00:00:00 +0000,7,x, ,0,D000000100
C00364778,"",D000000090,Bank of America,56168,0,56168,2022-04-18 00:00:00 +0000,8, , ,0,          
C00540518,"",D000021890,Capital Group Companies                 ,56125,19000,37125,2022-04-18 00:00:00 +0000,9,x, ,0,D000021890
C00109017,"",D000000076,AT&T Inc,55807,29000,26807,2022-04-18 00:00:00 +0000,10,x, ,0,D000000076
         ,"",D000022299,US Dept of Defense,55119,0,55119,2022-04-18 00:00:00 +0000,11, , ,0,          
         ,"",D000000109,Blue Cross/Blue Shield,53142,27500,25642,2022-04-18 00:00:00 +0000,12, , ,0,          
         ,"",D000021873,Blackstone Group,52881,0,52881,2022-04-18 00:00:00 +0000,13, , ,0,          
C00088591,"",D000000170,Northrop Grumman,51687,31500,20187,2022-04-18 00:00:00 +0000,14,x, ,1,D000000170
C00009985,"",D000000202,National Assn of Broadcasters,50675,25000,25675,2022-04-18 00:00:00 +0000,15,x, ,1,D000000202
         ,"",D000000245,MacAndrews & Forbes,50253,27500,22753,2022-04-18 00:00:00 +0000,16,x, ,0,D000000245
C00300178,"",D000019743,Wells Fargo,49990,1000,48990,2022-04-18 00:00:00 +0000,17, , ,0,          
C00068692,"",D000000089,FedEx Corp,49079,23500,25579,2022-04-18 00:00:00 +0000,18,x, ,0,D000000089
         ,"",D000044144,Willoughby & Hoefer,46700,0,46700,2022-04-18 00:00:00 +0000,19, , ,0,          
C00064774,"",D000000321,NextEra Energy,46156,1000,45156,2022-04-18 00:00:00 +0000,20, , ,0,          
C00064766,"",D000000081,United Parcel Service,45580,24000,21580,2022-04-18 00:00:00 +0000,21,x, ,1,D000000081
         ,"",D000034112,GoldenTree Asset Management,45000,0,45000,2022-04-18 00:00:00 +0000,22, , ,0,          
C00027466,"",D000036122,National Republican Senatorial Cmte,44600,44600,0,2022-04-18 00:00:00 +0000,23, , ,0,          
         ,"",D000022300,US Government,43392,0,43392,2022-04-18 00:00:00 +0000,24, , ,0,          
C00097568,"",D000072615,Raytheon Technologies,42378,15000,27378,2022-04-18 00:00:00 +0000,25,x, ,1,D000072615
C00089136,"",D000000067,Altria Group,41586,32500,9086,2022-04-18 00:00:00 +0000,26,x, ,1,D000000067
C00078451,"",D000000165,General Dynamics,40059,30000,10059,2022-04-18 00:00:00 +0000,27,x, ,3,D000000165
C00104802,"",D000000350,Delta Air Lines,39845,10000,29845,2022-04-18 00:00:00 +0000,28, , ,0,          
C00093054,"",D000000367,Walmart Inc,38619,14500,24119,2022-04-18 00:00:00 +0000,29,x, ,0,D000000367
C00426775,"",D000000672,Charter Communications,37726,35000,2726,2022-04-18 00:00:00 +0000,30,x, ,1,D000000672
C00163832,"",D000000148,CSX Corp,37218,35000,2218,2022-04-18 00:00:00 +0000,31,x, ,0,D000000148
         ,"",D000023342,US Army,37121,0,37121,2022-04-18 00:00:00 +0000,32, , ,0,          
C00024869,"",D000000125,General Electric,36858,21000,15858,2022-04-18 00:00:00 +0000,33,x, ,1,D000000125
C00144774,"",D000000168,Southern Co                             ,36814,33000,3814,2022-04-18 00:00:00 +0000,34,x, ,1,D000000168
C00000729,"",D000000105,American Dental Assn,36750,35000,1750,2022-04-18 00:00:00 +0000,35,x, ,1,D000000105
C00211318,"",D000000131,Deloitte LLP,36455,22000,14455,2022-04-18 00:00:00 +0000,36,x,x,0,D000000131
         ,"",D000037597,Simms Commercial Development,36200,0,36200,2022-04-18 00:00:00 +0000,37, , ,0,          
         ,"",D000000720,IBM Corp,35476,0,35476,2022-04-18 00:00:00 +0000,38, , ,0,          
C00034132,"",D000000277,Fluor Corp                              ,35019,17500,17519,2022-04-18 00:00:00 +0000,39,x, ,2,D000000277
C00009282,"",D000019639,Norfolk Southern,33703,32500,1203,2022-04-18 00:00:00 +0000,40,x, ,0,D000019639
C00370114,"",D000000414,Charles Schwab Corp,33482,0,33482,2022-04-18 00:00:00 +0000,41, , ,0,          
C70002563,"",D000000062,National Assn of Realtors,33153,32500,653,2022-04-18 00:00:00 +0000,42,x, ,0,D000000062
         ,"",D000030737,US Postal Service,33052,0,33052,2022-04-18 00:00:00 +0000,43, , ,0,          
C00284885,"",D000000419,Home Depot,32536,20000,12536,2022-04-18 00:00:00 +0000,44,x, ,1,D000000419
         ,"",D000030736,US Navy                                 ,32496,0,32496,2022-04-18 00:00:00 +0000,45, , ,0,          
C00015933,"",D000000658,Pinnacle West Capital,32431,27500,4931,2022-04-18 00:00:00 +0000,46,x, ,0,D000000658
         ,"",D000036887,PVS Chemicals,32400,0,32400,2022-04-18 00:00:00 +0000,47, , ,0,          
         ,"",D000023074,US Air Force,32314,0,32314,2022-04-18 00:00:00 +0000,48, , ,0,          
C00096156,"",D000000334,Honeywell International,32307,25000,7307,2022-04-18 00:00:00 +0000,49,x, ,0,D000000334
         ,"",D000000803,Sequoia Capital,32200,0,32200,2022-04-18 00:00:00 +0000,50, , ,0,          
         ,"",D000034490,HJ Kalikow & Co                         ,32000,0,32000,2022-04-18 00:00:00 +0000,51, , ,0,          
C00379628,"",D000028057,Nucor Corp,31825,10000,21825,2022-04-18 00:00:00 +0000,52, , ,0,          
         ,"",D000067697,American Airlines Group,31640,0,31640,2022-04-18 00:00:00 +0000,53, , ,0,          
         ,"",D000022121,Motley Rice LLC,31288,0,31288,2022-04-18 00:00:00 +0000,54, , ,0,          
         ,"",          ,Parman Capital Group,31200,0,31200,2022-04-18 00:00:00 +0000,55, , ,0,          
C00186288,"",D000000079,Verizon Communications,31181,17500,13681,2022-04-18 00:00:00 +0000,56,x, ,1,D000000079
C00010470,"",D000000118,Union Pacific Corp,31089,30000,1089,2022-04-18 00:00:00 +0000,57,x, ,1,D000000118
C00693002,"",D000071760,Fox Corp,30773,20000,10773,2022-04-18 00:00:00 +0000,58, , ,0,          
C00400705,"",D000028488,Publix Super Markets,30379,10000,20379,2022-04-18 00:00:00 +0000,59, , ,0,          
C00103549,"",D000022175,Parsons Corp,30185,30000,185,2022-04-18 00:00:00 +0000,60,x, ,0,D000022175
C00001198,"",D000023971,American Hotel & Lodging Assn,30000,30000,0,2022-04-18 00:00:00 +0000,61,x, ,1,D000023971
C00128512,"",D000000103,JPMorgan Chase & Co,29928,6000,23928,2022-04-18 00:00:00 +0000,62, , ,0,          
C00323048,"",D000000422,Oracle Corp,29294,2500,26794,2022-04-18 00:00:00 +0000,63, , ,0,          
C00390583,"",D000000724,"Brownstein, Hyatt et al",28700,7500,21200,2022-04-18 00:00:00 +0000,64, , ,0,          
         ,"",D000068964,US Immigration Fund,28400,0,28400,2022-04-18 00:00:00 +0000,65,x, ,0,D000068964
C00674242,"",D000070920,JUUL Labs,27400,0,27400,2022-04-18 00:00:00 +0000,66, , ,0,          
C00108209,"",D000000335,Dominion Energy,27227,25000,2227,2022-04-18 00:00:00 +0000,67,x, ,0,D000000335
         ,"",D000021464,United Airlines Holdings,26659,0,26659,2022-04-18 00:00:00 +0000,68, , ,0,          
         ,"",D000061745,Hunt Companies,26405,0,26405,2022-04-18 00:00:00 +0000,69,x, ,0,D000061745
         ,"",D000032285,Capital Group,26253,0,26253,2022-04-18 00:00:00 +0000,70, , ,0,          
         ,"",D000000812,State of California                     ,26206,0,26206,2022-04-18 00:00:00 +0000,71, , ,0,          
         ,"",D000034986,Kaiser Permanente                       ,25536,0,25536,2022-04-18 00:00:00 +0000,72, , ,0,          
C00386524,"",D000072145,Truist Financial,25524,5000,20524,2022-04-18 00:00:00 +0000,73, , ,0,          
         ,"",D000021982,Fierce Government Relations,25500,0,25500,2022-04-18 00:00:00 +0000,74, ,x,1,D000021982
C00076810,"",D000000155,General Motors                          ,25181,13500,11681,2022-04-18 00:00:00 +0000,75, , ,0,          
C00107235,"",D000000124,PricewaterhouseCoopers,24929,10000,14929,2022-04-18 00:00:00 +0000,76, , ,0,          
C00412395,"",D000021952,DCI Group,24825,1000,23825,2022-04-18 00:00:00 +0000,77, , ,0,          
C00281212,"",D000000583,BAE Systems,24802,20000,4802,2022-04-18 00:00:00 +0000,78,x, ,0,D000000583
C00215285,"",D000000317,General Atomics,24749,10000,14749,2022-04-18 00:00:00 +0000,79, , ,0,          
         ,"",D000021845,Apollo Global Management,24717,0,24717,2022-04-18 00:00:00 +0000,80, , ,0,          
         ,"",D000000659,State Farm Insurance,24644,3000,21644,2022-04-18 00:00:00 +0000,81, , ,0,          
         ,"",D000030730,US Dept of Veterans Affairs,24636,0,24636,2022-04-18 00:00:00 +0000,82, , ,0,          
         ,"",D000084432,Palmetto Surety Corp,24525,0,24525,2022-04-18 00:00:00 +0000,83, , ,0,          
C00360354,"",D000023883,Amazon.com                              ,24502,6000,18502,2022-04-18 00:00:00 +0000,84, , ,0,          
C00236489,"",D000000186,Koch Industries,24008,15000,9008,2022-04-18 00:00:00 +0000,85,x, ,0,D000000186
C00009423,"",D000022070,Land O'Lakes,23910,8500,15410,2022-04-18 00:00:00 +0000,86, , ,0,          
         ,"",D000061285,Fisher Investments,23855,0,23855,2022-04-18 00:00:00 +0000,87,x, ,0,D000061285
C00034405,"",D000000171,International Paper,23830,20000,3830,2022-04-18 00:00:00 +0000,88,x, ,1,D000000171
         ,"",D000057532,Texas Children's Hospital                         ,23810,0,23810,2022-04-18 00:00:00 +0000,89, , ,0,          
C00197749,"",D000000128,Walt Disney Co,23726,15000,8726,2022-04-18 00:00:00 +0000,90, , ,0,          
C00546101,"",D000067048,News Corp,23537,7000,16537,2022-04-18 00:00:00 +0000,91, , ,0,          
C00104901,"",D000000162,"Akin, Gump et al",23445,8000,15445,2022-04-18 00:00:00 +0000,92, , ,0,          
         ,"",D000031869,"Beasley, Allen et al",23000,0,23000,2022-04-18 00:00:00 +0000,93, , ,0,          
C00063164,"",D000000373,McDonald's Corp,22526,2500,20026,2022-04-18 00:00:00 +0000,94, , ,0,          
         ,"",D000042406,Samsung Group,22524,20500,2024,2022-04-18 00:00:00 +0000,95, , ,0,          
         ,"",D000000406,University of California                ,22475,0,22475,2022-04-18 00:00:00 +0000,96, , ,0,          
C00100321,"",D000071910,L3Harris Technologies,22444,14000,8444,2022-04-18 00:00:00 +0000,97, , ,0,          
C00083535,"",D000000477,Duke Energy,22199,10000,12199,2022-04-18 00:00:00 +0000,98,x, ,0,D000000477
C00121368,"",D000000129,Exxon Mobil,22153,10000,12153,2022-04-18 00:00:00 +0000,99, , ,0,          
         ,"",D000020995,UBS AG,22075,10000,12075,2022-04-18 00:00:00 +0000,100, , ,0,          
