pacid,affiliateid,orgid,ultorg,total,pacs,indivs,releasedate,rank,client,registrant,numlobbyists,loborgid
C00699470,"",D000073971,Pro-Israel America Pac,113500,2500,111000,2022-04-18 00:00:00 +0000,1, , ,0,          
C00303024,"",D000000104,Lockheed Martin,41400,13000,28400,2022-04-18 00:00:00 +0000,2, , ,0,          
C00215285,"",D000000317,General Atomics,30600,5000,25600,2022-04-18 00:00:00 +0000,3, , ,0,          
         ,"",D000061745,Hunt Companies,20300,0,20300,2022-04-18 00:00:00 +0000,4, , ,0,          
C00546234,"",D000000369,Leidos Inc,20000,20000,0,2022-04-18 00:00:00 +0000,5, , ,0,          
C00797670,"",D000046963,American Israel Public Affairs Cmte,17800,5800,12000,2022-04-18 00:00:00 +0000,6, , ,0,          
C00097568,"",D000072615,Raytheon Technologies,16000,16000,0,2022-04-18 00:00:00 +0000,7, , ,0,          
         ,"",D000083448,Charles & Potomac Capital,15500,0,15500,2022-04-18 00:00:00 +0000,8, , ,0,          
C00088591,"",D000000170,Northrop Grumman,15001,15000,1,2022-04-18 00:00:00 +0000,9, , ,0,          
C00235739,"",          ,BNSF Railway,15000,15000,0,2022-04-18 00:00:00 +0000,10, , ,0,          
C00426775,"",D000000672,Charter Communications,15000,15000,0,2022-04-18 00:00:00 +0000,10, , ,0,          
C00078451,"",D000000165,General Dynamics,15000,15000,0,2022-04-18 00:00:00 +0000,10, , ,0,          
C00100321,"",D000071910,L3Harris Technologies,15000,15000,0,2022-04-18 00:00:00 +0000,10, , ,0,          
C00428052,"",D000027353,Majority Cmte PAC,15000,15000,0,2022-04-18 00:00:00 +0000,10, , ,0,          
C00075341,"",D000000355,Motorola Solutions,15000,15000,0,2022-04-18 00:00:00 +0000,10, , ,0,          
C70002563,"",D000000062,National Assn of Realtors,15000,15000,0,2022-04-18 00:00:00 +0000,10, , ,0,          
         ,"",D000044899,Hillwood Development,14700,0,14700,2022-04-18 00:00:00 +0000,17, , ,0,          
