pacid,affiliateid,orgid,ultorg,total,pacs,indivs,releasedate,rank,client,registrant,numlobbyists,loborgid
C00608943,"",          ,ClearPath Action,21600,0,21600,2022-04-18 00:00:00 +0000,1, , ,0,          
C00109546,"",D000022303,Valero Energy,15000,15000,0,2022-04-18 00:00:00 +0000,2, , ,0,          
         ,"",D000031752,B&G Food Enterprises,11600,0,11600,2022-04-18 00:00:00 +0000,3, , ,0,          
         ,"",          ,Dynasty Healthcare Management,11600,0,11600,2022-04-18 00:00:00 +0000,3, , ,0,          
C00382796,"",D000035370,LHC Group,11600,0,11600,2022-04-18 00:00:00 +0000,3, , ,0,          
C00142711,"",D000000100,Boeing Co,11500,11500,0,2022-04-18 00:00:00 +0000,6, , ,0,          
C00083857,"",D000000206,Occidental Petroleum,10400,7500,2900,2022-04-18 00:00:00 +0000,7, , ,0,          
C00035451,"",D000000117,Air Line Pilots Assn,10000,10000,0,2022-04-18 00:00:00 +0000,8, , ,0,          
C00081414,"",D000000366,American Sugar Cane League,10000,10000,0,2022-04-18 00:00:00 +0000,8, , ,0,          
         ,"",D000021939,Cornerstone Government Affairs,10000,0,10000,2022-04-18 00:00:00 +0000,8, , ,0,          
C00467431,"",D000070192,Eye of the Tiger PAC,10000,10000,0,2022-04-18 00:00:00 +0000,8, , ,0,          
C00284885,"",D000000419,Home Depot,10000,10000,0,2022-04-18 00:00:00 +0000,8, , ,0,          
         ,"",D000078894,Rainwater Consulting LLC,10000,0,10000,2022-04-18 00:00:00 +0000,8, , ,0,          
         ,"",D000032228,Cajun Industries,8700,0,8700,2022-04-18 00:00:00 +0000,14, , ,0,          
         ,"",          ,"Lawrence E Marino, Aplc",8600,0,8600,2022-04-18 00:00:00 +0000,15, , ,0,          
C00236489,"",D000000186,Koch Industries,8000,8000,0,2022-04-18 00:00:00 +0000,16, , ,0,          
C00104802,"",D000000350,Delta Air Lines,7500,7500,0,2022-04-18 00:00:00 +0000,17, , ,0,          
C00366070,"",D000025772,Federal Aviation Admin Managers Assn,7500,7500,0,2022-04-18 00:00:00 +0000,17, , ,0,          
C00478099,"",D000045889,Atlas Air Worldwide,7000,7000,0,2022-04-18 00:00:00 +0000,19, , ,0,          
         ,"",D000021757,Berkshire Hathaway,6500,6500,0,2022-04-18 00:00:00 +0000,20, , ,0,          
C00107300,"",          ,American Airlines,6000,6000,0,2022-04-18 00:00:00 +0000,21, , ,0,          
C00346353,"",          ,CRH Americas,6000,6000,0,2022-04-18 00:00:00 +0000,21, , ,0,          
C00236778,"",D000022172,Owner-Operator Independent Drivers Assn,6000,6000,0,2022-04-18 00:00:00 +0000,21, , ,0,          
         ,"",D000083817,Bollinger Enterprises                             ,5800,0,5800,2022-04-18 00:00:00 +0000,24, , ,0,          
         ,"",          ,Capital City Produce,5800,0,5800,2022-04-18 00:00:00 +0000,24, , ,0,          
         ,"",          ,Cornerstone Govt Relations,5800,0,5800,2022-04-18 00:00:00 +0000,24, , ,0,          
         ,"",D000050069,Deloach Marine Services,5800,0,5800,2022-04-18 00:00:00 +0000,24, , ,0,          
         ,"",D000092393,Gordon McKernan Injury Attorneys,5800,0,5800,2022-04-18 00:00:00 +0000,24, , ,0,          
         ,"",D000088966,Matilda Stream Management,5800,0,5800,2022-04-18 00:00:00 +0000,24, , ,0,          
         ,"",          ,Pontchartrain Partners,5800,0,5800,2022-04-18 00:00:00 +0000,24, , ,0,          
         ,"",          ,Vip International,5800,0,5800,2022-04-18 00:00:00 +0000,24, , ,0,          
         ,"",D000030901,Wampold Companies,5800,0,5800,2022-04-18 00:00:00 +0000,24, , ,0,          
         ,"",          ,Morris P Hebert Inc,5600,0,5600,2022-04-18 00:00:00 +0000,33, , ,0,          
C00226472,"",D000023754,Adams & Reese,5000,5000,0,2022-04-18 00:00:00 +0000,34, , ,0,          
C00259572,"",D000024034,American Clean Power Assn,5000,5000,0,2022-04-18 00:00:00 +0000,34, , ,0,          
C00110338,"",D000000219,American Crystal Sugar,5000,5000,0,2022-04-18 00:00:00 +0000,34, , ,0,          
C00415026,"",D000027874,American Fuel & Petrochem Manufacturers,5000,5000,0,2022-04-18 00:00:00 +0000,34, , ,0,          
C00255752,"",D000000199,American Society of Anesthesiologists,5000,5000,0,2022-04-18 00:00:00 +0000,34, , ,0,          
C00249532,"",D000024020,American Sportfishing Assn,5000,5000,0,2022-04-18 00:00:00 +0000,34, , ,0,          
C00442913,"",D000024518,Burns & McDonnell,5000,5000,0,2022-04-18 00:00:00 +0000,34, , ,0,          
C00035006,"",D000000015,Chevron Corp,5000,5000,0,2022-04-18 00:00:00 +0000,34, , ,0,          
C00469429,"",D000065616,CMR PAC,5000,5000,0,2022-04-18 00:00:00 +0000,34, , ,0,          
C00363879,"",D000000255,Entergy Corp,5000,5000,0,2022-04-18 00:00:00 +0000,34, , ,0,          
C00068692,"",D000000089,FedEx Corp,5000,5000,0,2022-04-18 00:00:00 +0000,34, , ,0,          
C00076810,"",D000000155,General Motors,5000,5000,0,2022-04-18 00:00:00 +0000,34, , ,0,          
C00557322,"",D000034447,Hess Corp,5000,5000,0,2022-04-18 00:00:00 +0000,34, , ,0,          
C00139451,"",          ,Kansas City Southern,5000,5000,0,2022-04-18 00:00:00 +0000,34, , ,0,          
C00496307,"",D000023121,Marathon Petroleum,5000,5000,0,2022-04-18 00:00:00 +0000,34, , ,0,          
C00238725,"",D000000285,National Air Traffic Controllers Assn,5000,5000,0,2022-04-18 00:00:00 +0000,34, , ,0,          
C00126763,"",D000000240,National Assn of Convenience Stores,5000,5000,0,2022-04-18 00:00:00 +0000,34, , ,0,          
C00040998,"",D000000080,National Auto Dealers Assn,5000,5000,0,2022-04-18 00:00:00 +0000,34, , ,0,          
C00374355,"",D000029034,Shipbuilders Council of America,5000,5000,0,2022-04-18 00:00:00 +0000,34, , ,0,          
C00064766,"",D000000081,United Parcel Service,5000,5000,0,2022-04-18 00:00:00 +0000,34, , ,0,          
C00100404,"",D000070010,United Postmasters & Managers of America,5000,5000,0,2022-04-18 00:00:00 +0000,34, , ,0,          
C00040394,"",D000000480,Williams Companies,5000,5000,0,2022-04-18 00:00:00 +0000,34, , ,0,          
         ,"",D000070264,CSRS Inc,4900,0,4900,2022-04-18 00:00:00 +0000,56, , ,0,          
C00002881,"",D000000177,American Trucking Assns,4000,4000,0,2022-04-18 00:00:00 +0000,57, , ,0,          
C00319723,"",D000054186,National Business Aviation Assn,4000,4000,0,2022-04-18 00:00:00 +0000,57, , ,0,          
C00286807,"",          ,Professional Aviation Safety Specialists,4000,4000,0,2022-04-18 00:00:00 +0000,57, , ,0,          
         ,"",D000037401,Scalise for Congress,4000,4000,0,2022-04-18 00:00:00 +0000,57, , ,0,          
C00010470,"",D000000118,Union Pacific Corp,4000,4000,0,2022-04-18 00:00:00 +0000,57, , ,0,          
         ,"",D000060861,Crossroads Strategies,3500,0,3500,2022-04-18 00:00:00 +0000,62, , ,0,          
C00078451,"",D000000165,General Dynamics,3500,3500,0,2022-04-18 00:00:00 +0000,62, , ,0,          
C00386029,"",D000045854,HNTB Holdings,3500,3500,0,2022-04-18 00:00:00 +0000,62, , ,0,          
C00034405,"",D000000171,International Paper,3500,3500,0,2022-04-18 00:00:00 +0000,62, , ,0,          
C00144170,"",D000027283,Louisianans for American Security,3500,3500,0,2022-04-18 00:00:00 +0000,62, , ,0,          
C00002972,"",D000000153,National Rural Electric Cooperative Assn,3500,3500,0,2022-04-18 00:00:00 +0000,62, , ,0,          
C00089458,"",D000022140,"National Stone, Sand & Gravel Assn",3500,3500,0,2022-04-18 00:00:00 +0000,62, , ,0,          
C00488262,"",D000070195,Netjets Assn of Shared Aircraft Pilots,3500,3500,0,2022-04-18 00:00:00 +0000,62, , ,0,          
C00286401,"",D000000145,Seafarers International Union,3500,3500,0,2022-04-18 00:00:00 +0000,62, , ,0,          
C00341602,"",D000000785,Southwest Airlines,3500,3500,0,2022-04-18 00:00:00 +0000,62, , ,0,          
C00360669,"",D000029139,Southwest Airlines Pilots Assn,3500,3500,0,2022-04-18 00:00:00 +0000,62, , ,0,          
         ,"",D000057156,Starmount Life Insurance,3500,0,3500,2022-04-18 00:00:00 +0000,62, , ,0,          
         ,"",          ,Brown & Root Industrial Services LLC,3400,0,3400,2022-04-18 00:00:00 +0000,74, , ,0,          
         ,"",          ,Campbell LLC,3400,0,3400,2022-04-18 00:00:00 +0000,74, , ,0,          
C00114694,"",D000000545,Airlines for America,3000,2500,500,2022-04-18 00:00:00 +0000,76, , ,0,          
C00004275,"",D000000087,American Bankers Assn,3000,3000,0,2022-04-18 00:00:00 +0000,76, , ,0,          
C00112896,"",D000000303,ConocoPhillips,3000,2500,500,2022-04-18 00:00:00 +0000,76, , ,0,          
C00163832,"",D000000148,CSX Corp,3000,3000,0,2022-04-18 00:00:00 +0000,76, , ,0,          
C70002563,"",D000000062,National Assn of Realtors,3000,3000,0,2022-04-18 00:00:00 +0000,76, , ,0,          
C00101766,"",          ,United Airlines,3000,3000,0,2022-04-18 00:00:00 +0000,76, , ,0,          
C00236034,"",D000029797,Werner Enterprises,3000,3000,0,2022-04-18 00:00:00 +0000,76, , ,0,          
         ,"",D000078268,Barriere Construction,2900,0,2900,2022-04-18 00:00:00 +0000,83, , ,0,          
C00701631,"",D000074353,Bascom Hunter Technologies,2900,2900,0,2022-04-18 00:00:00 +0000,83, , ,0,          
         ,"",          ,Battle Group,2900,0,2900,2022-04-18 00:00:00 +0000,83, , ,0,          
         ,"",          ,Beur Industries,2900,0,2900,2022-04-18 00:00:00 +0000,83, , ,0,          
         ,"",          ,Blue Bayou Water Park,2900,0,2900,2022-04-18 00:00:00 +0000,83, , ,0,          
         ,"",D000032041,Bollinger Shipyards,2900,0,2900,2022-04-18 00:00:00 +0000,83, , ,0,          
         ,"",          ,Cajun Ready Mix Concrete LLC,2900,0,2900,2022-04-18 00:00:00 +0000,83, , ,0,          
         ,"",D000076186,Digital Engineering & Imaging Inc,2900,0,2900,2022-04-18 00:00:00 +0000,83, , ,0,          
         ,"",          ,Emergent Method,2900,0,2900,2022-04-18 00:00:00 +0000,83, , ,0,          
         ,"",          ,Environmental/Martin Ecosystems LLC,2900,0,2900,2022-04-18 00:00:00 +0000,83, , ,0,          
         ,"",          ,Exit Momentum,2900,0,2900,2022-04-18 00:00:00 +0000,83, , ,0,          
         ,"",          ,Fidelis Infrastructure LP,2900,0,2900,2022-04-18 00:00:00 +0000,83, , ,0,          
         ,"",          ,Forte & Tablada,2900,0,2900,2022-04-18 00:00:00 +0000,83, , ,0,          
         ,"",          ,Gaubert Oil Co,2900,0,2900,2022-04-18 00:00:00 +0000,83, , ,0,          
         ,"",          ,Gmfs Mortgage Lender,2900,0,2900,2022-04-18 00:00:00 +0000,83, , ,0,          
         ,"",          ,H2bravo LLC,2900,0,2900,2022-04-18 00:00:00 +0000,83, , ,0,          
         ,"",          ,Hailmar Shipyard,2900,0,2900,2022-04-18 00:00:00 +0000,83, , ,0,          
         ,"",          ,Hga,2900,0,2900,2022-04-18 00:00:00 +0000,83, , ,0,          
         ,"",          ,Hollingsworth Richards Ford,2900,0,2900,2022-04-18 00:00:00 +0000,83, , ,0,          
         ,"",D000034780,Jack Lawton Inc,2900,0,2900,2022-04-18 00:00:00 +0000,83, , ,0,          
         ,"",          ,Krb Advisors,2900,0,2900,2022-04-18 00:00:00 +0000,83, , ,0,          
         ,"",          ,Lemoine Co,2900,0,2900,2022-04-18 00:00:00 +0000,83, , ,0,          
         ,"",D000062175,"Linfield, Hunter & Junius",2900,0,2900,2022-04-18 00:00:00 +0000,83, , ,0,          
         ,"",          ,Magnolia Companies of La,2900,0,2900,2022-04-18 00:00:00 +0000,83, , ,0,          
         ,"",D000062267,Magnolia Holdings,2900,0,2900,2022-04-18 00:00:00 +0000,83, , ,0,          
         ,"",D000035550,Magnolia Marketing,2900,0,2900,2022-04-18 00:00:00 +0000,83, , ,0,          
         ,"",          ,Newtron Group,2900,0,2900,2022-04-18 00:00:00 +0000,83, , ,0,          
         ,"",D000074844,Plexos Group,2900,0,2900,2022-04-18 00:00:00 +0000,83, , ,0,          
