pacid,affiliateid,orgid,ultorg,total,pacs,indivs,releasedate,rank,client,registrant,numlobbyists,loborgid
         ,"",D000051780,Herzog,66000,15000,51000,2022-04-18 00:00:00 +0000,1, , ,0,          
C00078451,"",D000000165,General Dynamics,25500,11000,14500,2022-04-18 00:00:00 +0000,2, , ,0,          
C00035451,"",D000000117,Air Line Pilots Assn,17500,17500,0,2022-04-18 00:00:00 +0000,3, , ,0,          
C00068692,"",D000000089,FedEx Corp,15000,15000,0,2022-04-18 00:00:00 +0000,4, , ,0,          
C00023580,"",D000000084,National Assn of Letter Carriers,15000,15000,0,2022-04-18 00:00:00 +0000,4, , ,0,          
C00142711,"",D000000100,Boeing Co,13500,12000,1500,2022-04-18 00:00:00 +0000,6, , ,0,          
C00488262,"",D000070195,Netjets Assn of Shared Aircraft Pilots,13500,13500,0,2022-04-18 00:00:00 +0000,6, , ,0,          
C00097865,"",D000027807,National Assn of Truck Stop Operators,12500,12500,0,2022-04-18 00:00:00 +0000,8, , ,0,          
C00763623,"",D000073362,Anduril Industries,11600,0,11600,2022-04-18 00:00:00 +0000,9, , ,0,          
         ,"",D000032041,Bollinger Shipyards,11600,0,11600,2022-04-18 00:00:00 +0000,9, , ,0,          
C00107300,"",          ,American Airlines,11100,10000,1100,2022-04-18 00:00:00 +0000,11, , ,0,          
C00335091,"",D000029500,Transportation Intermediaries Assn,11000,11000,0,2022-04-18 00:00:00 +0000,12, , ,0,          
C00131185,"",D000000233,Aircraft Owners & Pilots Assn,10000,10000,0,2022-04-18 00:00:00 +0000,13, , ,0,          
C00010868,"",D000000682,American Council of Engineering Cos,10000,10000,0,2022-04-18 00:00:00 +0000,13, , ,0,          
C00001016,"",D000000073,Carpenters & Joiners Union,10000,10000,0,2022-04-18 00:00:00 +0000,13, , ,0,          
C00104802,"",D000000350,Delta Air Lines,10000,10000,0,2022-04-18 00:00:00 +0000,13, , ,0,          
C00215285,"",D000000317,General Atomics,10000,10000,0,2022-04-18 00:00:00 +0000,13, , ,0,          
C00076810,"",D000000155,General Motors,10000,10000,0,2022-04-18 00:00:00 +0000,13, , ,0,          
C00428052,"",D000027353,Majority Cmte PAC,10000,10000,0,2022-04-18 00:00:00 +0000,13, , ,0,          
C70002563,"",D000000062,National Assn of Realtors,10000,10000,0,2022-04-18 00:00:00 +0000,13, , ,0,          
C00113811,"",D000000411,National Electrical Contractors Assn,10000,10000,0,2022-04-18 00:00:00 +0000,13, , ,0,          
C00004101,"",D000000387,National Utility Contractors Assn,10000,10000,0,2022-04-18 00:00:00 +0000,13, , ,0,          
C00009282,"",D000019639,Norfolk Southern,10000,10000,0,2022-04-18 00:00:00 +0000,13, , ,0,          
C00268904,"",D000029514,Trinity Industries,10000,10000,0,2022-04-18 00:00:00 +0000,13, , ,0,          
C00064766,"",D000000081,United Parcel Service,10000,10000,0,2022-04-18 00:00:00 +0000,13, , ,0,          
C00040394,"",D000000480,Williams Companies,10000,10000,0,2022-04-18 00:00:00 +0000,13, , ,0,          
C00236489,"",D000000186,Koch Industries,9500,9500,0,2022-04-18 00:00:00 +0000,27, , ,0,          
C00113241,"",D000027790,National Apartment Assn,9000,9000,0,2022-04-18 00:00:00 +0000,28, , ,0,          
C00319723,"",D000054186,National Business Aviation Assn,9000,9000,0,2022-04-18 00:00:00 +0000,28, , ,0,          
         ,"",D000021757,Berkshire Hathaway,8500,8000,500,2022-04-18 00:00:00 +0000,30, , ,0,          
C00034488,"",          ,Anheuser-Busch,8100,2500,5600,2022-04-18 00:00:00 +0000,31, , ,0,          
         ,"",D000071788,Picard Group,8000,0,8000,2022-04-18 00:00:00 +0000,32, , ,0,          
         ,"",D000043885,New Quest Properties,7800,0,7800,2022-04-18 00:00:00 +0000,33, , ,0,          
C00096156,"",D000000334,Honeywell International,7535,7500,35,2022-04-18 00:00:00 +0000,34, , ,0,          
C00346353,"",          ,CRH Americas,7500,7500,0,2022-04-18 00:00:00 +0000,35, , ,0,          
C00151787,"",          ,Cubic Corp,7500,7500,0,2022-04-18 00:00:00 +0000,35, , ,0,          
C00366070,"",D000025772,Federal Aviation Admin Managers Assn,7500,7500,0,2022-04-18 00:00:00 +0000,35, , ,0,          
C00144766,"",D000000101,National Beer Wholesalers Assn,7500,7500,0,2022-04-18 00:00:00 +0000,35, , ,0,          
C00089458,"",D000022140,"National Stone, Sand & Gravel Assn",7500,7500,0,2022-04-18 00:00:00 +0000,35, , ,0,          
C00029504,"",D000000139,Operating Engineers Union,7500,7500,0,2022-04-18 00:00:00 +0000,35, , ,0,          
C00236778,"",D000022172,Owner-Operator Independent Drivers Assn,7500,7500,0,2022-04-18 00:00:00 +0000,35, , ,0,          
C00206136,"",D000023888,Ameren Corp,7000,7000,0,2022-04-18 00:00:00 +0000,42, , ,0,          
C00163832,"",D000000148,CSX Corp,7000,7000,0,2022-04-18 00:00:00 +0000,42, , ,0,          
C00010470,"",D000000118,Union Pacific Corp,7000,7000,0,2022-04-18 00:00:00 +0000,42, , ,0,          
         ,"",D000000147,Marine Engineers Beneficial Assn,6500,6500,0,2022-04-18 00:00:00 +0000,45, , ,0,          
C00103549,"",D000022175,Parsons Corp,6250,6000,250,2022-04-18 00:00:00 +0000,46, , ,0,          
C00418269,"",          ,American Commercial Barge Line,6000,6000,0,2022-04-18 00:00:00 +0000,47, , ,0,          
         ,"",          ,Atha Brothers,6000,0,6000,2022-04-18 00:00:00 +0000,47, , ,0,          
C00008169,"",D000013530,Missouri ACRE,6000,6000,0,2022-04-18 00:00:00 +0000,47, , ,0,          
C00114025,"",D000027877,National Ready Mixed Concrete Assn,6000,6000,0,2022-04-18 00:00:00 +0000,47, , ,0,          
         ,"",D000078894,Rainwater Consulting LLC,6000,0,6000,2022-04-18 00:00:00 +0000,47, , ,0,          
C00687558,"",D000074393,Rising Phoenix Holdings,6000,5000,1000,2022-04-18 00:00:00 +0000,47, , ,0,          
C00286401,"",D000000145,Seafarers International Union,6000,6000,0,2022-04-18 00:00:00 +0000,47, , ,0,          
         ,"",          ,Critical Care Pharmacy,5800,0,5800,2022-04-18 00:00:00 +0000,54, , ,0,          
         ,"",          ,Herzog LLC,5800,0,5800,2022-04-18 00:00:00 +0000,54, , ,0,          
         ,"",D000052666,Kansas City Royals,5800,0,5800,2022-04-18 00:00:00 +0000,54, , ,0,          
C00132456,"",D000028454,Professional Services Council,5800,5800,0,2022-04-18 00:00:00 +0000,54, , ,0,          
         ,"",D000035140,Kleinheinz Capital Partners,5600,0,5600,2022-04-18 00:00:00 +0000,58, , ,0,          
         ,"",D000031076,Williams Brothers Construction,5600,0,5600,2022-04-18 00:00:00 +0000,58, , ,0,          
C00281212,"",D000000583,BAE Systems,5500,5500,0,2022-04-18 00:00:00 +0000,60, , ,0,          
C00142299,"",D000000371,Jacobs Engineering Group,5500,5500,0,2022-04-18 00:00:00 +0000,60, , ,0,          
C00097568,"",D000072615,Raytheon Technologies,5500,5500,0,2022-04-18 00:00:00 +0000,60, , ,0,          
C00219642,"",          ,Enterprise Holdings,5400,2500,2900,2022-04-18 00:00:00 +0000,63, , ,0,          
C00147173,"",D000000356,Wine & Spirits Wholesalers of America,5252,5252,0,2022-04-18 00:00:00 +0000,64, , ,0,          
C00424382,"",D000026558,Husch Blackwell LLP,5100,2500,2600,2022-04-18 00:00:00 +0000,65, , ,0,          
C00109017,"",D000000076,AT&T Inc,5007,5000,7,2022-04-18 00:00:00 +0000,66, , ,0,          
C00252338,"",D000000365,American Chemistry Council,5000,5000,0,2022-04-18 00:00:00 +0000,67, , ,0,          
C00002881,"",D000000177,American Trucking Assns,5000,5000,0,2022-04-18 00:00:00 +0000,67, , ,0,          
C00559146,"",          ,Believe in Life Liberty Yourself,5000,5000,0,2022-04-18 00:00:00 +0000,67, , ,0,          
C00442913,"",D000024518,Burns & McDonnell,5000,5000,0,2022-04-18 00:00:00 +0000,67, , ,0,          
C00467431,"",D000070192,Eye of the Tiger PAC,5000,5000,0,2022-04-18 00:00:00 +0000,67, , ,0,          
C00046474,"",D000000182,Ford Motor Co,5000,5000,0,2022-04-18 00:00:00 +0000,67, , ,0,          
C00386029,"",D000045854,HNTB Holdings,5000,5000,0,2022-04-18 00:00:00 +0000,67, , ,0,          
C00284885,"",D000000419,Home Depot,5000,5000,0,2022-04-18 00:00:00 +0000,67, , ,0,          
C00543710,"",D000075406,Huitt-Zollars Inc,5000,5000,0,2022-04-18 00:00:00 +0000,67, , ,0,          
C00238725,"",D000000285,National Air Traffic Controllers Assn,5000,5000,0,2022-04-18 00:00:00 +0000,67, , ,0,          
C00126763,"",D000000240,National Assn of Convenience Stores,5000,5000,0,2022-04-18 00:00:00 +0000,67, , ,0,          
C90016437,"",D000000086,National Assn of Home Builders,5000,5000,0,2022-04-18 00:00:00 +0000,67, , ,0,          
C00170258,"",D000027814,National Assn of Mutual Insurance Companies,5000,5000,0,2022-04-18 00:00:00 +0000,67, , ,0,          
C00002972,"",D000000153,National Rural Electric Cooperative Assn,5000,5000,0,2022-04-18 00:00:00 +0000,67, , ,0,          
C00002790,"",D000028131,Olin Corp,5000,5000,0,2022-04-18 00:00:00 +0000,67, , ,0,          
C00237065,"",D000000442,Portland Cement Assn,5000,5000,0,2022-04-18 00:00:00 +0000,67, , ,0,          
C00344648,"",D000022218,Rely on Your Beliefs,5000,5000,0,2022-04-18 00:00:00 +0000,67, , ,0,          
C00411694,"",          ,Saltchuk Resources,5000,5000,0,2022-04-18 00:00:00 +0000,67, , ,0,          
C00144774,"",D000000168,Southern Co                             ,5000,5000,0,2022-04-18 00:00:00 +0000,67, , ,0,          
C00360669,"",D000029139,Southwest Airlines Pilots Assn,5000,5000,0,2022-04-18 00:00:00 +0000,67, , ,0,          
C00499400,"",D000071019,Truck Renting & Leasing Assn,5000,5000,0,2022-04-18 00:00:00 +0000,67, , ,0,          
C00139451,"",          ,Kansas City Southern,4500,2500,2000,2022-04-18 00:00:00 +0000,88, , ,0,          
         ,"",D000021816,Alpine Group,4000,0,4000,2022-04-18 00:00:00 +0000,89, , ,0,          
C00408468,"",D000024019,American Soybean Assn                   ,4000,4000,0,2022-04-18 00:00:00 +0000,89, , ,0,          
C00527275,"",          ,Bill PAC (Flores),4000,4000,0,2022-04-18 00:00:00 +0000,89, , ,0,          
C00412288,"",          ,Bill PAC (Shuster),4000,4000,0,2022-04-18 00:00:00 +0000,89, , ,0,          
         ,"",          ,Frontier Bridge,4000,0,4000,2022-04-18 00:00:00 +0000,89, , ,0,          
         ,"",          ,Sdr,4000,0,4000,2022-04-18 00:00:00 +0000,89, , ,0,          
         ,"",          ,Southern Airways,4000,0,4000,2022-04-18 00:00:00 +0000,89, , ,0,          
         ,"",D000076654,"Crawford, Murphy & Tilly",3800,0,3800,2022-04-18 00:00:00 +0000,96, , ,0,          
C00114694,"",D000000545,Airlines for America,3500,2500,1000,2022-04-18 00:00:00 +0000,97, , ,0,          
C00010124,"",D000024180,Associated Equipment Distributors,3500,3500,0,2022-04-18 00:00:00 +0000,97, , ,0,          
C00082917,"",D000000197,Associated General Contractors,3500,3500,0,2022-04-18 00:00:00 +0000,97, , ,0,          
C00478099,"",D000045889,Atlas Air Worldwide,3500,3500,0,2022-04-18 00:00:00 +0000,97, , ,0,          
C00103903,"",D000022021,HDR Inc,3500,3500,0,2022-04-18 00:00:00 +0000,97, , ,0,          
C00546234,"",D000000369,Leidos Inc,3500,3500,0,2022-04-18 00:00:00 +0000,97, , ,0,          
C00188011,"",D000027893,National Tank Truck Carriers Inc,3500,3500,0,2022-04-18 00:00:00 +0000,97, , ,0,          
C00088591,"",D000000170,Northrop Grumman,3500,3500,0,2022-04-18 00:00:00 +0000,97, , ,0,          
C00296822,"",          ,Rolls-Royce North America,3500,3500,0,2022-04-18 00:00:00 +0000,97, , ,0,          
C00123612,"",D000000201,Textron Inc,3500,3500,0,2022-04-18 00:00:00 +0000,97, , ,0,          
