pacid,affiliateid,orgid,ultorg,total,pacs,indivs,releasedate,rank,client,registrant,numlobbyists,loborgid
         ,"",D000032247,Camac International,11850,0,11850,2022-04-18 00:00:00 +0000,1, , ,0,          
         ,"",D000047298,Arnold & Itkin,11600,0,11600,2022-04-18 00:00:00 +0000,2, , ,0,          
         ,"",          ,Atul B Kothari CPA,11600,0,11600,2022-04-18 00:00:00 +0000,2, , ,0,          
         ,"",D000031082,"Williams, Hart et al",11600,0,11600,2022-04-18 00:00:00 +0000,2, , ,0,          
C00011114,"",D000000061,American Federation of State/Cnty/Munic Employees,7500,7500,0,2022-04-18 00:00:00 +0000,5, , ,0,          
         ,"",D000031575,Apex Group,5800,0,5800,2022-04-18 00:00:00 +0000,6, , ,0,          
         ,"",          ,Hall Law Firm,5600,0,5600,2022-04-18 00:00:00 +0000,7, , ,0,          
         ,"",D000074196,Riceland Healthcare,5600,0,5600,2022-04-18 00:00:00 +0000,7, , ,0,          
C00110338,"",D000000219,American Crystal Sugar,5000,5000,0,2022-04-18 00:00:00 +0000,9, , ,0,          
C00158576,"",D000000189,International Longshoremens Assn,5000,5000,0,2022-04-18 00:00:00 +0000,9, , ,0,          
C00002469,"",D000000078,Machinists/Aerospace Workers Union,5000,5000,0,2022-04-18 00:00:00 +0000,9, , ,0,          
C00303339,"",D000000606,National Assn of Real Estate Investment Trusts,5000,5000,0,2022-04-18 00:00:00 +0000,9, , ,0,          
C70002563,"",D000000062,National Assn of Realtors,5000,5000,0,2022-04-18 00:00:00 +0000,9, , ,0,          
C00012476,"",D000000120,Plumbers/Pipefitters Union,5000,5000,0,2022-04-18 00:00:00 +0000,9, , ,0,          
         ,"",          ,Gessner Tenner Texaco,4800,0,4800,2022-04-18 00:00:00 +0000,15, , ,0,          
C70000492,"",D000000064,National Education Assn,4000,4000,0,2022-04-18 00:00:00 +0000,16, , ,0,          
         ,"",          ,Family Health Clinic,3800,0,3800,2022-04-18 00:00:00 +0000,17, , ,0,          
         ,"",          ,Mex Investor Co,3500,0,3500,2022-04-18 00:00:00 +0000,18, , ,0,          
         ,"",          ,Quan Law Group Pllc,3000,0,3000,2022-04-18 00:00:00 +0000,19, , ,0,          
         ,"",          ,Monty & Ramirez Llp,2900,0,2900,2022-04-18 00:00:00 +0000,20, , ,0,          
         ,"",          ,Koa Group,2890,0,2890,2022-04-18 00:00:00 +0000,21, , ,0,          
         ,"",          ,Aman Graphics,2800,0,2800,2022-04-18 00:00:00 +0000,22, , ,0,          
         ,"",          ,Husain Law,2800,0,2800,2022-04-18 00:00:00 +0000,22, , ,0,          
         ,"",          ,Ob/Gyn of Houston,2800,0,2800,2022-04-18 00:00:00 +0000,22, , ,0,          
