pacid,affiliateid,orgid,ultorg,total,pacs,indivs,releasedate,rank,client,registrant,numlobbyists,loborgid
C00452581,"",D000025141,Copart Inc,36600,5000,31600,2022-04-18 00:00:00 +0000,1, , ,0,          
C00702308,"",D000072032,Advance Financial,21200,0,21200,2022-04-18 00:00:00 +0000,2, , ,0,          
         ,"",          ,Ngu Risk Management,15700,0,15700,2022-04-18 00:00:00 +0000,3, , ,0,          
C00496919,"",D000064266,Acadia Healthcare,14500,0,14500,2022-04-18 00:00:00 +0000,4, , ,0,          
         ,"",          ,Green Victory Fund,14200,0,14200,2022-04-18 00:00:00 +0000,5, , ,0,          
         ,"",D000031399,All American Containers,13800,0,13800,2022-04-18 00:00:00 +0000,6, , ,0,          
C00247403,"",D000022158,NorPAC,13000,0,13000,2022-04-18 00:00:00 +0000,7, , ,0,          
         ,"",D000033041,Dapco Investments,11600,0,11600,2022-04-18 00:00:00 +0000,8, , ,0,          
         ,"",D000050652,Equinox Partners,11600,0,11600,2022-04-18 00:00:00 +0000,8, , ,0,          
         ,"",          ,Little Piping Mechanical LLC,11600,0,11600,2022-04-18 00:00:00 +0000,8, , ,0,          
         ,"",          ,Beaman Ventures,10800,0,10800,2022-04-18 00:00:00 +0000,11, , ,0,          
         ,"",          ,Bespoke Commercial Realty,10800,0,10800,2022-04-18 00:00:00 +0000,11, , ,0,          
         ,"",D000060725,"Cohen, Klingenstein & Marks",10800,0,10800,2022-04-18 00:00:00 +0000,11, , ,0,          
         ,"",          ,Hand Family Companies,10800,0,10800,2022-04-18 00:00:00 +0000,11, , ,0,          
         ,"",D000034387,Healthmark Ventures,10800,0,10800,2022-04-18 00:00:00 +0000,11, , ,0,          
C00552851,"",D000068902,House Freedom Fund,10800,5000,5800,2022-04-18 00:00:00 +0000,11, , ,0,          
         ,"",D000061852,Island Doctors,10800,0,10800,2022-04-18 00:00:00 +0000,11, , ,0,          
         ,"",          ,Pilot Flying J,10800,0,10800,2022-04-18 00:00:00 +0000,11, , ,0,          
         ,"",D000030135,Stowers Machinery,8700,0,8700,2022-04-18 00:00:00 +0000,19, , ,0,          
         ,"",D000037820,State of Tennessee,7620,0,7620,2022-04-18 00:00:00 +0000,20, , ,0,          
         ,"",          ,Loden Vision Centers,6400,0,6400,2022-04-18 00:00:00 +0000,21, , ,0,          
         ,"",          ,Jenkins & Wynne,6050,0,6050,2022-04-18 00:00:00 +0000,22, , ,0,          
         ,"",          ,Troy Industires,6020,0,6020,2022-04-18 00:00:00 +0000,23, , ,0,          
         ,"",          ,Tcg,5900,0,5900,2022-04-18 00:00:00 +0000,24, , ,0,          
         ,"",          ,Advanced Diagnostic Imaging LLC,5800,0,5800,2022-04-18 00:00:00 +0000,25, , ,0,          
C00797670,"",D000046963,American Israel Public Affairs Cmte,5800,5800,0,2022-04-18 00:00:00 +0000,25, , ,0,          
         ,"",          ,Ayers Foundation,5800,0,5800,2022-04-18 00:00:00 +0000,25, , ,0,          
         ,"",          ,Bacar Constructors,5800,0,5800,2022-04-18 00:00:00 +0000,25, , ,0,          
         ,"",D000032228,Cajun Industries,5800,0,5800,2022-04-18 00:00:00 +0000,25, , ,0,          
         ,"",          ,Devdigital,5800,0,5800,2022-04-18 00:00:00 +0000,25, , ,0,          
         ,"",D000033671,Firstbank,5800,0,5800,2022-04-18 00:00:00 +0000,25, , ,0,          
         ,"",D000074433,Heavy Construction Systems Specialists,5800,0,5800,2022-04-18 00:00:00 +0000,25, , ,0,          
         ,"",D000044899,Hillwood Development,5800,0,5800,2022-04-18 00:00:00 +0000,25, , ,0,          
         ,"",          ,Lee Timber,5800,0,5800,2022-04-18 00:00:00 +0000,25, , ,0,          
         ,"",D000035411,Lipman Brothers,5800,0,5800,2022-04-18 00:00:00 +0000,25, , ,0,          
         ,"",D000035550,Magnolia Marketing,5800,0,5800,2022-04-18 00:00:00 +0000,25, , ,0,          
         ,"",D000072036,Pjs of Texas,5800,0,5800,2022-04-18 00:00:00 +0000,25, , ,0,          
         ,"",D000036804,Prescott Investors,5800,0,5800,2022-04-18 00:00:00 +0000,25, , ,0,          
         ,"",          ,Rural Health Alliance LLC,5800,0,5800,2022-04-18 00:00:00 +0000,25, , ,0,          
         ,"",          ,Spirits of Tennessee,5800,0,5800,2022-04-18 00:00:00 +0000,25, , ,0,          
         ,"",          ,Tristar Bank,5800,0,5800,2022-04-18 00:00:00 +0000,25, , ,0,          
         ,"",D000030599,Uline Inc,5800,0,5800,2022-04-18 00:00:00 +0000,25, , ,0,          
C00387720,"",D000022302,US-Cuba Democracy PAC,5800,5800,0,2022-04-18 00:00:00 +0000,25, , ,0,          
C00067231,"",D000000445,HCA Inc,5700,1500,4200,2022-04-18 00:00:00 +0000,44, , ,0,          
         ,"",          ,Legends Bank,5700,0,5700,2022-04-18 00:00:00 +0000,44, , ,0,          
         ,"",          ,Sundrop,5700,0,5700,2022-04-18 00:00:00 +0000,44, , ,0,          
         ,"",D000091413,Rytec Corp,5600,0,5600,2022-04-18 00:00:00 +0000,47, , ,0,          
         ,"",          ,City of Clarksville,5025,0,5025,2022-04-18 00:00:00 +0000,48, , ,0,          
C00324780,"",D000023902,American Academy of Emergency Medicine,5000,5000,0,2022-04-18 00:00:00 +0000,49, , ,0,          
         ,"",D000047306,Arsenal Capital Partners,5000,0,5000,2022-04-18 00:00:00 +0000,49, , ,0,          
         ,"",D000033386,Edward J Minskoff Equities,5000,0,5000,2022-04-18 00:00:00 +0000,49, , ,0,          
C00215285,"",D000000317,General Atomics,5000,5000,0,2022-04-18 00:00:00 +0000,49, , ,0,          
C00559740,"",D000066623,GOPAC,5000,5000,0,2022-04-18 00:00:00 +0000,49, , ,0,          
         ,"",          ,Landair Transportation,5000,0,5000,2022-04-18 00:00:00 +0000,49, , ,0,          
         ,"",          ,Merrill,5000,0,5000,2022-04-18 00:00:00 +0000,49, , ,0,          
         ,"",D000030840,Village Properties,5000,0,5000,2022-04-18 00:00:00 +0000,49, , ,0,          
         ,"",          ,Hyatt Co,4900,0,4900,2022-04-18 00:00:00 +0000,57, , ,0,          
         ,"",          ,Stormpay Inc,4400,0,4400,2022-04-18 00:00:00 +0000,58, , ,0,          
         ,"",          ,Rudy Winstead Turner PLLC,4150,0,4150,2022-04-18 00:00:00 +0000,59, , ,0,          
         ,"",D000022043,Ingram Industries,4080,1000,3080,2022-04-18 00:00:00 +0000,60, , ,0,          
         ,"",D000074595,Costa Farms,4000,0,4000,2022-04-18 00:00:00 +0000,61, , ,0,          
C00068692,"",D000000089,FedEx Corp,4000,2500,1500,2022-04-18 00:00:00 +0000,61, , ,0,          
         ,"",          ,Scott Services,4000,0,4000,2022-04-18 00:00:00 +0000,61, , ,0,          
         ,"",          ,Echo Power Engineering,3900,0,3900,2022-04-18 00:00:00 +0000,64, , ,0,          
         ,"",          ,Neely Engineering & Contracting LLC,3900,0,3900,2022-04-18 00:00:00 +0000,64, , ,0,          
         ,"",          ,Vk Integrated Systems,3800,0,3800,2022-04-18 00:00:00 +0000,66, , ,0,          
         ,"",D000032876,Cormac Group,3500,0,3500,2022-04-18 00:00:00 +0000,67, , ,0,          
         ,"",D000059185,F&M Bank,3500,0,3500,2022-04-18 00:00:00 +0000,67, , ,0,          
         ,"",          ,Troy Firearms Manufacturing,3500,0,3500,2022-04-18 00:00:00 +0000,67, , ,0,          
         ,"",          ,Lehman Johnson Attorneys At Law Plc,3400,0,3400,2022-04-18 00:00:00 +0000,70, , ,0,          
         ,"",          ,Educational Funding Of The South,3300,0,3300,2022-04-18 00:00:00 +0000,71, , ,0,          
         ,"",          ,American Physician Partners,3100,0,3100,2022-04-18 00:00:00 +0000,72, , ,0,          
         ,"",          ,Two Rivers Surgical,3050,0,3050,2022-04-18 00:00:00 +0000,73, , ,0,          
         ,"",          ,Ajax Distributing Co,3000,0,3000,2022-04-18 00:00:00 +0000,74, , ,0,          
         ,"",          ,Enexor Bioenergy LLC,3000,0,3000,2022-04-18 00:00:00 +0000,74, , ,0,          
         ,"",          ,Hexagon Advisors,3000,0,3000,2022-04-18 00:00:00 +0000,74, , ,0,          
         ,"",          ,J Clark Architecture & Design LLC,3000,0,3000,2022-04-18 00:00:00 +0000,74, , ,0,          
         ,"",          ,Tennessee Grass Fed,3000,0,3000,2022-04-18 00:00:00 +0000,74, , ,0,          
         ,"",          ,Troy Industries,3000,0,3000,2022-04-18 00:00:00 +0000,74, , ,0,          
         ,"",          ,Agribusiness Consultant,2900,0,2900,2022-04-18 00:00:00 +0000,80, , ,0,          
         ,"",D000092865,Amber Mountain,2900,0,2900,2022-04-18 00:00:00 +0000,80, , ,0,          
         ,"",          ,Are,2900,0,2900,2022-04-18 00:00:00 +0000,80, , ,0,          
         ,"",          ,AXA Advisors,2900,0,2900,2022-04-18 00:00:00 +0000,80, , ,0,          
         ,"",          ,B&B Sawmill LLC,2900,0,2900,2022-04-18 00:00:00 +0000,80, , ,0,          
         ,"",          ,Billy Mace Homes,2900,0,2900,2022-04-18 00:00:00 +0000,80, , ,0,          
         ,"",          ,Bivens & Assoc,2900,0,2900,2022-04-18 00:00:00 +0000,80, , ,0,          
         ,"",D000060646,Christian Family Pharmacy,2900,0,2900,2022-04-18 00:00:00 +0000,80, , ,0,          
         ,"",D000032623,Civic Service Inc,2900,0,2900,2022-04-18 00:00:00 +0000,80, , ,0,          
C00366468,"",D000021940,CoreCivic Inc,2900,0,2900,2022-04-18 00:00:00 +0000,80, , ,0,          
         ,"",          ,Fab-Line Machinery,2900,0,2900,2022-04-18 00:00:00 +0000,80, , ,0,          
         ,"",          ,Fsi Inc,2900,0,2900,2022-04-18 00:00:00 +0000,80, , ,0,          
         ,"",D000033930,Gaines & Co,2900,0,2900,2022-04-18 00:00:00 +0000,80, , ,0,          
         ,"",D000026211,Gerson Lehrman Group,2900,0,2900,2022-04-18 00:00:00 +0000,80, , ,0,          
         ,"",          ,Jacks Place Bistro,2900,0,2900,2022-04-18 00:00:00 +0000,80, , ,0,          
         ,"",D000079873,John Bouchard & Sons,2900,0,2900,2022-04-18 00:00:00 +0000,80, , ,0,          
         ,"",          ,John Maher Builders,2900,0,2900,2022-04-18 00:00:00 +0000,80, , ,0,          
         ,"",D000044956,Koch Enterprises,2900,0,2900,2022-04-18 00:00:00 +0000,80, , ,0,          
         ,"",          ,Midsouth Shooters Supply,2900,0,2900,2022-04-18 00:00:00 +0000,80, , ,0,          
         ,"",D000036192,New Mountain Capital,2900,0,2900,2022-04-18 00:00:00 +0000,80, , ,0,          
         ,"",          ,Pruet Companies,2900,0,2900,2022-04-18 00:00:00 +0000,80, , ,0,          
         ,"",          ,Rep Holding,2900,0,2900,2022-04-18 00:00:00 +0000,80, , ,0,          
         ,"",          ,Stella Ai,2900,0,2900,2022-04-18 00:00:00 +0000,80, , ,0,          
         ,"",D000064021,Western Mutual Insurance,2900,0,2900,2022-04-18 00:00:00 +0000,80, , ,0,          
         ,"",          ,World Outdoor Resources LLC,2900,0,2900,2022-04-18 00:00:00 +0000,80, , ,0,          
