pacid,affiliateid,orgid,ultorg,total,pacs,indivs,releasedate,rank,client,registrant,numlobbyists,loborgid
C00552851,"",D000068902,House Freedom Fund,15510,7000,8510,2022-04-18 00:00:00 +0000,1, , ,0,          
         ,"",          ,Dts,11800,0,11800,2022-04-18 00:00:00 +0000,2, , ,0,          
         ,"",          ,Kerensa Investment Fund 2 LLC,10800,0,10800,2022-04-18 00:00:00 +0000,3, , ,0,          
         ,"",D000079385,Hofer Ranch,7900,0,7900,2022-04-18 00:00:00 +0000,4, , ,0,          
         ,"",D000087461,X Strategies,7900,0,7900,2022-04-18 00:00:00 +0000,4, , ,0,          
         ,"",D000000342,JW Childs Assoc,7800,0,7800,2022-04-18 00:00:00 +0000,6, , ,0,          
         ,"",          ,Vulcan Spring & Mfg Co,7800,0,7800,2022-04-18 00:00:00 +0000,6, , ,0,          
         ,"",D000030686,University of Rhode Island,7600,0,7600,2022-04-18 00:00:00 +0000,8, , ,0,          
         ,"",D000083958,Archer Auto Group,7300,0,7300,2022-04-18 00:00:00 +0000,9, , ,0,          
         ,"",          ,Parameters Industries,7250,0,7250,2022-04-18 00:00:00 +0000,10, , ,0,          
         ,"",D000063687,Textile Rubber & Chemical Co,6600,0,6600,2022-04-18 00:00:00 +0000,11, , ,0,          
         ,"",D000083823,Burgerbusters Inc,6000,0,6000,2022-04-18 00:00:00 +0000,12, , ,0,          
         ,"",          ,America First Events,5800,0,5800,2022-04-18 00:00:00 +0000,13, , ,0,          
         ,"",D000093969,Cowles Parkway Ford,5800,0,5800,2022-04-18 00:00:00 +0000,13, , ,0,          
         ,"",          ,Dailey-Wells Communications,5800,0,5800,2022-04-18 00:00:00 +0000,13, , ,0,          
         ,"",          ,Film Producer/Literary Manager,5800,0,5800,2022-04-18 00:00:00 +0000,13, , ,0,          
         ,"",          ,Pro-Fab Inc,5800,0,5800,2022-04-18 00:00:00 +0000,13, , ,0,          
         ,"",          ,Textile Rubber,5800,0,5800,2022-04-18 00:00:00 +0000,13, , ,0,          
         ,"",D000030599,Uline Inc,5800,0,5800,2022-04-18 00:00:00 +0000,13, , ,0,          
         ,"",D000034986,Kaiser Permanente,5615,0,5615,2022-04-18 00:00:00 +0000,20, , ,0,          
         ,"",          ,Ditch-Digger,5600,0,5600,2022-04-18 00:00:00 +0000,21, , ,0,          
         ,"",          ,Frisco Texas Conservatives,5000,0,5000,2022-04-18 00:00:00 +0000,22, , ,0,          
         ,"",D000065677,Henry Resources,5000,0,5000,2022-04-18 00:00:00 +0000,22, , ,0,          
         ,"",          ,K&H Construction Llc Landscape & Sto,5000,0,5000,2022-04-18 00:00:00 +0000,22, , ,0,          
C00428052,"",D000027353,Majority Cmte PAC,5000,5000,0,2022-04-18 00:00:00 +0000,22, , ,0,          
         ,"",          ,Western Carriers,5000,0,5000,2022-04-18 00:00:00 +0000,22, , ,0,          
C00104802,"",D000000350,Delta Air Lines,4904,0,4904,2022-04-18 00:00:00 +0000,27, , ,0,          
         ,"",          ,Robert Bothman Construction,4500,0,4500,2022-04-18 00:00:00 +0000,28, , ,0,          
         ,"",D000066841,Alkermes plc,4192,0,4192,2022-04-18 00:00:00 +0000,29, , ,0,          
C00364778,"",D000000090,Bank of America,4121,0,4121,2022-04-18 00:00:00 +0000,30, , ,0,          
         ,"",          ,Pain Physicians of Atlanta,4100,0,4100,2022-04-18 00:00:00 +0000,31, , ,0,          
         ,"",          ,MMI Development,4000,0,4000,2022-04-18 00:00:00 +0000,32, , ,0,          
         ,"",          ,Relibale,3500,0,3500,2022-04-18 00:00:00 +0000,33, , ,0,          
         ,"",          ,Archer Chrysler,3250,0,3250,2022-04-18 00:00:00 +0000,34, , ,0,          
C00064766,"",D000000081,United Parcel Service,3240,0,3240,2022-04-18 00:00:00 +0000,35, , ,0,          
         ,"",          ,Tuesday Morning Inc,3200,0,3200,2022-04-18 00:00:00 +0000,36, , ,0,          
         ,"",          ,Compass Financial,3150,0,3150,2022-04-18 00:00:00 +0000,37, , ,0,          
         ,"",D000060523,Cambria Somerset Radiology,3000,0,3000,2022-04-18 00:00:00 +0000,38, , ,0,          
C00228924,"",D000025061,Community Bancshares of Mississippi,3000,0,3000,2022-04-18 00:00:00 +0000,38, , ,0,          
         ,"",D000052803,Komar Investments,3000,0,3000,2022-04-18 00:00:00 +0000,38, , ,0,          
         ,"",          ,Precision Abrasives,3000,0,3000,2022-04-18 00:00:00 +0000,38, , ,0,          
         ,"",          ,Weis Insurance Agency,3000,0,3000,2022-04-18 00:00:00 +0000,38, , ,0,          
         ,"",D000031056,Wilheit Packaging,3000,0,3000,2022-04-18 00:00:00 +0000,38, , ,0,          
         ,"",          ,Adp,2900,0,2900,2022-04-18 00:00:00 +0000,44, , ,0,          
         ,"",          ,Buttitt Co Board of Ed,2900,0,2900,2022-04-18 00:00:00 +0000,44, , ,0,          
         ,"",D000035805,Mercy Hospital,2900,0,2900,2022-04-18 00:00:00 +0000,44, , ,0,          
         ,"",          ,Not A Business,2900,0,2900,2022-04-18 00:00:00 +0000,44, , ,0,          
         ,"",          ,Southern Brain Spine,2900,0,2900,2022-04-18 00:00:00 +0000,44, , ,0,          
         ,"",          ,Navy Credit Union,2840,0,2840,2022-04-18 00:00:00 +0000,49, , ,0,          
         ,"",D000088962,Midwest Scrap Management,2800,0,2800,2022-04-18 00:00:00 +0000,50, , ,0,          
         ,"",          ,Rta Strategy,2800,0,2800,2022-04-18 00:00:00 +0000,50, , ,0,          
         ,"",          ,Durhm,2700,0,2700,2022-04-18 00:00:00 +0000,52, , ,0,          
C00007070,"",D000000722,Texas Instruments,2675,0,2675,2022-04-18 00:00:00 +0000,53, , ,0,          
C00109017,"",D000000076,AT&T Inc,2655,0,2655,2022-04-18 00:00:00 +0000,54, , ,0,          
         ,"",D000022300,US Government,2605,0,2605,2022-04-18 00:00:00 +0000,55, , ,0,          
         ,"",          ,Icbs,2600,0,2600,2022-04-18 00:00:00 +0000,56, , ,0,          
         ,"",          ,Boston Anesthesia Consultants,2500,0,2500,2022-04-18 00:00:00 +0000,57, , ,0,          
C00469429,"",D000065616,CMR PAC,2500,2500,0,2022-04-18 00:00:00 +0000,57, , ,0,          
         ,"",          ,Unified Compliance Services,2500,0,2500,2022-04-18 00:00:00 +0000,57, , ,0,          
         ,"",          ,VP Clarence Co,2500,0,2500,2022-04-18 00:00:00 +0000,57, , ,0,          
         ,"",D000022299,US Dept of Defense,2450,0,2450,2022-04-18 00:00:00 +0000,61, , ,0,          
         ,"",          ,Techemet,2400,0,2400,2022-04-18 00:00:00 +0000,62, , ,0,          
         ,"",          ,Jeffrey M Verdon Law Group,2250,0,2250,2022-04-18 00:00:00 +0000,63, , ,0,          
         ,"",          ,Vortex Bar & Grill,2250,0,2250,2022-04-18 00:00:00 +0000,63, , ,0,          
         ,"",          ,Caregivers of America,2150,0,2150,2022-04-18 00:00:00 +0000,65, , ,0,          
         ,"",D000023342,US Army,2150,0,2150,2022-04-18 00:00:00 +0000,65, , ,0,          
         ,"",D000035038,Keller Williams Realty,2093,0,2093,2022-04-18 00:00:00 +0000,67, , ,0,          
         ,"",          ,Ambrose Construction,2000,0,2000,2022-04-18 00:00:00 +0000,68, , ,0,          
         ,"",          ,Bank of Advance,2000,0,2000,2022-04-18 00:00:00 +0000,68, , ,0,          
C00503094,"",          ,Freedom First PAC (Meadows),2000,2000,0,2022-04-18 00:00:00 +0000,68, , ,0,          
         ,"",          ,Helix Mwr,2000,0,2000,2022-04-18 00:00:00 +0000,68, , ,0,          
         ,"",          ,It Management Corp,2000,0,2000,2022-04-18 00:00:00 +0000,68, , ,0,          
         ,"",          ,Joe Kent for Congress,2000,2000,0,2022-04-18 00:00:00 +0000,68, , ,0,          
         ,"",          ,Julia Temple,2000,0,2000,2022-04-18 00:00:00 +0000,68, , ,0,          
         ,"",D000088097,MK Morse Co,2000,0,2000,2022-04-18 00:00:00 +0000,68, , ,0,          
         ,"",          ,Rac Properties of Athens,2000,0,2000,2022-04-18 00:00:00 +0000,68, , ,0,          
         ,"",D000078371,Snelling Properties,2000,0,2000,2022-04-18 00:00:00 +0000,68, , ,0,          
         ,"",D000091833,Terreg Management,2000,0,2000,2022-04-18 00:00:00 +0000,68, , ,0,          
         ,"",          ,Tri State Live Haul,2000,0,2000,2022-04-18 00:00:00 +0000,68, , ,0,          
         ,"",          ,Truax Oil,2000,0,2000,2022-04-18 00:00:00 +0000,68, , ,0,          
         ,"",          ,Zenetex LLC,2000,0,2000,2022-04-18 00:00:00 +0000,68, , ,0,          
C00096156,"",D000000334,Honeywell International,1987,0,1987,2022-04-18 00:00:00 +0000,82, , ,0,          
         ,"",D000030736,US Navy                                 ,1950,0,1950,2022-04-18 00:00:00 +0000,83, , ,0,          
C00097568,"",D000072615,Raytheon Technologies,1885,0,1885,2022-04-18 00:00:00 +0000,84, , ,0,          
C00034157,"",D000000126,AFLAC Inc,1750,0,1750,2022-04-18 00:00:00 +0000,85, , ,0,          
         ,"",D000021757,Berkshire Hathaway,1720,0,1720,2022-04-18 00:00:00 +0000,86, , ,0,          
         ,"",D000070788,In-Situ Inc,1700,0,1700,2022-04-18 00:00:00 +0000,87, , ,0,          
         ,"",          ,Shelby,1700,0,1700,2022-04-18 00:00:00 +0000,87, , ,0,          
         ,"",          ,Taylor Transport,1625,0,1625,2022-04-18 00:00:00 +0000,89, , ,0,          
         ,"",          ,Florida Physician Specialists,1620,0,1620,2022-04-18 00:00:00 +0000,90, , ,0,          
         ,"",          ,Durham,1600,0,1600,2022-04-18 00:00:00 +0000,91, , ,0,          
C00186288,"",D000000079,Verizon Communications,1593,0,1593,2022-04-18 00:00:00 +0000,92, , ,0,          
         ,"",          ,James Kinsinger Farms,1575,0,1575,2022-04-18 00:00:00 +0000,93, , ,0,          
         ,"",          ,Jw Salons,1550,0,1550,2022-04-18 00:00:00 +0000,94, , ,0,          
         ,"",          ,D&H Distributing Co,1515,0,1515,2022-04-18 00:00:00 +0000,95, , ,0,          
         ,"",          ,"Anonymous, Anonymous",1504,0,1504,2022-04-18 00:00:00 +0000,96, , ,0,          
         ,"",D000080314,Ah Beck Foundation,1500,0,1500,2022-04-18 00:00:00 +0000,97, , ,0,          
         ,"",          ,D Arcy Petroleum LLC,1500,0,1500,2022-04-18 00:00:00 +0000,97, , ,0,          
         ,"",          ,Francis Furniture,1500,0,1500,2022-04-18 00:00:00 +0000,97, , ,0,          
         ,"",          ,L&S,1500,0,1500,2022-04-18 00:00:00 +0000,97, , ,0,          
         ,"",D000085740,Lansing Companies,1500,0,1500,2022-04-18 00:00:00 +0000,97, , ,0,          
         ,"",          ,Marzucco Concrete,1500,0,1500,2022-04-18 00:00:00 +0000,97, , ,0,          
         ,"",          ,Sahp Inc,1500,0,1500,2022-04-18 00:00:00 +0000,97, , ,0,          
         ,"",          ,Texas Republic Signs,1500,0,1500,2022-04-18 00:00:00 +0000,97, , ,0,          
