pacid,affiliateid,orgid,ultorg,total,pacs,indivs,releasedate,rank,client,registrant,numlobbyists,loborgid
C00468314,"",D000025328,Democracy Engine,11600,0,11600,2022-04-18 00:00:00 +0000,1, , ,0,          
C00002766,"",D000000072,United Food & Commercial Workers Union,10000,10000,0,2022-04-18 00:00:00 +0000,2, , ,0,          
         ,"",D000032550,Choctaw Nation Of Oklahoma,7900,0,7900,2022-04-18 00:00:00 +0000,3, , ,0,          
         ,"",D000036737,Poarch Band of Creek Indians,7900,0,7900,2022-04-18 00:00:00 +0000,3, , ,0,          
         ,"",D000023656,Shakopee Mdewakanton Sioux Community,7900,0,7900,2022-04-18 00:00:00 +0000,3, , ,0,          
C00011114,"",D000000061,American Federation of State/Cnty/Munic Employees,7500,7500,0,2022-04-18 00:00:00 +0000,6, , ,0,          
         ,"",D000036534,Pascua Yaqui Tribe,5803,0,5803,2022-04-18 00:00:00 +0000,7, , ,0,          
         ,"",D000036389,Oneida Indian Nation,5800,0,5800,2022-04-18 00:00:00 +0000,8, , ,0,          
         ,"",D000030452,Tohono O'Odham Nation,5800,0,5800,2022-04-18 00:00:00 +0000,8, , ,0,          
         ,"",D000046571,Alabama-Coushatta Tribe of Texas,5000,0,5000,2022-04-18 00:00:00 +0000,10, , ,0,          
C00028860,"",D000000083,American Federation of Teachers,5000,5000,0,2022-04-18 00:00:00 +0000,10, , ,0,          
C00001016,"",D000000073,Carpenters & Joiners Union,5000,5000,0,2022-04-18 00:00:00 +0000,10, , ,0,          
C00580068,"",D000069975,Progressive Turnout Project                       ,5000,5000,0,2022-04-18 00:00:00 +0000,10, , ,0,          
C00580894,"",D000030766,Vail Resorts,5000,5000,0,2022-04-18 00:00:00 +0000,10, , ,0,          
         ,"",D000065210,Ysleta del Sur Pueblo,5000,0,5000,2022-04-18 00:00:00 +0000,10, , ,0,          
         ,"",D000030646,University of Arizona,4007,0,4007,2022-04-18 00:00:00 +0000,16, , ,0,          
         ,"",D000070020,Filemon Vela for Congress,4000,4000,0,2022-04-18 00:00:00 +0000,17, , ,0,          
         ,"",          ,NOT EMPLOYED,3072,0,3072,2022-04-18 00:00:00 +0000,18, , ,0,          
         ,"",D000028874,Salt River Project,3010,3000,10,2022-04-18 00:00:00 +0000,19, , ,0,          
         ,"",D000060635,Cherokee Nation,2900,0,2900,2022-04-18 00:00:00 +0000,20, , ,0,          
         ,"",D000000286,Mashantucket Pequot Tribal Nation,2900,0,2900,2022-04-18 00:00:00 +0000,20, , ,0,          
         ,"",D000066686,Match-E-Be-Nash-She-Wish Band Pottawatomi Indians,2900,0,2900,2022-04-18 00:00:00 +0000,20, , ,0,          
         ,"",D000036043,Muckleshoot Indian Tribe,2900,0,2900,2022-04-18 00:00:00 +0000,20, , ,0,          
         ,"",D000089163,Nessel Development,2900,0,2900,2022-04-18 00:00:00 +0000,20, , ,0,          
         ,"",D000036230,Nisqually Indian Tribe,2900,0,2900,2022-04-18 00:00:00 +0000,20, , ,0,          
         ,"",D000023644,Saginaw Chippewa Indian Tribe,2900,0,2900,2022-04-18 00:00:00 +0000,20, , ,0,          
         ,"",D000067736,Snoqualmie Indian Tribe,2900,0,2900,2022-04-18 00:00:00 +0000,20, , ,0,          
         ,"",D000057319,Suquamish Tribe,2900,0,2900,2022-04-18 00:00:00 +0000,20, , ,0,          
         ,"",D000029533,Tule River Tribe,2900,0,2900,2022-04-18 00:00:00 +0000,20, , ,0,          
         ,"",D000058783,Yocha Dehe Wintun Nation,2900,0,2900,2022-04-18 00:00:00 +0000,20, , ,0,          
         ,"",D000027627,Mille Lacs Band of Ojibwe,2800,0,2800,2022-04-18 00:00:00 +0000,31, , ,0,          
         ,"",D000053882,Mohegan Tribe Of Indians Of Connecticut,2800,0,2800,2022-04-18 00:00:00 +0000,31, , ,0,          
         ,"",D000036885,Puyallup Tribe of Indians,2800,0,2800,2022-04-18 00:00:00 +0000,31, , ,0,          
         ,"",          ,Arizona College of Nursing,2750,0,2750,2022-04-18 00:00:00 +0000,34, , ,0,          
C00029447,"",D000000135,International Assn of Fire Fighters,2500,2500,0,2022-04-18 00:00:00 +0000,35, , ,0,          
C00027342,"",D000000069,International Brotherhood of Electrical Workers,2500,2500,0,2022-04-18 00:00:00 +0000,35, , ,0,          
C90005786,"",D000000288,League of Conservation Voters,2500,2500,0,2022-04-18 00:00:00 +0000,35, , ,0,          
C00663609,"",          ,Progressive Majority PAC                          ,2500,2500,0,2022-04-18 00:00:00 +0000,35, , ,0,          
         ,"",          ,Real Estate Dev-Consultant,2300,0,2300,2022-04-18 00:00:00 +0000,39, , ,0,          
C00442020,"",D000025699,Environment America,2022,2022,0,2022-04-18 00:00:00 +0000,40, , ,0,          
C00010868,"",D000000682,American Council of Engineering Cos,2000,2000,0,2022-04-18 00:00:00 +0000,41, , ,0,          
C00764357,"",          ,American Horse PAC,2000,2000,0,2022-04-18 00:00:00 +0000,41, , ,0,          
         ,"",D000049517,Colorado River Indian Tribe,2000,0,2000,2022-04-18 00:00:00 +0000,41, , ,0,          
C00785816,"",          ,Liftoff PAC,2000,2000,0,2022-04-18 00:00:00 +0000,41, , ,0,          
C70000492,"",D000000064,National Education Assn,2000,2000,0,2022-04-18 00:00:00 +0000,41, , ,0,          
         ,"",D000056384,San Carlos Apache Tribe,2000,0,2000,2022-04-18 00:00:00 +0000,41, , ,0,          
         ,"",D000056439,Santa Ynez Band of Chumash Indians,2000,0,2000,2022-04-18 00:00:00 +0000,41, , ,0,          
C00001636,"",          ,SMART Transportation Division,2000,2000,0,2022-04-18 00:00:00 +0000,41, , ,0,          
         ,"",D000090385,Southside Community School,2000,0,2000,2022-04-18 00:00:00 +0000,41, , ,0,          
C00013342,"",D000029577,United Mine Workers of America,2000,2000,0,2022-04-18 00:00:00 +0000,41, , ,0,          
C00684506,"",          ,Yukon Kusko PAC,2000,2000,0,2022-04-18 00:00:00 +0000,41, , ,0,          
C00216127,"",          ,Dentons US,1750,0,1750,2022-04-18 00:00:00 +0000,52, , ,0,          
         ,"",D000035245,Nexxus Consulting,1750,0,1750,2022-04-18 00:00:00 +0000,52, , ,0,          
C00327593,"",D000000208,Cassidy & Assoc,1500,0,1500,2022-04-18 00:00:00 +0000,54, , ,0,          
         ,"",D000034125,Goodwin,1500,0,1500,2022-04-18 00:00:00 +0000,54, , ,0,          
         ,"",          ,Little Traverse Bay Indians Of Odawa Ind,1500,0,1500,2022-04-18 00:00:00 +0000,54, , ,0,          
         ,"",D000036525,"Parry, Romani et al",1500,0,1500,2022-04-18 00:00:00 +0000,54, , ,0,          
         ,"",          ,Spokane Tribe of Indians,1500,0,1500,2022-04-18 00:00:00 +0000,54, , ,0,          
C00097568,"",D000072615,Raytheon Technologies,1300,0,1300,2022-04-18 00:00:00 +0000,59, , ,0,          
         ,"",D000046221,"Pima County, AZ",1245,0,1245,2022-04-18 00:00:00 +0000,60, , ,0,          
         ,"",D000000812,State of California,1010,0,1010,2022-04-18 00:00:00 +0000,61, , ,0,          
C00035451,"",D000000117,Air Line Pilots Assn,1000,1000,0,2022-04-18 00:00:00 +0000,62, , ,0,          
C00104901,"",D000000162,"Akin, Gump et al",1000,1000,0,2022-04-18 00:00:00 +0000,62, , ,0,          
C00024521,"",D000000065,American Assn for Justice,1000,1000,0,2022-04-18 00:00:00 +0000,62, , ,0,          
C00009936,"",D000000304,American Federation of Government Employees,1000,1000,0,2022-04-18 00:00:00 +0000,62, , ,0,          
C00249532,"",D000024020,American Sportfishing Assn,1000,1000,0,2022-04-18 00:00:00 +0000,62, , ,0,          
C90018227,"",D000071234,Animal Wellness Action,1000,1000,0,2022-04-18 00:00:00 +0000,62, , ,0,          
C00213066,"",D000024620,Career Education Colleges & Universities,1000,1000,0,2022-04-18 00:00:00 +0000,62, , ,0,          
         ,"",D000021899,CBRE Group,1000,0,1000,2022-04-18 00:00:00 +0000,62, , ,0,          
         ,"",D000032820,Confederated Tribes Of Grand Ronde,1000,0,1000,2022-04-18 00:00:00 +0000,62, , ,0,          
C90014895,"",          ,Environmental Defense Action Fund,1000,1000,0,2022-04-18 00:00:00 +0000,62, , ,0,          
C00344325,"",D000026657,International Alliance Theatrical Stage Employees,1000,1000,0,2022-04-18 00:00:00 +0000,62, , ,0,          
C00441949,"",          ,JStreetPAC,1000,1000,0,2022-04-18 00:00:00 +0000,62, , ,0,          
C00213173,"",D000000766,K&L Gates,1000,1000,0,2022-04-18 00:00:00 +0000,62, , ,0,          
         ,"",D000052655,Kalispel Tribe of Indians,1000,0,1000,2022-04-18 00:00:00 +0000,62, , ,0,          
C00685552,"",D000073603,Medicare for All PAC,1000,1000,0,2022-04-18 00:00:00 +0000,62, , ,0,          
         ,"",D000023639,Morongo Band of Mission Indians,1000,0,1000,2022-04-18 00:00:00 +0000,62, , ,0,          
C00091561,"",D000021771,National Active & Retired Federal Employees Assn,1000,1000,0,2022-04-18 00:00:00 +0000,62, , ,0,          
C00238725,"",D000000285,National Air Traffic Controllers Assn,1000,1000,0,2022-04-18 00:00:00 +0000,62, , ,0,          
C00023580,"",D000000084,National Assn of Letter Carriers,1000,1000,0,2022-04-18 00:00:00 +0000,62, , ,0,          
C70002563,"",D000000062,National Assn of Realtors,1000,1000,0,2022-04-18 00:00:00 +0000,62, , ,0,          
C00278895,"",D000022145,"Nelson, Mullins et al",1000,1000,0,2022-04-18 00:00:00 +0000,62, , ,0,          
         ,"",D000023647,Salt River Pima-Maricopa Indians,1000,0,1000,2022-04-18 00:00:00 +0000,62, , ,0,          
         ,"",          ,Samish Tyee Indian Nation,1000,0,1000,2022-04-18 00:00:00 +0000,62, , ,0,          
C00747766,"",          ,Truth to Power,1000,1000,0,2022-04-18 00:00:00 +0000,62, , ,0,          
         ,"",          ,Unitek College,1000,0,1000,2022-04-18 00:00:00 +0000,62, , ,0,          
C00000984,"",D000000456,US Telecom Assn,1000,1000,0,2022-04-18 00:00:00 +0000,62, , ,0,          
         ,"",D000058724,World Wildlife Fund,1000,0,1000,2022-04-18 00:00:00 +0000,62, , ,0,          
         ,"",D000031618,Arizona State University,860,0,860,2022-04-18 00:00:00 +0000,89, , ,0,          
         ,"",          ,Live Oak Elem School Board,770,0,770,2022-04-18 00:00:00 +0000,90, , ,0,          
         ,"",D000063651,Taylor Shellfish,750,0,750,2022-04-18 00:00:00 +0000,91, , ,0,          
         ,"",          ,Eastwick College,700,0,700,2022-04-18 00:00:00 +0000,92, , ,0,          
         ,"",          ,Crc,550,0,550,2022-04-18 00:00:00 +0000,93, , ,0,          
