pacid,affiliateid,orgid,ultorg,total,pacs,indivs,releasedate,rank,client,registrant,numlobbyists,loborgid
         ,"",D000000109,Blue Cross/Blue Shield,23000,23000,0,2022-04-18 00:00:00 +0000,1, , ,0,          
C00340943,"",D000021951,DaVita Inc,23000,6000,17000,2022-04-18 00:00:00 +0000,1, , ,0,          
C00274431,"",D000000348,UnitedHealth Group,20000,20000,0,2022-04-18 00:00:00 +0000,3, , ,0,          
C00426775,"",D000000672,Charter Communications,17500,17500,0,2022-04-18 00:00:00 +0000,4, , ,0,          
C00271007,"",D000000652,Humana Inc,17500,17500,0,2022-04-18 00:00:00 +0000,4, , ,0,          
C00486928,"",D000046760,Alzheimer's Assn,15000,15000,0,2022-04-18 00:00:00 +0000,6, , ,0,          
C00360354,"",D000023883,Amazon.com,15000,15000,0,2022-04-18 00:00:00 +0000,6, , ,0,          
C00010082,"",D000022131,NCTA The Internet & Television Assn,15000,15000,0,2022-04-18 00:00:00 +0000,6, , ,0,          
C00428623,"",          ,Google Inc,13500,12500,1000,2022-04-18 00:00:00 +0000,9, , ,0,          
C00248716,"",D000000461,Comcast Corp,12500,12500,0,2022-04-18 00:00:00 +0000,10, , ,0,          
C00401299,"",          ,Fresenius Medical Care North America,12500,12500,0,2022-04-18 00:00:00 +0000,10, , ,0,          
C00236489,"",D000000186,Koch Industries,12500,12500,0,2022-04-18 00:00:00 +0000,10, , ,0,          
C00430256,"",D000027692,Molina Healthcare,12000,12000,0,2022-04-18 00:00:00 +0000,13, , ,0,          
C00397851,"",D000024670,Centene Corp,10800,5000,5800,2022-04-18 00:00:00 +0000,14, , ,0,          
C00008839,"",D000021836,American Podiatric Medical Assn,10000,10000,0,2022-04-18 00:00:00 +0000,15, , ,0,          
C00251876,"",D000000391,Amgen Inc,10000,10000,0,2022-04-18 00:00:00 +0000,15, , ,0,          
C00109017,"",D000000076,AT&T Inc,10000,10000,0,2022-04-18 00:00:00 +0000,15, , ,0,          
C00085316,"",D000000222,Cigna Corp,10000,10000,0,2022-04-18 00:00:00 +0000,15, , ,0,          
C00384818,"",D000025214,CVS Health,10000,10000,0,2022-04-18 00:00:00 +0000,15, , ,0,          
         ,"",          ,First Urology,10000,0,10000,2022-04-18 00:00:00 +0000,15, , ,0,          
C00493924,"",          ,Reinventing a New Direction,10000,10000,0,2022-04-18 00:00:00 +0000,15, , ,0,          
         ,"",D000030285,"Tarplin, Downs & Young",10000,0,10000,2022-04-18 00:00:00 +0000,15, , ,0,          
         ,"",D000000358,KKR & Co,9750,6500,3250,2022-04-18 00:00:00 +0000,23, , ,0,          
C00143560,"",D000023948,Academy of Nutrition & Dietetics,9500,9500,0,2022-04-18 00:00:00 +0000,24, , ,0,          
C00262295,"",D000000394,CTIA,9000,9000,0,2022-04-18 00:00:00 +0000,25, , ,0,          
C00106740,"",D000021819,America's Health Insurance Plans,8700,6000,2700,2022-04-18 00:00:00 +0000,26, , ,0,          
C00382424,"",          ,American College of Surgeons Prof Assn,8500,8500,0,2022-04-18 00:00:00 +0000,27, , ,0,          
C00144774,"",D000000168,Southern Co,8000,8000,0,2022-04-18 00:00:00 +0000,28, , ,0,          
C00542365,"",          ,Toyota Motor North America,8000,8000,0,2022-04-18 00:00:00 +0000,28, , ,0,          
C00040279,"",D000000383,Abbott Laboratories,7500,7500,0,2022-04-18 00:00:00 +0000,30, , ,0,          
C00536573,"",D000066804,AbbVie Inc,7500,7500,0,2022-04-18 00:00:00 +0000,30, , ,0,          
C00359539,"",D000021821,American Academy of Dermatology Assn,7500,7500,0,2022-04-18 00:00:00 +0000,30, , ,0,          
C00343459,"",D000021829,American College of Radiology,7500,7500,0,2022-04-18 00:00:00 +0000,30, , ,0,          
C00400929,"",D000021841,AmerisourceBergen Corp,7500,7500,0,2022-04-18 00:00:00 +0000,30, , ,0,          
         ,"",D000043112,AstraZeneca PLC,7500,7500,0,2022-04-18 00:00:00 +0000,30, , ,0,          
C00469429,"",D000065616,CMR PAC,7500,7500,0,2022-04-18 00:00:00 +0000,30, , ,0,          
C00284885,"",D000000419,Home Depot,7500,7500,0,2022-04-18 00:00:00 +0000,30, , ,0,          
         ,"",D000042425,Siemens AG,7500,7500,0,2022-04-18 00:00:00 +0000,30, , ,0,          
C00343137,"",          ,American Assn of Orthopaedic Surgeons,7000,7000,0,2022-04-18 00:00:00 +0000,39, , ,0,          
C00007880,"",D000000136,Credit Union National Assn,7000,7000,0,2022-04-18 00:00:00 +0000,39, , ,0,          
C00140061,"",D000000293,American College of Emergency Physicians,6500,6500,0,2022-04-18 00:00:00 +0000,41, , ,0,          
         ,"",          ,Associated Urologic Specialists,6500,0,6500,2022-04-18 00:00:00 +0000,41, , ,0,          
C00396895,"",D000026221,Gilead Sciences,6500,6500,0,2022-04-18 00:00:00 +0000,41, , ,0,          
C00717900,"",D000071527,PTC Therapeutics,6500,6500,0,2022-04-18 00:00:00 +0000,41, , ,0,          
         ,"",D000072784,Major League Baseball,6400,1500,4900,2022-04-18 00:00:00 +0000,45, , ,0,          
C00413955,"",D000023922,American Assn of Neurological Surgeons,6000,6000,0,2022-04-18 00:00:00 +0000,46, , ,0,          
C00012880,"",D000000298,American Physical Therapy Assn,6000,6000,0,2022-04-18 00:00:00 +0000,46, , ,0,          
C00274944,"",D000000540,College of American Pathologists,6000,6000,0,2022-04-18 00:00:00 +0000,46, , ,0,          
C00009985,"",D000000202,National Assn of Broadcasters,6000,6000,0,2022-04-18 00:00:00 +0000,46, , ,0,          
C00361758,"",D000022272,T-Mobile USA,6000,6000,0,2022-04-18 00:00:00 +0000,46, , ,0,          
C00425439,"",D000029438,Thoroughbred PAC,6000,6000,0,2022-04-18 00:00:00 +0000,46, , ,0,          
         ,"",          ,Horizon Government Affiars,5800,0,5800,2022-04-18 00:00:00 +0000,52, , ,0,          
         ,"",D000070476,Senior Star,5800,0,5800,2022-04-18 00:00:00 +0000,52, , ,0,          
C00104901,"",D000000162,"Akin, Gump et al",5750,2000,3750,2022-04-18 00:00:00 +0000,54, , ,0,          
         ,"",D000062351,McCarthy Strategic Solutions,5600,0,5600,2022-04-18 00:00:00 +0000,55, , ,0,          
         ,"",D000067671,Otsuka Pharmaceutical,5500,5500,0,2022-04-18 00:00:00 +0000,56, , ,0,          
