pacid,affiliateid,orgid,ultorg,total,pacs,indivs,releasedate,rank,client,registrant,numlobbyists,loborgid
         ,"",D000021845,Apollo Global Management,120085,25000,95085,2022-04-18 00:00:00 +0000,1, , ,0,          
C00277152,"",D000028799,Rogers Group,108700,5000,103700,2022-04-18 00:00:00 +0000,2, , ,0,          
C00067231,"",D000000445,HCA Inc,78060,7500,70560,2022-04-18 00:00:00 +0000,3,x, ,0,D000000445
         ,"",D000037820,State of Tennessee,70375,0,70375,2022-04-18 00:00:00 +0000,4, , ,0,          
C00068692,"",D000000089,FedEx Corp,66902,17500,49402,2022-04-18 00:00:00 +0000,5,x, ,0,D000000089
         ,"",          ,Hall Capital,49800,0,49800,2022-04-18 00:00:00 +0000,6, , ,0,          
C00366468,"",D000021940,CoreCivic Inc,47528,17500,30028,2022-04-18 00:00:00 +0000,7, , ,0,          
         ,"",D000021907,Cerberus Capital Management             ,45825,0,45825,2022-04-18 00:00:00 +0000,8, , ,0,          
C00027466,"",D000036122,National Republican Senatorial Cmte,44600,44600,0,2022-04-18 00:00:00 +0000,9, , ,0,          
C00450916,"",D000031673,Asurion LLC,42925,5000,37925,2022-04-18 00:00:00 +0000,10, , ,0,          
C00034405,"",D000000171,International Paper,42000,10000,32000,2022-04-18 00:00:00 +0000,11, , ,0,          
         ,"",D000088427,Mountain Group Partners,41100,0,41100,2022-04-18 00:00:00 +0000,12, , ,0,          
         ,"",D000030786,Vanderbilt University,41095,0,41095,2022-04-18 00:00:00 +0000,13, , ,0,          
C00496919,"",D000064266,Acadia Healthcare,36250,12500,23750,2022-04-18 00:00:00 +0000,14,x, ,0,D000064266
C00350744,"",D000000085,Goldman Sachs,34000,0,34000,2022-04-18 00:00:00 +0000,15, , ,0,          
         ,"",D000020995,UBS AG,31200,20000,11200,2022-04-18 00:00:00 +0000,16, , ,0,          
         ,"",D000021873,Blackstone Group,30035,0,30035,2022-04-18 00:00:00 +0000,17, , ,0,          
C00034157,"",D000000126,AFLAC Inc,29300,10000,19300,2022-04-18 00:00:00 +0000,18,x, ,0,D000000126
C00226472,"",D000023754,Adams & Reese,28800,10000,18800,2022-04-18 00:00:00 +0000,19, , ,0,          
         ,"",D000021923,Collazo Enterprises                     ,26000,0,26000,2022-04-18 00:00:00 +0000,20, , ,0,          
         ,"",D000030495,Toyota Motor Corp,25825,15000,10825,2022-04-18 00:00:00 +0000,21, , ,0,          
         ,"",D000030890,"Waller, Lansden et al                   ",24700,0,24700,2022-04-18 00:00:00 +0000,22, , ,0,          
C00113159,"",D000000744,Eastman Chemical,24100,10000,14100,2022-04-18 00:00:00 +0000,23,x, ,0,D000000744
         ,"",D000022043,Ingram Industries,24100,7500,16600,2022-04-18 00:00:00 +0000,23, , ,0,          
         ,"",D000030399,Thompson Machinery,23800,0,23800,2022-04-18 00:00:00 +0000,25, , ,0,          
