pacid,affiliateid,orgid,ultorg,total,pacs,indivs,releasedate,rank,client,registrant,numlobbyists,loborgid
C00468314,"",D000025328,Democracy Engine,80300,0,80300,2022-04-18 00:00:00 +0000,1, , ,0,          
         ,"",D000031938,Bessemer Venture Partners,60000,0,60000,2022-04-18 00:00:00 +0000,2, , ,0,          
         ,"",D000000406,University of California                ,55040,0,55040,2022-04-18 00:00:00 +0000,3, , ,0,          
         ,"",D000052507,Janney Montgomery Scott Llc,44417,0,44417,2022-04-18 00:00:00 +0000,4, , ,0,          
         ,"",D000067823,Alphabet Inc,39595,0,39595,2022-04-18 00:00:00 +0000,5, , ,0,          
         ,"",          ,NOT EMPLOYED,35639,0,35639,2022-04-18 00:00:00 +0000,6, , ,0,          
         ,"",D000000333,"Kleiner, Perkins et al",29000,0,29000,2022-04-18 00:00:00 +0000,7, , ,0,          
         ,"",D000000750,Stanford University                     ,24648,0,24648,2022-04-18 00:00:00 +0000,8, , ,0,          
C00441949,"",          ,JStreetPAC,23350,1000,22350,2022-04-18 00:00:00 +0000,9, , ,0,          
         ,"",D000060800,Cooley Llp,23050,0,23050,2022-04-18 00:00:00 +0000,10, , ,0,          
C00422774,"",          ,Frontline USA,22985,2500,20485,2022-04-18 00:00:00 +0000,11, , ,0,          
         ,"",D000000544,Harvard University,20070,0,20070,2022-04-18 00:00:00 +0000,12, , ,0,          
         ,"",D000035035,"Keker, Van Nest & Peters",19100,0,19100,2022-04-18 00:00:00 +0000,13, , ,0,          
         ,"",D000032055,Boston Consulting Group,18800,0,18800,2022-04-18 00:00:00 +0000,14, , ,0,          
C00502906,"",D000033563,Meta,15423,0,15423,2022-04-18 00:00:00 +0000,15, , ,0,          
         ,"",D000022106,McKinsey & Co,12750,0,12750,2022-04-18 00:00:00 +0000,16, , ,0,          
         ,"",D000060414,Boyett Petroleum,12600,0,12600,2022-04-18 00:00:00 +0000,17, , ,0,          
         ,"",D000034986,Kaiser Permanente,12305,0,12305,2022-04-18 00:00:00 +0000,18, , ,0,          
         ,"",D000021754,Apple Inc,12055,0,12055,2022-04-18 00:00:00 +0000,19, , ,0,          
         ,"",D000068145,Sutter Health,11710,0,11710,2022-04-18 00:00:00 +0000,20, , ,0,          
         ,"",D000031369,Akonadi Foundation,11600,0,11600,2022-04-18 00:00:00 +0000,21, , ,0,          
         ,"",D000021873,Blackstone Group,11600,0,11600,2022-04-18 00:00:00 +0000,21, , ,0,          
         ,"",D000034935,Jordan Real Estate Investments,11600,0,11600,2022-04-18 00:00:00 +0000,21, , ,0,          
         ,"",D000084276,LifeYield,11600,0,11600,2022-04-18 00:00:00 +0000,21, , ,0,          
         ,"",D000072169,Lindsay Goldberg LLC,11600,0,11600,2022-04-18 00:00:00 +0000,21, , ,0,          
         ,"",D000022275,Technology Crossover Ventures,11600,0,11600,2022-04-18 00:00:00 +0000,21, , ,0,          
         ,"",D000094380,Versal,11600,0,11600,2022-04-18 00:00:00 +0000,21, , ,0,          
         ,"",          ,School Investor,11500,0,11500,2022-04-18 00:00:00 +0000,28, , ,0,          
         ,"",          ,Justin W Capp Inc,11400,0,11400,2022-04-18 00:00:00 +0000,29, , ,0,          
         ,"",          ,Centerview,11200,0,11200,2022-04-18 00:00:00 +0000,30, , ,0,          
         ,"",D000073414,Crosslink Capital,11200,0,11200,2022-04-18 00:00:00 +0000,30, , ,0,          
C00573261,"",          ,End Citizens United,10800,5000,5800,2022-04-18 00:00:00 +0000,32, , ,0,          
C00540518,"",D000021890,Capital Group Companies,10700,0,10700,2022-04-18 00:00:00 +0000,33, , ,0,          
         ,"",D000087609,Jackson Square Ventures,10700,0,10700,2022-04-18 00:00:00 +0000,33, , ,0,          
C00028860,"",D000000083,American Federation of Teachers,10000,10000,0,2022-04-18 00:00:00 +0000,35, , ,0,          
C00271338,"",D000000574,AmeriPAC: The Fund for a Greater America,10000,10000,0,2022-04-18 00:00:00 +0000,35, , ,0,          
C00002089,"",D000000075,Communications Workers of America,10000,10000,0,2022-04-18 00:00:00 +0000,35, , ,0,          
C00685552,"",D000073603,Medicare for All PAC,10000,10000,0,2022-04-18 00:00:00 +0000,35, , ,0,          
C00409730,"",D000022150,New Democrat Coalition,10000,10000,0,2022-04-18 00:00:00 +0000,35, , ,0,          
C00344234,"",D000000520,PAC to the Future,10000,10000,0,2022-04-18 00:00:00 +0000,35, , ,0,          
         ,"",D000037299,Rustic Canyon Partners,9700,0,9700,2022-04-18 00:00:00 +0000,41, , ,0,          
         ,"",D000000812,State of California                     ,8939,0,8939,2022-04-18 00:00:00 +0000,42, , ,0,          
         ,"",D000058377,"Walkup, Melodia et al                   ",8900,0,8900,2022-04-18 00:00:00 +0000,43, , ,0,          
         ,"",          ,University Games,8800,0,8800,2022-04-18 00:00:00 +0000,44, , ,0,          
         ,"",          ,Amplyx Pharmaceuticals,8700,0,8700,2022-04-18 00:00:00 +0000,45, , ,0,          
         ,"",D000032285,Capital Group,8700,0,8700,2022-04-18 00:00:00 +0000,45, , ,0,          
         ,"",D000087724,Elemeno Health,8700,0,8700,2022-04-18 00:00:00 +0000,45, , ,0,          
         ,"",D000068814,Heising-Simons Foundation,8700,0,8700,2022-04-18 00:00:00 +0000,45, , ,0,          
         ,"",          ,Ivp,8700,0,8700,2022-04-18 00:00:00 +0000,45, , ,0,          
         ,"",D000094141,Ten Strands,8700,0,8700,2022-04-18 00:00:00 +0000,45, , ,0,          
         ,"",          ,Trucks Vc,8700,0,8700,2022-04-18 00:00:00 +0000,45, , ,0,          
         ,"",D000093895,Telegraph Hill Partners,8300,0,8300,2022-04-18 00:00:00 +0000,52, , ,0,          
C00686949,"",D000073014,Pattern Energy Group,8000,0,8000,2022-04-18 00:00:00 +0000,53, , ,0,          
         ,"",D000037351,San Francisco Unified School District,7615,0,7615,2022-04-18 00:00:00 +0000,54, , ,0,          
C00011114,"",D000000061,American Federation of State/Cnty/Munic Employees,7500,7500,0,2022-04-18 00:00:00 +0000,55, , ,0,          
         ,"",D000037510,Shartsis Friese Llp,7122,0,7122,2022-04-18 00:00:00 +0000,56, , ,0,          
C00696591,"",D000088444,Across the Aisle PAC,7000,7000,0,2022-04-18 00:00:00 +0000,57, , ,0,          
C00308478,"",D000029615,USA Rice Federation,7000,7000,0,2022-04-18 00:00:00 +0000,57, , ,0,          
         ,"",          ,RT Specialty,6820,0,6820,2022-04-18 00:00:00 +0000,59, , ,0,          
         ,"",D000061692,Hines Interests,6800,0,6800,2022-04-18 00:00:00 +0000,60, , ,0,          
C00000885,"",D000000250,Painters & Allied Trades Union,6500,6500,0,2022-04-18 00:00:00 +0000,61, , ,0,          
         ,"",D000053720,Mh Podell Co,6409,0,6409,2022-04-18 00:00:00 +0000,62, , ,0,          
         ,"",D000000536,Latham & Watkins,6400,0,6400,2022-04-18 00:00:00 +0000,63, , ,0,          
         ,"",D000034125,Goodwin,6344,0,6344,2022-04-18 00:00:00 +0000,64, , ,0,          
C00689091,"",D000000810,Carlyle Group                           ,6300,0,6300,2022-04-18 00:00:00 +0000,65, , ,0,          
         ,"",D000087920,Costanoa Ventures,6300,0,6300,2022-04-18 00:00:00 +0000,65, , ,0,          
         ,"",          ,Larkspur-Corte Madera School District,6300,0,6300,2022-04-18 00:00:00 +0000,65, , ,0,          
