pacid,affiliateid,orgid,ultorg,total,pacs,indivs,releasedate,rank,client,registrant,numlobbyists,loborgid
C00468314,"",D000025328,Democracy Engine,304004,0,304004,2022-04-18 00:00:00 +0000,1, , ,0,          
         ,"",          ,NOT EMPLOYED,300402,0,300402,2022-04-18 00:00:00 +0000,2, , ,0,          
C00193433,"",D000000113,Emily's List,197513,5000,192513,2022-04-18 00:00:00 +0000,3, , ,0,          
C00484535,"",D000065181,Votesane PAC,104000,0,104000,2022-04-18 00:00:00 +0000,4, , ,0,          
C00441949,"",          ,JStreetPAC,81364,0,81364,2022-04-18 00:00:00 +0000,5, , ,0,          
C00215046,"",D000000328,Fidelity Investments                    ,77430,35000,42430,2022-04-18 00:00:00 +0000,6,x, ,1,D000000328
         ,"",D000000544,Harvard University                      ,66247,0,66247,2022-04-18 00:00:00 +0000,7, , ,0,          
C00248716,"",D000000461,Comcast Corp,55107,32500,22607,2022-04-18 00:00:00 +0000,8,x, ,4,D000000461
C00397851,"",D000024670,Centene Corp                            ,54389,17500,36889,2022-04-18 00:00:00 +0000,9,x, ,0,D000024670
C00540518,"",D000021890,Capital Group Companies,49803,29000,20803,2022-04-18 00:00:00 +0000,10,x, ,0,D000021890
         ,"",D000000109,Blue Cross/Blue Shield,49100,30000,19100,2022-04-18 00:00:00 +0000,11,x, ,0,D000000109
         ,"",D000067823,Alphabet Inc,43931,5000,38931,2022-04-18 00:00:00 +0000,12, , ,0,          
C00699470,"",D000073971,Pro-Israel America PAC,43200,2500,40700,2022-04-18 00:00:00 +0000,13, , ,0,          
C00034488,"",          ,Anheuser-Busch,40350,40000,350,2022-04-18 00:00:00 +0000,14, , ,0,          
C00426775,"",D000000672,Charter Communications,37500,37500,0,2022-04-18 00:00:00 +0000,15,x, ,0,D000000672
C00281212,"",D000000583,BAE Systems,37497,32500,4997,2022-04-18 00:00:00 +0000,16,x, ,2,D000000583
         ,"",D000022322,Wilmerhale Llp,37267,0,37267,2022-04-18 00:00:00 +0000,17, , ,0,          
C00227546,"",D000000115,Microsoft Corp,36840,26500,10340,2022-04-18 00:00:00 +0000,18,x, ,0,D000000115
C00007922,"",D000000074,Laborers Union,35000,35000,0,2022-04-18 00:00:00 +0000,19,x, ,0,D000000074
         ,"",D000000406,University of California                ,33663,0,33663,2022-04-18 00:00:00 +0000,20, , ,0,          
         ,"",D000032285,Capital Group,33215,0,33215,2022-04-18 00:00:00 +0000,21, , ,0,          
         ,"",D000030677,University of New Hampshire,33208,0,33208,2022-04-18 00:00:00 +0000,22, , ,0,          
C00211318,"",D000000131,Deloitte LLP,32988,30000,2988,2022-04-18 00:00:00 +0000,23,x,x,2,D000000131
         ,"",D000037810,State of New Hampshire,32942,0,32942,2022-04-18 00:00:00 +0000,24, , ,0,          
C00350744,"",D000000085,Goldman Sachs,32708,17500,15208,2022-04-18 00:00:00 +0000,25,x, ,0,D000000085
C00096156,"",D000000334,Honeywell International,31901,31000,901,2022-04-18 00:00:00 +0000,26,x, ,0,D000000334
         ,"",D000033047,Dartmouth College,31773,0,31773,2022-04-18 00:00:00 +0000,27, , ,0,          
C00369751,"",D000000585,Dell Technologies,31614,27500,4114,2022-04-18 00:00:00 +0000,28,x, ,0,D000000585
         ,"",D000000769,"Paul, Weiss et al",31495,0,31495,2022-04-18 00:00:00 +0000,29, , ,0,          
         ,"",D000000750,Stanford University                     ,30188,0,30188,2022-04-18 00:00:00 +0000,30, , ,0,          
C00035451,"",D000000117,Air Line Pilots Assn,30040,30000,40,2022-04-18 00:00:00 +0000,31,x, ,1,D000000117
C00007542,"",D000071033,"Sheet Metal, Air, Rail & Transportation Union",29500,29500,0,2022-04-18 00:00:00 +0000,32,x, ,0,D000071033
         ,"",D000033992,Generation Investment Management,29000,0,29000,2022-04-18 00:00:00 +0000,33, , ,0,          
         ,"",D000063703,Third Rock Ventures,29000,0,29000,2022-04-18 00:00:00 +0000,33, , ,0,          
         ,"",D000000333,"Kleiner, Perkins et al",28800,0,28800,2022-04-18 00:00:00 +0000,35, , ,0,          
C00024521,"",D000000065,American Assn for Justice,28799,27500,1299,2022-04-18 00:00:00 +0000,36,x,x,0,D000000065
         ,"",D000020995,UBS AG,27800,27500,300,2022-04-18 00:00:00 +0000,37, , ,0,          
C00109017,"",D000000076,AT&T Inc,26264,22500,3764,2022-04-18 00:00:00 +0000,38,x, ,0,D000000076
C00004812,"",D000000309,Mortgage Bankers Assn,25750,25000,750,2022-04-18 00:00:00 +0000,39,x, ,1,D000000309
         ,"",D000036528,Mass General Brigham,25654,0,25654,2022-04-18 00:00:00 +0000,40, , ,0,          
         ,"",D000088118,Bluewater Partners,25600,0,25600,2022-04-18 00:00:00 +0000,41, , ,0,          
C70002563,"",D000000062,National Assn of Realtors,25000,25000,0,2022-04-18 00:00:00 +0000,42,x, ,0,D000000062
C00144766,"",D000000101,National Beer Wholesalers Assn,25000,25000,0,2022-04-18 00:00:00 +0000,42,x, ,0,D000000101
C00088591,"",D000000170,Northrop Grumman,24531,23500,1031,2022-04-18 00:00:00 +0000,44,x, ,0,D000000170
         ,"",D000022098,Massachusetts Institute of Technology   ,24322,0,24322,2022-04-18 00:00:00 +0000,45, , ,0,          
C00238725,"",D000000285,National Air Traffic Controllers Assn,24000,24000,0,2022-04-18 00:00:00 +0000,46,x, ,0,D000000285
         ,"",          ,Farfield Partners,23200,0,23200,2022-04-18 00:00:00 +0000,47, , ,0,          
         ,"",D000061881,Jane Street Capital,23200,0,23200,2022-04-18 00:00:00 +0000,47, , ,0,          
         ,"",D000035270,Lauder Partners,23200,0,23200,2022-04-18 00:00:00 +0000,47, , ,0,          
         ,"",          ,Myers-JDC-Brookdale Institute,23200,0,23200,2022-04-18 00:00:00 +0000,47, , ,0,          
         ,"",D000065774,Richmond Global,23200,0,23200,2022-04-18 00:00:00 +0000,47, , ,0,          
         ,"",D000022275,Technology Crossover Ventures,23200,0,23200,2022-04-18 00:00:00 +0000,47, , ,0,          
         ,"",D000031469,American Capital,23000,0,23000,2022-04-18 00:00:00 +0000,53, , ,0,          
         ,"",D000086892,Scaled Agile,23000,0,23000,2022-04-18 00:00:00 +0000,53, , ,0,          
C00274431,"",D000000348,UnitedHealth Group,22881,21000,1881,2022-04-18 00:00:00 +0000,55,x, ,2,D000000348
C00404194,"",D000021766,Genworth Financial,22800,2000,20800,2022-04-18 00:00:00 +0000,56,x, ,0,D000021766
         ,"",D000022194,Power Rogers LLP,22633,0,22633,2022-04-18 00:00:00 +0000,57, , ,0,          
