pacid,affiliateid,orgid,ultorg,total,pacs,indivs,releasedate,rank,client,registrant,numlobbyists,loborgid
C00448696,"",D000028985,Senate Conservatives Fund,363735,10000,353735,2022-04-18 00:00:00 +0000,1, , ,0,          
C90009945,"",D000000763,Club for Growth,299301,0,299301,2022-04-18 00:00:00 +0000,2, , ,0,          
         ,"",D000033165,Diamond Pet Foods,100900,0,100900,2022-04-18 00:00:00 +0000,3,x, ,1,D000033165
C00080515,"",D000019828,Emerson Electric,52675,15000,37675,2022-04-18 00:00:00 +0000,4, , ,0,          
C00027466,"",D000036122,National Republican Senatorial Cmte,47400,47400,0,2022-04-18 00:00:00 +0000,5, , ,0,          
         ,"",D000051780,Herzog,46050,5000,41050,2022-04-18 00:00:00 +0000,6, , ,0,          
         ,"",D000061067,Durham Co,45100,0,45100,2022-04-18 00:00:00 +0000,7, , ,0,          
         ,"",D000022034,Hunter Engineering,44000,0,44000,2022-04-18 00:00:00 +0000,8, , ,0,          
C00370114,"",D000000414,Charles Schwab Corp,43725,0,43725,2022-04-18 00:00:00 +0000,9, , ,0,          
C00410407,"",          ,Edward Jones,39390,3500,35890,2022-04-18 00:00:00 +0000,10, , ,0,          
         ,"",D000067266,Orscheln Group,38200,0,38200,2022-04-18 00:00:00 +0000,11, , ,0,          
C00330233,"",          ,Alliance Coal,33466,10000,23466,2022-04-18 00:00:00 +0000,12, , ,0,          
         ,"",D000055134,Ozarks Coca-Cola Bottling,32400,0,32400,2022-04-18 00:00:00 +0000,13, , ,0,          
         ,"",D000035452,Loren Cook Co,31655,0,31655,2022-04-18 00:00:00 +0000,14, , ,0,          
         ,"",D000000811,Kirkland & Ellis,30428,0,30428,2022-04-18 00:00:00 +0000,15, , ,0,          
         ,"",D000034444,Herschend Family Entertainment,30120,0,30120,2022-04-18 00:00:00 +0000,16, , ,0,          
         ,"",D000030673,University of Missouri                  ,29241,0,29241,2022-04-18 00:00:00 +0000,17, , ,0,          
         ,"",D000042363,Bayer AG,28361,5000,23361,2022-04-18 00:00:00 +0000,18, , ,0,          
C00332643,"",D000021883,"Bryan, Cave et al",27438,5500,21938,2022-04-18 00:00:00 +0000,19, , ,0,          
         ,"",D000000343,Northwestern Mutual,26316,0,26316,2022-04-18 00:00:00 +0000,20, , ,0,          
         ,"",D000092462,Federal Protection Inc,26200,0,26200,2022-04-18 00:00:00 +0000,21, , ,0,          
C00229435,"",D000000604,Leggett & Platt,26000,10000,16000,2022-04-18 00:00:00 +0000,22, , ,0,          
         ,"",D000072307,Mercy (Missouri),25782,0,25782,2022-04-18 00:00:00 +0000,23, , ,0,          
         ,"",D000091970,Helias Catholic High School,25100,0,25100,2022-04-18 00:00:00 +0000,24, , ,0,          
         ,"",D000034833,Jennmar Corp,25000,0,25000,2022-04-18 00:00:00 +0000,25, , ,0,          
C00426775,"",D000000672,Charter Communications,23805,15000,8805,2022-04-18 00:00:00 +0000,26,x, ,1,D000000672
C00332296,"",D000029292,Susan B Anthony List,23619,1200,22419,2022-04-18 00:00:00 +0000,27, , ,0,          
         ,"",D000021757,Berkshire Hathaway,23396,5000,18396,2022-04-18 00:00:00 +0000,28, , ,0,          
C00109017,"",D000000076,AT&T Inc,23075,4000,19075,2022-04-18 00:00:00 +0000,29, , ,0,          
         ,"",          ,Tlc Properties,22850,0,22850,2022-04-18 00:00:00 +0000,30, , ,0,          
C00496307,"",D000023121,Marathon Petroleum,22500,22500,0,2022-04-18 00:00:00 +0000,31,x, ,0,D000023121
         ,"",D000087000,Wiese USA                                         ,22400,0,22400,2022-04-18 00:00:00 +0000,32, , ,0,          
C00085316,"",D000000222,Cigna Corp                              ,22397,2500,19897,2022-04-18 00:00:00 +0000,33, , ,0,          
         ,"",D000044103,Bodley Group,22000,0,22000,2022-04-18 00:00:00 +0000,34, , ,0,          
         ,"",D000088010,Concordance Academy,22000,0,22000,2022-04-18 00:00:00 +0000,34, , ,0,          
         ,"",          ,Russell Stover Candies,22000,0,22000,2022-04-18 00:00:00 +0000,34, , ,0,          
         ,"",D000062455,Midway Usa,21800,0,21800,2022-04-18 00:00:00 +0000,37, , ,0,          
         ,"",          ,Endovac Animal Health,21600,0,21600,2022-04-18 00:00:00 +0000,38, , ,0,          
         ,"",          ,Willard Asphalt Paving,21600,0,21600,2022-04-18 00:00:00 +0000,38, , ,0,          
C00300178,"",D000019743,Wells Fargo,21579,1000,20579,2022-04-18 00:00:00 +0000,40,x, ,0,D000019743
C00550491,"",D000030396,Thompson Coburn LLP,21000,11000,10000,2022-04-18 00:00:00 +0000,41, ,x,0,D000030396
C00139451,"",          ,Kansas City Southern,20950,0,20950,2022-04-18 00:00:00 +0000,42, , ,0,          
         ,"",D000047329,Ascension Health,20745,0,20745,2022-04-18 00:00:00 +0000,43, , ,0,          
         ,"",          ,Johnston Companies,20100,0,20100,2022-04-18 00:00:00 +0000,44, , ,0,          
         ,"",D000035554,Mahaffey Enterprises,20100,0,20100,2022-04-18 00:00:00 +0000,44, , ,0,          
C90012063,"",D000028612,Republican Jewish Coalition,19625,10000,9625,2022-04-18 00:00:00 +0000,46, , ,0,          
C00248716,"",D000000461,Comcast Corp,19049,15000,4049,2022-04-18 00:00:00 +0000,47,x, ,3,D000000461
         ,"",D000044109,Dot Foods,18900,0,18900,2022-04-18 00:00:00 +0000,48, , ,0,          
C00424382,"",D000026558,Husch Blackwell LLP,18900,4500,14400,2022-04-18 00:00:00 +0000,48, , ,0,          
         ,"",          ,Jes Holdings LLC,18900,0,18900,2022-04-18 00:00:00 +0000,48, , ,0,          
         ,"",D000074473,Kit Bond Strategies,18750,0,18750,2022-04-18 00:00:00 +0000,51, , ,0,          
         ,"",D000055678,Prime Inc,18700,0,18700,2022-04-18 00:00:00 +0000,52, , ,0,          
C00496919,"",D000064266,Acadia Healthcare,18100,4500,13600,2022-04-18 00:00:00 +0000,53,x, ,0,D000064266
C00142711,"",D000000100,Boeing Co,17740,0,17740,2022-04-18 00:00:00 +0000,54, , ,0,          
         ,"",D000046914,American Dehydrated Foods,17400,0,17400,2022-04-18 00:00:00 +0000,55, , ,0,          
         ,"",          ,Schell Kampeter,17400,0,17400,2022-04-18 00:00:00 +0000,55, , ,0,          
         ,"",D000038170,Washington University in St Louis,17376,0,17376,2022-04-18 00:00:00 +0000,57, , ,0,          
C00000059,"",D000000474,Hallmark Cards,17369,12000,5369,2022-04-18 00:00:00 +0000,58, , ,0,          
         ,"",D000037416,Schnuck Markets,17325,0,17325,2022-04-18 00:00:00 +0000,59, , ,0,          
         ,"",D000021982,Fierce Government Relations,17200,0,17200,2022-04-18 00:00:00 +0000,60, , ,0,          
         ,"",          ,Bank of Hillsboro,17000,0,17000,2022-04-18 00:00:00 +0000,61, , ,0,          
C00040394,"",D000000480,Williams Companies,16800,5000,11800,2022-04-18 00:00:00 +0000,62, , ,0,          
C00211318,"",D000000131,Deloitte LLP,16778,15000,1778,2022-04-18 00:00:00 +0000,63,x,x,0,D000000131
         ,"",D000061624,Hbe Corp,16600,0,16600,2022-04-18 00:00:00 +0000,64, , ,0,          
         ,"",          ,Super Market Merchandising,16600,0,16600,2022-04-18 00:00:00 +0000,64, , ,0,          
C00088591,"",D000000170,Northrop Grumman,16584,10000,6584,2022-04-18 00:00:00 +0000,66,x, ,0,D000000170
C00009985,"",D000000202,National Assn of Broadcasters,16400,5000,11400,2022-04-18 00:00:00 +0000,67,x, ,1,D000000202
         ,"",D000031831,Bartlett Grain,16200,0,16200,2022-04-18 00:00:00 +0000,68, , ,0,          
         ,"",          ,Drury Dev,16200,0,16200,2022-04-18 00:00:00 +0000,68, , ,0,          
         ,"",          ,Farmer Co,16200,0,16200,2022-04-18 00:00:00 +0000,68, , ,0,          
         ,"",D000030271,TAMKO Building Products,16200,0,16200,2022-04-18 00:00:00 +0000,68, , ,0,          
         ,"",D000060725,"Cohen, Klingenstein & Marks",16100,0,16100,2022-04-18 00:00:00 +0000,72, , ,0,          
C00236489,"",D000000186,Koch Industries,16020,15000,1020,2022-04-18 00:00:00 +0000,73,x, ,1,D000000186
C00793711,"",          ,Constellation Energy Generation,16000,0,16000,2022-04-18 00:00:00 +0000,74, , ,0,          
C00206136,"",D000023888,Ameren Corp                             ,15615,9000,6615,2022-04-18 00:00:00 +0000,75,x, ,0,D000023888
         ,"",D000000772,Station Casinos,15600,0,15600,2022-04-18 00:00:00 +0000,76, , ,0,          
C00445981,"",D000055544,Polsinelli PC,15450,0,15450,2022-04-18 00:00:00 +0000,77, , ,0,          
         ,"",D000036804,Prescott Investors,15400,0,15400,2022-04-18 00:00:00 +0000,78, , ,0,          
C00188177,"",D000022016,H&R Block,15315,15000,315,2022-04-18 00:00:00 +0000,79,x, ,1,D000022016
         ,"",D000088962,Midwest Scrap Management,15300,0,15300,2022-04-18 00:00:00 +0000,80, , ,0,          
         ,"",          ,Electric Power Systems,15100,0,15100,2022-04-18 00:00:00 +0000,81, , ,0,          
C00336743,"",D000024151,Asian American Hotel Owners Assn,15000,15000,0,2022-04-18 00:00:00 +0000,82,x, ,0,D000024151
         ,"",D000077424,Country Club Bank,14850,0,14850,2022-04-18 00:00:00 +0000,83, , ,0,          
         ,"",D000060274,Baur Properties,14800,0,14800,2022-04-18 00:00:00 +0000,84, , ,0,          
         ,"",D000022205,Proskauer Rose,14525,0,14525,2022-04-18 00:00:00 +0000,85, , ,0,          
         ,"",          ,Clawson Farms,14487,0,14487,2022-04-18 00:00:00 +0000,86, , ,0,          
         ,"",          ,Mills Properties,14350,0,14350,2022-04-18 00:00:00 +0000,87, , ,0,          
         ,"",          ,Block Real Estate,14100,0,14100,2022-04-18 00:00:00 +0000,88, , ,0,          
         ,"",D000033210,Dobbs Tire & Auto Centers,14100,0,14100,2022-04-18 00:00:00 +0000,88, , ,0,          
         ,"",D000042427,O'Reilly Auto Parts,14065,0,14065,2022-04-18 00:00:00 +0000,90, , ,0,          
         ,"",D000042214,Crawford Group,13954,1000,12954,2022-04-18 00:00:00 +0000,91, , ,0,          
         ,"",          ,Bryan Properties,13900,0,13900,2022-04-18 00:00:00 +0000,92, , ,0,          
         ,"",          ,Champion Brands,13900,0,13900,2022-04-18 00:00:00 +0000,92, , ,0,          
C00035006,"",D000000015,Chevron Corp,13805,10000,3805,2022-04-18 00:00:00 +0000,94, , ,0,          
         ,"",D000070479,Harbinger Strategies,13800,0,13800,2022-04-18 00:00:00 +0000,95, ,x,1,D000070479
C00397851,"",D000024670,Centene Corp                            ,13700,0,13700,2022-04-18 00:00:00 +0000,96, , ,0,          
         ,"",          ,Src Holdings,13700,0,13700,2022-04-18 00:00:00 +0000,96, , ,0,          
         ,"",D000088049,Tc Jacoby & Co,13700,0,13700,2022-04-18 00:00:00 +0000,96, , ,0,          
C00453688,"",D000026741,JE Dunn Construction Group,13600,0,13600,2022-04-18 00:00:00 +0000,99, , ,0,          
C00004275,"",D000000087,American Bankers Assn                   ,13525,12500,1025,2022-04-18 00:00:00 +0000,100,x, ,3,D000000087
