pacid,affiliateid,orgid,ultorg,total,pacs,indivs,releasedate,rank,client,registrant,numlobbyists,loborgid
C00468314,"",D000025328,Democracy Engine,34600,0,34600,2022-04-18 00:00:00 +0000,1, , ,0,          
C00193433,"",D000000113,EMILY's List,19350,5000,14350,2022-04-18 00:00:00 +0000,2, , ,0,          
C00441949,"",          ,JStreetPAC,13300,0,13300,2022-04-18 00:00:00 +0000,3, , ,0,          
         ,"",D000068814,Heising-Simons Foundation,11600,0,11600,2022-04-18 00:00:00 +0000,4, , ,0,          
C00422774,"",          ,Frontline USA,11375,2500,8875,2022-04-18 00:00:00 +0000,5, , ,0,          
C00028860,"",D000000083,American Federation of Teachers,10000,10000,0,2022-04-18 00:00:00 +0000,6, , ,0,          
C00271338,"",D000000574,AmeriPAC: The Fund for a Greater America,10000,10000,0,2022-04-18 00:00:00 +0000,6, , ,0,          
C00147512,"",D000021932,Congressional Black Caucus PAC,10000,10000,0,2022-04-18 00:00:00 +0000,6, , ,0,          
C00007880,"",D000000136,Credit Union National Assn,10000,10000,0,2022-04-18 00:00:00 +0000,6, , ,0,          
C00685552,"",D000073603,Medicare for All PAC,10000,10000,0,2022-04-18 00:00:00 +0000,6, , ,0,          
C00029504,"",D000000139,Operating Engineers Union,10000,10000,0,2022-04-18 00:00:00 +0000,6, , ,0,          
C00344234,"",D000000520,PAC to the Future,10000,10000,0,2022-04-18 00:00:00 +0000,6, , ,0,          
C70001979,"",D000000066,Teamsters Union,10000,10000,0,2022-04-18 00:00:00 +0000,6, , ,0,          
C00617381,"",D000071024,The Collective PAC,9000,9000,0,2022-04-18 00:00:00 +0000,14, , ,0,          
C00549014,"",          ,Hudson Valley PAC (Maloney),8000,8000,0,2022-04-18 00:00:00 +0000,15, , ,0,          
C00571174,"",          ,Serve America PAC,8000,8000,0,2022-04-18 00:00:00 +0000,15, , ,0,          
C00193631,"",D000000359,Farm Credit Council,7500,7500,0,2022-04-18 00:00:00 +0000,17, , ,0,          
C70003124,"",D000000077,Service Employees International Union,6500,6500,0,2022-04-18 00:00:00 +0000,18, , ,0,          
         ,"",D000067823,Alphabet Inc,6356,0,6356,2022-04-18 00:00:00 +0000,19, , ,0,          
         ,"",D000031277,Accel Partners,5800,0,5800,2022-04-18 00:00:00 +0000,20, , ,0,          
         ,"",D000031369,Akonadi Foundation,5800,0,5800,2022-04-18 00:00:00 +0000,20, , ,0,          
