pacid,affiliateid,orgid,ultorg,total,pacs,indivs,releasedate,rank,client,registrant,numlobbyists,loborgid
C90005786,"",D000000288,League of Conservation Voters,119354,13029,106325,2022-04-18 00:00:00 +0000,1, , ,0,          
C00064774,"",D000000321,NextEra Energy,82060,38500,43560,2022-04-18 00:00:00 +0000,2,x, ,3,D000000321
C00441949,"",          ,JStreetPAC,62067,0,62067,2022-04-18 00:00:00 +0000,3, , ,0,          
         ,"",D000030678,University of New Mexico,59280,0,59280,2022-04-18 00:00:00 +0000,4, , ,0,          
C00085316,"",D000000222,Cigna Corp                              ,50000,40000,10000,2022-04-18 00:00:00 +0000,5,x, ,1,D000000222
C00006080,"",D000000192,American Health Care Assn,44900,37000,7900,2022-04-18 00:00:00 +0000,6,x, ,3,D000000192
C00096156,"",D000000334,Honeywell International,41885,27500,14385,2022-04-18 00:00:00 +0000,7,x, ,1,D000000334
C00686949,"",D000073014,Pattern Energy Group,40500,7000,33500,2022-04-18 00:00:00 +0000,8,x, ,0,D000073014
C00215285,"",D000000317,General Atomics,40200,20500,19700,2022-04-18 00:00:00 +0000,9,x, ,1,D000000317
C00023580,"",D000000084,National Assn of Letter Carriers,39000,39000,0,2022-04-18 00:00:00 +0000,10,x, ,0,D000000084
C00097568,"",D000072615,Raytheon Technologies,37510,36500,1010,2022-04-18 00:00:00 +0000,11,x, ,1,D000072615
         ,"",D000021757,Berkshire Hathaway,35560,32000,3560,2022-04-18 00:00:00 +0000,12,x, ,3,D000021757
         ,"",D000067823,Alphabet Inc,35128,26500,8628,2022-04-18 00:00:00 +0000,13, , ,0,          
C00007922,"",D000000074,Laborers Union,35000,35000,0,2022-04-18 00:00:00 +0000,14,x, ,0,D000000074
C00016683,"",D000000138,Pfizer Inc,34000,34000,0,2022-04-18 00:00:00 +0000,15,x, ,0,D000000138
C00144774,"",D000000168,Southern Co,34000,34000,0,2022-04-18 00:00:00 +0000,15,x, ,0,D000000168
         ,"",D000036737,Poarch Band of Creek Indians,33100,0,33100,2022-04-18 00:00:00 +0000,17,x, ,0,D000036737
C00088591,"",D000000170,Northrop Grumman,33015,33000,15,2022-04-18 00:00:00 +0000,18,x, ,0,D000000170
C00035451,"",D000000117,Air Line Pilots Assn,33000,33000,0,2022-04-18 00:00:00 +0000,19,x, ,1,D000000117
         ,"",D000063162,"Robbins, Geller et al",32500,0,32500,2022-04-18 00:00:00 +0000,20, , ,0,          
C00107235,"",D000000124,PricewaterhouseCoopers,32000,32000,0,2022-04-18 00:00:00 +0000,21,x,x,0,D000000124
C00303024,"",D000000104,Lockheed Martin,31286,28500,2786,2022-04-18 00:00:00 +0000,22,x, ,2,D000000104
C00024521,"",D000000065,American Assn for Justice,31000,31000,0,2022-04-18 00:00:00 +0000,23,x,x,0,D000000065
C00442913,"",D000024518,Burns & McDonnell,30000,30000,0,2022-04-18 00:00:00 +0000,24,x, ,0,D000024518
