pacid,affiliateid,orgid,ultorg,total,pacs,indivs,releasedate,rank,client,registrant,numlobbyists,loborgid
C00063164,"",D000000373,McDonald's Corp,24080,5000,19080,2022-04-18 00:00:00 +0000,1, , ,0,          
C00040394,"",D000000480,Williams Companies,21400,17500,3900,2022-04-18 00:00:00 +0000,2, , ,0,          
         ,"",D000032314,Capitol Tax Partners,14000,0,14000,2022-04-18 00:00:00 +0000,3, , ,0,          
         ,"",D000088531,Kansas City Urology Care,12090,0,12090,2022-04-18 00:00:00 +0000,4, , ,0,          
         ,"",          ,Case & Assoc,11600,0,11600,2022-04-18 00:00:00 +0000,5, , ,0,          
         ,"",D000023649,Chickasaw Nation                        ,11200,0,11200,2022-04-18 00:00:00 +0000,6, , ,0,          
C00354753,"",D000025483,Devon Energy                            ,11200,0,11200,2022-04-18 00:00:00 +0000,6, , ,0,          
C00110338,"",D000000219,American Crystal Sugar,10000,10000,0,2022-04-18 00:00:00 +0000,8, , ,0,          
C00250399,"",D000021853,Automotive Free International Trade PAC           ,10000,10000,0,2022-04-18 00:00:00 +0000,8, , ,0,          
C00342766,"",D000026132,HollyFrontier Corp,10000,10000,0,2022-04-18 00:00:00 +0000,8, , ,0,          
C00284885,"",D000000419,Home Depot,10000,10000,0,2022-04-18 00:00:00 +0000,8, , ,0,          
C00096156,"",D000000334,Honeywell International,10000,5000,5000,2022-04-18 00:00:00 +0000,8, , ,0,          
C00236489,"",D000000186,Koch Industries,10000,10000,0,2022-04-18 00:00:00 +0000,8, , ,0,          
C70002563,"",D000000062,National Assn of Realtors,10000,10000,0,2022-04-18 00:00:00 +0000,8, , ,0,          
C00064766,"",D000000081,United Parcel Service,10000,10000,0,2022-04-18 00:00:00 +0000,8, , ,0,          
         ,"",D000031255,Aaon Inc,8700,0,8700,2022-04-18 00:00:00 +0000,16, , ,0,          
         ,"",D000023641,Pechanga Band of Luiseno Mission Indians,8700,0,8700,2022-04-18 00:00:00 +0000,16, , ,0,          
         ,"",          ,Southwest Aviation Specialties,8700,0,8700,2022-04-18 00:00:00 +0000,16, , ,0,          
         ,"",          ,Hydrohoist,8600,0,8600,2022-04-18 00:00:00 +0000,19, , ,0,          
C00039578,"",D000000433,Council of Insurance Agents & Brokers,8500,8500,0,2022-04-18 00:00:00 +0000,20, , ,0,          
         ,"",D000034498,Hobbs Group,7500,0,7500,2022-04-18 00:00:00 +0000,21, , ,0,          
C00496307,"",D000023121,Marathon Petroleum,7500,7500,0,2022-04-18 00:00:00 +0000,21, , ,0,          
C00130773,"",D000000755,National Multifamily Housing Council,7500,7500,0,2022-04-18 00:00:00 +0000,21, , ,0,          
         ,"",D000089120,Melton Truck Lines,7000,0,7000,2022-04-18 00:00:00 +0000,24, , ,0,          
         ,"",          ,American Bank & Trust,6800,0,6800,2022-04-18 00:00:00 +0000,25, , ,0,          
         ,"",          ,Aaon,6200,0,6200,2022-04-18 00:00:00 +0000,26, , ,0,          
C00024968,"",D000000194,American Optometric Assn,6000,6000,0,2022-04-18 00:00:00 +0000,27, , ,0,          
         ,"",D000032306,Capitol Counsel,5909,0,5909,2022-04-18 00:00:00 +0000,28, , ,0,          
         ,"",          ,Economy Pharmacy,5800,0,5800,2022-04-18 00:00:00 +0000,29, , ,0,          
         ,"",          ,Jim Norton Auto Group,5800,0,5800,2022-04-18 00:00:00 +0000,29, , ,0,          
         ,"",          ,Nelson Auto Group,5800,0,5800,2022-04-18 00:00:00 +0000,29, , ,0,          
         ,"",D000069789,Ngl Energy Partners,5800,0,5800,2022-04-18 00:00:00 +0000,29, , ,0,          
