pacid,affiliateid,orgid,ultorg,total,pacs,indivs,releasedate,rank,client,registrant,numlobbyists,loborgid
         ,"",          ,CANTSINK MANUFACTURING LLC,7900,0,7900,2022-04-18 00:00:00 +0000,1, , ,0,          
         ,"",          ,HILLPOINTE AVIATION,5600,0,5600,2022-04-18 00:00:00 +0000,2, , ,0,          
C00552851,"",D000068902,House Freedom Fund,5000,5000,0,2022-04-18 00:00:00 +0000,3, , ,0,          
         ,"",D000034860,Jim Jordan for Congress,5000,5000,0,2022-04-18 00:00:00 +0000,3, , ,0,          
         ,"",          ,Jody Hice for Congress,5000,5000,0,2022-04-18 00:00:00 +0000,3, , ,0,          
C00399063,"",D000000805,KeyCorp,2900,0,2900,2022-04-18 00:00:00 +0000,6, , ,0,          
C00764431,"",          ,406 PAC                                           ,2500,2500,0,2022-04-18 00:00:00 +0000,7, , ,0,          
         ,"",          ,Patriots for Perry,2000,2000,0,2022-04-18 00:00:00 +0000,8, , ,0,          
C00764795,"",          ,We the People Leadership PAC,2000,2000,0,2022-04-18 00:00:00 +0000,8, , ,0,          
         ,"",          ,Aoc Inc,1500,0,1500,2022-04-18 00:00:00 +0000,10, , ,0,          
         ,"",          ,Yvette for Congress,1000,1000,0,2022-04-18 00:00:00 +0000,11, , ,0,          
         ,"",D000037794,State of Georgia,500,0,500,2022-04-18 00:00:00 +0000,12, , ,0,          
         ,"",          ,AW Cook Cement Products,400,0,400,2022-04-18 00:00:00 +0000,13, , ,0,          
         ,"",          ,Abundance,250,0,250,2022-04-18 00:00:00 +0000,14, , ,0,          
         ,"",          ,Electro Graphic Products,250,0,250,2022-04-18 00:00:00 +0000,14, , ,0,          
         ,"",          ,Heerys,250,0,250,2022-04-18 00:00:00 +0000,14, , ,0,          
         ,"",          ,Spangler Candy,250,0,250,2022-04-18 00:00:00 +0000,14, , ,0,          
         ,"",          ,Nutrition Sales,100,0,100,2022-04-18 00:00:00 +0000,18, , ,0,          
