pacid,affiliateid,orgid,ultorg,total,pacs,indivs,releasedate,rank,client,registrant,numlobbyists,loborgid
         ,"",D000067823,Alphabet Inc,258269,0,258269,2022-04-18 00:00:00 +0000,1, , ,0,          
C00468314,"",D000025328,Democracy Engine,238166,0,238166,2022-04-18 00:00:00 +0000,2, , ,0,          
         ,"",D000030653,University of Colorado                  ,202161,0,202161,2022-04-18 00:00:00 +0000,3,x, ,0,D000030653
         ,"",D000000406,University of California                ,179986,0,179986,2022-04-18 00:00:00 +0000,4,x, ,0,D000000406
C90014028,"",D000052457,J Street,159910,85,159825,2022-04-18 00:00:00 +0000,5, , ,0,          
         ,"",          ,Hickenlooper 2020,129235,128705,530,2022-04-18 00:00:00 +0000,6, , ,0,          
C00227546,"",D000000115,Microsoft Corp                          ,126925,0,126925,2022-04-18 00:00:00 +0000,7,x, ,0,D000000115
         ,"",D000000544,Harvard University                      ,106971,0,106971,2022-04-18 00:00:00 +0000,8, , ,0,          
C00360354,"",D000023883,Amazon.com                              ,80513,0,80513,2022-04-18 00:00:00 +0000,9, , ,0,          
C00508101,"",D000067699,Liberty Media Corp,77736,0,77736,2022-04-18 00:00:00 +0000,10,x, ,0,D000067699
         ,"",D000021754,Apple Inc,73522,0,73522,2022-04-18 00:00:00 +0000,11, , ,0,          
         ,"",D000022300,US Government,67802,0,67802,2022-04-18 00:00:00 +0000,12, , ,0,          
C00197749,"",D000000128,Walt Disney Co                          ,67628,0,67628,2022-04-18 00:00:00 +0000,13, , ,0,          
         ,"",D000037790,State of Colorado,67151,0,67151,2022-04-18 00:00:00 +0000,14,x, ,1,D000037790
C00390583,"",D000000724,"Brownstein, Hyatt et al",66336,-1500,67836,2022-04-18 00:00:00 +0000,15,x,x,1,D000000724
C00248716,"",D000000461,Comcast Corp,65300,0,65300,2022-04-18 00:00:00 +0000,16,x, ,0,D000000461
C00502906,"",D000033563,Meta,65033,0,65033,2022-04-18 00:00:00 +0000,17, , ,0,          
         ,"",D000000750,Stanford University                     ,62670,0,62670,2022-04-18 00:00:00 +0000,18, , ,0,          
         ,"",D000034986,Kaiser Permanente,62207,0,62207,2022-04-18 00:00:00 +0000,19,x, ,0,D000034986
         ,"",D000000720,IBM Corp                                ,56091,0,56091,2022-04-18 00:00:00 +0000,20, , ,0,          
C00042366,"",D000021958,Democratic Senatorial Campaign Cmte,49600,49600,0,2022-04-18 00:00:00 +0000,21, , ,0,          
         ,"",D000070171,314 Action,44151,19000,25151,2022-04-18 00:00:00 +0000,22, , ,0,          
         ,"",D000022322,WilmerHale Llp,43425,0,43425,2022-04-18 00:00:00 +0000,23, ,x,0,D000022322
         ,"",D000034687,Insight Partners,43200,0,43200,2022-04-18 00:00:00 +0000,24, , ,0,          
         ,"",D000032757,Colorado State University,43100,0,43100,2022-04-18 00:00:00 +0000,25, , ,0,          
         ,"",D000021927,Columbia University                     ,42742,0,42742,2022-04-18 00:00:00 +0000,26, , ,0,          
C00323048,"",D000000422,Oracle Corp                             ,42540,0,42540,2022-04-18 00:00:00 +0000,27, , ,0,          
         ,"",D000022098,Massachusetts Institute of Technology   ,39742,0,39742,2022-04-18 00:00:00 +0000,28, , ,0,          
         ,"",D000022297,University of Washington,39621,0,39621,2022-04-18 00:00:00 +0000,29, , ,0,          
         ,"",D000030656,University of Denver,39036,0,39036,2022-04-18 00:00:00 +0000,30, , ,0,          
         ,"",          ,Monroe Group,37850,0,37850,2022-04-18 00:00:00 +0000,31, , ,0,          
         ,"",D000037205,Wonderful Co,37499,0,37499,2022-04-18 00:00:00 +0000,32,x, ,0,D000037205
         ,"",D000000536,Latham & Watkins,36139,0,36139,2022-04-18 00:00:00 +0000,33, , ,0,          
C00300178,"",D000019743,Wells Fargo,36119,0,36119,2022-04-18 00:00:00 +0000,34, , ,0,          
         ,"",D000000812,State of California,35804,0,35804,2022-04-18 00:00:00 +0000,35, , ,0,          
         ,"",D000022121,Motley Rice LLC,35394,0,35394,2022-04-18 00:00:00 +0000,36, , ,0,          
C00580894,"",D000030766,Vail Resorts,34266,0,34266,2022-04-18 00:00:00 +0000,37, , ,0,          
         ,"",D000022154,New York University                     ,34058,0,34058,2022-04-18 00:00:00 +0000,38,x, ,0,D000022154
         ,"",D000036528,Mass General Brigham,33814,0,33814,2022-04-18 00:00:00 +0000,39, , ,0,          
         ,"",D000021915,"City of New York, NY",33242,0,33242,2022-04-18 00:00:00 +0000,40, , ,0,          
C00261339,"",D000059877,Hogan Lovells                           ,33098,0,33098,2022-04-18 00:00:00 +0000,41, , ,0,          
         ,"",D000021767,National Amusements Inc,32832,0,32832,2022-04-18 00:00:00 +0000,42, , ,0,          
         ,"",          ,Warner Brothers Discovery,32681,0,32681,2022-04-18 00:00:00 +0000,43, , ,0,          
         ,"",D000030727,US Dept of the Interior,32144,0,32144,2022-04-18 00:00:00 +0000,44, , ,0,          
         ,"",D000033957,Gart Companies,31900,0,31900,2022-04-18 00:00:00 +0000,45, , ,0,          
C00274431,"",D000000348,UnitedHealth Group,31540,0,31540,2022-04-18 00:00:00 +0000,46, , ,0,          
         ,"",D000033344,East West Partners,31500,0,31500,2022-04-18 00:00:00 +0000,47, , ,0,          
         ,"",D000021859,Bain Capital,31300,0,31300,2022-04-18 00:00:00 +0000,48, , ,0,          
         ,"",D000022331,Yale University                         ,30583,0,30583,2022-04-18 00:00:00 +0000,49, , ,0,          
C00104901,"",D000000162,"Akin, Gump et al",30160,0,30160,2022-04-18 00:00:00 +0000,50, , ,0,          
C00511600,"",D000037335,Salesforce.Com                          ,29677,0,29677,2022-04-18 00:00:00 +0000,51, , ,0,          
C00109017,"",D000000076,AT&T Inc,29272,2000,27272,2022-04-18 00:00:00 +0000,52, , ,0,          
         ,"",D000030723,US Dept of Health & Human Services,28967,0,28967,2022-04-18 00:00:00 +0000,53, , ,0,          
         ,"",D000022106,McKinsey & Co,28895,0,28895,2022-04-18 00:00:00 +0000,54,x, ,0,D000022106
         ,"",D000022219,Renaissance Technologies,28790,0,28790,2022-04-18 00:00:00 +0000,55, , ,0,          
C00282921,"",D000000479,Winston & Strawn,28299,0,28299,2022-04-18 00:00:00 +0000,56, ,x,0,D000000479
         ,"",D000035902,Miller Global Properties,28000,0,28000,2022-04-18 00:00:00 +0000,57, , ,0,          
C00362707,"",D000000374,Cisco Systems                           ,27616,0,27616,2022-04-18 00:00:00 +0000,58, , ,0,          
         ,"",          ,Fullerton Investors,27400,0,27400,2022-04-18 00:00:00 +0000,59, , ,0,          
         ,"",D000032451,Centerview Partners,27352,0,27352,2022-04-18 00:00:00 +0000,60, , ,0,          
         ,"",D000022295,University of Pennsylvania              ,27303,0,27303,2022-04-18 00:00:00 +0000,61,x, ,0,D000022295
         ,"",D000031323,Adobe Inc,26886,0,26886,2022-04-18 00:00:00 +0000,62, , ,0,          
         ,"",D000000811,Kirkland & Ellis,26848,0,26848,2022-04-18 00:00:00 +0000,63, , ,0,          
         ,"",D000072058,Breckenridge-Wynkoop LLC,26800,0,26800,2022-04-18 00:00:00 +0000,64, , ,0,          
