pacid,affiliateid,orgid,ultorg,total,pacs,indivs,releasedate,rank,client,registrant,numlobbyists,loborgid
C00130773,"",D000000755,National Multifamily Housing Council,15000,15000,0,2022-04-18 00:00:00 +0000,1, , ,0,          
C00035451,"",D000000117,Air Line Pilots Assn,13000,13000,0,2022-04-18 00:00:00 +0000,2, , ,0,          
C70002563,"",D000000062,National Assn of Realtors,13000,13000,0,2022-04-18 00:00:00 +0000,2, , ,0,          
C00039578,"",D000000433,Council of Insurance Agents & Brokers,12500,12500,0,2022-04-18 00:00:00 +0000,4, , ,0,          
C00007542,"",D000071033,"Sheet Metal, Air, Rail & Transportation Union",12500,12500,0,2022-04-18 00:00:00 +0000,4, , ,0,          
         ,"",D000077512,Cold Spring Construction,11600,0,11600,2022-04-18 00:00:00 +0000,6, , ,0,          
         ,"",          ,Union Concrete,11600,0,11600,2022-04-18 00:00:00 +0000,6, , ,0,          
C00102764,"",D000000269,American Chiropractic Assn,11000,11000,0,2022-04-18 00:00:00 +0000,8, , ,0,          
C00106146,"",D000000116,American Hospital Assn,10000,10000,0,2022-04-18 00:00:00 +0000,9, , ,0,          
C00003632,"",D000000302,Bricklayers Union,10000,10000,0,2022-04-18 00:00:00 +0000,9, , ,0,          
C00284885,"",D000000419,Home Depot,10000,10000,0,2022-04-18 00:00:00 +0000,9, , ,0,          
C00384354,"",          ,Michigan Sugar,10000,10000,0,2022-04-18 00:00:00 +0000,9, , ,0,          
C00303339,"",D000000606,National Assn of Real Estate Investment Trusts,10000,10000,0,2022-04-18 00:00:00 +0000,9, , ,0,          
C00029504,"",D000000139,Operating Engineers Union               ,10000,10000,0,2022-04-18 00:00:00 +0000,9, , ,0,          
         ,"",          ,Wchn,8500,0,8500,2022-04-18 00:00:00 +0000,15, , ,0,          
         ,"",D000071051,Roswell Park Comprehensive Cancer Center,8060,0,8060,2022-04-18 00:00:00 +0000,16, , ,0,          
C00011114,"",D000000061,American Federation of State/Cnty/Munic Employees,7500,7500,0,2022-04-18 00:00:00 +0000,17, , ,0,          
C00076810,"",D000000155,General Motors,7500,7500,0,2022-04-18 00:00:00 +0000,17, , ,0,          
C00280222,"",D000019986,KPMG LLP,7500,7500,0,2022-04-18 00:00:00 +0000,17, , ,0,          
C00118943,"",D000000198,Massachusetts Mutual Life Insurance,7500,7500,0,2022-04-18 00:00:00 +0000,17, , ,0,          
C00004812,"",D000000309,Mortgage Bankers Assn,7500,7500,0,2022-04-18 00:00:00 +0000,17, , ,0,          
         ,"",          ,Ciminelli Development,6800,0,6800,2022-04-18 00:00:00 +0000,22, , ,0,          
C00034157,"",D000000126,AFLAC Inc,6000,6000,0,2022-04-18 00:00:00 +0000,23, , ,0,          
C00105981,"",D000000262,Investment Co Institute,6000,6000,0,2022-04-18 00:00:00 +0000,23, , ,0,          
C00005249,"",D000000096,National Assn of Insurance & Financial Advisors,6000,6000,0,2022-04-18 00:00:00 +0000,23, , ,0,          
C00000885,"",D000000250,Painters & Allied Trades Union,6000,6000,0,2022-04-18 00:00:00 +0000,23, , ,0,          
         ,"",D000093390,Accent Stripe Inc,5800,0,5800,2022-04-18 00:00:00 +0000,27, , ,0,          
         ,"",D000094257,"Cannon, Heyman & Weiss",5800,0,5800,2022-04-18 00:00:00 +0000,27, , ,0,          
         ,"",          ,Cedarland Development,5800,0,5800,2022-04-18 00:00:00 +0000,27, , ,0,          
         ,"",          ,Doran & Murphy,5800,0,5800,2022-04-18 00:00:00 +0000,27, , ,0,          
         ,"",          ,Executive Affiliates Inc,5800,0,5800,2022-04-18 00:00:00 +0000,27, , ,0,          
         ,"",          ,Lifestorage,5800,0,5800,2022-04-18 00:00:00 +0000,27, , ,0,          
         ,"",D000077883,Maid of the Mist Corp,5800,0,5800,2022-04-18 00:00:00 +0000,27, , ,0,          
         ,"",          ,Mark Cerrone Inc,5800,0,5800,2022-04-18 00:00:00 +0000,27, , ,0,          
         ,"",          ,Maxwell Murphy Law Firm,5800,0,5800,2022-04-18 00:00:00 +0000,27, , ,0,          
         ,"",          ,Midwood Financial Services,5800,0,5800,2022-04-18 00:00:00 +0000,27, , ,0,          
         ,"",          ,Nanco Assoc,5800,0,5800,2022-04-18 00:00:00 +0000,27, , ,0,          
         ,"",          ,Nancy L Pressly & Assoc,5800,0,5800,2022-04-18 00:00:00 +0000,27, , ,0,          
         ,"",          ,O'Brien Boyd,5800,0,5800,2022-04-18 00:00:00 +0000,27, , ,0,          
         ,"",          ,OSC Charitable Foundation,5800,0,5800,2022-04-18 00:00:00 +0000,27, , ,0,          
         ,"",D000044041,Patrick P Lee Foundation,5800,0,5800,2022-04-18 00:00:00 +0000,27, , ,0,          
         ,"",          ,Reger Holdings LLC,5800,0,5800,2022-04-18 00:00:00 +0000,27, , ,0,          
         ,"",          ,Safespan Scaffolding,5800,0,5800,2022-04-18 00:00:00 +0000,27, , ,0,          
         ,"",          ,Savarino Construction Services,5800,0,5800,2022-04-18 00:00:00 +0000,27, , ,0,          
         ,"",D000037473,Seneca Nation of Indians,5800,0,5800,2022-04-18 00:00:00 +0000,27, , ,0,          
         ,"",          ,Seventh Amendment,5800,0,5800,2022-04-18 00:00:00 +0000,27, , ,0,          
         ,"",          ,Towne Automotive Group,5800,0,5800,2022-04-18 00:00:00 +0000,27, , ,0,          
         ,"",D000063788,Try-It Distributing,5800,0,5800,2022-04-18 00:00:00 +0000,27, , ,0,          
         ,"",          ,Urban Family Practice,5800,0,5800,2022-04-18 00:00:00 +0000,27, , ,0,          
         ,"",          ,Western New York Mri LLP,5800,0,5800,2022-04-18 00:00:00 +0000,27, , ,0,          
         ,"",          ,Hatch Acres Corp,5700,0,5700,2022-04-18 00:00:00 +0000,51, , ,0,          
C00359539,"",D000021821,American Academy of Dermatology Assn,5500,5500,0,2022-04-18 00:00:00 +0000,52, , ,0,          
C00109017,"",D000000076,AT&T Inc,5500,5500,0,2022-04-18 00:00:00 +0000,52, , ,0,          
         ,"",D000032306,Capitol Counsel,5500,0,5500,2022-04-18 00:00:00 +0000,52, , ,0,          
C00096156,"",D000000334,Honeywell International,5500,5500,0,2022-04-18 00:00:00 +0000,52, , ,0,          
C00027342,"",D000000069,International Brotherhood of Electrical Workers,5500,5500,0,2022-04-18 00:00:00 +0000,52, , ,0,          
         ,"",D000000109,Blue Cross/Blue Shield,5400,5400,0,2022-04-18 00:00:00 +0000,57, , ,0,          
         ,"",D000036389,Oneida Indian Nation,5400,0,5400,2022-04-18 00:00:00 +0000,57, , ,0,          
C90021163,"",D000000203,Amalgamated Transit Union,5000,5000,0,2022-04-18 00:00:00 +0000,59, , ,0,          
C00010868,"",D000000682,American Council of Engineering Cos,5000,5000,0,2022-04-18 00:00:00 +0000,59, , ,0,          
C00147066,"",D000000152,American Council of Life Insurers,5000,5000,0,2022-04-18 00:00:00 +0000,59, , ,0,          
C00110338,"",D000000219,American Crystal Sugar,5000,5000,0,2022-04-18 00:00:00 +0000,59, , ,0,          
C00028860,"",D000000083,American Federation of Teachers,5000,5000,0,2022-04-18 00:00:00 +0000,59, , ,0,          
C00081414,"",D000000366,American Sugar Cane League,5000,5000,0,2022-04-18 00:00:00 +0000,59, , ,0,          
C00001016,"",D000000073,Carpenters & Joiners Union,5000,5000,0,2022-04-18 00:00:00 +0000,59, , ,0,          
         ,"",          ,Carubba Collision,5000,0,5000,2022-04-18 00:00:00 +0000,59, , ,0,          
C00490474,"",D000052225,Insured Retirement Institute,5000,5000,0,2022-04-18 00:00:00 +0000,59, , ,0,          
C00029447,"",D000000135,International Assn of Fire Fighters,5000,5000,0,2022-04-18 00:00:00 +0000,59, , ,0,          
C00007922,"",D000000074,Laborers Union,5000,5000,0,2022-04-18 00:00:00 +0000,59, , ,0,          
C00486217,"",          ,LPL Financial,5000,5000,0,2022-04-18 00:00:00 +0000,59, , ,0,          
C00002469,"",D000000078,Machinists/Aerospace Workers Union,5000,5000,0,2022-04-18 00:00:00 +0000,59, , ,0,          
C00337626,"",D000000106,Morgan Stanley,5000,5000,0,2022-04-18 00:00:00 +0000,59, , ,0,          
C00023580,"",D000000084,National Assn of Letter Carriers,5000,5000,0,2022-04-18 00:00:00 +0000,59, , ,0,          
C00580068,"",D000069975,Progressive Turnout Project                       ,5000,5000,0,2022-04-18 00:00:00 +0000,59, , ,0,          
C00562264,"",D000067512,Regeneron Pharmaceuticals,5000,5000,0,2022-04-18 00:00:00 +0000,59, , ,0,          
         ,"",          ,Rockspring Designs LLC,5000,0,5000,2022-04-18 00:00:00 +0000,59, , ,0,          
C70003124,"",D000000077,Service Employees International Union,5000,2500,2500,2022-04-18 00:00:00 +0000,59, , ,0,          
         ,"",          ,Taurus Capital Partners,5000,0,5000,2022-04-18 00:00:00 +0000,59, , ,0,          
C00064766,"",D000000081,United Parcel Service,5000,5000,0,2022-04-18 00:00:00 +0000,59, , ,0,          
C00003590,"",D000000102,United Steelworkers,5000,5000,0,2022-04-18 00:00:00 +0000,59, , ,0,          
C00339655,"",          ,US Oncology,5000,5000,0,2022-04-18 00:00:00 +0000,59, , ,0,          
         ,"",          ,Iroquois Bar Corp,4900,0,4900,2022-04-18 00:00:00 +0000,82, , ,0,          
C00447565,"",D000073638,Finseca,4500,4500,0,2022-04-18 00:00:00 +0000,83, , ,0,          
C00144766,"",D000000101,National Beer Wholesalers Assn,4500,4500,0,2022-04-18 00:00:00 +0000,83, , ,0,          
         ,"",D000020995,UBS AG,4500,2500,2000,2022-04-18 00:00:00 +0000,83, , ,0,          
         ,"",D000086339,Bryant & Stratton College,4450,0,4450,2022-04-18 00:00:00 +0000,86, , ,0,          
C00083758,"",D000027849,National Fuel Gas Co,4450,4450,0,2022-04-18 00:00:00 +0000,86, , ,0,          
         ,"",          ,E3 Communications,4250,0,4250,2022-04-18 00:00:00 +0000,88, , ,0,          
C00104901,"",D000000162,"Akin, Gump et al",4000,2500,1500,2022-04-18 00:00:00 +0000,89, , ,0,          
C00426874,"",D000025782,Federation of Exchange Accommodators,4000,4000,0,2022-04-18 00:00:00 +0000,89, , ,0,          
C00219444,"",D000027916,National Structured Settlements Trade Assn,4000,4000,0,2022-04-18 00:00:00 +0000,89, , ,0,          
         ,"",D000076181,Catholic Health System,3900,0,3900,2022-04-18 00:00:00 +0000,92, , ,0,          
C00137273,"",D000035524,M&T Bank,3900,1000,2900,2022-04-18 00:00:00 +0000,92, , ,0,          
C00671693,"",D000052372,Institute for Portfolio Alternatives,3750,3750,0,2022-04-18 00:00:00 +0000,94, , ,0,          
         ,"",          ,Cubrc Inc,3650,0,3650,2022-04-18 00:00:00 +0000,95, , ,0,          
         ,"",          ,NY State Ag,3650,0,3650,2022-04-18 00:00:00 +0000,95, , ,0,          
C00006080,"",D000000192,American Health Care Assn,3500,3500,0,2022-04-18 00:00:00 +0000,97, , ,0,          
C00012880,"",D000000298,American Physical Therapy Assn,3500,3500,0,2022-04-18 00:00:00 +0000,97, , ,0,          
C00384602,"",D000047039,American Society for Radiation Oncology,3500,3500,0,2022-04-18 00:00:00 +0000,97, , ,0,          
C00428623,"",          ,Google Inc,3500,3500,0,2022-04-18 00:00:00 +0000,97, , ,0,          
C00188177,"",D000022016,H&R Block,3500,3500,0,2022-04-18 00:00:00 +0000,97, , ,0,          
C00107235,"",D000000124,PricewaterhouseCoopers,3500,3500,0,2022-04-18 00:00:00 +0000,97, , ,0,          
