pacid,affiliateid,orgid,ultorg,total,pacs,indivs,releasedate,rank,client,registrant,numlobbyists,loborgid
C00484535,"",D000065181,Votesane PAC,75000,0,75000,2022-04-18 00:00:00 +0000,1, , ,0,          
C00166553,"",D000000370,Stephens Inc,35570,0,35570,2022-04-18 00:00:00 +0000,2, , ,0,          
C00425975,"",D000029877,Windstream Communications,24200,0,24200,2022-04-18 00:00:00 +0000,3, , ,0,          
         ,"",D000091801,First Security Bank (Arkansas)                    ,21600,0,21600,2022-04-18 00:00:00 +0000,4, , ,0,          
         ,"",          ,Westrock Group,21600,0,21600,2022-04-18 00:00:00 +0000,4, , ,0,          
C00388827,"",D000066716,Rock Holdings,20800,12500,8300,2022-04-18 00:00:00 +0000,6, , ,0,          
C00326595,"",D000021891,Capital One Financial,20000,20000,0,2022-04-18 00:00:00 +0000,7, , ,0,          
C00105981,"",D000000262,Investment Co Institute,20000,20000,0,2022-04-18 00:00:00 +0000,7, , ,0,          
C00300178,"",D000019743,Wells Fargo,16000,15000,1000,2022-04-18 00:00:00 +0000,9, , ,0,          
C00692806,"",D000000310,American Property Casualty Insurance Assn,15500,15500,0,2022-04-18 00:00:00 +0000,10, , ,0,          
C00039578,"",D000000433,Council of Insurance Agents & Brokers,15000,15000,0,2022-04-18 00:00:00 +0000,11, , ,0,          
C00253369,"",D000026669,Invesco Ltd,15000,15000,0,2022-04-18 00:00:00 +0000,11, , ,0,          
C00130773,"",D000000755,National Multifamily Housing Council,15000,15000,0,2022-04-18 00:00:00 +0000,11, , ,0,          
C00158881,"",D000000249,New York Life Insurance,15000,15000,0,2022-04-18 00:00:00 +0000,11, , ,0,          
C00012245,"",          ,UBS Americas,15000,15000,0,2022-04-18 00:00:00 +0000,11, , ,0,          
C00007880,"",D000000136,Credit Union National Assn,13500,13500,0,2022-04-18 00:00:00 +0000,16, , ,0,          
C00432252,"",D000022216,Regions Financial                       ,12750,12500,250,2022-04-18 00:00:00 +0000,17, , ,0,          
         ,"",D000021873,Blackstone Group,12600,0,12600,2022-04-18 00:00:00 +0000,18, , ,0,          
C00380550,"",          ,FMR Corp,12500,12500,0,2022-04-18 00:00:00 +0000,19, , ,0,          
C00171843,"",          ,Liberty Mutual Insurance,12500,12500,0,2022-04-18 00:00:00 +0000,19, , ,0,          
C00004812,"",D000000309,Mortgage Bankers Assn,12500,12500,0,2022-04-18 00:00:00 +0000,19, , ,0,          
C00186064,"",D000028398,PNC Financial Services,12500,12500,0,2022-04-18 00:00:00 +0000,19, , ,0,          
         ,"",D000037789,State of Arkansas,12350,0,12350,2022-04-18 00:00:00 +0000,23, , ,0,          
C00107235,"",D000000124,PricewaterhouseCoopers,12000,12000,0,2022-04-18 00:00:00 +0000,24, , ,0,          
C00336768,"",D000024140,Arvest Bank Group,11600,0,11600,2022-04-18 00:00:00 +0000,25, , ,0,          
         ,"",D000061285,Fisher Investments,11600,0,11600,2022-04-18 00:00:00 +0000,25, , ,0,          
         ,"",D000034204,Grimmway Enterprises,11600,0,11600,2022-04-18 00:00:00 +0000,25, , ,0,          
         ,"",          ,Hunt Oil,11600,0,11600,2022-04-18 00:00:00 +0000,25, , ,0,          
         ,"",D000073743,Marcus Foundation,11600,0,11600,2022-04-18 00:00:00 +0000,25, , ,0,          
         ,"",D000071830,Standard Industries,11600,0,11600,2022-04-18 00:00:00 +0000,25, , ,0,          
