pacid,affiliateid,orgid,ultorg,total,pacs,indivs,releasedate,rank,client,registrant,numlobbyists,loborgid
C00039578,"",D000000433,Council of Insurance Agents & Brokers,15000,15000,0,2022-04-18 00:00:00 +0000,1, , ,0,          
C00497917,"",D000050099,Depository Trust & Clearing Corp,13500,13500,0,2022-04-18 00:00:00 +0000,2, , ,0,          
C00300178,"",D000019743,Wells Fargo,12500,12500,0,2022-04-18 00:00:00 +0000,3, , ,0,          
         ,"",D000052507,Janney Montgomery Scott Llc,11928,0,11928,2022-04-18 00:00:00 +0000,4, , ,0,          
         ,"",D000031442,Alternative Investment Group,11600,0,11600,2022-04-18 00:00:00 +0000,5, , ,0,          
         ,"",D000090955,Malkin Holdings,11600,0,11600,2022-04-18 00:00:00 +0000,5, , ,0,          
         ,"",D000022251,Silver Lake Partners,11200,0,11200,2022-04-18 00:00:00 +0000,7, , ,0,          
C00004812,"",D000000309,Mortgage Bankers Assn,11000,11000,0,2022-04-18 00:00:00 +0000,8, , ,0,          
C00128512,"",D000000103,JPMorgan Chase & Co,10800,5000,5800,2022-04-18 00:00:00 +0000,9, , ,0,          
         ,"",D000020995,UBS AG,10100,10000,100,2022-04-18 00:00:00 +0000,10, , ,0,          
C00142711,"",D000000100,Boeing Co,10000,10000,0,2022-04-18 00:00:00 +0000,11, , ,0,          
C00426775,"",D000000672,Charter Communications,10000,10000,0,2022-04-18 00:00:00 +0000,11, , ,0,          
C00118943,"",D000000198,Massachusetts Mutual Life Insurance,10000,5000,5000,2022-04-18 00:00:00 +0000,11, , ,0,          
C00130773,"",D000000755,National Multifamily Housing Council,10000,10000,0,2022-04-18 00:00:00 +0000,11, , ,0,          
C00097568,"",D000072615,Raytheon Technologies,9500,9500,0,2022-04-18 00:00:00 +0000,15, , ,0,          
C00388827,"",D000066716,Rock Holdings,9500,9500,0,2022-04-18 00:00:00 +0000,15, , ,0,          
C00039305,"",D000000071,Citigroup Inc,8800,6000,2800,2022-04-18 00:00:00 +0000,17, , ,0,          
C00076299,"",D000023666,CME Group,8000,8000,0,2022-04-18 00:00:00 +0000,18, , ,0,          
C70002563,"",D000000062,National Assn of Realtors,8000,8000,0,2022-04-18 00:00:00 +0000,18, , ,0,          
C00211318,"",D000000131,Deloitte LLP,7750,7500,250,2022-04-18 00:00:00 +0000,20, , ,0,          
C00280222,"",D000019986,KPMG LLP,7600,6000,1600,2022-04-18 00:00:00 +0000,21, , ,0,          
C00248716,"",D000000461,Comcast Corp,7500,7500,0,2022-04-18 00:00:00 +0000,22, , ,0,          
C00227744,"",D000000098,Ernst & Young,7500,7500,0,2022-04-18 00:00:00 +0000,22, , ,0,          
C00171843,"",          ,Liberty Mutual Insurance,7500,7500,0,2022-04-18 00:00:00 +0000,22, , ,0,          
