pacid,affiliateid,orgid,ultorg,total,pacs,indivs,releasedate,rank,client,registrant,numlobbyists,loborgid
C00193433,"",D000000113,EMILY's List,52955,10000,42955,2022-04-18 00:00:00 +0000,1, , ,0,          
C00010082,"",D000022131,NCTA The Internet & Television Assn,43000,37500,5500,2022-04-18 00:00:00 +0000,2,x, ,1,D000022131
C00426775,"",D000000672,Charter Communications,40000,40000,0,2022-04-18 00:00:00 +0000,3,x, ,2,D000000672
         ,"",D000054086,Nan Inc,35300,0,35300,2022-04-18 00:00:00 +0000,4, , ,0,          
C00001198,"",D000023971,American Hotel & Lodging Assn,33000,33000,0,2022-04-18 00:00:00 +0000,5,x, ,0,D000023971
C00286401,"",D000000145,Seafarers International Union           ,32660,32510,150,2022-04-18 00:00:00 +0000,6,x, ,0,D000000145
C00064766,"",D000000081,United Parcel Service,31280,31000,280,2022-04-18 00:00:00 +0000,7,x, ,1,D000000081
C00035451,"",D000000117,Air Line Pilots Assn,30000,30000,0,2022-04-18 00:00:00 +0000,8,x, ,0,D000000117
C00147173,"",D000000356,Wine & Spirits Wholesalers of America,30000,30000,0,2022-04-18 00:00:00 +0000,8,x, ,1,D000000356
C00456939,"",          ,Hawaiian Airlines,29413,25000,4413,2022-04-18 00:00:00 +0000,10, , ,0,          
C00078451,"",D000000165,General Dynamics,29030,29000,30,2022-04-18 00:00:00 +0000,11,x, ,1,D000000165
C00248716,"",D000000461,Comcast Corp,28555,25000,3555,2022-04-18 00:00:00 +0000,12,x, ,0,D000000461
C00325092,"",D000064813,Huntington Ingalls Industries,28500,28500,0,2022-04-18 00:00:00 +0000,13,x, ,1,D000064813
         ,"",D000035160,"Kobayashi, Sugita & Goda",28400,0,28400,2022-04-18 00:00:00 +0000,14, , ,0,          
         ,"",D000022044,Intellectual Ventures LLC,26500,26500,0,2022-04-18 00:00:00 +0000,15,x, ,1,D000022044
C00088591,"",D000000170,Northrop Grumman,25179,25000,179,2022-04-18 00:00:00 +0000,16,x, ,0,D000000170
C00109017,"",D000000076,AT&T Inc,24862,24500,362,2022-04-18 00:00:00 +0000,17,x, ,0,D000000076
         ,"",D000046161,Hawaiian Electric Industries,24500,0,24500,2022-04-18 00:00:00 +0000,18, , ,0,          
C00097485,"",D000000275,Merck & Co,24010,24000,10,2022-04-18 00:00:00 +0000,19,x, ,1,D000000275
C00281212,"",D000000583,BAE Systems,24001,21500,2501,2022-04-18 00:00:00 +0000,20,x, ,0,D000000583
C70002563,"",D000000062,National Assn of Realtors,24000,24000,0,2022-04-18 00:00:00 +0000,21,x, ,0,D000000062
C00300525,"",D000027806,National Assn of Surety Bond Producers,24000,24000,0,2022-04-18 00:00:00 +0000,21,x, ,0,D000027806
C00428623,"",          ,Google Inc,23734,23500,234,2022-04-18 00:00:00 +0000,23, , ,0,          
         ,"",D000093502,"Deeley, King et al",23700,0,23700,2022-04-18 00:00:00 +0000,24, , ,0,          
C00096156,"",D000000334,Honeywell International,22511,22500,11,2022-04-18 00:00:00 +0000,25,x, ,1,D000000334
C00255752,"",D000000199,American Society of Anesthesiologists,22500,22500,0,2022-04-18 00:00:00 +0000,26,x, ,0,D000000199
C00004861,"",D000022292,UNITE HERE,22500,22500,0,2022-04-18 00:00:00 +0000,26,x, ,0,D000022292
         ,"",D000037795,State of Hawaii                         ,21589,0,21589,2022-04-18 00:00:00 +0000,28, , ,0,          
C00024752,"",D000027454,Matson Inc,21500,10000,11500,2022-04-18 00:00:00 +0000,29,x, ,1,D000027454
C00016683,"",D000000138,Pfizer Inc,21050,21000,50,2022-04-18 00:00:00 +0000,30,x, ,2,D000000138
C00100321,"",D000071910,L3Harris Technologies,21000,21000,0,2022-04-18 00:00:00 +0000,31,x, ,0,D000071910
         ,"",D000030659,University of Hawaii                    ,20861,0,20861,2022-04-18 00:00:00 +0000,32, , ,0,          
C00009985,"",D000000202,National Assn of Broadcasters,20500,20500,0,2022-04-18 00:00:00 +0000,33,x, ,0,D000000202
C00023580,"",D000000084,National Assn of Letter Carriers,20500,20500,0,2022-04-18 00:00:00 +0000,33,x, ,0,D000000084
C00027359,"",D000000140,Ironworkers Union,20000,20000,0,2022-04-18 00:00:00 +0000,35,x, ,0,D000000140
C00011114,"",D000000061,American Federation of State/Cnty/Munic Employees,19000,19000,0,2022-04-18 00:00:00 +0000,36,x, ,0,D000000061
C00104901,"",D000000162,"Akin, Gump et al",18375,4000,14375,2022-04-18 00:00:00 +0000,37, ,x,1,D000000162
C00227546,"",D000000115,Microsoft Corp                          ,18066,17500,566,2022-04-18 00:00:00 +0000,38,x, ,1,D000000115
C00114108,"",D000024017,American Society of Travel Advisors,18000,18000,0,2022-04-18 00:00:00 +0000,39,x, ,0,D000024017
C00103549,"",D000022175,Parsons Corp,17507,17500,7,2022-04-18 00:00:00 +0000,40,x, ,0,D000022175
         ,"",D000021935,Cooney & Conway,17200,0,17200,2022-04-18 00:00:00 +0000,41, , ,0,          
C00064774,"",D000000321,NextEra Energy,17010,17000,10,2022-04-18 00:00:00 +0000,42,x, ,0,D000000321
C00536573,"",D000066804,AbbVie Inc,16500,16500,0,2022-04-18 00:00:00 +0000,43,x, ,0,D000066804
C00330647,"",D000000535,DISH Network,16500,16500,0,2022-04-18 00:00:00 +0000,43,x, ,0,D000000535
C00017681,"",D000023838,Alexander & Baldwin,16400,3000,13400,2022-04-18 00:00:00 +0000,45, , ,0,          
C00027342,"",D000000069,International Brotherhood of Electrical Workers,15500,15000,500,2022-04-18 00:00:00 +0000,46,x, ,0,D000000069
C00303024,"",D000000104,Lockheed Martin,15030,15000,30,2022-04-18 00:00:00 +0000,47,x, ,1,D000000104
C70003124,"",D000000077,Service Employees International Union,15030,10000,5030,2022-04-18 00:00:00 +0000,47, , ,0,          
C00029504,"",D000000139,Operating Engineers Union               ,15025,15000,25,2022-04-18 00:00:00 +0000,49,x, ,0,D000000139
C00110338,"",D000000219,American Crystal Sugar,15000,15000,0,2022-04-18 00:00:00 +0000,50,x, ,0,D000000219
C00564377,"",          ,Chugach Alaska,15000,15000,0,2022-04-18 00:00:00 +0000,50, , ,0,          
C00029447,"",D000000135,International Assn of Fire Fighters,15000,15000,0,2022-04-18 00:00:00 +0000,50,x, ,0,D000000135
C00130773,"",D000000755,National Multifamily Housing Council,15000,15000,0,2022-04-18 00:00:00 +0000,50,x, ,0,D000000755
C00450692,"",D000046017,Poet LLC,15000,15000,0,2022-04-18 00:00:00 +0000,50,x, ,0,D000046017
         ,"",          ,Territorial Savings Bank,15000,0,15000,2022-04-18 00:00:00 +0000,50, , ,0,          
C00542365,"",          ,Toyota Motor North America,15000,15000,0,2022-04-18 00:00:00 +0000,50, , ,0,          
         ,"",          ,Paracom Inc,14800,0,14800,2022-04-18 00:00:00 +0000,57, , ,0,          
C00000729,"",D000000105,American Dental Assn,14500,14500,0,2022-04-18 00:00:00 +0000,58,x, ,0,D000000105
C00477653,"",D000000768,Cox Enterprises,14000,14000,0,2022-04-18 00:00:00 +0000,59,x, ,0,D000000768
C00546101,"",D000067048,News Corp,14000,9500,4500,2022-04-18 00:00:00 +0000,59,x, ,1,D000067048
         ,"",D000030147,Strategies 360,13950,0,13950,2022-04-18 00:00:00 +0000,61, ,x,0,D000030147
C00039206,"",D000000276,Williams & Jensen,13900,1000,12900,2022-04-18 00:00:00 +0000,62, ,x,1,D000000276
C90005786,"",D000000288,League of Conservation Voters,13874,11999,1875,2022-04-18 00:00:00 +0000,63,x, ,0,D000000288
         ,"",D000023649,Chickasaw Nation                        ,13500,0,13500,2022-04-18 00:00:00 +0000,64,x, ,0,D000023649
C00238725,"",D000000285,National Air Traffic Controllers Assn,13000,13000,0,2022-04-18 00:00:00 +0000,65,x, ,0,D000000285
         ,"",D000037146,RM Towill Corp,12900,0,12900,2022-04-18 00:00:00 +0000,66, , ,0,          
         ,"",D000060920,Davis Levin Livingston,12788,0,12788,2022-04-18 00:00:00 +0000,67, , ,0,          
         ,"",D000023771,AECOM Global,12550,1000,11550,2022-04-18 00:00:00 +0000,68, , ,0,          
C00107235,"",D000000124,PricewaterhouseCoopers,12525,12500,25,2022-04-18 00:00:00 +0000,69,x,x,0,D000000124
C00564690,"",D000074094,CAPA21,12500,12500,0,2022-04-18 00:00:00 +0000,70, , ,0,          
C00144766,"",D000000101,National Beer Wholesalers Assn,12500,12500,0,2022-04-18 00:00:00 +0000,70,x, ,0,D000000101
         ,"",D000021919,Clifford Law Offices,12300,0,12300,2022-04-18 00:00:00 +0000,72, , ,0,          
         ,"",D000022194,Power Rogers LLP,12175,0,12175,2022-04-18 00:00:00 +0000,73, , ,0,          
C00395723,"",D000021817,Alston & Bird,11500,7500,4000,2022-04-18 00:00:00 +0000,74, ,x,0,D000021817
C00126763,"",D000000240,National Assn of Convenience Stores,11500,11500,0,2022-04-18 00:00:00 +0000,74,x, ,0,D000000240
C00186288,"",D000000079,Verizon Communications,11470,11000,470,2022-04-18 00:00:00 +0000,76,x, ,1,D000000079
C00462630,"",D000021942,Covington & Burling,11250,10000,1250,2022-04-18 00:00:00 +0000,77, , ,0,          
         ,"",D000000812,State of California                     ,11139,0,11139,2022-04-18 00:00:00 +0000,78, , ,0,          
         ,"",D000021845,Apollo Global Management,11135,2000,9135,2022-04-18 00:00:00 +0000,79, , ,0,          
C00097568,"",D000072615,Raytheon Technologies,11065,11000,65,2022-04-18 00:00:00 +0000,80,x, ,1,D000072615
         ,"",D000078606,"Starn, O'Toole et al                              ",11050,0,11050,2022-04-18 00:00:00 +0000,81, , ,0,          
C00251876,"",D000000391,Amgen Inc,11000,11000,0,2022-04-18 00:00:00 +0000,82,x, ,0,D000000391
