pacid,affiliateid,orgid,ultorg,total,pacs,indivs,releasedate,rank,client,registrant,numlobbyists,loborgid
         ,"",D000068060,Clearpath Foundation,45800,0,45800,2022-04-18 00:00:00 +0000,1,x, ,0,D000068060
C00227546,"",D000000115,Microsoft Corp,40300,37500,2800,2022-04-18 00:00:00 +0000,2,x, ,1,D000000115
C00088591,"",D000000170,Northrop Grumman,38075,37000,1075,2022-04-18 00:00:00 +0000,3,x, ,1,D000000170
C00557322,"",D000034447,Hess Corp,37600,10000,27600,2022-04-18 00:00:00 +0000,4,x, ,0,D000034447
C00104802,"",D000000350,Delta Air Lines,32075,32000,75,2022-04-18 00:00:00 +0000,5,x, ,2,D000000350
C00110338,"",D000000219,American Crystal Sugar,31100,30000,1100,2022-04-18 00:00:00 +0000,6,x, ,0,D000000219
C00349746,"",D000021885,California Dairies Inc,30000,30000,0,2022-04-18 00:00:00 +0000,7,x, ,0,D000021885
C00284885,"",D000000419,Home Depot,30000,30000,0,2022-04-18 00:00:00 +0000,7,x, ,0,D000000419
C00064774,"",D000000321,NextEra Energy,29500,29500,0,2022-04-18 00:00:00 +0000,9,x, ,1,D000000321
C00004275,"",D000000087,American Bankers Assn,28500,28500,0,2022-04-18 00:00:00 +0000,10,x, ,0,D000000087
C00035451,"",D000000117,Air Line Pilots Assn,27000,27000,0,2022-04-18 00:00:00 +0000,11,x, ,0,D000000117
C00215285,"",D000000317,General Atomics,26800,21000,5800,2022-04-18 00:00:00 +0000,12,x, ,0,D000000317
C00096156,"",D000000334,Honeywell International,26000,26000,0,2022-04-18 00:00:00 +0000,13,x, ,2,D000000334
C00097568,"",D000072615,Raytheon Technologies,26000,26000,0,2022-04-18 00:00:00 +0000,13,x, ,0,D000072615
C00147173,"",D000000356,Wine & Spirits Wholesalers of America,26000,26000,0,2022-04-18 00:00:00 +0000,13,x, ,1,D000000356
C00250399,"",D000021853,Automotive Free International Trade PAC,25000,25000,0,2022-04-18 00:00:00 +0000,16, , ,0,          
C00248716,"",D000000461,Comcast Corp,25000,25000,0,2022-04-18 00:00:00 +0000,16,x, ,4,D000000461
C00015933,"",D000000658,Pinnacle West Capital,25000,25000,0,2022-04-18 00:00:00 +0000,16,x, ,0,D000000658
C00007880,"",D000000136,Credit Union National Assn,24000,24000,0,2022-04-18 00:00:00 +0000,19,x, ,0,D000000136
C00202184,"",D000027883,National Rural Water Assn,23500,23500,0,2022-04-18 00:00:00 +0000,20,x, ,0,D000027883
C00416297,"",D000000431,National Cotton Council,23000,23000,0,2022-04-18 00:00:00 +0000,21,x, ,0,D000000431
         ,"",D000060635,CHEROKEE NATION,22500,0,22500,2022-04-18 00:00:00 +0000,22, , ,0,          
C00235739,"",          ,BNSF Railway,21500,21500,0,2022-04-18 00:00:00 +0000,23, , ,0,          
         ,"",          ,Elingson Companies,21000,0,21000,2022-04-18 00:00:00 +0000,24, , ,0,          
         ,"",D000036737,Poarch Band of Creek Indians,20800,0,20800,2022-04-18 00:00:00 +0000,25,x, ,0,D000036737
