pacid,affiliateid,orgid,ultorg,total,pacs,indivs,releasedate,rank,client,registrant,numlobbyists,loborgid
         ,"",D000020995,UBS AG,11500,10000,1500,2022-04-18 00:00:00 +0000,1, , ,0,          
C00004275,"",D000000087,American Bankers Assn,10000,10000,0,2022-04-18 00:00:00 +0000,2, , ,0,          
C00039578,"",D000000433,Council of Insurance Agents & Brokers,10000,10000,0,2022-04-18 00:00:00 +0000,2, , ,0,          
C00280222,"",D000019986,KPMG LLP,10000,10000,0,2022-04-18 00:00:00 +0000,2, , ,0,          
C70002563,"",D000000062,National Assn of Realtors,8000,8000,0,2022-04-18 00:00:00 +0000,5, , ,0,          
C00579540,"",D000034090,Ally Financial,7500,7500,0,2022-04-18 00:00:00 +0000,6, , ,0,          
C00380550,"",          ,FMR Corp,7500,7500,0,2022-04-18 00:00:00 +0000,6, , ,0,          
C00128512,"",D000000103,JPMorgan Chase & Co,7500,7500,0,2022-04-18 00:00:00 +0000,6, , ,0,          
C00118943,"",D000000198,Massachusetts Mutual Life Insurance,7500,7500,0,2022-04-18 00:00:00 +0000,6, , ,0,          
C00004812,"",D000000309,Mortgage Bankers Assn,7500,7500,0,2022-04-18 00:00:00 +0000,6, , ,0,          
C00113241,"",D000027790,National Apartment Assn,7500,7500,0,2022-04-18 00:00:00 +0000,6, , ,0,          
C00077321,"",D000000095,American Institute of CPAs,7000,7000,0,2022-04-18 00:00:00 +0000,12, , ,0,          
C00542365,"",          ,Toyota Motor North America,6500,6500,0,2022-04-18 00:00:00 +0000,13, , ,0,          
C00040253,"",D000000632,Allstate Insurance,6000,6000,0,2022-04-18 00:00:00 +0000,14, , ,0,          
C00113811,"",D000000411,National Electrical Contractors Assn,6000,6000,0,2022-04-18 00:00:00 +0000,14, , ,0,          
         ,"",          ,Cherry Tree Dental LLC,5800,0,5800,2022-04-18 00:00:00 +0000,16, , ,0,          
         ,"",          ,Southeast Anesthesiologist,5800,0,5800,2022-04-18 00:00:00 +0000,16, , ,0,          
C00105981,"",D000000262,Investment Co Institute,5500,5500,0,2022-04-18 00:00:00 +0000,18, , ,0,          
C00486217,"",          ,LPL Financial,5500,5500,0,2022-04-18 00:00:00 +0000,18, , ,0,          
C00337626,"",D000000106,Morgan Stanley,5500,5500,0,2022-04-18 00:00:00 +0000,18, , ,0,          
C00147066,"",D000000152,American Council of Life Insurers,5000,5000,0,2022-04-18 00:00:00 +0000,21, , ,0,          
C00197228,"",          ,Anthem Inc,5000,5000,0,2022-04-18 00:00:00 +0000,21, , ,0,          
C00109017,"",D000000076,AT&T Inc,5000,5000,0,2022-04-18 00:00:00 +0000,21, , ,0,          
         ,"",D000000643,Baxter International,5000,5000,0,2022-04-18 00:00:00 +0000,21, , ,0,          
C00611871,"",          ,BMO Financial Corp,5000,5000,0,2022-04-18 00:00:00 +0000,21, , ,0,          
C00540518,"",D000021890,Capital Group Companies,5000,5000,0,2022-04-18 00:00:00 +0000,21, , ,0,          
C00326595,"",D000021891,Capital One Financial,5000,5000,0,2022-04-18 00:00:00 +0000,21, , ,0,          
C00689091,"",D000000810,Carlyle Group,5000,5000,0,2022-04-18 00:00:00 +0000,21, , ,0,          
C00148031,"",D000000352,Caterpillar Inc,5000,5000,0,2022-04-18 00:00:00 +0000,21, , ,0,          
C00039305,"",D000000071,Citigroup Inc,5000,5000,0,2022-04-18 00:00:00 +0000,21, , ,0,          
C00007880,"",D000000136,Credit Union National Assn,5000,5000,0,2022-04-18 00:00:00 +0000,21, , ,0,          
C00211318,"",D000000131,Deloitte LLP,5000,5000,0,2022-04-18 00:00:00 +0000,21, , ,0,          
C00227744,"",D000000098,Ernst & Young,5000,5000,0,2022-04-18 00:00:00 +0000,21, , ,0,          
C00141218,"",D000000368,Exelon Corp,5000,5000,0,2022-04-18 00:00:00 +0000,21, , ,0,          
