pacid,affiliateid,orgid,ultorg,total,pacs,indivs,releasedate,rank,client,registrant,numlobbyists,loborgid
C00468314,"",D000025328,Democracy Engine,78600,0,78600,2022-04-18 00:00:00 +0000,1, , ,0,          
         ,"",D000021873,Blackstone Group,49200,0,49200,2022-04-18 00:00:00 +0000,2, , ,0,          
C00299321,"",D000000193,MGM Resorts International,18950,10000,8950,2022-04-18 00:00:00 +0000,3, , ,0,          
         ,"",D000030676,University of Nevada,16625,0,16625,2022-04-18 00:00:00 +0000,4, , ,0,          
C00027342,"",D000000069,International Brotherhood of Electrical Workers,15000,15000,0,2022-04-18 00:00:00 +0000,5, , ,0,          
         ,"",D000067823,Alphabet Inc,14544,2500,12044,2022-04-18 00:00:00 +0000,6, , ,0,          
C00096156,"",D000000334,Honeywell International,13600,2000,11600,2022-04-18 00:00:00 +0000,7, , ,0,          
C00076737,"",D000029141,Southwest Gas,12900,10000,2900,2022-04-18 00:00:00 +0000,8, , ,0,          
         ,"",D000065697,Kemp Jones LLP,12600,0,12600,2022-04-18 00:00:00 +0000,9, , ,0,          
         ,"",D000000109,Blue Cross/Blue Shield,12576,10000,2576,2022-04-18 00:00:00 +0000,10, , ,0,          
C00303339,"",D000000606,National Assn of Real Estate Investment Trusts,12500,12500,0,2022-04-18 00:00:00 +0000,11, , ,0,          
         ,"",D000081820,View Inc,12000,0,12000,2022-04-18 00:00:00 +0000,12, , ,0,          
         ,"",D000034188,Greenspun Corp                          ,11800,0,11800,2022-04-18 00:00:00 +0000,13, , ,0,          
         ,"",D000072013,Cloobeck Companies,11600,0,11600,2022-04-18 00:00:00 +0000,14, , ,0,          
         ,"",D000033546,Executive Affiliates                    ,11600,0,11600,2022-04-18 00:00:00 +0000,14, , ,0,          
         ,"",D000068814,Heising-Simons Foundation,11600,0,11600,2022-04-18 00:00:00 +0000,14, , ,0,          
         ,"",D000035437,Lone Pine Capital,11600,0,11600,2022-04-18 00:00:00 +0000,14, , ,0,          
         ,"",          ,MR Whitsett Inc,11600,0,11600,2022-04-18 00:00:00 +0000,14, , ,0,          
         ,"",D000037678,Sotheby's,11600,0,11600,2022-04-18 00:00:00 +0000,14, , ,0,          
         ,"",D000030215,Sutherland Capital Management,11600,0,11600,2022-04-18 00:00:00 +0000,14, , ,0,          
C00422774,"",          ,Frontline USA,11375,2500,8875,2022-04-18 00:00:00 +0000,21, , ,0,          
         ,"",D000070416,Nathanson & Hauck,11100,0,11100,2022-04-18 00:00:00 +0000,22, , ,0,          
C00153379,"",          ,NV Energy,11010,11000,10,2022-04-18 00:00:00 +0000,23, , ,0,          
         ,"",D000046711,Alliant Capital,10600,0,10600,2022-04-18 00:00:00 +0000,24, , ,0,          
C00284885,"",D000000419,Home Depot,10200,10000,200,2022-04-18 00:00:00 +0000,25, , ,0,          
C00011114,"",D000000061,American Federation of State/Cnty/Munic Employees,10000,10000,0,2022-04-18 00:00:00 +0000,26, , ,0,          
C00028860,"",D000000083,American Federation of Teachers,10000,10000,0,2022-04-18 00:00:00 +0000,26, , ,0,          
C00271338,"",D000000574,AmeriPAC: The Fund for a Greater America,10000,10000,0,2022-04-18 00:00:00 +0000,26, , ,0,          
C00109017,"",D000000076,AT&T Inc,10000,10000,0,2022-04-18 00:00:00 +0000,26, , ,0,          
C00002089,"",D000000075,Communications Workers of America,10000,10000,0,2022-04-18 00:00:00 +0000,26, , ,0,          
C00147512,"",D000021932,Congressional Black Caucus PAC,10000,10000,0,2022-04-18 00:00:00 +0000,26, , ,0,          
C00023580,"",D000000084,National Assn of Letter Carriers,10000,10000,0,2022-04-18 00:00:00 +0000,26, , ,0,          
C70000492,"",D000000064,National Education Assn,10000,10000,0,2022-04-18 00:00:00 +0000,26, , ,0,          
C00130773,"",D000000755,National Multifamily Housing Council,10000,10000,0,2022-04-18 00:00:00 +0000,26, , ,0,          
C00409730,"",D000022150,New Democrat Coalition,10000,10000,0,2022-04-18 00:00:00 +0000,26, , ,0,          
C00029504,"",D000000139,Operating Engineers Union               ,10000,10000,0,2022-04-18 00:00:00 +0000,26, , ,0,          
C00327395,"",D000022243,Searchlight Leadership Fund,10000,10000,0,2022-04-18 00:00:00 +0000,26, , ,0,          
C00007542,"",D000071033,"Sheet Metal, Air, Rail & Transportation Union",10000,10000,0,2022-04-18 00:00:00 +0000,26, , ,0,          
C00147173,"",D000000356,Wine & Spirits Wholesalers of America,10000,10000,0,2022-04-18 00:00:00 +0000,26, , ,0,          
C00513176,"",D000045957,Congressional Progressive Caucus PAC,9999,9999,0,2022-04-18 00:00:00 +0000,40, , ,0,          
C00388827,"",D000066716,Rock Holdings,9000,9000,0,2022-04-18 00:00:00 +0000,41, , ,0,          
C00390583,"",D000000724,"Brownstein, Hyatt et al",8650,2250,6400,2022-04-18 00:00:00 +0000,42, , ,0,          
C00549014,"",          ,Hudson Valley PAC (Maloney),8000,8000,0,2022-04-18 00:00:00 +0000,43, , ,0,          
C00327593,"",D000000208,Cassidy & Assoc,7700,0,7700,2022-04-18 00:00:00 +0000,44, , ,0,          
C00089136,"",D000000067,Altria Group,7500,7500,0,2022-04-18 00:00:00 +0000,45, , ,0,          
C00106146,"",D000000116,American Hospital Assn,7500,7500,0,2022-04-18 00:00:00 +0000,45, , ,0,          
C00085316,"",D000000222,Cigna Corp,7500,7500,0,2022-04-18 00:00:00 +0000,45, , ,0,          
C00447565,"",D000073638,Finseca,7500,7500,0,2022-04-18 00:00:00 +0000,45, , ,0,          
C00266585,"",D000000344,Greenberg Traurig LLP,7300,1000,6300,2022-04-18 00:00:00 +0000,49, , ,0,          
         ,"",D000033004,Mindset,6900,0,6900,2022-04-18 00:00:00 +0000,50, , ,0,          
         ,"",D000033735,Focus Property Group,6800,0,6800,2022-04-18 00:00:00 +0000,51, , ,0,          
C70003124,"",D000000077,Service Employees International Union,6750,6500,250,2022-04-18 00:00:00 +0000,52, , ,0,          
C00004812,"",D000000309,Mortgage Bankers Assn,6540,6500,40,2022-04-18 00:00:00 +0000,53, , ,0,          
C00359539,"",D000021821,American Academy of Dermatology Assn,6500,6500,0,2022-04-18 00:00:00 +0000,54, , ,0,          
C00401299,"",          ,Fresenius Medical Care North America,6500,6500,0,2022-04-18 00:00:00 +0000,54, , ,0,          
C00248716,"",D000000461,Comcast Corp,6075,6000,75,2022-04-18 00:00:00 +0000,56, , ,0,          
C00360354,"",D000023883,Amazon.com,6000,6000,0,2022-04-18 00:00:00 +0000,57, , ,0,          
C00142711,"",D000000100,Boeing Co,6000,6000,0,2022-04-18 00:00:00 +0000,57, , ,0,          
         ,"",D000068102,Breakthru Beverage Group,6000,0,6000,2022-04-18 00:00:00 +0000,57, , ,0,          
C00486217,"",          ,LPL Financial,6000,6000,0,2022-04-18 00:00:00 +0000,57, , ,0,          
