pacid,affiliateid,orgid,ultorg,total,pacs,indivs,releasedate,rank,client,registrant,numlobbyists,loborgid
C00248716,"",D000000461,Comcast Corp,24300,10000,14300,2022-04-18 00:00:00 +0000,1, , ,0,          
         ,"",D000063703,Third Rock Ventures,23200,0,23200,2022-04-18 00:00:00 +0000,2, , ,0,          
         ,"",D000022120,Morgan Lewis LLP,21300,0,21300,2022-04-18 00:00:00 +0000,3, , ,0,          
         ,"",          ,NOT EMPLOYED,20441,0,20441,2022-04-18 00:00:00 +0000,4, , ,0,          
         ,"",D000022295,University of Pennsylvania              ,16810,0,16810,2022-04-18 00:00:00 +0000,5, , ,0,          
C00104901,"",D000000162,"Akin, Gump et al",15650,1750,13900,2022-04-18 00:00:00 +0000,6, , ,0,          
C00012245,"",          ,UBS Americas,15000,15000,0,2022-04-18 00:00:00 +0000,7, , ,0,          
         ,"",D000059925,Abelson Taylor,13522,0,13522,2022-04-18 00:00:00 +0000,8, , ,0,          
C00227546,"",D000000115,Microsoft Corp                          ,12900,1000,11900,2022-04-18 00:00:00 +0000,9, , ,0,          
         ,"",D000032538,Children'S Hospital of Philadelphia,12865,0,12865,2022-04-18 00:00:00 +0000,10, , ,0,          
C00695254,"",D000031782,Ballard Spahr LLP,12700,7500,5200,2022-04-18 00:00:00 +0000,11, , ,0,          
         ,"",D000021859,Bain Capital,12600,0,12600,2022-04-18 00:00:00 +0000,12, , ,0,          
C00088591,"",D000000170,Northrop Grumman,12500,12500,0,2022-04-18 00:00:00 +0000,13, , ,0,          
         ,"",          ,B Lab,12300,0,12300,2022-04-18 00:00:00 +0000,14, , ,0,          
         ,"",D000021867,Baupost Group,11600,0,11600,2022-04-18 00:00:00 +0000,15, , ,0,          
         ,"",D000032736,Colgate-Palmolive Co,11600,0,11600,2022-04-18 00:00:00 +0000,15, , ,0,          
         ,"",D000000444,Fisher Brothers,11600,0,11600,2022-04-18 00:00:00 +0000,15, , ,0,          
         ,"",D000071415,GFP Real Estate,11600,0,11600,2022-04-18 00:00:00 +0000,15, , ,0,          
C00337626,"",D000000106,Morgan Stanley,11600,0,11600,2022-04-18 00:00:00 +0000,15, , ,0,          
         ,"",          ,Philly Office Retail,11600,0,11600,2022-04-18 00:00:00 +0000,15, , ,0,          
         ,"",D000081824,Schmidt Family Foundation,11600,0,11600,2022-04-18 00:00:00 +0000,15, , ,0,          
         ,"",D000030211,Susquehanna International Group,11600,0,11600,2022-04-18 00:00:00 +0000,15, , ,0,          
