pacid,affiliateid,orgid,ultorg,total,pacs,indivs,releasedate,rank,client,registrant,numlobbyists,loborgid
         ,"",D000073975,Integra Connect,54000,0,54000,2022-04-18 00:00:00 +0000,1, , ,0,          
C00493304,"",D000000141,Prudential Financial,29500,5000,24500,2022-04-18 00:00:00 +0000,2, , ,0,          
         ,"",D000000109,Blue Cross/Blue Shield,25312,25000,312,2022-04-18 00:00:00 +0000,3, , ,0,          
C00248716,"",D000000461,Comcast Corp,25286,15000,10286,2022-04-18 00:00:00 +0000,4, , ,0,          
C70003124,"",D000000077,Service Employees International Union,22500,10000,12500,2022-04-18 00:00:00 +0000,5, , ,0,          
C00284885,"",D000000419,Home Depot,20262,20000,262,2022-04-18 00:00:00 +0000,6, , ,0,          
C00286401,"",D000000145,Seafarers International Union           ,20000,15000,5000,2022-04-18 00:00:00 +0000,7, , ,0,          
C00546234,"",D000000369,Leidos Inc                                        ,19036,18000,1036,2022-04-18 00:00:00 +0000,8, , ,0,          
C00147066,"",D000000152,American Council of Life Insurers,17900,15000,2900,2022-04-18 00:00:00 +0000,9, , ,0,          
         ,"",D000035773,Medstar Health,17416,0,17416,2022-04-18 00:00:00 +0000,10, , ,0,          
C00186288,"",D000000079,Verizon Communications,17000,15000,2000,2022-04-18 00:00:00 +0000,11, , ,0,          
C00141218,"",D000000368,Exelon Corp,16045,10000,6045,2022-04-18 00:00:00 +0000,12, , ,0,          
C00300178,"",D000019743,Wells Fargo,15159,15000,159,2022-04-18 00:00:00 +0000,13, , ,0,          
C00142711,"",D000000100,Boeing Co,15131,15000,131,2022-04-18 00:00:00 +0000,14, , ,0,          
C00271007,"",D000000652,Humana Inc,15110,15000,110,2022-04-18 00:00:00 +0000,15, , ,0,          
C00029447,"",D000000135,International Assn of Fire Fighters,15040,15000,40,2022-04-18 00:00:00 +0000,16, , ,0,          
C00011114,"",D000000061,American Federation of State/Cnty/Munic Employees,15015,15000,15,2022-04-18 00:00:00 +0000,17, , ,0,          
C00028860,"",D000000083,American Federation of Teachers,15010,15000,10,2022-04-18 00:00:00 +0000,18, , ,0,          
C00027342,"",D000000069,International Brotherhood of Electrical Workers,15005,15000,5,2022-04-18 00:00:00 +0000,19, , ,0,          
C00034157,"",D000000126,AFLAC Inc,15000,15000,0,2022-04-18 00:00:00 +0000,20, , ,0,          
C00089136,"",D000000067,Altria Group,15000,15000,0,2022-04-18 00:00:00 +0000,20, , ,0,          
C00024521,"",D000000065,American Assn for Justice,15000,15000,0,2022-04-18 00:00:00 +0000,20, , ,0,          
C00004275,"",D000000087,American Bankers Assn,15000,15000,0,2022-04-18 00:00:00 +0000,20, , ,0,          
C00326595,"",D000021891,Capital One Financial,15000,15000,0,2022-04-18 00:00:00 +0000,20, , ,0,          
C00076299,"",D000023666,CME Group,15000,15000,0,2022-04-18 00:00:00 +0000,20, , ,0,          
C00211318,"",D000000131,Deloitte LLP,15000,15000,0,2022-04-18 00:00:00 +0000,20, , ,0,          
C00108209,"",D000000335,Dominion Energy,15000,15000,0,2022-04-18 00:00:00 +0000,20, , ,0,          
C00083535,"",D000000477,Duke Energy,15000,15000,0,2022-04-18 00:00:00 +0000,20, , ,0,          
C00095869,"",D000000297,Edison Electric Institute,15000,15000,0,2022-04-18 00:00:00 +0000,20, , ,0,          
C00121368,"",D000000129,Exxon Mobil,15000,15000,0,2022-04-18 00:00:00 +0000,20, , ,0,          
C00380550,"",          ,FMR Corp,15000,15000,0,2022-04-18 00:00:00 +0000,20, , ,0,          
C00027359,"",D000000140,Ironworkers Union,15000,15000,0,2022-04-18 00:00:00 +0000,20, , ,0,          
C00486217,"",          ,LPL Financial,15000,15000,0,2022-04-18 00:00:00 +0000,20, , ,0,          
C00004812,"",D000000309,Mortgage Bankers Assn,15000,15000,0,2022-04-18 00:00:00 +0000,20, , ,0,          
C00126763,"",D000000240,National Assn of Convenience Stores,15000,15000,0,2022-04-18 00:00:00 +0000,20, , ,0,          
C00023580,"",D000000084,National Assn of Letter Carriers,15000,15000,0,2022-04-18 00:00:00 +0000,20, , ,0,          
C00002972,"",D000000153,National Rural Electric Cooperative Assn,15000,15000,0,2022-04-18 00:00:00 +0000,20, , ,0,          
C00089458,"",D000022140,"National Stone, Sand & Gravel Assn",15000,15000,0,2022-04-18 00:00:00 +0000,20, , ,0,          
C00239848,"",D000000555,Nuclear Energy Institute,15000,15000,0,2022-04-18 00:00:00 +0000,20, , ,0,          
C00015933,"",D000000658,Pinnacle West Capital,15000,15000,0,2022-04-18 00:00:00 +0000,20, , ,0,          
C00144774,"",D000000168,Southern Co,15000,15000,0,2022-04-18 00:00:00 +0000,20, , ,0,          
C00008268,"",D000000178,Transport Workers Union,15000,15000,0,2022-04-18 00:00:00 +0000,20, , ,0,          
C00431072,"",D000024233,"Baker, Donelson et al",14500,2500,12000,2022-04-18 00:00:00 +0000,43, , ,0,          
C00024869,"",D000000125,General Electric,13831,13500,331,2022-04-18 00:00:00 +0000,44, , ,0,          
C00540518,"",D000021890,Capital Group Companies,13300,5000,8300,2022-04-18 00:00:00 +0000,45, , ,0,          
C70002563,"",D000000062,National Assn of Realtors,13000,13000,0,2022-04-18 00:00:00 +0000,46, , ,0,          
C00096156,"",D000000334,Honeywell International,12624,12500,124,2022-04-18 00:00:00 +0000,47, , ,0,          
C00040279,"",D000000383,Abbott Laboratories,12500,12500,0,2022-04-18 00:00:00 +0000,48, , ,0,          
C00359539,"",D000021821,American Academy of Dermatology Assn,12500,12500,0,2022-04-18 00:00:00 +0000,48, , ,0,          
C00196246,"",D000000154,American Academy of Ophthalmology,12500,12500,0,2022-04-18 00:00:00 +0000,48, , ,0,          
C00382424,"",          ,American College of Surgeons Prof Assn,12500,12500,0,2022-04-18 00:00:00 +0000,48, , ,0,          
C00281212,"",D000000583,BAE Systems,12500,12500,0,2022-04-18 00:00:00 +0000,48, , ,0,          
C00007880,"",D000000136,Credit Union National Assn,12500,12500,0,2022-04-18 00:00:00 +0000,48, , ,0,          
C00105981,"",D000000262,Investment Co Institute,12500,12500,0,2022-04-18 00:00:00 +0000,48, , ,0,          
C00007922,"",D000000074,Laborers Union,12500,12500,0,2022-04-18 00:00:00 +0000,48, , ,0,          
C00303024,"",D000000104,Lockheed Martin,11960,10000,1960,2022-04-18 00:00:00 +0000,56, , ,0,          
C00104901,"",D000000162,"Akin, Gump et al",11900,5000,6900,2022-04-18 00:00:00 +0000,57, , ,0,          
         ,"",D000062286,Manocherian Brothers,11800,0,11800,2022-04-18 00:00:00 +0000,58, , ,0,          
C00012914,"",D000000608,American Land Title Assn,11500,11500,0,2022-04-18 00:00:00 +0000,59, , ,0,          
C00068692,"",D000000089,FedEx Corp,11151,11000,151,2022-04-18 00:00:00 +0000,60, , ,0,          
