pacid,affiliateid,orgid,ultorg,total,pacs,indivs,releasedate,rank,client,registrant,numlobbyists,loborgid
         ,"",D000061655,Hendrick Motorsports,31200,0,31200,2022-04-18 00:00:00 +0000,1, , ,0,          
C00083535,"",D000000477,Duke Energy,23950,15000,8950,2022-04-18 00:00:00 +0000,2, , ,0,          
         ,"",          ,Systel,23200,0,23200,2022-04-18 00:00:00 +0000,3, , ,0,          
C00089136,"",D000000067,Altria Group,19800,10000,9800,2022-04-18 00:00:00 +0000,4, , ,0,          
C00144766,"",D000000101,National Beer Wholesalers Assn,17000,17000,0,2022-04-18 00:00:00 +0000,5, , ,0,          
C00107235,"",D000000124,PricewaterhouseCoopers,16000,15000,1000,2022-04-18 00:00:00 +0000,6, , ,0,          
C00771196,"",D000089168,Veterans Guardian VA Claim Consulting,15400,0,15400,2022-04-18 00:00:00 +0000,7, , ,0,          
         ,"",D000036094,Nascar,15000,5000,10000,2022-04-18 00:00:00 +0000,8, , ,0,          
C00042002,"",          ,Reynolds American,15000,15000,0,2022-04-18 00:00:00 +0000,8, , ,0,          
         ,"",D000034993,Kane Realty,14510,0,14510,2022-04-18 00:00:00 +0000,10, , ,0,          
C00236489,"",D000000186,Koch Industries,14500,14500,0,2022-04-18 00:00:00 +0000,11, , ,0,          
C00109546,"",D000022303,Valero Energy,12500,12500,0,2022-04-18 00:00:00 +0000,12, , ,0,          
C00754648,"",          ,GRAIL Inc,11700,5800,5900,2022-04-18 00:00:00 +0000,13, , ,0,          
         ,"",D000021873,Blackstone Group,11600,0,11600,2022-04-18 00:00:00 +0000,14, , ,0,          
         ,"",          ,Bradshaw Capital Mgt LLC,11600,0,11600,2022-04-18 00:00:00 +0000,14, , ,0,          
         ,"",          ,Griffin Stafford Hospitality,11600,0,11600,2022-04-18 00:00:00 +0000,14, , ,0,          
         ,"",D000034204,Grimmway Enterprises,11600,0,11600,2022-04-18 00:00:00 +0000,14, , ,0,          
         ,"",D000070428,Hendrick Automotive Group,11600,0,11600,2022-04-18 00:00:00 +0000,14, , ,0,          
         ,"",D000073743,Marcus Foundation,11600,0,11600,2022-04-18 00:00:00 +0000,14, , ,0,          
         ,"",D000057024,Speedway Motorsports,11600,0,11600,2022-04-18 00:00:00 +0000,14, , ,0,          
         ,"",D000031011,Western National Group,11600,0,11600,2022-04-18 00:00:00 +0000,14, , ,0,          
         ,"",          ,Wgp,11600,0,11600,2022-04-18 00:00:00 +0000,14, , ,0,          
         ,"",          ,Atex Technologies,11400,0,11400,2022-04-18 00:00:00 +0000,23, , ,0,          
C00359539,"",D000021821,American Academy of Dermatology Assn,11000,11000,0,2022-04-18 00:00:00 +0000,24, , ,0,          
C00077321,"",D000000095,American Institute of CPAs,11000,11000,0,2022-04-18 00:00:00 +0000,24, , ,0,          
         ,"",D000082081,Oak Grove Technologies,10800,0,10800,2022-04-18 00:00:00 +0000,26, , ,0,          
         ,"",D000077944,Quality Built Homes,10800,0,10800,2022-04-18 00:00:00 +0000,26, , ,0,          
C00423871,"",D000048342,Atrium Health,10250,0,10250,2022-04-18 00:00:00 +0000,28, , ,0,          
C00255752,"",D000000199,American Society of Anesthesiologists,10000,10000,0,2022-04-18 00:00:00 +0000,29, , ,0,          
         ,"",D000043112,AstraZeneca PLC,10000,10000,0,2022-04-18 00:00:00 +0000,29, , ,0,          
C00467431,"",D000070192,Eye of the Tiger PAC,10000,10000,0,2022-04-18 00:00:00 +0000,29, , ,0,          
C00199703,"",D000000133,GlaxoSmithKline,10000,10000,0,2022-04-18 00:00:00 +0000,29, , ,0,          
C00573626,"",          ,Lee PAC,10000,10000,0,2022-04-18 00:00:00 +0000,29, , ,0,          
C00424838,"",D000028050,Novo Nordisk,10000,10000,0,2022-04-18 00:00:00 +0000,29, , ,0,          
         ,"",D000074125,Parkdale Inc,10000,0,10000,2022-04-18 00:00:00 +0000,29, , ,0,          
C00016683,"",D000000138,Pfizer Inc,10000,10000,0,2022-04-18 00:00:00 +0000,29, , ,0,          
C00064766,"",D000000081,United Parcel Service,10000,10000,0,2022-04-18 00:00:00 +0000,29, , ,0,          
C00274431,"",D000000348,UnitedHealth Group,10000,10000,0,2022-04-18 00:00:00 +0000,29, , ,0,          
         ,"",          ,Gcs,9700,0,9700,2022-04-18 00:00:00 +0000,39, , ,0,          
C00022343,"",D000000181,Independent Insurance Agents & Brokers of America,9500,9500,0,2022-04-18 00:00:00 +0000,40, , ,0,          
         ,"",D000036804,Prescott Investors,9108,0,9108,2022-04-18 00:00:00 +0000,41, , ,0,          
         ,"",          ,Insp LLC,8700,0,8700,2022-04-18 00:00:00 +0000,42, , ,0,          
C00140061,"",D000000293,American College of Emergency Physicians,8500,8500,0,2022-04-18 00:00:00 +0000,43, , ,0,          
C00379628,"",D000028057,Nucor Corp,8500,8500,0,2022-04-18 00:00:00 +0000,43, , ,0,          
         ,"",D000000772,Station Casinos,8324,0,8324,2022-04-18 00:00:00 +0000,45, , ,0,          
C70002563,"",D000000062,National Assn of Realtors,8000,8000,0,2022-04-18 00:00:00 +0000,46, , ,0,          
C00389403,"",D000029153,Specialty Equipment Market Assn,8000,8000,0,2022-04-18 00:00:00 +0000,46, , ,0,          
         ,"",D000048560,Charlotte Pipe & Foundry,7500,0,7500,2022-04-18 00:00:00 +0000,48, , ,0,          
C00469429,"",D000065616,CMR PAC,7500,7500,0,2022-04-18 00:00:00 +0000,48, , ,0,          
C00039578,"",D000000433,Council of Insurance Agents & Brokers,7500,7500,0,2022-04-18 00:00:00 +0000,48, , ,0,          
C00393298,"",D000022026,Herbalife Nutrition,7500,7500,0,2022-04-18 00:00:00 +0000,48, , ,0,          
C00009985,"",D000000202,National Assn of Broadcasters,7500,7500,0,2022-04-18 00:00:00 +0000,48, , ,0,          
C00033969,"",          ,Novartis Corp,7500,7500,0,2022-04-18 00:00:00 +0000,48, , ,0,          
C00251876,"",D000000391,Amgen Inc,6900,0,6900,2022-04-18 00:00:00 +0000,54, , ,0,          
C00084491,"",D000022046,International Franchise Assn,6500,6500,0,2022-04-18 00:00:00 +0000,55, , ,0,          
         ,"",D000036648,Petrizzo Group,6500,0,6500,2022-04-18 00:00:00 +0000,55, , ,0,          
C00343459,"",D000021829,American College of Radiology,6000,6000,0,2022-04-18 00:00:00 +0000,57, , ,0,          
         ,"",D000090817,Aston Properties,6000,0,6000,2022-04-18 00:00:00 +0000,57, , ,0,          
C00109017,"",D000000076,AT&T Inc,6000,5000,1000,2022-04-18 00:00:00 +0000,57, , ,0,          
C00359588,"",D000021679,BGR Group,6000,0,6000,2022-04-18 00:00:00 +0000,57, , ,0,          
         ,"",          ,Chroma Color,6000,0,6000,2022-04-18 00:00:00 +0000,57, , ,0,          
         ,"",          ,Cox Brothers Farms,6000,0,6000,2022-04-18 00:00:00 +0000,57, , ,0,          
         ,"",          ,Levine Foundation,6000,0,6000,2022-04-18 00:00:00 +0000,57, , ,0,          
C00097485,"",D000000275,Merck & Co,6000,6000,0,2022-04-18 00:00:00 +0000,57, , ,0,          
         ,"",          ,Sugar Creek Construction,5950,0,5950,2022-04-18 00:00:00 +0000,65, , ,0,          
         ,"",          ,20/20 Research,5800,0,5800,2022-04-18 00:00:00 +0000,66, , ,0,          
         ,"",          ,Adams Beverages of Nc LLC,5800,0,5800,2022-04-18 00:00:00 +0000,66, , ,0,          
         ,"",D000031467,American Business Development Group,5800,0,5800,2022-04-18 00:00:00 +0000,66, , ,0,          
         ,"",D000032183,Buckley Muething Capital Management,5800,0,5800,2022-04-18 00:00:00 +0000,66, , ,0,          
         ,"",D000088131,Cameron Management (North Carolina),5800,0,5800,2022-04-18 00:00:00 +0000,66, , ,0,          
         ,"",D000021889,Cantor Fitzgerald,5800,0,5800,2022-04-18 00:00:00 +0000,66, , ,0,          
         ,"",D000021912,Citadel LLC,5800,0,5800,2022-04-18 00:00:00 +0000,66, , ,0,          
C00608943,"",          ,ClearPath Action,5800,0,5800,2022-04-18 00:00:00 +0000,66, , ,0,          
C00540104,"",D000071873,Coca-Cola Consolidated,5800,0,5800,2022-04-18 00:00:00 +0000,66, , ,0,          
         ,"",          ,Cte,5800,0,5800,2022-04-18 00:00:00 +0000,66, , ,0,          
         ,"",D000060990,Dimensional Fund Advisors,5800,0,5800,2022-04-18 00:00:00 +0000,66, , ,0,          
         ,"",          ,Environmental Compliance & Permits,5800,0,5800,2022-04-18 00:00:00 +0000,66, , ,0,          
         ,"",D000061337,Founders Fund,5800,0,5800,2022-04-18 00:00:00 +0000,66, , ,0,          
         ,"",D000080499,Franklin Mountain Management,5800,0,5800,2022-04-18 00:00:00 +0000,66, , ,0,          
         ,"",D000034038,Gh Palmer Assoc,5800,0,5800,2022-04-18 00:00:00 +0000,66, , ,0,          
         ,"",          ,Granite Contracting,5800,0,5800,2022-04-18 00:00:00 +0000,66, , ,0,          
         ,"",D000068961,Harold Simmons Foundation,5800,0,5800,2022-04-18 00:00:00 +0000,66, , ,0,          
         ,"",D000034750,Irving Moskowitz Foundation,5800,0,5800,2022-04-18 00:00:00 +0000,66, , ,0,          
         ,"",          ,Jh Land LLC,5800,0,5800,2022-04-18 00:00:00 +0000,66, , ,0,          
         ,"",D000000342,Jw Childs Assoc,5800,0,5800,2022-04-18 00:00:00 +0000,66, , ,0,          
         ,"",D000035735,McKee Foods,5800,0,5800,2022-04-18 00:00:00 +0000,66, , ,0,          
         ,"",D000036031,Mountaire Corp,5800,0,5800,2022-04-18 00:00:00 +0000,66, , ,0,          
         ,"",D000036359,"Ogletree, Deakins et al",5800,0,5800,2022-04-18 00:00:00 +0000,66, , ,0,          
         ,"",          ,OUTER MARKER LLC,5800,0,5800,2022-04-18 00:00:00 +0000,66, , ,0,          
         ,"",          ,Patrick Yarns,5800,0,5800,2022-04-18 00:00:00 +0000,66, , ,0,          
         ,"",          ,Patriot Insurance (Texas),5800,0,5800,2022-04-18 00:00:00 +0000,66, , ,0,          
         ,"",D000079395,Poettker Construction,5800,0,5800,2022-04-18 00:00:00 +0000,66, , ,0,          
         ,"",          ,Preston Development,5800,0,5800,2022-04-18 00:00:00 +0000,66, , ,0,          
         ,"",          ,Primax Properties,5800,0,5800,2022-04-18 00:00:00 +0000,66, , ,0,          
         ,"",          ,Ryan Holdings,5800,0,5800,2022-04-18 00:00:00 +0000,66, , ,0,          
         ,"",          ,Steward Health Care,5800,0,5800,2022-04-18 00:00:00 +0000,66, , ,0,          
         ,"",          ,Summit Hospitality Group,5800,0,5800,2022-04-18 00:00:00 +0000,66, , ,0,          
         ,"",D000030377,Third Point LLC,5800,0,5800,2022-04-18 00:00:00 +0000,66, , ,0,          
         ,"",          ,Valmore Gp,5800,0,5800,2022-04-18 00:00:00 +0000,66, , ,0,          
         ,"",D000044899,Hillwood Development,5799,0,5799,2022-04-18 00:00:00 +0000,100, , ,0,          
