pacid,affiliateid,orgid,ultorg,total,pacs,indivs,releasedate,rank,client,registrant,numlobbyists,loborgid
         ,"",D000075564,Federated Indians Of Graton Rancheria,10800,0,10800,2022-04-18 00:00:00 +0000,1, , ,0,          
C00564260,"",          ,Clean PAC,10000,10000,0,2022-04-18 00:00:00 +0000,2, , ,0,          
C00000885,"",D000000250,Painters & Allied Trades Union,10000,10000,0,2022-04-18 00:00:00 +0000,2, , ,0,          
         ,"",D000021757,Berkshire Hathaway,9500,9500,0,2022-04-18 00:00:00 +0000,4, , ,0,          
C00238725,"",D000000285,National Air Traffic Controllers Assn,9000,9000,0,2022-04-18 00:00:00 +0000,5, , ,0,          
         ,"",D000036881,Puma Springs Vineyards,7900,0,7900,2022-04-18 00:00:00 +0000,6, , ,0,          
C00011114,"",D000000061,American Federation of State/Cnty/Munic Employees,7500,7500,0,2022-04-18 00:00:00 +0000,7, , ,0,          
C00007542,"",D000071033,"Sheet Metal, Air, Rail & Transportation Union",7500,7500,0,2022-04-18 00:00:00 +0000,7, , ,0,          
C00096156,"",D000000334,Honeywell International,7000,7000,0,2022-04-18 00:00:00 +0000,9, , ,0,          
C00255752,"",D000000199,American Society of Anesthesiologists,6000,6000,0,2022-04-18 00:00:00 +0000,10, , ,0,          
C00245548,"",D000022134,National Marine Manufacturers Assn,6000,6000,0,2022-04-18 00:00:00 +0000,10, , ,0,          
         ,"",D000053882,Mohegan Tribe of Indians Of Connecticut,5800,0,5800,2022-04-18 00:00:00 +0000,12, , ,0,          
         ,"",D000045236,United Auburn Indian Community,5800,0,5800,2022-04-18 00:00:00 +0000,12, , ,0,          
C00249532,"",D000024020,American Sportfishing Assn,5000,5000,0,2022-04-18 00:00:00 +0000,14, , ,0,          
C00543371,"",D000047776,Biomarin Pharmaceutical,5000,5000,0,2022-04-18 00:00:00 +0000,14, , ,0,          
         ,"",D000021899,CBRE Group,5000,0,5000,2022-04-18 00:00:00 +0000,14, , ,0,          
C00435024,"",D000024671,Center for Sportfishing Policy,5000,5000,0,2022-04-18 00:00:00 +0000,14, , ,0,          
         ,"",          ,"Farmer, Real Estate Investor",5000,0,5000,2022-04-18 00:00:00 +0000,14, , ,0,          
C00027342,"",D000000069,International Brotherhood of Electrical Workers,5000,5000,0,2022-04-18 00:00:00 +0000,14, , ,0,          
C00002469,"",D000000078,Machinists/Aerospace Workers Union,5000,5000,0,2022-04-18 00:00:00 +0000,14, , ,0,          
C00144766,"",D000000101,National Beer Wholesalers Assn,5000,5000,0,2022-04-18 00:00:00 +0000,14, , ,0,          
C70001979,"",D000000066,Teamsters Union                         ,5000,5000,0,2022-04-18 00:00:00 +0000,14, , ,0,          
C00008268,"",D000000178,Transport Workers Union,5000,5000,0,2022-04-18 00:00:00 +0000,14, , ,0,          
         ,"",D000031225,Zumiez Inc,5000,0,5000,2022-04-18 00:00:00 +0000,14, , ,0,          
         ,"",D000061150,Ens Resources,4500,0,4500,2022-04-18 00:00:00 +0000,25, , ,0,          
C00163832,"",D000000148,CSX Corp,4000,4000,0,2022-04-18 00:00:00 +0000,26, , ,0,          
         ,"",          ,Bergin Glass Impressions,3800,0,3800,2022-04-18 00:00:00 +0000,27, , ,0,          
C00035451,"",D000000117,Air Line Pilots Assn,3500,3500,0,2022-04-18 00:00:00 +0000,28, , ,0,          
C00104901,"",D000000162,"Akin, Gump et al",3500,1000,2500,2022-04-18 00:00:00 +0000,28, , ,0,          
C00402321,"",          ,Green Diamond Resource Co,3500,3500,0,2022-04-18 00:00:00 +0000,28, , ,0,          
         ,"",D000036359,"Ogletree, Deakins et al                 ",3500,0,3500,2022-04-18 00:00:00 +0000,28, , ,0,          
C00024422,"",          ,Operating Engineers Local 3,3500,3500,0,2022-04-18 00:00:00 +0000,28, , ,0,          
C00459222,"",          ,FBB Federal Relations,3000,1000,2000,2022-04-18 00:00:00 +0000,33, , ,0,          
C00441949,"",          ,JStreetPAC,3000,3000,0,2022-04-18 00:00:00 +0000,33, , ,0,          
C70002563,"",D000000062,National Assn of Realtors,3000,3000,0,2022-04-18 00:00:00 +0000,33, , ,0,          
C00010470,"",D000000118,Union Pacific Corp,3000,3000,0,2022-04-18 00:00:00 +0000,33, , ,0,          
         ,"",          ,Cbre (Coldwell Banker Richard Ellis Gr,2900,0,2900,2022-04-18 00:00:00 +0000,37, , ,0,          
         ,"",          ,Challenger Cable Sales,2900,0,2900,2022-04-18 00:00:00 +0000,37, , ,0,          
         ,"",          ,Grosvenor Properties Ltd,2900,0,2900,2022-04-18 00:00:00 +0000,37, , ,0,          
         ,"",          ,Just Happy,2900,0,2900,2022-04-18 00:00:00 +0000,37, , ,0,          
         ,"",          ,Lynmar Estate Winery,2900,0,2900,2022-04-18 00:00:00 +0000,37, , ,0,          
         ,"",D000023639,Morongo Band of Mission Indians,2900,0,2900,2022-04-18 00:00:00 +0000,37, , ,0,          
         ,"",D000056439,Santa Ynez Band of Chumash Indians,2900,0,2900,2022-04-18 00:00:00 +0000,37, , ,0,          
         ,"",D000058783,Yocha Dehe Wintun Nation,2900,0,2900,2022-04-18 00:00:00 +0000,37, , ,0,          
         ,"",          ,The Energy Foundation,2750,0,2750,2022-04-18 00:00:00 +0000,45, , ,0,          
C00636753,"",D000046316,Academy of Rail Labor Attorneys,2500,2500,0,2022-04-18 00:00:00 +0000,46, , ,0,          
C00000729,"",D000000105,American Dental Assn,2500,2500,0,2022-04-18 00:00:00 +0000,46, , ,0,          
C00028860,"",D000000083,American Federation of Teachers,2500,2500,0,2022-04-18 00:00:00 +0000,46, , ,0,          
         ,"",D000023649,Chickasaw Nation,2500,0,2500,2022-04-18 00:00:00 +0000,46, , ,0,          
C00007880,"",D000000136,Credit Union National Assn,2500,2500,0,2022-04-18 00:00:00 +0000,46, , ,0,          
         ,"",          ,Kendall Jackson Wines,2500,0,2500,2022-04-18 00:00:00 +0000,46, , ,0,          
C00475350,"",D000036469,Pacific Seafood Group,2500,2500,0,2022-04-18 00:00:00 +0000,46, , ,0,          
         ,"",          ,Paragon Government Relations,2500,0,2500,2022-04-18 00:00:00 +0000,46, , ,0,          
C00663609,"",          ,Progressive Majority PAC                          ,2500,2500,0,2022-04-18 00:00:00 +0000,46, , ,0,          
C70003124,"",D000000077,Service Employees International Union,2500,2500,0,2022-04-18 00:00:00 +0000,46, , ,0,          
         ,"",D000000406,University of California                ,2500,0,2500,2022-04-18 00:00:00 +0000,46, , ,0,          
